Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,35.4681556019932,706,0.2956752628087997,0.99,0.9899826086956522
ArticularyWordRecognition,1,34.44547339715064,699,0.312260402366519,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,2,31.00245788693428,614,0.3002026434987783,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,32.12873022072017,627,0.2981003299355507,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,4,35.83283540792763,643,0.2967638839036226,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,30.55033417791128,610,0.2942899279296398,0.98,0.9799710144927536
ArticularyWordRecognition,6,35.15842300839722,708,0.3100866042077541,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,33.50856460817158,674,0.300765099003911,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,32.37194981612265,644,0.2970920130610466,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,31.82080035097897,639,0.2952292077243328,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,36.65059578791261,731,0.487361591309309,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.68605501949787,675,0.2965366337448358,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,12,26.40441761910916,498,0.3094746638089418,0.9766666666666668,0.9765968582142496
ArticularyWordRecognition,13,32.38077730871737,634,0.3074844144284725,0.9866666666666668,0.986649275362319
ArticularyWordRecognition,14,36.022247821092606,712,0.3042427971959114,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,15,32.840435000136495,649,0.68564273416996,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,16,32.76402830705047,652,0.3138857036828995,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,29.82130399346352,588,0.3070067781955004,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,33.19636733829975,659,0.2978367395699024,0.9833333333333332,0.9831462450592888
ArticularyWordRecognition,19,32.62182527035475,625,0.3134114351123571,0.9833333333333332,0.983304347826087
AtrialFibrillation,0,21.86676388047636,587,0.2120937276631593,0.2,0.1558441558441558
AtrialFibrillation,1,22.25980663858354,556,0.2761034350842237,0.2,0.1558441558441558
AtrialFibrillation,2,26.37511384487152,622,0.2795321512967348,0.2,0.1558441558441558
AtrialFibrillation,3,22.53908470645547,567,0.2893302012234926,0.2,0.1558441558441558
AtrialFibrillation,4,21.293585693463683,520,0.2896687965840101,0.2,0.1558441558441558
AtrialFibrillation,5,23.384516399353743,603,0.2793776616454124,0.2,0.1558441558441558
AtrialFibrillation,6,20.499161325395107,562,0.2120310012251138,0.2,0.1558441558441558
AtrialFibrillation,7,19.01299992017448,518,0.2759381532669067,0.2666666666666666,0.2
AtrialFibrillation,8,26.180968360975385,673,0.2793792467564344,0.2,0.1558441558441558
AtrialFibrillation,9,22.904821265488863,614,0.2844229210168123,0.2,0.1558441558441558
AtrialFibrillation,10,19.925677105784416,522,0.2746611293405294,0.2,0.1558441558441558
AtrialFibrillation,11,21.75678768008948,578,0.2808804344385862,0.2,0.1558441558441558
AtrialFibrillation,12,21.85834485664964,584,0.267052786424756,0.2,0.1558441558441558
AtrialFibrillation,13,24.324317552149296,644,0.2656494360417127,0.2,0.1581196581196581
AtrialFibrillation,14,17.17081492766738,504,0.2838694173842668,0.2666666666666666,0.2
AtrialFibrillation,15,23.26247769035399,632,0.2651641853153705,0.2,0.1558441558441558
AtrialFibrillation,16,24.38554815389216,655,0.2710352893918752,0.2,0.1558441558441558
AtrialFibrillation,17,21.31743868067861,575,0.2819914799183607,0.2666666666666666,0.2
AtrialFibrillation,18,22.085481610149145,595,0.2749864757061004,0.2,0.1558441558441558
AtrialFibrillation,19,23.53845276869833,633,0.2681915406137705,0.2,0.1558441558441558
BasicMotions,0,18.55658182874322,504,0.2681912034749985,1.0,1.0
BasicMotions,1,18.604330986738205,503,0.2802853267639875,1.0,1.0
BasicMotions,2,21.56977531313896,585,0.2847084775567055,1.0,1.0
BasicMotions,3,20.09379057399929,550,0.2780078873038292,1.0,1.0
BasicMotions,4,21.803920766338702,580,0.2668275348842144,1.0,1.0
BasicMotions,5,21.055927148088813,571,0.263163523748517,1.0,1.0
