Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,39.893381375819445,689,0.589212890714407,0.9866666666666667,0.986649275362319
ArticularyWordRecognition,1,29.763782074674964,593,0.27644113451242447,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,2,33.69861546717584,683,0.2763438057154417,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,3,30.71841709315777,595,0.27693967893719673,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,4,32.12558528594673,643,0.2775131966918707,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,5,33.39770055562258,665,0.27517210878431797,0.98,0.9799710144927536
ArticularyWordRecognition,6,31.313199244439602,625,0.27816490083932877,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,7,33.56154520623386,674,0.27637527510523796,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,8,31.851915957406163,625,0.2830714974552393,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,9,31.770174318924546,639,0.27677510119974613,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,10,35.845765275880694,731,0.2795225754380226,0.99,0.9899826086956522
ArticularyWordRecognition,11,33.53333236090839,675,0.2787502259016037,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,12,36.75697046890855,751,0.2768441028892994,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,13,34.716939924284816,702,0.2759441938251257,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,14,33.02453104220331,654,0.28061013482511044,0.9866666666666667,0.9864911725955204
ArticularyWordRecognition,15,26.358984243124723,514,0.2800009287893772,0.98,0.979930191547583
ArticularyWordRecognition,16,34.77553519979119,703,0.2766738086938858,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,17,25.276672832667828,491,0.27577685564756393,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,18,30.467164846137166,604,0.5283356159925461,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,19,27.197093032300472,518,0.2848683539777994,0.98,0.979930191547583
AtrialFibrillation,0,26.29897035099566,689,0.21674403734505177,0.3333333333333333,0.2518518518518518
AtrialFibrillation,1,22.592875646427274,619,0.2522607874125242,0.3333333333333333,0.2521008403361345
AtrialFibrillation,2,24.783332420513034,638,0.22557904198765755,0.3333333333333333,0.25000000000000006
AtrialFibrillation,3,23.24869180098176,660,0.24346641078591347,0.3333333333333333,0.2518518518518518
AtrialFibrillation,4,22.6502484139055,614,0.24498535878956318,0.3333333333333333,0.2571428571428571
AtrialFibrillation,5,23.440217336639762,640,0.21129165403544903,0.3333333333333333,0.2521008403361345
AtrialFibrillation,6,24.460663886740804,679,0.19826092571020126,0.26666666666666666,0.2323232323232323
AtrialFibrillation,7,22.861587846651673,655,0.24257944710552692,0.26666666666666666,0.21445221445221443
AtrialFibrillation,8,26.754117412492633,720,0.24894242733716965,0.3333333333333333,0.2571428571428571
AtrialFibrillation,9,25.276692355051637,684,0.25373351015150547,0.3333333333333333,0.2571428571428571
AtrialFibrillation,10,22.51758942566812,615,0.25377102941274643,0.3333333333333333,0.25000000000000006
AtrialFibrillation,11,21.58179809525609,560,0.24960055947303772,0.3333333333333333,0.2592592592592593
AtrialFibrillation,12,25.333479998633265,685,0.24510152265429497,0.2,0.17171717171717168
AtrialFibrillation,13,26.293698145076632,721,0.25298408418893814,0.26666666666666666,0.21445221445221443
AtrialFibrillation,14,23.48585852049291,640,0.254959087818861,0.3333333333333333,0.2518518518518518
AtrialFibrillation,15,22.231865407899022,590,0.23991942033171654,0.2,0.17171717171717168
AtrialFibrillation,16,26.803225116804242,731,0.2586408816277981,0.2,0.17171717171717168
AtrialFibrillation,17,24.825530355796218,684,0.2584464456886053,0.3333333333333333,0.2571428571428571
AtrialFibrillation,18,23.596038974821568,627,0.24690707214176655,0.3333333333333333,0.25000000000000006
AtrialFibrillation,19,24.768459152430296,650,0.24745789170265198,0.3333333333333333,0.27777777777777773
BasicMotions,0,19.951841859146953,526,0.357747845351696,1.0,1.0
BasicMotions,1,20.061593199148774,559,0.25309143401682377,1.0,1.0
