Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,39.63061962462962,618,0.5956401191651821,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,1,30.962881468236446,609,0.2836591675877571,0.98,0.9799652173913046
ArticularyWordRecognition,2,37.08394148759544,764,0.2848111428320408,0.9833333333333333,0.9834274247491639
ArticularyWordRecognition,3,32.1441721431911,627,0.2862937618046999,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,4,32.49632374383509,643,0.2844506483525038,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,5,30.776830662041903,610,0.28423696011304855,0.9833333333333333,0.9833101449275362
ArticularyWordRecognition,6,35.13292665593326,714,0.2849013414233923,0.9866666666666667,0.9864853754940712
ArticularyWordRecognition,7,33.734078327193856,671,0.28441756777465343,0.9833333333333333,0.9833043478260871
ArticularyWordRecognition,8,36.09861926175654,723,0.28960692696273327,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,9,32.29860171303153,639,0.2832786440849304,0.9833333333333333,0.9833043478260871
ArticularyWordRecognition,10,31.246146706864238,614,0.28445279225707054,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,11,33.644659113138914,675,0.2873491980135441,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,12,26.160503504797816,498,0.2847868073731661,0.9766666666666667,0.9765968582142496
ArticularyWordRecognition,13,30.275915261358023,608,0.2826720457524061,0.99,0.9899826086956522
ArticularyWordRecognition,14,30.688528126105666,599,0.2873306144028902,0.9833333333333333,0.9829305303392263
ArticularyWordRecognition,15,32.989461705088615,649,0.2852284871041775,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,16,32.827246060594916,652,0.28459026105701923,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,17,29.748300848528743,588,0.28296476416289806,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,18,33.47762582078576,659,0.5454461835324764,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,19,32.29476581513882,625,0.2911977805197239,0.9866666666666667,0.9866434782608695
AtrialFibrillation,0,23.876219676807523,637,0.25251898169517517,0.2,0.1558441558441558
AtrialFibrillation,1,19.894464403390884,551,0.2505677714943886,0.2,0.1558441558441558
AtrialFibrillation,2,22.731950536370277,622,0.25638410076498985,0.2,0.1558441558441558
AtrialFibrillation,3,21.235435400158167,574,0.2565713468939066,0.2,0.1558441558441558
AtrialFibrillation,4,20.478519266471267,516,0.2572600208222866,0.2,0.1558441558441558
AtrialFibrillation,5,21.710655203089118,592,0.25592554919421673,0.2,0.1558441558441558
AtrialFibrillation,6,22.189390655606985,581,0.25298391841351986,0.2,0.1558441558441558
AtrialFibrillation,7,20.13433621637523,529,0.25345638394355774,0.2,0.1558441558441558
AtrialFibrillation,8,24.777234824374318,664,0.2489522062242031,0.2,0.1558441558441558
AtrialFibrillation,9,23.66441946849227,627,0.26442221738398075,0.2,0.1581196581196581
AtrialFibrillation,10,20.12414224818349,531,0.2595698684453964,0.2,0.1558441558441558
AtrialFibrillation,11,20.497923048213124,527,0.24714405462145805,0.2,0.1558441558441558
AtrialFibrillation,12,24.170167855918407,665,0.2549846936017275,0.2,0.1558441558441558
