Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,36.568940334022045,706,0.5653178915381432,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,31.34101972728968,609,0.3152780756354332,0.98,0.9795913999044435
ArticularyWordRecognition,2,37.6394953597337,756,0.3111993949860334,0.99,0.9899826086956522
ArticularyWordRecognition,3,32.697599260136485,627,0.3002709001302719,0.98,0.9798129117259552
ArticularyWordRecognition,4,32.36673835851252,627,0.3243408538401127,0.9766666666666668,0.9764169048342964
ArticularyWordRecognition,5,37.23560965619981,734,0.3136488124728203,0.99,0.9899826086956522
ArticularyWordRecognition,6,33.947206595912576,671,0.3107723724097013,0.98,0.9798238785369222
ArticularyWordRecognition,7,36.44967131130397,710,0.2962561566382646,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,8,34.20939871110022,660,0.3173758871853351,0.9833333333333332,0.983427424749164
ArticularyWordRecognition,9,32.46053684875369,639,0.3092567343264818,0.99,0.9899826086956522
ArticularyWordRecognition,10,37.40673301368952,748,0.3118771649897098,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.79925016500056,675,0.6626655403524637,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,12,37.053339375182986,744,0.3162001129239797,0.98,0.9798260869565216
ArticularyWordRecognition,13,32.438513066619635,634,0.3117206804454326,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,14,34.102573623880744,678,0.3009696379303932,0.9866666666666668,0.9864911725955204
ArticularyWordRecognition,15,36.549564169719815,733,0.3229719810187816,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,16,35.31543619558215,698,0.3117127958685159,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,36.9486783221364,745,0.3093042038381099,0.9833333333333332,0.9831652173913044
ArticularyWordRecognition,18,31.39663977175951,605,0.3008997682482004,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,19,33.1490347199142,639,0.3173548262566328,0.99,0.9899826086956522
AtrialFibrillation,0,21.80633437074721,552,0.2772359196096658,0.2666666666666666,0.2136752136752137
AtrialFibrillation,1,23.52479606308043,626,0.2925856504589319,0.1333333333333333,0.1407407407407407
AtrialFibrillation,2,24.56684287451208,636,0.2939639613032341,0.2666666666666666,0.2136752136752137
AtrialFibrillation,3,22.82621905580163,596,0.2803393546491861,0.2,0.1952861952861952
AtrialFibrillation,4,20.53844539448619,542,0.2836891915649175,0.1333333333333333,0.1111111111111111
AtrialFibrillation,5,22.62535406835377,614,0.2674790900200605,0.2,0.1851851851851851
AtrialFibrillation,6,22.06522578559816,567,0.3011663798242807,0.3333333333333333,0.336026936026936
AtrialFibrillation,7,19.13424633443356,497,0.2888902965933084,0.2,0.2074074074074074
AtrialFibrillation,8,23.416017232462764,626,0.2785963099449873,0.2,0.1631701631701631
AtrialFibrillation,9,25.064489314332604,680,0.262911181896925,0.0666666666666666,0.0666666666666666
AtrialFibrillation,10,23.420685758814216,610,0.2896229512989521,0.2,0.1666666666666666
AtrialFibrillation,11,21.93377793394029,581,0.2810350693762302,0.1333333333333333,0.1161616161616161
AtrialFibrillation,12,22.538480639457703,597,0.2800151202827692,0.2666666666666666,0.2237762237762237
AtrialFibrillation,13,23.75887813977897,625,0.3055147845298052,0.2666666666666666,0.2611111111111111
AtrialFibrillation,14,21.513130355626345,563,0.2939002756029367,0.2666666666666666,0.2754208754208754
AtrialFibrillation,15,22.38302891328931,592,0.2818471901118755,0.2,0.1631701631701631
AtrialFibrillation,16,21.841764267534018,572,0.2608704082667827,0.2666666666666666,0.2424242424242423
AtrialFibrillation,17,21.39298509992659,563,0.2953430879861116,0.2666666666666666,0.2484848484848485
AtrialFibrillation,18,20.96758140809834,558,0.2260591965168714,0.2,0.1858974358974358
AtrialFibrillation,19,21.2116270326078,570,0.2851752862334251,0.2,0.1858974358974358
BasicMotions,0,21.19558404572308,530,0.4569731596857309,0.975,0.974937343358396
BasicMotions,1,19.96951343677938,549,0.2994680367410183,0.925,0.9232736572890026
BasicMotions,2,20.14218558743596,538,0.2911157757043838,0.925,0.9232736572890026
BasicMotions,3,21.343041514977813,609,0.2730844747275114,0.975,0.974937343358396
BasicMotions,4,20.18133867532015,520,0.236249228939414,0.525,0.4017347386912604
BasicMotions,5,19.355561941862103,552,0.3003608509898186,0.975,0.974937343358396
BasicMotions,6,20.48121909610927,518,0.2956763207912445,0.7,0.6161616161616161
BasicMotions,7,18.149343851953745,478,0.3073951080441475,0.925,0.9232736572890026
BasicMotions,8,19.99644091166556,526,0.2907905485481024,0.7,0.6161616161616161
BasicMotions,9,21.50263450667262,562,0.2894229665398597,0.975,0.974937343358396
BasicMotions,10,21.153062287718058,564,0.2718641888350248,0.95,0.9494949494949496
BasicMotions,11,22.6397767085582,581,0.3004939369857311,0.95,0.9494949494949496
BasicMotions,12,19.367235714569688,516,0.2907535880804062,0.825,0.8005698005698004
BasicMotions,13,20.27378883957863,529,0.2983263060450554,0.925,0.9232736572890026
BasicMotions,14,20.551517685875297,538,0.280411722138524,0.925,0.9232736572890026
BasicMotions,15,21.743562012910843,573,0.2875461708754301,0.975,0.974937343358396
BasicMotions,16,19.94715720973909,543,0.2992855664342642,0.975,0.974937343358396
BasicMotions,17,20.967232013121247,545,0.2740463651716709,0.725,0.6416040100250626
BasicMotions,18,20.45090779475868,551,0.2964680958539247,0.7,0.6284722222222222
BasicMotions,19,20.515725957229733,554,0.2467316277325153,0.975,0.974937343358396
Cricket,0,41.36699437908828,772,0.389213053509593,0.9861111111111112,0.986013986013986
Cricket,1,41.39922457002103,764,0.2922555524855852,0.9861111111111112,0.986013986013986
Cricket,2,44.24683463573456,824,0.3112414553761482,0.9861111111111112,0.986013986013986
Cricket,3,45.92574626579881,861,0.3086983896791935,0.9861111111111112,0.986013986013986
Cricket,4,39.991764053702354,734,0.3056040219962597,0.9861111111111112,0.986013986013986
Cricket,5,40.48827671259642,753,0.3150089476257562,0.9861111111111112,0.986013986013986
Cricket,6,45.70034281723201,856,0.3097967207431793,0.9861111111111112,0.986013986013986
Cricket,7,41.57856176421046,777,0.3071237951517105,0.9861111111111112,0.986013986013986
Cricket,8,40.65028307214379,752,0.2948636021465063,0.9861111111111112,0.986013986013986
Cricket,9,43.43739399500191,787,0.3162267096340656,0.9861111111111112,0.986013986013986
Cricket,10,40.11831518448889,738,0.3081974666565656,0.9861111111111112,0.986013986013986
Cricket,11,42.80994719453156,805,0.3064934127032757,0.9861111111111112,0.986013986013986
Cricket,12,38.51204031519592,718,0.2917167246341705,0.9861111111111112,0.986013986013986
Cricket,13,46.89167443290353,886,0.3050568122416734,0.9861111111111112,0.986013986013986
Cricket,14,42.98882386647165,810,0.3077582418918609,0.9861111111111112,0.986013986013986
Cricket,15,46.00888215191662,860,0.304776394739747,0.9861111111111112,0.986013986013986
Cricket,16,43.04765221849084,793,0.3115674406290054,0.9861111111111112,0.986013986013986
Cricket,17,43.39478210918605,807,0.3006949797272682,0.9861111111111112,0.986013986013986
Cricket,18,42.314502101391554,791,0.3032307010143995,0.9861111111111112,0.986013986013986
Cricket,19,42.14931431040168,784,0.2849778700619936,0.9861111111111112,0.986013986013986
DuckDuckGeese,0,29.07244290597737,586,0.5030602551996708,0.5,0.4238808250572956
DuckDuckGeese,1,29.40200837701559,595,0.4117873944342136,0.48,0.4186335403726708
DuckDuckGeese,2,28.495526488870382,578,0.4085141606628895,0.44,0.3857142857142857
DuckDuckGeese,3,28.18800741620361,583,0.8958993684500456,0.48,0.4305485937064885
DuckDuckGeese,4,27.326800391077995,558,0.4102044682949781,0.44,0.3837606837606837
DuckDuckGeese,5,27.069126965478063,545,0.4126454591751098,0.44,0.3806019112822707
DuckDuckGeese,6,26.806243984028697,555,0.4146452154964208,0.46,0.3971990171990171
DuckDuckGeese,7,27.1923665329814,545,0.4332287777215242,0.48,0.4226666666666666
DuckDuckGeese,8,28.350347926840183,575,0.4160722028464079,0.44,0.4075256183978293
DuckDuckGeese,9,26.338270638138056,529,0.4280775040388107,0.48,0.4235185185185185
DuckDuckGeese,10,28.63625089637935,579,0.397121112793684,0.46,0.4096787423103212
DuckDuckGeese,11,29.28575901128352,590,0.4118436202406883,0.54,0.4847943722943723
DuckDuckGeese,12,28.68400483950973,588,0.4163674358278513,0.46,0.4134841628959276
DuckDuckGeese,13,29.41103984601796,589,0.4182631075382232,0.48,0.450306991483462
DuckDuckGeese,14,26.97506341524422,544,0.4226471111178398,0.44,0.3977998472116118
DuckDuckGeese,15,31.032478641718622,616,0.401445709168911,0.54,0.5138565138565139
DuckDuckGeese,16,26.044847516343,526,0.4130469150841236,0.42,0.3523809523809524
DuckDuckGeese,17,29.87644057162106,606,0.4037605337798595,0.46,0.4097105508870214
DuckDuckGeese,18,28.53606950677932,570,0.4202115200459957,0.46,0.3895238095238095
DuckDuckGeese,19,29.38235975988209,596,0.4123826399445534,0.52,0.471852614563612
ERing,0,24.51862696930766,651,0.4523034580051899,0.7851851851851852,0.7614556594705284
ERing,1,22.357830360531807,590,0.3042613212019205,0.2740740740740741,0.1953466134804162
ERing,2,24.146088041365147,639,0.3193187713623047,0.4111111111111111,0.3315380981621391
ERing,3,24.56933186016977,641,0.310356380417943,0.2074074074074074,0.1128872649767831
ERing,4,21.41600824519992,577,0.307078592479229,0.7148148148148148,0.668214020570195
ERing,5,26.5609077680856,707,0.3170449640601873,0.2555555555555555,0.1726760610467546
ERing,6,24.223293103277683,641,0.2974533569067716,0.4259259259259259,0.354559008160703
ERing,7,22.4003010429442,610,0.2880297005176544,0.4481481481481481,0.3222037821906863
ERing,8,23.31351537257433,626,0.2295506112277507,0.5666666666666667,0.4750732156304911
ERing,9,20.08738507516682,551,0.321617079898715,0.4555555555555555,0.4284534188675896
ERing,10,25.433107431977987,657,0.3075956981629133,0.5333333333333333,0.4483165973460091
ERing,11,22.46332811936736,595,0.3179448097944259,0.5222222222222223,0.5012938793437571
ERing,12,24.92130717076361,627,0.2728658579289913,0.3407407407407407,0.250642872633764
ERing,13,24.832397006452084,669,0.3135391250252723,0.8703703703703703,0.8637088922457995
ERing,14,22.22156088426709,595,0.3106196653097868,0.3666666666666666,0.305015930422802
ERing,15,22.57357908971608,602,0.3071940559893846,0.7555555555555555,0.7605770361642051
ERing,16,25.22200225107372,656,0.3322374671697616,0.3037037037037037,0.2043633385974147
ERing,17,23.461466267704964,603,0.3164735436439514,0.4888888888888889,0.3396424087222794
