Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,37.88824482448399,618,0.5882927868515253,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,1,34.95916619151831,684,0.27891326509416103,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,2,34.8987080771476,683,0.2769643161445856,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,3,36.80651841685176,676,0.2837908733636141,0.98,0.979930191547583
ArticularyWordRecognition,4,35.27215237356722,627,0.28867887519299984,0.98,0.9800532684706599
ArticularyWordRecognition,5,37.152349611744285,665,0.2917800657451153,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,6,34.74919207021594,625,0.2945799231529236,0.98,0.9798071146245059
ArticularyWordRecognition,7,37.66414199024439,674,0.2975784670561552,0.9866666666666667,0.986649275362319
ArticularyWordRecognition,8,39.04417886771262,691,0.28954989835619926,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,9,33.39390583150089,639,0.2781714480370283,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,10,31.92521695792675,614,0.27783202193677425,0.9866666666666667,0.9866434782608695
ArticularyWordRecognition,11,33.09767346829176,646,0.2806766200810671,0.9866666666666667,0.9866434782608695
ArticularyWordRecognition,12,27.350236697122455,498,0.29385768808424473,0.9766666666666667,0.9765910611128004
ArticularyWordRecognition,13,33.93237964250147,643,0.2936468403786421,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,14,33.831731447950006,634,0.31504913978278637,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,15,28.129886096343398,501,0.27964771166443825,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,16,34.71016048081219,652,0.27539034001529217,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,17,38.28632031753659,734,0.2769444100558758,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,18,39.92952757328749,751,0.29637750796973705,0.9866666666666667,0.9864853754940712
ArticularyWordRecognition,19,36.617133440449834,686,0.28762242943048477,0.99,0.9899826086956522
AtrialFibrillation,0,27.132744325324893,607,0.25989717803895473,0.2,0.1581196581196581
AtrialFibrillation,1,29.924964429810643,671,0.29433147236704826,0.2,0.1581196581196581
AtrialFibrillation,2,27.683596294373274,602,0.2636668495833874,0.2,0.1581196581196581
AtrialFibrillation,3,29.48636332154274,652,0.30785655602812767,0.2,0.16317016317016317
AtrialFibrillation,4,26.27016257494688,578,0.25392721593379974,0.2,0.1581196581196581
AtrialFibrillation,5,25.652543919160962,570,0.2598114162683487,0.2,0.1558441558441558
AtrialFibrillation,6,28.094876712188125,613,0.2687461320310831,0.2,0.16296296296296298
AtrialFibrillation,7,29.809073651209474,661,0.2932114377617836,0.2,0.1581196581196581
AtrialFibrillation,8,28.71617554873228,644,0.26080491952598095,0.2,0.1619047619047619
AtrialFibrillation,9,29.937536869198084,656,0.2687846254557371,0.2,0.1581196581196581
AtrialFibrillation,10,28.066158136352897,616,0.27979197911918163,0.2,0.1558441558441558
AtrialFibrillation,11,26.414852855727077,586,0.253278411924839,0.26666666666666666,0.2
AtrialFibrillation,12,29.491830803453922,651,0.24991228803992271,0.2,0.16317016317016317
AtrialFibrillation,13,29.325284590944648,646,0.26232215389609337,0.2,0.16239316239316237
AtrialFibrillation,14,28.263190887868404,633,0.25056167133152485,0.2,0.1581196581196581
AtrialFibrillation,15,27.703734243288636,623,0.2543048858642578,0.2,0.16239316239316237
AtrialFibrillation,16,32.4558251965791,722,0.2835441045463085,0.2,0.16666666666666666
AtrialFibrillation,17,28.90477424301207,652,0.2583612836897373,0.2,0.16317016317016317
AtrialFibrillation,18,29.216214386746287,640,0.2926776148378849,0.26666666666666666,0.2
AtrialFibrillation,19,29.426727073267102,637,0.25601049698889256,0.2,0.1581196581196581
BasicMotions,0,24.470424672588706,509,0.4390955399721861,1.0,1.0
BasicMotions,1,25.841994563117623,562,0.2848972510546446,1.0,1.0
BasicMotions,2,24.301188096404076,527,0.2564772982150316,1.0,1.0
BasicMotions,3,27.37355974689126,598,0.28429383225739,1.0,1.0
BasicMotions,4,27.000942576676607,576,0.266861530020833,1.0,1.0
BasicMotions,5,23.263737773522735,513,0.25887319818139076,1.0,1.0
BasicMotions,6,24.2997273132205,554,0.25093821436166763,1.0,1.0
BasicMotions,7,20.641811959445477,464,0.27437897212803364,1.0,1.0
BasicMotions,8,22.265736943110824,508,0.2572824079543352,1.0,1.0
BasicMotions,9,25.33499040827155,578,0.2516065463423729,1.0,1.0
