Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,33.14869241043925,627,0.5636700242757797,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,31.84436777420342,632,0.2854335699230432,0.99,0.9899826086956522
ArticularyWordRecognition,2,33.871975749731064,683,0.2791736219078302,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,33.74071662314236,676,0.2948353718966245,0.98,0.9798129117259552
ArticularyWordRecognition,4,33.502454778179526,665,0.2835076916962862,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,32.16846835240722,642,0.2836990617215633,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,6,32.43115680851042,652,0.2794194910675287,0.9766666666666668,0.975938164251208
ArticularyWordRecognition,7,35.5710636600852,702,0.2898865398019552,0.99,0.9899826086956522
ArticularyWordRecognition,8,39.72975555621088,683,0.5886128917336464,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,33.85932546108961,684,0.2828790228813886,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,31.045074256137013,608,0.2829359099268913,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.840042965486646,675,0.2846809402108192,0.98,0.979930191547583
ArticularyWordRecognition,12,33.13960046693683,649,0.2799449581652879,0.9833333333333332,0.9833101449275364
ArticularyWordRecognition,13,34.09074383787811,689,0.2825142107903957,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,14,33.369685964658856,654,0.2813026718795299,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,15,31.984797064214945,635,0.281465096399188,0.99,0.9899884057971016
ArticularyWordRecognition,16,34.03217611648142,673,0.287812927737832,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,31.408220851793885,621,0.2831957973539829,0.9833333333333332,0.9831652173913044
ArticularyWordRecognition,18,30.8953514136374,605,0.282206142321229,0.9833333333333332,0.9831520421607378
ArticularyWordRecognition,19,32.156230702996254,626,0.2858222182840109,0.9866666666666668,0.986608452417148
AtrialFibrillation,0,23.513352748006582,610,0.251153128221631,0.2,0.1558441558441558
AtrialFibrillation,1,22.806334419175982,622,0.2509399075061083,0.2666666666666666,0.2136752136752137
AtrialFibrillation,2,20.551972268149257,557,0.249044457450509,0.2666666666666666,0.2136752136752137
AtrialFibrillation,3,23.66082962602377,624,0.2616369687020778,0.2,0.1558441558441558
AtrialFibrillation,4,24.08834765665233,626,0.247587326914072,0.2,0.1558441558441558
AtrialFibrillation,5,20.236596424132586,536,0.2521182969212532,0.2,0.1619047619047619
AtrialFibrillation,6,20.19522774405777,542,0.2569781318306923,0.2666666666666666,0.2644688644688645
AtrialFibrillation,7,22.21068373508752,608,0.2481185439974069,0.2,0.1558441558441558
AtrialFibrillation,8,22.77319343201816,616,0.2546976748853922,0.2666666666666666,0.2136752136752137
AtrialFibrillation,9,22.07828097976744,605,0.2458799295127391,0.1333333333333333,0.1179487179487179
AtrialFibrillation,10,21.510469056665897,576,0.2644394990056753,0.2666666666666666,0.2136752136752137
AtrialFibrillation,11,20.08352876454592,556,0.2564581874758005,0.2,0.1581196581196581
AtrialFibrillation,12,21.602877816185355,603,0.2602624427527189,0.2666666666666666,0.2136752136752137
