Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,35.86900703422725,706,0.4263482876121998,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,34.03688392415643,699,0.2965663205832243,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,2,33.28026157990098,683,0.2963571157306433,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,3,32.48208748549223,640,0.3146075010299682,0.9833333333333332,0.9829305303392264
ArticularyWordRecognition,4,32.04170070402324,643,0.302690677344799,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,5,32.382224306464195,665,0.408866548910737,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,6,32.85499759763479,671,0.3105723615735769,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,7,33.14458911120892,674,0.2982322704046964,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,8,32.256368240341544,653,0.2988838963210583,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,33.24522373639047,684,0.6441237535327673,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,10,31.40052070468664,630,0.4198425319045782,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,11,34.12678066082299,709,0.2973976824432611,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,12,34.05944097600877,700,0.6811786610633135,0.99,0.9899826086956522
ArticularyWordRecognition,13,40.20098180882633,771,0.3133083451539278,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,14,30.704663559794422,623,0.3077311366796493,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,15,25.364973712712526,501,0.2941384762525558,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,16,34.287409119307995,703,0.3140905722975731,0.99,0.9899826086956522
ArticularyWordRecognition,17,30.492759246379137,621,0.3077523354440927,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,38.98229595832527,663,0.2998251356184482,0.99,0.9901056856187292
ArticularyWordRecognition,19,34.360567569732666,625,0.294819388538599,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,23.47580620460212,635,0.2506335098296404,0.2,0.1666666666666666
AtrialFibrillation,1,23.860572388395667,656,0.2770342752337456,0.2666666666666666,0.2
AtrialFibrillation,2,23.37414934672416,627,0.2790694404393434,0.2666666666666666,0.2095238095238095
AtrialFibrillation,3,20.76501101255417,570,0.2725445013493299,0.2666666666666666,0.2144522144522144
AtrialFibrillation,4,22.848786352202296,625,0.2736706789582968,0.2666666666666666,0.2144522144522144
AtrialFibrillation,5,22.569450767710805,602,0.2761032078415155,0.2666666666666666,0.2144522144522144
AtrialFibrillation,6,21.840020747855306,586,0.2493298985064029,0.3333333333333333,0.2401960784313725
AtrialFibrillation,7,20.466779159381986,556,0.2653686832636595,0.2666666666666666,0.2144522144522144
AtrialFibrillation,8,26.082484647631645,715,0.2811720035970211,0.2666666666666666,0.2095238095238095
AtrialFibrillation,9,25.669522328302264,698,0.2706685215234756,0.2666666666666666,0.2144522144522144
AtrialFibrillation,10,20.60165511444211,551,0.2823432777076959,0.2666666666666666,0.2
AtrialFibrillation,11,20.484016750007868,543,0.2844938226044178,0.2666666666666666,0.2095238095238095
AtrialFibrillation,12,27.60343053750693,680,0.2629492562264204,0.2666666666666666,0.2034632034632034
AtrialFibrillation,13,23.392861681059003,620,0.2731605749577284,0.2666666666666666,0.2144522144522144
AtrialFibrillation,14,20.91155444085598,594,0.2816445305943489,0.3333333333333333,0.2777777777777777
AtrialFibrillation,15,20.908157370984554,594,0.2765389867126941,0.2666666666666666,0.2095238095238095
AtrialFibrillation,16,24.61592459306121,668,0.2708142194896936,0.2666666666666666,0.2144522144522144
AtrialFibrillation,17,28.16470472700894,670,0.2805741187185049,0.2666666666666666,0.2095238095238095
AtrialFibrillation,18,23.29014710150659,643,0.2785712629556656,0.2666666666666666,0.2095238095238095
AtrialFibrillation,19,25.11435347422957,689,0.2052476126700639,0.2,0.1666666666666666
BasicMotions,0,18.97410704940557,484,0.3180877473205328,1.0,1.0
BasicMotions,1,18.372397566214204,473,0.2803711798042059,1.0,1.0
BasicMotions,2,16.937321580946445,457,0.2745040114969015,1.0,1.0
BasicMotions,3,19.6035999506712,525,0.2306520175188779,1.0,1.0
BasicMotions,4,17.668950071558356,482,0.2585447542369365,1.0,1.0
BasicMotions,5,17.041363392025232,457,0.3173406533896923,1.0,1.0
BasicMotions,6,18.422719856724143,493,0.2836108598858118,1.0,1.0
BasicMotions,7,20.62086924351752,522,0.2884845677763223,1.0,1.0
