Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,41.96365196444094,706,0.4090405758470297,0.99,0.9899826086956522
ArticularyWordRecognition,1,33.47333880700171,593,0.245229410007596,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,2,37.16934131830931,683,0.2427950911223888,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,3,38.78866592049599,710,0.1856529265642166,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,4,36.00767185539007,643,0.2063192669302225,0.9866666666666668,0.9866142495185972
ArticularyWordRecognition,5,32.59819735214114,665,0.2949241418391466,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,6,31.31338786892593,625,0.3098685145378113,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,7,33.60342228412628,674,0.3017366752028465,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,8,35.30891662836075,723,0.2963991593569517,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,33.23653431609273,684,0.2948154453188181,0.9833333333333332,0.9831462450592888
ArticularyWordRecognition,10,35.043327471241355,730,0.3069775942713022,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,11,30.504191610962152,637,0.295409757643938,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,12,26.51102475076914,524,0.3087020311504602,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,13,30.102116683498025,614,0.3088059071451425,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,14,32.431267416104674,654,0.3060423508286476,0.98,0.979807114624506
ArticularyWordRecognition,15,25.309107962995768,501,0.2964687552303076,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,16,34.5078441798687,703,0.3105241861194372,0.99,0.9899826086956522
ArticularyWordRecognition,17,30.50663902238012,621,0.3079354912042618,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,18,31.96845255419612,659,0.3056897483766079,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,19,34.005711959674954,686,0.3098382335156202,0.99,0.9899826086956522
AtrialFibrillation,0,28.72762476839125,638,0.2188906744122505,0.2666666666666666,0.2237762237762237
AtrialFibrillation,1,29.578533355146646,664,0.2079862132668495,0.2666666666666666,0.2144522144522144
AtrialFibrillation,2,29.97029703296721,628,0.2273456882685423,0.1333333333333333,0.1118881118881118
AtrialFibrillation,3,28.21580024808645,630,0.2088326588273048,0.2666666666666666,0.2144522144522144
AtrialFibrillation,4,24.8882705103606,592,0.2247833665460348,0.2,0.1666666666666666
AtrialFibrillation,5,22.182576099410653,581,0.2775154113769531,0.1333333333333333,0.1161616161616161
AtrialFibrillation,6,23.969726622104645,674,0.2652212642133236,0.2666666666666666,0.2095238095238095
AtrialFibrillation,7,24.35820661857724,670,0.2647930812090635,0.3333333333333333,0.2777777777777777
AtrialFibrillation,8,24.538314066827297,668,0.2785294242203235,0.2666666666666666,0.2095238095238095
AtrialFibrillation,9,24.723737174645063,685,0.2755584493279457,0.2,0.1692307692307692
AtrialFibrillation,10,22.68746369332075,608,0.2808835469186306,0.2666666666666666,0.2144522144522144
AtrialFibrillation,11,20.278431750833988,557,0.2729723174124956,0.2,0.1666666666666666
AtrialFibrillation,12,24.338540328666568,664,0.2608442697674036,0.2666666666666666,0.2144522144522144
AtrialFibrillation,13,26.04446575790644,714,0.2755123060196638,0.3333333333333333,0.2777777777777777
AtrialFibrillation,14,21.57847730070353,598,0.2780662029981613,0.2666666666666666,0.2144522144522144
AtrialFibrillation,15,22.03109396621585,606,0.2801003698259592,0.2,0.1717171717171716
AtrialFibrillation,16,27.133948341012,752,0.2627914045006037,0.2666666666666666,0.2144522144522144
AtrialFibrillation,17,25.365584693849087,678,0.2781849633902311,0.2,0.1631701631701631
AtrialFibrillation,18,24.24238847196102,660,0.2715086434036493,0.2,0.1631701631701631
AtrialFibrillation,19,25.52582666836679,711,0.2759167570620775,0.2,0.1692307692307692
BasicMotions,0,23.68487850762904,545,0.3643268756568432,1.0,1.0
BasicMotions,1,20.634762784466147,504,0.220713896676898,1.0,1.0
BasicMotions,2,24.074837742373347,491,0.1576769817620515,1.0,1.0
BasicMotions,3,23.36599160917104,549,0.2078667692840099,1.0,1.0
BasicMotions,4,20.65447172522545,458,0.2158306315541267,1.0,1.0
BasicMotions,5,19.57513327896595,547,0.2768559977412224,1.0,1.0
BasicMotions,6,18.79841436445713,497,0.2734606564044952,1.0,1.0
BasicMotions,7,21.51366706751287,571,0.2832915838807821,1.0,1.0
BasicMotions,8,18.47804513201117,507,0.2743395119905472,1.0,1.0
BasicMotions,9,17.285945082083344,502,0.2685895729809999,1.0,1.0
BasicMotions,10,20.23311019875109,551,0.6709062941372395,1.0,1.0
BasicMotions,11,18.9366415925324,508,0.2801613081246614,1.0,1.0
BasicMotions,12,16.651850884780288,461,0.271764213219285,1.0,1.0
BasicMotions,13,18.909110993146896,524,0.2630512602627277,1.0,1.0
BasicMotions,14,17.85710595548153,482,0.2868980690836906,1.0,1.0
BasicMotions,15,21.475266436114907,591,0.2866575066000223,1.0,1.0
BasicMotions,16,19.29938073456288,517,0.2702689189463854,1.0,1.0
BasicMotions,17,18.2090804502368,485,0.2760730385780334,1.0,1.0
BasicMotions,18,18.091705044731498,486,0.2732686642557382,1.0,1.0
BasicMotions,19,17.88277362845838,491,0.2312755137681961,1.0,1.0
CharacterTrajectories,0,115.25833751633763,487,0.5571612287312746,0.995125348189415,0.9951226314953522
