Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,35.80290009826422,706,0.3100086860358715,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,1,30.971803871914744,609,0.3019335232675075,0.98,0.9799652173913046
ArticularyWordRecognition,2,25.948124397546053,497,0.2962249685078859,0.98,0.9800882943143812
ArticularyWordRecognition,3,32.26800783164799,627,0.3084348943084478,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,4,32.386328503489494,643,0.308700293302536,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,30.44851302169264,610,0.2996243201196193,0.9833333333333332,0.9833101449275362
ArticularyWordRecognition,6,35.19541287235916,714,0.302421061322093,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,33.26105152070522,661,0.3115274086594581,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,35.82665106654167,723,0.3087685219943523,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,32.39042164944112,639,0.2989414557814598,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,31.582947013899684,614,0.4856804255396127,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,32.09437421895564,646,0.3065385483205318,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,12,25.892370253801342,498,0.2939688991755247,0.9766666666666668,0.9765968582142496
ArticularyWordRecognition,13,33.45937426201999,669,0.3093928750604391,0.99,0.9899826086956522
ArticularyWordRecognition,14,36.44790926389396,732,0.3049235697835684,0.9833333333333332,0.9829305303392264
ArticularyWordRecognition,15,33.090352684259415,649,0.3065100144594908,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,16,32.554624151438475,652,0.6839389149099588,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,29.65975711494684,588,0.3128235805779695,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,32.98938773199916,659,0.3051832672208547,0.9833333333333332,0.9831462450592888
ArticularyWordRecognition,19,31.936679469421502,625,0.2948552388697862,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,22.90685136988759,611,0.2673275750130415,0.1333333333333333,0.1111111111111111
AtrialFibrillation,1,22.49027285911143,598,0.2702966686338186,0.1333333333333333,0.1111111111111111
AtrialFibrillation,2,23.525256864726543,630,0.2747506815940141,0.2,0.1581196581196581
AtrialFibrillation,3,21.606363182887435,576,0.2821739725768566,0.2,0.1581196581196581
AtrialFibrillation,4,21.424433218315244,578,0.2690883800387382,0.2,0.1558441558441558
AtrialFibrillation,5,20.91520182415843,531,0.2857487425208092,0.1333333333333333,0.1068376068376068
AtrialFibrillation,6,24.07380986399949,633,0.2861688863486051,0.2,0.1558441558441558
AtrialFibrillation,7,20.605567563325167,543,0.2752433679997921,0.2,0.1558441558441558
AtrialFibrillation,8,24.706659587100148,642,0.2666485756635666,0.1333333333333333,0.1111111111111111
AtrialFibrillation,9,23.68430377729237,625,0.2885857932269573,0.1333333333333333,0.1111111111111111
AtrialFibrillation,10,23.998497553169727,619,0.2460252661257982,0.2,0.1558441558441558
AtrialFibrillation,11,20.52583942003548,552,0.2753529697656631,0.2,0.1581196581196581
AtrialFibrillation,12,25.010654717683792,661,0.2824363317340612,0.2,0.1558441558441558
AtrialFibrillation,13,23.083702500909567,617,0.2714287769049406,0.2,0.1581196581196581
AtrialFibrillation,14,20.37612078525126,510,0.276528812944889,0.2,0.1558441558441558
AtrialFibrillation,15,21.822962099686265,579,0.283937094733119,0.1333333333333333,0.1111111111111111
AtrialFibrillation,16,22.37549500539899,615,0.2800154890865087,0.2,0.2113997113997114
AtrialFibrillation,17,25.181919472292066,651,0.281180378049612,0.1333333333333333,0.1111111111111111
AtrialFibrillation,18,22.00546035543084,588,0.2827584967017174,0.2,0.1581196581196581
AtrialFibrillation,19,23.13434714265168,604,0.2722062356770038,0.1333333333333333,0.1111111111111111
BasicMotions,0,22.25262709520757,595,0.2501135487109422,1.0,1.0
BasicMotions,1,17.484726630151272,493,0.2315827999264001,1.0,1.0
BasicMotions,2,17.59995672851801,499,0.2696168478578329,1.0,1.0
BasicMotions,3,20.110631408169866,547,0.276329742744565,1.0,1.0
BasicMotions,4,20.10189960896969,517,0.2612879648804664,1.0,1.0
BasicMotions,5,20.977410161867738,567,0.2789881695061922,1.0,1.0
BasicMotions,6,19.86847497522831,535,0.2740393690764904,1.0,1.0
BasicMotions,7,18.61168963275849,488,0.2796799279749393,1.0,1.0
BasicMotions,8,22.217502174898986,576,0.2890708371996879,1.0,1.0
BasicMotions,9,19.99633126892149,529,0.2758385576307773,1.0,1.0
BasicMotions,10,20.671198500320315,553,0.2707200311124325,1.0,1.0
BasicMotions,11,20.171017406508327,529,0.2824095636606216,1.0,1.0
BasicMotions,12,21.37103132717312,559,0.2778579331934452,1.0,1.0
BasicMotions,13,21.9286723844707,598,0.2801922857761383,1.0,1.0
BasicMotions,14,18.19137146882713,480,0.2703595254570246,1.0,1.0
BasicMotions,15,20.479703310877085,544,0.2882856130599975,1.0,1.0
BasicMotions,16,19.49801471270621,516,0.277626471593976,1.0,1.0
BasicMotions,17,20.913277031853795,575,0.2902436889708042,1.0,1.0
BasicMotions,18,22.67679649405181,609,0.273259799927473,1.0,1.0
BasicMotions,19,19.81162901595235,519,0.2792836334556341,1.0,1.0
CharacterTrajectories,0,109.7085403893143,581,0.4051831476390362,0.9958217270194986,0.9958095611749314
CharacterTrajectories,1,104.28415044955908,554,0.3871942181140184,0.9972144846796658,0.9972081099396872
CharacterTrajectories,2,90.83535648882388,472,0.405579425394535,0.9958217270194986,0.995820121012332
CharacterTrajectories,3,104.70580559410156,551,0.4034711979329586,0.9965181058495822,0.996519139025729
CharacterTrajectories,4,115.87047215923668,609,0.3976189903914928,0.995125348189415,0.9951261269001452
CharacterTrajectories,5,93.71335627138616,494,0.4006047379225492,0.9965181058495822,0.9965236742107244
CharacterTrajectories,6,108.98739906400442,570,0.4053199719637632,0.9958217270194986,0.995820121012332
CharacterTrajectories,7,111.20360798574984,587,0.4039256144315004,0.9972144846796658,0.9972131202227804
CharacterTrajectories,8,115.707353932783,608,0.3937938883900642,0.9958217270194986,0.9958209997895936
CharacterTrajectories,9,77.63228513300419,406,0.3981809448450804,0.9965181058495822,0.9965173179950896
CharacterTrajectories,10,99.33977715298532,526,0.4005281962454319,0.9972144846796658,0.997214367478112
CharacterTrajectories,11,95.66453385725616,502,0.3940087743103504,0.9965181058495822,0.9965171704953542
CharacterTrajectories,12,98.25510000810029,518,0.4018612261861563,0.9965181058495822,0.9965171704953542
CharacterTrajectories,13,100.47243511490524,511,0.7181988507509232,0.9965181058495822,0.9965170360773464
CharacterTrajectories,14,97.9374954663217,520,0.3635237757116556,0.9965181058495822,0.9965213054867472
CharacterTrajectories,15,82.97467086836696,438,0.3669941760599613,0.9965181058495822,0.9965122838956716
CharacterTrajectories,16,96.3953868933022,511,0.3612307384610176,0.9965181058495822,0.996517294178765
CharacterTrajectories,17,115.20812273956837,611,0.3610403519123792,0.9958217270194986,0.995820121012332
CharacterTrajectories,18,87.86606911942363,462,0.3676500748842954,0.9965181058495822,0.9965109129569296
CharacterTrajectories,19,78.23798620142043,409,0.3615027349442243,0.9958217270194986,0.995825971746974
Cricket,0,40.45149092935026,745,0.282071903347969,0.9861111111111112,0.986013986013986
Cricket,1,38.45096318051219,697,0.2963327914476394,0.9861111111111112,0.986013986013986
Cricket,2,41.36703626811504,774,0.2948120962828398,0.9861111111111112,0.986013986013986
Cricket,3,39.82313682883978,746,0.2852699346840381,0.9861111111111112,0.986013986013986
Cricket,4,40.911745538935065,771,0.2832448724657297,0.9861111111111112,0.986013986013986
Cricket,5,39.08006157167256,721,0.295879689976573,0.9861111111111112,0.986013986013986
Cricket,6,44.27878903225064,829,0.2951303757727146,0.9861111111111112,0.986013986013986
Cricket,7,44.17265499942005,845,0.2839697785675525,0.9861111111111112,0.986013986013986
Cricket,8,42.55234972946346,807,0.6611103639006615,0.9861111111111112,0.986013986013986
Cricket,9,42.6955233886838,787,0.3007845040410757,0.9861111111111112,0.986013986013986
Cricket,10,40.65387604944408,759,0.3356177452951669,0.9861111111111112,0.986013986013986
Cricket,11,42.70100988820195,805,0.261745736002922,0.9861111111111112,0.986013986013986
