Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,34.82546161860228,646,0.5464273765683174,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,30.71590317040682,609,0.2771051600575447,0.98,0.9799652173913044
ArticularyWordRecognition,2,33.903299732133746,683,0.2906610891222954,0.98,0.979930191547583
ArticularyWordRecognition,3,30.47276697121561,595,0.2816332224756479,0.98,0.979807114624506
ArticularyWordRecognition,4,34.33002758398652,665,0.2767583336681127,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,37.89587475545704,758,0.5421814024448395,0.9833333333333332,0.9833101449275362
ArticularyWordRecognition,6,32.018454203382134,625,0.2832519523799419,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,33.8349564447999,674,0.2794956844300031,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,33.35974834859371,644,0.2753331214189529,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,32.19114946387708,639,0.3092412445694208,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,10,30.8910589274019,614,0.3107731267809868,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.259631307795644,675,0.2980621438473463,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,12,26.23446496017277,498,0.3114687334746122,0.9733333333333334,0.9729189361363276
ArticularyWordRecognition,13,31.059234656393528,614,0.3090476542711258,0.99,0.9899884057971016
ArticularyWordRecognition,14,30.68999607861042,599,0.3106018360704183,0.98,0.9795913999044435
ArticularyWordRecognition,15,33.056943176314235,657,0.3039123937487602,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,16,32.43448353745043,652,0.3161113578826189,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,33.59681416489184,672,0.3085088841617107,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,18,33.32266644947231,659,0.3113554790616035,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,19,38.309260457754135,767,0.3094736021012068,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,21.76136328466237,563,0.2773313857614994,0.2,0.1558441558441558
AtrialFibrillation,1,20.36131265945733,538,0.2598532568663358,0.2,0.1581196581196581
AtrialFibrillation,2,22.151426078751683,577,0.2544896565377712,0.2,0.1623931623931623
AtrialFibrillation,3,24.28917626105249,643,0.2494597807526588,0.2,0.1581196581196581
AtrialFibrillation,4,26.653137378394604,614,0.2767675966024399,0.2,0.1558441558441558
AtrialFibrillation,5,21.567176384851336,558,0.2525880932807922,0.2,0.1558441558441558
AtrialFibrillation,6,22.92274160683155,625,0.2436142116785049,0.2,0.1558441558441558
AtrialFibrillation,7,20.289795633405447,552,0.2532760612666607,0.2,0.1558441558441558
AtrialFibrillation,8,22.89850411005318,603,0.2614895235747099,0.2,0.1581196581196581
AtrialFibrillation,9,21.997240472584963,616,0.2519897166639566,0.2,0.1581196581196581
AtrialFibrillation,10,21.38489213772118,581,0.2764879614114761,0.2,0.1558441558441558
AtrialFibrillation,11,22.30671522766352,614,0.2871726006269455,0.2,0.1558441558441558
AtrialFibrillation,12,24.44000869244337,658,0.2672671470791101,0.2,0.1558441558441558
AtrialFibrillation,13,26.0452930200845,694,0.2862854301929474,0.2,0.1558441558441558
AtrialFibrillation,14,22.04797316156328,599,0.2774151396006346,0.2,0.1581196581196581
AtrialFibrillation,15,28.2657739315182,630,0.2844143845140934,0.2,0.1581196581196581
AtrialFibrillation,16,22.86882376670837,602,0.2391413114964962,0.2,0.1581196581196581
AtrialFibrillation,17,22.9244534522295,607,0.252827214077115,0.1333333333333333,0.1111111111111111
AtrialFibrillation,18,24.025120854377747,624,0.2212988212704658,0.2,0.1581196581196581
AtrialFibrillation,19,24.484938103705645,670,0.2468519974499941,0.1333333333333333,0.1111111111111111
BasicMotions,0,22.69774246774614,581,0.4068521969020366,1.0,1.0
BasicMotions,1,19.05444417707622,499,0.2592557352036237,1.0,1.0
BasicMotions,2,21.111726444214582,581,0.2474696710705757,1.0,1.0
BasicMotions,3,21.51054566912353,564,0.2686261665076017,1.0,1.0
BasicMotions,4,24.22601639851928,544,0.2549765240401029,1.0,1.0
BasicMotions,5,22.207412311807275,584,0.4131133127957582,1.0,1.0
BasicMotions,6,21.99197269976139,598,0.2454228606075048,1.0,1.0
BasicMotions,7,15.718659549951552,456,0.2423191238194704,1.0,1.0
BasicMotions,8,20.049343900755048,576,0.2203370574861765,1.0,1.0
BasicMotions,9,20.20959264785052,569,0.2356070447713136,1.0,1.0
BasicMotions,10,23.86659100279212,624,0.4027283191680908,1.0,1.0
BasicMotions,11,20.590226562693715,543,0.2511269375681877,1.0,1.0
BasicMotions,12,21.79923622868955,578,0.4434676766395569,1.0,1.0
BasicMotions,13,19.10150866024196,515,0.2531230449676513,1.0,1.0
BasicMotions,14,19.49457169137895,497,0.2396238166838884,1.0,1.0
BasicMotions,15,21.09042144007981,577,0.2472764831036329,1.0,1.0
BasicMotions,16,17.97035243920982,479,0.2465350553393364,1.0,1.0
BasicMotions,17,20.15133266337216,551,0.2402555309236049,1.0,1.0
BasicMotions,18,19.27034060284496,525,0.2448706161230802,1.0,1.0
BasicMotions,19,19.51648885197937,534,0.2134182378649711,1.0,1.0
CharacterTrajectories,0,77.34288567490876,396,0.6888448987156153,0.9944289693593314,0.9944297034430808
CharacterTrajectories,1,91.02277903072536,475,0.3903833013027906,0.995125348189415,0.9951252919892662
CharacterTrajectories,2,122.1465083025396,652,0.3811157718300819,0.9958217270194986,0.995822488972024
CharacterTrajectories,3,97.71076524630188,517,0.3727820124477148,0.9958217270194986,0.9958223414722884
CharacterTrajectories,4,100.2522021662444,538,0.3680471982806921,0.9965181058495822,0.9965171704953542
CharacterTrajectories,5,87.44832983613014,461,0.7165971528738737,0.9965181058495822,0.9965195384550464
CharacterTrajectories,6,96.03588139265776,505,0.3747423905879259,0.9965181058495822,0.9965171704953542
CharacterTrajectories,7,94.72728099301456,499,0.3794076256453991,0.9958217270194986,0.9958223414722884
CharacterTrajectories,8,99.93567208386958,529,0.3722821325063705,0.9958217270194986,0.9958206981469396
CharacterTrajectories,9,98.10165901482104,512,0.3885283749550581,0.9958217270194986,0.9958223414722884
CharacterTrajectories,10,115.38459997996688,613,0.6903736256062984,0.9958217270194986,0.9958223414722884
CharacterTrajectories,11,94.92693692073226,502,0.3616485800594091,0.9972144846796658,0.9972129965393696
CharacterTrajectories,12,106.478293703869,565,0.3658933341503143,0.9958217270194986,0.9958223414722884
