Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,46.95722566731274,741,0.5129818972200155,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,41.56772674806416,684,0.2521658837795257,0.99,0.9899826086956522
ArticularyWordRecognition,2,35.02304150722921,585,0.1904928795993328,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,37.31381128542125,660,0.2498895581811666,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,4,37.21421701647341,639,0.2491290271282196,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,5,41.94956025108695,759,0.5780936740338802,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,6,31.75542028807104,625,0.2742355279624462,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,7,35.77268852852285,733,0.2748184707015753,0.9833333333333332,0.9832751190838148
ArticularyWordRecognition,8,31.76763164438308,629,0.2754272278398275,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,28.82457027770579,566,0.2726158238947391,0.9833333333333332,0.9831520421607378
ArticularyWordRecognition,10,37.6303520090878,630,0.5770141966640949,0.98,0.9795913999044435
ArticularyWordRecognition,11,32.00175794772804,646,0.2743437681347132,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,12,33.96452665515244,673,0.2746521476656198,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,13,30.624492729082704,614,0.2764841876924038,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,14,33.98237151838839,670,0.2735148873180151,0.9866666666666668,0.986485375494071
ArticularyWordRecognition,15,37.7580454275012,777,0.2743287105113268,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,16,32.540967389941216,652,0.2731690555810928,0.99,0.9899826086956522
ArticularyWordRecognition,17,34.54613379575312,694,0.2763601653277874,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,18,33.36650185286999,664,0.2800192721188068,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,19,30.72375881113112,605,0.2747793849557638,0.9833333333333332,0.9832693219823656
AtrialFibrillation,0,27.04033853299916,613,0.2082423958927393,0.2,0.1581196581196581
AtrialFibrillation,1,28.73013313300908,650,0.2075698692351579,0.1333333333333333,0.1118881118881118
AtrialFibrillation,2,27.695463771000504,610,0.2282920870929956,0.2,0.1623931623931623
AtrialFibrillation,3,27.631589645519853,598,0.1952019724994897,0.2,0.2045454545454545
AtrialFibrillation,4,25.942895701155063,596,0.2076475322246551,0.2,0.1623931623931623
AtrialFibrillation,5,20.34514587186277,558,0.2418414410203695,0.2666666666666666,0.2669552669552669
AtrialFibrillation,6,23.80508954450488,644,0.2415656354278326,0.2666666666666666,0.2777777777777778
AtrialFibrillation,7,21.32305710017681,586,0.4510524403303861,0.1333333333333333,0.1118881118881118
AtrialFibrillation,8,22.11140831746161,610,0.1964843031018972,0.2,0.2113997113997114
AtrialFibrillation,9,22.44854563847184,615,0.2392445784062147,0.2,0.1623931623931623
AtrialFibrillation,10,20.35586760751903,526,0.2383068911731243,0.2,0.1581196581196581
AtrialFibrillation,11,22.405449429526925,593,0.240184623748064,0.2,0.1666666666666666
AtrialFibrillation,12,23.606596279889345,642,0.2472201734781265,0.2666666666666666,0.2777777777777778
AtrialFibrillation,13,24.12128546461463,666,0.2378263268619775,0.2,0.2113997113997114
AtrialFibrillation,14,20.97738960571587,584,0.2399970535188913,0.1333333333333333,0.1118881118881118
AtrialFibrillation,15,21.74452394992113,596,0.2392408363521099,0.1333333333333333,0.1118881118881118
AtrialFibrillation,16,21.758619152009487,604,0.2373535390943288,0.2,0.2113997113997114
AtrialFibrillation,17,24.47673887386918,669,0.2189046442508697,0.2,0.2113997113997114
AtrialFibrillation,18,22.54625054821372,645,0.2351410146802663,0.2,0.1581196581196581
AtrialFibrillation,19,24.860418912023302,683,0.2463598139584064,0.1333333333333333,0.1118881118881118
