Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,32.246342742815614,618,0.477848932147026,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,1,31.13181575015188,609,0.2977538295090198,0.98,0.9799652173913046
ArticularyWordRecognition,2,34.15053702890873,683,0.2971343714743852,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,33.19010446406901,627,0.3172995112836361,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,4,32.425612514838576,643,0.2974879089742899,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,31.375042755156755,610,0.4767323862761259,0.9833333333333332,0.9833101449275362
ArticularyWordRecognition,6,35.239495458081365,714,0.2973874285817146,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,33.369455033913255,661,0.3096221070736646,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,35.85647302865982,723,0.3084844425320625,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,32.12107473611832,639,0.2944439891725778,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,31.75015255063772,614,0.4895421806722879,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.81228452548385,675,0.3082957193255424,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,12,25.80763383768499,498,0.3037730939686298,0.9766666666666668,0.9764737812911728
ArticularyWordRecognition,13,30.260431740432978,608,0.6840113643556833,0.99,0.9899826086956522
ArticularyWordRecognition,14,36.09981605038047,732,0.3142267689108848,0.9833333333333332,0.9829305303392264
ArticularyWordRecognition,15,32.7297984585166,649,0.3083821926265955,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,16,32.55305469594896,652,0.2962112240493297,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,30.291378231719136,588,0.3138174246996641,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,33.070061245933175,659,0.3095832783728838,0.9833333333333332,0.9831462450592888
ArticularyWordRecognition,19,32.25081913731992,625,0.3065451681613922,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,22.097815077751875,588,0.2613282315433025,0.1333333333333333,0.1111111111111111
AtrialFibrillation,1,23.87104400992393,611,0.2906671594828367,0.2,0.1581196581196581
AtrialFibrillation,2,21.795418448746204,586,0.2794854287058115,0.2,0.1581196581196581
AtrialFibrillation,3,21.94814357161522,592,0.271088408306241,0.2,0.1581196581196581
AtrialFibrillation,4,21.55226504802704,556,0.2779215425252914,0.2,0.1558441558441558
AtrialFibrillation,5,20.77776251919568,548,0.2607085276395082,0.1333333333333333,0.1068376068376068
AtrialFibrillation,6,20.53156191855669,551,0.2775077484548092,0.2,0.1558441558441558
AtrialFibrillation,7,20.945216562598944,573,0.272489383816719,0.2,0.1558441558441558
AtrialFibrillation,8,23.52480555698276,657,0.23811836540699,0.2,0.1581196581196581
AtrialFibrillation,9,23.035660453140736,626,0.2372080497443676,0.2,0.1581196581196581
AtrialFibrillation,10,23.7312590032816,617,0.2676770631223917,0.2,0.1558441558441558
AtrialFibrillation,11,22.089306635782123,562,0.2840481083840132,0.2,0.1581196581196581
AtrialFibrillation,12,25.277210699394345,653,0.278479766100645,0.2,0.1558441558441558
AtrialFibrillation,13,22.758329674601555,616,0.2719794102013111,0.2,0.1558441558441558
AtrialFibrillation,14,19.88830791786313,521,0.2901289295405149,0.2,0.1558441558441558
AtrialFibrillation,15,22.54609448648989,594,0.2766909897327423,0.1333333333333333,0.1111111111111111
AtrialFibrillation,16,24.049510752782226,663,0.2906530573964119,0.2,0.2113997113997114
AtrialFibrillation,17,23.88512285985053,606,0.2665754351764917,0.2,0.1581196581196581
AtrialFibrillation,18,21.286872811615467,556,0.274619996547699,0.2,0.1581196581196581
AtrialFibrillation,19,24.980593310669065,653,0.2756676059216261,0.1333333333333333,0.1111111111111111
BasicMotions,0,21.53076914511621,556,0.4377252720296383,1.0,1.0
BasicMotions,1,19.110814038664103,516,0.2651215530931949,1.0,1.0
BasicMotions,2,17.914057042449713,498,0.2674212325364351,1.0,1.0
BasicMotions,3,19.96357554942369,547,0.5965204909443855,1.0,1.0
BasicMotions,4,19.007109690457582,517,0.2926084045320749,1.0,1.0
BasicMotions,5,21.44487794674933,564,0.2858449332416057,1.0,1.0
BasicMotions,6,19.71498103439808,535,0.2643224596977234,1.0,1.0
BasicMotions,7,17.69975835084915,482,0.2644068356603384,1.0,1.0
BasicMotions,8,20.93651667796076,572,0.2621849626302719,1.0,1.0
BasicMotions,9,18.957609079778194,529,0.2638074140995741,1.0,1.0
BasicMotions,10,21.11839702166617,554,0.420540127903223,1.0,1.0
BasicMotions,11,21.81087435223162,569,0.2887270357459783,1.0,1.0
BasicMotions,12,20.90991288982332,559,0.2809921912848949,1.0,1.0
BasicMotions,13,21.76124965585768,596,0.2888680510222912,1.0,1.0
BasicMotions,14,19.90743248909712,531,0.2770668528974056,1.0,1.0
BasicMotions,15,22.617920940741897,589,0.2760337516665458,1.0,1.0
BasicMotions,16,19.009010711684823,516,0.2765955105423927,1.0,1.0
BasicMotions,17,19.96821545995772,532,0.2776864916086197,1.0,1.0
BasicMotions,18,22.73626085743308,609,0.2656437773257494,1.0,1.0
BasicMotions,19,20.22557757981121,523,0.2920634150505066,1.0,1.0
CharacterTrajectories,0,95.23803876154123,507,0.3925487864762544,0.9958217270194986,0.9958095611749314
