Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,42.167408514767885,741,0.5853847600519657,0.9766666666666667,0.9761407867494825
ArticularyWordRecognition,1,34.91739117912948,679,0.2762106955051422,0.9833333333333333,0.9832751190838148
ArticularyWordRecognition,2,33.24790626205504,645,0.27294365875422955,0.9866666666666667,0.9866550724637682
ArticularyWordRecognition,3,34.86453796736896,676,0.2745915539562702,0.98,0.9798129117259553
ArticularyWordRecognition,4,33.33689738251269,643,0.27353312261402607,0.9866666666666667,0.9865101449275361
ArticularyWordRecognition,5,32.69812795892358,626,0.27435339614748955,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,6,32.23165428079665,625,0.2745768651366234,0.99,0.9899826086956522
ArticularyWordRecognition,7,36.47502507828176,714,0.2751424163579941,0.9866666666666667,0.9866550724637682
ArticularyWordRecognition,8,31.611136803403497,604,0.27921235747635365,0.9833333333333333,0.9831359886490322
ArticularyWordRecognition,9,35.46268102712929,696,0.2758205570280552,0.99,0.9899826086956522
ArticularyWordRecognition,10,38.7950423527509,776,0.2750587612390518,0.9866666666666667,0.986649275362319
ArticularyWordRecognition,11,34.31446275860071,675,0.27748100459575653,0.98,0.9797778858822338
ArticularyWordRecognition,12,36.8342070877552,722,0.2733370717614889,0.9866666666666667,0.9866550724637682
ArticularyWordRecognition,13,31.616824127733707,608,0.2733777929097414,0.9866666666666667,0.986649275362319
ArticularyWordRecognition,14,32.83279382623732,634,0.27637577429413795,0.9866666666666667,0.9866434782608697
ArticularyWordRecognition,15,33.54398418031633,657,0.2768536936491728,0.9866666666666667,0.9866434782608695
ArticularyWordRecognition,16,33.54595508053899,652,0.273131288588047,0.9866666666666667,0.9864911725955204
ArticularyWordRecognition,17,35.177555710077286,694,0.2747039869427681,0.9866666666666667,0.986649275362319
ArticularyWordRecognition,18,34.0927951708436,659,0.5154369343072176,0.9866666666666667,0.9866550724637682
ArticularyWordRecognition,19,32.525384886190295,626,0.28310239128768444,0.9866666666666667,0.986649275362319
AtrialFibrillation,0,27.859846837818623,640,0.2518379669636488,0.2,0.20555555555555555
AtrialFibrillation,1,26.694512076675892,608,0.24996915645897388,0.2,0.16317016317016317
AtrialFibrillation,2,27.924330411478877,644,0.25633786246180534,0.2,0.16317016317016317
AtrialFibrillation,3,26.07755763269961,602,0.24775082059204578,0.2,0.1619047619047619
AtrialFibrillation,4,26.927874255925417,632,0.2501177806407213,0.13333333333333333,0.11616161616161615
AtrialFibrillation,5,27.001565344631672,622,0.24704880453646183,0.2,0.16317016317016317
AtrialFibrillation,6,29.55748661607504,686,0.25592175126075745,0.26666666666666666,0.22377622377622378
AtrialFibrillation,7,27.288491163402796,634,0.2478834167122841,0.2,0.16317016317016317
AtrialFibrillation,8,30.303895477205515,699,0.2494521141052246,0.13333333333333333,0.11188811188811189
AtrialFibrillation,9,31.993939895182848,735,0.26196305453777313,0.2,0.17171717171717168
AtrialFibrillation,10,25.72568570636213,593,0.25284323655068874,0.2,0.1619047619047619
AtrialFibrillation,11,26.021331444382668,602,0.24824734777212143,0.2,0.17171717171717168
AtrialFibrillation,12,31.775560515001416,737,0.25682308152318,0.2,0.1619047619047619
AtrialFibrillation,13,28.75890838727355,654,0.2584761455655098,0.2,0.16666666666666666
AtrialFibrillation,14,28.56861550733447,662,0.2478157803416252,0.2,0.16317016317016317
AtrialFibrillation,15,29.058287866413593,671,0.24641247279942036,0.13333333333333333,0.1111111111111111
AtrialFibrillation,16,30.12768598087132,686,0.2674536406993866,0.2,0.1693121693121693
AtrialFibrillation,17,30.77104395069182,690,0.2559451647102833,0.13333333333333333,0.12121212121212119
AtrialFibrillation,18,27.89161062054336,645,0.24647890590131283,0.2,0.1722222222222222
AtrialFibrillation,19,28.49886435456574,664,0.25230932235717773,0.2,0.16923076923076924
BasicMotions,0,23.888391103595495,538,0.42245315946638584,1.0,1.0
BasicMotions,1,25.46710629761219,566,0.25439307652413845,1.0,1.0
BasicMotions,2,22.74107896350324,526,0.25150503031909466,1.0,1.0
BasicMotions,3,26.356685385107994,609,0.25177429243922234,1.0,1.0
BasicMotions,4,23.507231486961246,540,0.26025535725057125,1.0,1.0
BasicMotions,5,24.97501776367426,568,0.25083961337804794,1.0,1.0
BasicMotions,6,26.487302254885435,614,0.2506141923367977,1.0,1.0
BasicMotions,7,20.76678504049778,467,0.26721493154764175,1.0,1.0
BasicMotions,8,25.08997156098485,576,0.2548941448330879,1.0,1.0
BasicMotions,9,26.035879338160157,589,0.2507999297231436,1.0,1.0
BasicMotions,10,26.9019022770226,622,0.25632239133119583,1.0,1.0
BasicMotions,11,21.85215867124498,492,0.26123872958123684,1.0,1.0
BasicMotions,12,23.543223943561316,536,0.25399249233305454,1.0,1.0
BasicMotions,13,22.438885578885674,507,0.25292253866791725,1.0,1.0
BasicMotions,14,22.548005934804678,508,0.2753957714885473,1.0,1.0
BasicMotions,15,23.426840303465724,536,0.2582002691924572,1.0,1.0
BasicMotions,16,24.235084608197212,552,0.251257698982954,1.0,1.0
BasicMotions,17,25.9970309920609,601,0.25760489515960217,1.0,1.0
BasicMotions,18,24.10336223244667,542,0.26482478342950344,1.0,1.0
BasicMotions,19,23.798679808154702,550,0.25429503805935383,1.0,1.0
Cricket,0,43.04666053503752,817,0.3393460065126419,0.9861111111111112,0.9860139860139859
Cricket,1,47.268152836710215,886,0.29329329542815685,0.9861111111111112,0.9860139860139859
Cricket,2,39.83450726419687,730,0.2744799293577671,0.9861111111111112,0.9860139860139859
Cricket,3,45.48722627386451,861,0.26285718381404877,0.9861111111111112,0.9860139860139859
Cricket,4,41.49925039894879,771,0.26022363267838955,0.9861111111111112,0.9860139860139859
Cricket,5,38.380921714007854,699,0.2758171632885933,1.0,1.0
Cricket,6,39.740095783025026,738,0.2688755728304386,0.9861111111111112,0.9860139860139859
Cricket,7,41.898769441992044,777,0.26337513513863087,0.9861111111111112,0.9860139860139859
Cricket,8,40.59926904551685,753,0.26014705933630466,1.0,1.0
Cricket,9,41.85126258991659,773,0.27741807140409946,0.9861111111111112,0.9860139860139859
Cricket,10,41.17470317147672,759,0.26314873807132244,0.9861111111111112,0.9860139860139859
Cricket,11,42.04742081090808,773,0.25951213762164116,0.9861111111111112,0.9860139860139859
Cricket,12,41.38656740821898,774,0.282886216416955,0.9861111111111112,0.9860139860139859
Cricket,13,42.27569436095655,790,0.26761097460985184,0.9861111111111112,0.9860139860139859
Cricket,14,43.83065674081445,810,0.25908453948795795,0.9861111111111112,0.9860139860139859
Cricket,15,41.49921813607216,765,0.2596388850361109,0.9861111111111112,0.9860139860139859
Cricket,16,41.102300042286515,752,0.2729207966476679,0.9861111111111112,0.9860139860139859
Cricket,17,42.20148595236242,778,0.2654549479484558,1.0,1.0
Cricket,18,39.77519950084388,730,0.2594664916396141,0.9861111111111112,0.9860139860139859
Cricket,19,36.25130230560899,661,0.260487575083971,0.9722222222222222,0.9720279720279721
DuckDuckGeese,0,30.04279739782214,511,0.46519240364432335,0.58,0.5753898635477583
DuckDuckGeese,1,32.024537241086364,550,0.3783806134015322,0.56,0.5574901086410038
DuckDuckGeese,2,36.31360117346048,637,0.3716380950063467,0.5,0.5120545609548166
DuckDuckGeese,3,31.47063452191651,536,0.3874408472329378,0.58,0.5836827362523956
DuckDuckGeese,4,35.27595018967986,605,0.3787042163312435,0.58,0.5810768751945222
DuckDuckGeese,5,34.271762965247035,598,0.3801626991480589,0.58,0.5819237749546279
DuckDuckGeese,6,33.310204757377505,582,0.37130328454077244,0.68,0.6855373728438744
DuckDuckGeese,7,32.44549690373242,555,0.3813123106956482,0.52,0.5309292015174367
DuckDuckGeese,8,29.583308458328247,512,0.3766336068511009,0.62,0.6203691733103498
DuckDuckGeese,9,32.65243172086775,572,0.3734755553305149,0.62,0.6243414537532184
DuckDuckGeese,10,36.917127875611186,633,0.38940659165382385,0.58,0.5805506040800158
DuckDuckGeese,11,34.24747259914875,595,0.4004709217697382,0.58,0.57084216952638
DuckDuckGeese,12,31.98922235146165,561,0.3741721585392952,0.58,0.5882228452661888
DuckDuckGeese,13,34.3578160982579,601,0.3768915794789791,0.6,0.6001244942421412
DuckDuckGeese,14,34.73528600297868,598,0.4016858283430338,0.6,0.6032446311858076
DuckDuckGeese,15,33.18141637556255,575,0.38099388405680656,0.6,0.5999778486620592
DuckDuckGeese,16,32.91597415879369,579,0.37201928347349167,0.54,0.5433456474377191
DuckDuckGeese,17,29.920384442433715,513,0.40869210101664066,0.62,0.6200974450386214
DuckDuckGeese,18,34.89923286624253,609,0.38217563927173615,0.58,0.5824017056215198
DuckDuckGeese,19,32.88705313578248,577,0.3783400245010853,0.58,0.5888467214842926
ERing,0,28.86562474258244,660,0.42062762565910816,0.8888888888888888,0.8881482431046371
ERing,1,26.10899542272091,596,0.2955530993640423,0.8777777777777778,0.8774119039775389
ERing,2,26.273182027041912,618,0.2786071617156267,0.8703703703703703,0.8696387918463265
ERing,3,27.583553075790405,650,0.2723475471138954,0.8851851851851852,0.8840374015103117
ERing,4,24.60992202349007,575,0.2694655582308769,0.8666666666666667,0.8653304503296826
ERing,5,29.428017538040876,692,0.2905948832631111,0.8703703703703703,0.8698724837022709
ERing,6,26.416513400152326,623,0.2761435769498348,0.8925925925925926,0.8920323821059115
ERing,7,24.96279172040522,593,0.2705607898533344,0.8814814814814815,0.8807952274477042
ERing,8,25.29436900280416,592,0.300008837133646,0.8703703703703703,0.8699425546220722
ERing,9,25.017475210130215,579,0.2780155558139086,0.8703703703703703,0.870791762976241
ERing,10,28.269155997782946,662,0.27808550372719765,0.8777777777777778,0.8780414302140127
ERing,11,25.1022694632411,573,0.2717863954603672,0.8888888888888888,0.8874838603568753
ERing,12,27.268393931910396,625,0.2915895264595747,0.8740740740740741,0.8741499978318179
ERing,13,28.61603432521224,664,0.27668678387999535,0.8777777777777778,0.8772353788682322
ERing,14,26.81660969182849,623,0.2800828740000725,0.8592592592592593,0.8570921700218211
ERing,15,25.788845766335726,589,0.30667482130229473,0.8925925925925926,0.8912510680250564
ERing,16,27.682606894522905,643,0.28368064388632774,0.8851851851851852,0.8848946290347759
ERing,17,26.77311572432518,605,0.2804323900490999,0.8888888888888888,0.8881064734211314
ERing,18,25.300609104335308,582,0.2717747148126364,0.8740740740740741,0.8736707133446263
ERing,19,25.411808162927628,575,0.29426988400518894,0.8740740740740741,0.8732867735434057
EigenWorms,0,700.3011178728193,1036,0.7315328866243362,0.916030534351145,0.9173815500922858
EigenWorms,1,525.064293531701,775,0.41126205958426,0.9389312977099237,0.9404229988094404
EigenWorms,2,339.054187271744,498,0.3934310656040907,0.9465648854961832,0.9478012980276974
EigenWorms,3,665.1848423033953,983,0.42266373336315155,0.9389312977099237,0.9395565784878761
EigenWorms,4,752.6110872458667,1112,0.39903544820845127,0.9236641221374046,0.9249304921060645
EigenWorms,5,683.3465821035206,1010,0.406735572963953,0.9389312977099237,0.9395565784878761
EigenWorms,6,663.3990986067802,977,0.7810670007020235,0.9465648854961832,0.9478012980276974
EigenWorms,7,639.639065856114,944,0.422319445759058,0.9465648854961832,0.9478012980276974
EigenWorms,8,776.9593655355275,1147,0.41253606230020523,0.9465648854961832,0.9478012980276974
EigenWorms,9,959.3867813479155,1412,0.721396591514349,0.9465648854961832,0.9478012980276974
EigenWorms,10,778.5540002901107,1148,0.4020231533795595,0.9312977099236641,0.9323087913243217
EigenWorms,11,865.3011719267815,1276,0.4041101969778538,0.9389312977099237,0.9404229988094404
EigenWorms,12,467.46540282294154,688,0.3884401172399521,0.9236641221374046,0.9257010795073684
EigenWorms,13,445.6701361387968,656,0.3781176321208477,0.9236641221374046,0.9249304921060645
EigenWorms,14,309.60990603268147,455,0.39807584695518017,0.9389312977099237,0.9404229988094404
EigenWorms,15,610.4796134270728,900,0.39116092026233673,0.9465648854961832,0.9478012980276974
EigenWorms,16,915.3322027046233,1353,0.5270050428807735,0.9236641221374046,0.9249304921060645
EigenWorms,17,363.4473269265145,534,0.3743778485804796,0.9236641221374046,0.9249304921060645
EigenWorms,18,841.7569582015276,1245,0.48454699479043484,0.9236641221374046,0.9249602333571799
EigenWorms,19,537.5860156752169,792,0.36746060103178024,0.9465648854961832,0.9478012980276974
Epilepsy,0,14.46547431498766,465,0.5119103323668242,0.9637681159420289,0.9637392746412864
Epilepsy,1,18.277115324512124,618,0.2561142314225435,0.9782608695652174,0.9782435647847717
Epilepsy,2,23.84941925853491,839,0.25366388261318207,0.9782608695652174,0.9782435647847717
Epilepsy,3,27.139708779752254,962,0.2564581446349621,0.9782608695652174,0.9782435647847717
Epilepsy,4,22.594840984791517,792,0.4812373276799917,0.9710144927536232,0.9709567066546472
Epilepsy,5,23.210133148357272,817,0.2592809218913317,0.9782608695652174,0.9781826868783391
Epilepsy,6,18.373542238026857,638,0.2561641950160265,0.9637681159420289,0.9637392746412864
Epilepsy,7,14.088316347450018,476,0.254010409116745,0.9710144927536232,0.9709567066546472
Epilepsy,8,19.79580724798143,688,0.25714186392724514,0.9782608695652174,0.9782435647847717
Epilepsy,9,23.799452640116215,842,0.25492377020418644,0.9782608695652174,0.9782435647847717
Epilepsy,10,25.07216209731996,918,0.2554976250976324,0.9782608695652174,0.9782435647847717
Epilepsy,11,19.800809418782592,691,0.259279478341341,0.9710144927536232,0.9709567066546472
Epilepsy,12,18.814233262091875,648,0.25717123970389366,0.9710144927536232,0.9709567066546472
Epilepsy,13,30.10839057713747,1089,0.256708774715662,0.9782608695652174,0.9781826868783391
Epilepsy,14,17.829407636076212,617,0.2588232569396496,0.9855072463768116,0.9855072463768116
Epilepsy,15,14.935154531151056,494,0.4929114356637001,0.9710144927536232,0.9707796424688798
Epilepsy,16,21.257292116060853,751,0.2573014535009861,0.9710144927536232,0.9709567066546472
Epilepsy,17,23.041880631819367,840,0.26465781405568123,0.9782608695652174,0.9781826868783391
Epilepsy,18,21.79386417940259,773,0.25832584500312805,0.9710144927536232,0.9710144927536232
Epilepsy,19,20.262111503630877,702,0.26122680865228176,0.9637681159420289,0.9637392746412864
EthanolConcentration,0,215.17466095276177,1413,0.3908400945365429,0.2965779467680608,0.2961718262300664
EthanolConcentration,1,176.6142247300595,1155,0.30792971700429916,0.25475285171102663,0.25631685948942856
EthanolConcentration,2,220.90702848881483,1450,0.2998739629983902,0.28517110266159695,0.2817753402432554
EthanolConcentration,3,229.36470427177846,1500,0.30295652337372303,0.2737642585551331,0.2729955902191455
EthanolConcentration,4,203.36750649102032,1331,0.30387661792337894,0.27756653992395436,0.27952370663852644
EthanolConcentration,5,191.4222203772515,1252,0.30641765519976616,0.27756653992395436,0.27418864664581505
EthanolConcentration,6,173.65031542815268,1133,0.29879731498658657,0.23193916349809887,0.23277757494409873
EthanolConcentration,7,217.20725892297924,1419,0.30348590575158596,0.2661596958174905,0.26635638861819905
EthanolConcentration,8,194.5605442803353,1272,0.3013993799686432,0.2509505703422053,0.25165197929174393
EthanolConcentration,9,174.767623918131,1136,0.30695798993110657,0.28517110266159695,0.28622447736777906
EthanolConcentration,10,223.4554094672203,1459,0.31242317892611027,0.27756653992395436,0.2720745219134484
EthanolConcentration,11,140.52799147553742,917,0.3086452800780535,0.2737642585551331,0.27639623541052943
EthanolConcentration,12,157.63535781018436,1027,0.30811542831361294,0.27756653992395436,0.2750384391339608
EthanolConcentration,13,169.74133384227753,1110,0.2992905080318451,0.2623574144486692,0.25915521191746776
EthanolConcentration,14,216.76385412178934,1416,0.31311291828751564,0.27756653992395436,0.27554149200191014
EthanolConcentration,15,186.1317429523915,1214,0.3068581521511078,0.2661596958174905,0.26561695068341035
EthanolConcentration,16,190.03659283183515,1213,0.4479888714849949,0.28517110266159695,0.2826179757988345
EthanolConcentration,17,162.49424094334245,1049,0.30764047242701054,0.2737642585551331,0.2707672333231083
EthanolConcentration,18,167.66541537083685,1083,0.3321444559842348,0.2661596958174905,0.2667130660992244
EthanolConcentration,19,226.97247208841145,1467,0.308126712217927,0.27756653992395436,0.2758665047249877
FaceDetection,0,353.0405212249607,466,0.8857876360416412,0.641316685584563,0.6413156458005531
FaceDetection,1,470.7872294783592,617,0.7625656574964523,0.6478433598183881,0.6477807075129142
FaceDetection,2,295.1289323400706,392,0.7700274288654327,0.6518161180476731,0.6517593331674795
FaceDetection,3,459.5325485114008,600,0.7736290078610182,0.6532349602724177,0.6531057958013693
FaceDetection,4,412.1227762904018,538,0.7337558232247829,0.6515323496027242,0.6508481359082928
FaceDetection,5,516.829575907439,681,0.7211844716221094,0.6467082860385925,0.6465121945147344
FaceDetection,6,453.0063756965101,595,0.7814776599407196,0.6586265607264472,0.6581685035440035
FaceDetection,7,463.0655887797475,608,0.7853711023926735,0.6506810442678774,0.6501827651522023
FaceDetection,8,261.2979738526046,340,0.7982703931629658,0.6526674233825198,0.6526454944647164
FaceDetection,9,500.52030109241605,659,0.7210199516266584,0.6512485811577753,0.6504446524076041
FaceDetection,10,448.96340206824243,591,0.7816483899950981,0.656072644721907,0.6560636714410369
FaceDetection,11,294.18558965437114,386,0.7908594459295273,0.6418842224744609,0.6407956100263793
FaceDetection,12,214.56430030427873,279,0.8658328354358673,0.6433030646992054,0.6431740811869612
FaceDetection,13,378.8805950395763,498,0.7499029543250799,0.6438706015891033,0.6427541810762674
FaceDetection,14,596.9120731558651,786,0.7721866983920336,0.6469920544835415,0.6468446336021612
FaceDetection,15,411.2155600171536,537,0.7670941073447466,0.6393303064699205,0.6393302774271605
FaceDetection,16,331.4382770564407,429,0.838520348072052,0.6407491486946651,0.6406518068318123
FaceDetection,17,495.06252245791256,649,0.8272698204964399,0.6512485811577753,0.6512179960405837
FaceDetection,18,274.7947826869786,356,0.7808318603783846,0.6458569807037458,0.6455600389807621
FaceDetection,19,514.2766807489097,678,0.7938446458429098,0.6566401816118048,0.6554165202631609
FingerMovements,0,23.865672886371613,456,0.39214896224439144,0.58,0.58
FingerMovements,1,29.077287163585424,589,0.2815590240061283,0.55,0.5493233082706768
FingerMovements,2,36.84164419770241,770,0.31790610030293465,0.54,0.5396318527410964
FingerMovements,3,31.614112487062812,663,0.2862096354365349,0.59,0.5898768892002804
FingerMovements,4,29.57717795483768,616,0.2730240188539028,0.56,0.5596474358974359
FingerMovements,5,24.088039305061102,476,0.2777930870652199,0.57,0.5698709870987099
FingerMovements,6,22.09091968089342,426,0.27770500630140305,0.55,0.5498649864986498
FingerMovements,7,21.193342903628945,416,0.280589347705245,0.55,0.5493243919527575
FingerMovements,8,18.4189313929528,356,0.2854209169745445,0.56,0.5596478591436574
FingerMovements,9,36.61438965983689,766,0.31720236130058765,0.53,0.53004700470047
FingerMovements,10,21.193231945857406,405,0.31954496912658215,0.55,0.5493243919527575
FingerMovements,11,25.76221906580031,519,0.2802413385361433,0.57,0.5693544189770795
FingerMovements,12,26.34527546353638,534,0.2761744484305382,0.53,0.5292943649284356
FingerMovements,13,32.764342391863465,668,0.2938810270279646,0.55,0.5498648783905514
FingerMovements,14,27.56906183436513,559,0.28840536810457706,0.54,0.5396314102564104
FingerMovements,15,21.663586784154177,419,0.2724711634218693,0.55,0.5493243919527575
FingerMovements,16,36.58347605727613,766,0.28859691321849823,0.52,0.52
FingerMovements,17,25.16118942014873,498,0.27387524396181107,0.56,0.56
FingerMovements,18,26.150945177301764,531,0.2822490930557251,0.51,0.5098528675808227
FingerMovements,19,24.57188923470676,514,0.29042945615947247,0.58,0.5796634615384615
HandMovementDirection,0,20.565141571685672,446,0.34534543193876743,0.24324324324324326,0.25256501680203053
HandMovementDirection,1,23.88495846092701,573,0.27832880802452564,0.25675675675675674,0.27724244969524275
HandMovementDirection,2,24.25130427442491,575,0.28279127553105354,0.28378378378378377,0.28912474680050004
