Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,39.0823451243341,618,0.4132471960037946,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,1,35.89785488322377,609,0.2512882146984339,0.98,0.9799652173913046
ArticularyWordRecognition,2,40.25857448019087,683,0.2328540608286857,0.98,0.9801101449275362
ArticularyWordRecognition,3,37.19847841002047,627,0.2290476597845554,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,4,37.87262712046504,643,0.2187697198241949,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,30.61682190932333,610,0.2961692921817302,0.9833333333333332,0.9833101449275362
ArticularyWordRecognition,6,34.9133716635406,714,0.3102448675781488,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,32.8915702868253,661,0.3052746448665857,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,35.361741008237004,723,0.2962376791983843,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,31.68873325921595,639,0.2948392126709223,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,30.713258929550648,614,0.3103105314075947,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,33.33243562467396,675,0.2971436623483896,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,12,26.26127859763801,498,0.3130655270069837,0.9766666666666668,0.9765968582142496
ArticularyWordRecognition,13,37.57873073965311,771,0.3077889792621135,0.99,0.9899884057971016
ArticularyWordRecognition,14,30.441426487639543,599,0.3088716045022011,0.9833333333333332,0.9829305303392264
ArticularyWordRecognition,15,32.613336354494095,649,0.3057977650314569,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,16,32.90864536724985,652,0.3121416699141264,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,29.54363590106368,588,0.3082713335752487,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,32.81719629280269,659,0.3099976498633623,0.9833333333333332,0.9831462450592888
ArticularyWordRecognition,19,31.7634626608342,625,0.2979081757366657,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,30.25023410655558,634,0.2213679850101471,0.2,0.1558441558441558
AtrialFibrillation,1,27.14177305623889,617,0.2239186652004718,0.2,0.1581196581196581
AtrialFibrillation,2,27.161324482411143,624,0.2120981551706791,0.2,0.1623931623931623
AtrialFibrillation,3,23.856565091758966,591,0.2090876027941703,0.2,0.1581196581196581
AtrialFibrillation,4,22.91616916656494,551,0.2060106452554464,0.2,0.1558441558441558
AtrialFibrillation,5,22.196585634723306,582,0.278629969805479,0.2,0.1581196581196581
AtrialFibrillation,6,20.53284593485296,568,0.2660279385745525,0.2,0.1558441558441558
AtrialFibrillation,7,20.80697678774596,553,0.2683220040053129,0.2,0.1558441558441558
AtrialFibrillation,8,23.754795245826244,633,0.290731817483902,0.2,0.1581196581196581
AtrialFibrillation,9,23.31915831752121,635,0.2759164497256279,0.2,0.1581196581196581
AtrialFibrillation,10,21.54479983076453,562,0.2784617878496647,0.2,0.1558441558441558
AtrialFibrillation,11,19.456233089789748,513,0.277862960472703,0.2,0.1558441558441558
AtrialFibrillation,12,24.680258905515075,663,0.2797331158071756,0.2,0.1558441558441558
AtrialFibrillation,13,24.957069320604205,676,0.2702873516827822,0.2,0.1558441558441558
AtrialFibrillation,14,20.572261314839125,543,0.2826723717153072,0.2,0.1581196581196581
AtrialFibrillation,15,23.985083140432835,629,0.2730314247310161,0.2,0.1558441558441558
AtrialFibrillation,16,23.371226459741592,621,0.2884110324084759,0.2,0.1581196581196581
AtrialFibrillation,17,23.0820070207119,597,0.2762075699865818,0.2,0.1581196581196581
AtrialFibrillation,18,22.95672455430031,631,0.2465521860867738,0.2,0.1581196581196581
AtrialFibrillation,19,24.85201978869736,655,0.2744444552809,0.2,0.1581196581196581
BasicMotions,0,24.805934317409992,548,0.338704964146018,1.0,1.0
BasicMotions,1,21.04660003073513,505,0.1908249650150537,1.0,1.0
BasicMotions,2,21.08878727257252,532,0.2070864085108041,1.0,1.0
BasicMotions,3,22.21791333332657,535,0.1576778050512075,1.0,1.0
BasicMotions,4,23.76939977519214,571,0.1572702992707491,1.0,1.0
BasicMotions,5,17.970161816105247,497,0.273246293887496,1.0,1.0
BasicMotions,6,21.564280020073056,597,0.2744359206408262,1.0,1.0
BasicMotions,7,22.44840270839632,469,0.4431091714650392,1.0,1.0
BasicMotions,8,20.99977257661521,570,0.2394464239478111,1.0,1.0
BasicMotions,9,22.73333199135959,610,0.2427652571350336,1.0,1.0
BasicMotions,10,22.58158979006112,605,0.2638065721839666,1.0,1.0
BasicMotions,11,19.74206831492484,519,0.2922216467559337,1.0,1.0
BasicMotions,12,21.35335045680404,581,0.2773094829171896,1.0,1.0
BasicMotions,13,18.576132345944643,496,0.2824109811335802,1.0,1.0
BasicMotions,14,17.78206182271242,480,0.2743624299764633,1.0,1.0
BasicMotions,15,21.331521606072783,564,0.2780815958976745,1.0,1.0
BasicMotions,16,20.11570066027344,547,0.275292681530118,1.0,1.0
BasicMotions,17,20.56024221330881,549,0.2797577902674675,1.0,1.0
BasicMotions,18,22.12531367689371,600,0.2914889566600323,1.0,1.0
BasicMotions,19,19.86059656366706,519,0.2843636404722929,1.0,1.0
CharacterTrajectories,0,126.41204402036963,507,0.6270008366554976,0.9958217270194986,0.99581522063463
CharacterTrajectories,1,121.0069455113262,594,0.7287023980170488,0.9979108635097492,0.997910317205538
CharacterTrajectories,2,98.36136273294689,522,0.3701328318566084,0.9965181058495822,0.9965159470563472
CharacterTrajectories,3,88.46467544138432,465,0.3748636282980442,0.9958217270194986,0.9958220895427068
CharacterTrajectories,4,80.43252766132355,413,0.3681102339178324,0.9972144846796658,0.9972144911615228
CharacterTrajectories,5,74.76400625146925,386,0.6948874928057194,0.9972144846796658,0.9972144911615228
CharacterTrajectories,6,84.08921071141958,442,0.3686655480414629,0.9965181058495822,0.9965171704953542
CharacterTrajectories,7,106.81852675974368,567,0.3756853137165308,0.9958217270194986,0.9958211234730044
CharacterTrajectories,8,92.55711292102932,488,0.3675202243030071,0.9958217270194986,0.9958211234730044
CharacterTrajectories,9,88.52180907689035,475,0.3722848165780306,0.9965181058495822,0.996517786483007
CharacterTrajectories,10,107.2482993118465,571,0.4104063734412193,0.9958217270194986,0.9958209997895936
CharacterTrajectories,11,93.00429232604802,488,0.3972720578312874,0.9958217270194986,0.9958209559232108
CharacterTrajectories,12,100.46215474233033,532,0.4070302136242389,0.9979108635097492,0.9979101935221272
CharacterTrajectories,13,89.33077096566558,467,0.403237672522664,0.9958217270194986,0.995820121012332
CharacterTrajectories,14,96.02084322459996,507,0.4066259898245334,0.9965181058495822,0.9965109129569296
CharacterTrajectories,15,79.619991870597,421,0.3985657766461372,0.9944289693593314,0.9944220018721222
