Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,1,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,2,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,3,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,4,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,5,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,6,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,7,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,8,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,9,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,10,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,11,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,12,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,13,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,14,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,15,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,16,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,17,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,18,0.9733333333333334,0.9733808047025442
ArticularyWordRecognition,19,0.9733333333333334,0.9733808047025442
AtrialFibrillation,0,0.2,0.1111111111111111
AtrialFibrillation,1,0.2,0.1111111111111111
AtrialFibrillation,2,0.2,0.1111111111111111
AtrialFibrillation,3,0.2,0.1111111111111111
AtrialFibrillation,4,0.2,0.1111111111111111
AtrialFibrillation,5,0.2,0.1111111111111111
AtrialFibrillation,6,0.2,0.1111111111111111
AtrialFibrillation,7,0.2,0.1111111111111111
AtrialFibrillation,8,0.2,0.1111111111111111
AtrialFibrillation,9,0.2,0.1111111111111111
AtrialFibrillation,10,0.2,0.1111111111111111
AtrialFibrillation,11,0.2,0.1111111111111111
AtrialFibrillation,12,0.2,0.1111111111111111
AtrialFibrillation,13,0.2,0.1111111111111111
AtrialFibrillation,14,0.2,0.1111111111111111
AtrialFibrillation,15,0.2,0.1111111111111111
AtrialFibrillation,16,0.2,0.1111111111111111
AtrialFibrillation,17,0.2,0.1111111111111111
AtrialFibrillation,18,0.2,0.1111111111111111
AtrialFibrillation,19,0.2,0.1111111111111111
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
Cricket,0,0.8333333333333334,0.8321900321900322
Cricket,1,0.8333333333333334,0.8321900321900322
Cricket,2,0.8333333333333334,0.8321900321900322
Cricket,3,0.8333333333333334,0.8321900321900322
Cricket,4,0.8333333333333334,0.8321900321900322
Cricket,5,0.8333333333333334,0.8321900321900322
Cricket,6,0.8333333333333334,0.8321900321900322
Cricket,7,0.8333333333333334,0.8321900321900322
Cricket,8,0.8333333333333334,0.8321900321900322
Cricket,9,0.8333333333333334,0.8321900321900322
Cricket,10,0.8333333333333334,0.8321900321900322
Cricket,11,0.8333333333333334,0.8321900321900322
Cricket,12,0.8333333333333334,0.8321900321900322
Cricket,13,0.8333333333333334,0.8321900321900322
Cricket,14,0.8333333333333334,0.8321900321900322
Cricket,15,0.8333333333333334,0.8321900321900322
Cricket,16,0.8333333333333334,0.8321900321900322
Cricket,17,0.8333333333333334,0.8321900321900322
Cricket,18,0.8333333333333334,0.8321900321900322
Cricket,19,0.8333333333333334,0.8321900321900322
DuckDuckGeese,0,0.4,0.2850541125541126
DuckDuckGeese,1,0.4,0.2850541125541126
DuckDuckGeese,2,0.4,0.2850541125541126
DuckDuckGeese,3,0.4,0.2850541125541126
DuckDuckGeese,4,0.4,0.2850541125541126
DuckDuckGeese,5,0.4,0.2850541125541126
