Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,1,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,2,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,3,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,4,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,5,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,6,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,7,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,8,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,9,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,10,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,11,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,12,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,13,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,14,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,15,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,16,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,17,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,18,0.9733333333333334,0.9732693219823656
ArticularyWordRecognition,19,0.9733333333333334,0.9732693219823656
AtrialFibrillation,0,0.4666666666666667,0.4696969696969696
AtrialFibrillation,1,0.4666666666666667,0.4696969696969696
AtrialFibrillation,2,0.4666666666666667,0.4696969696969696
AtrialFibrillation,3,0.4666666666666667,0.4696969696969696
AtrialFibrillation,4,0.4666666666666667,0.4696969696969696
AtrialFibrillation,5,0.4666666666666667,0.4696969696969696
AtrialFibrillation,6,0.4666666666666667,0.4696969696969696
AtrialFibrillation,7,0.4666666666666667,0.4696969696969696
AtrialFibrillation,8,0.4666666666666667,0.4696969696969696
AtrialFibrillation,9,0.4666666666666667,0.4696969696969696
AtrialFibrillation,10,0.4666666666666667,0.4696969696969696
AtrialFibrillation,11,0.4666666666666667,0.4696969696969696
AtrialFibrillation,12,0.4666666666666667,0.4696969696969696
AtrialFibrillation,13,0.4666666666666667,0.4696969696969696
AtrialFibrillation,14,0.4666666666666667,0.4696969696969696
AtrialFibrillation,15,0.4666666666666667,0.4696969696969696
AtrialFibrillation,16,0.4666666666666667,0.4696969696969696
AtrialFibrillation,17,0.4666666666666667,0.4696969696969696
AtrialFibrillation,18,0.4666666666666667,0.4696969696969696
AtrialFibrillation,19,0.4666666666666667,0.4696969696969696
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
