Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.4,0.3571428571428571
AtrialFibrillation,1,0.4,0.3571428571428571
AtrialFibrillation,2,0.4,0.3571428571428571
AtrialFibrillation,3,0.4,0.3571428571428571
AtrialFibrillation,4,0.4,0.3571428571428571
AtrialFibrillation,5,0.4,0.3571428571428571
AtrialFibrillation,6,0.4,0.3571428571428571
AtrialFibrillation,7,0.4,0.3571428571428571
AtrialFibrillation,8,0.4,0.3571428571428571
AtrialFibrillation,9,0.4,0.3571428571428571
AtrialFibrillation,10,0.4,0.3571428571428571
AtrialFibrillation,11,0.4,0.3571428571428571
AtrialFibrillation,12,0.4,0.3571428571428571
AtrialFibrillation,13,0.4,0.3571428571428571
AtrialFibrillation,14,0.4,0.3571428571428571
AtrialFibrillation,15,0.4,0.3571428571428571
AtrialFibrillation,16,0.4,0.3571428571428571
AtrialFibrillation,17,0.4,0.3571428571428571
AtrialFibrillation,18,0.4,0.3571428571428571
AtrialFibrillation,19,0.4,0.3571428571428571
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
Cricket,0,0.9027777777777778,0.8979631479631478
Cricket,1,0.9027777777777778,0.8979631479631478
Cricket,2,0.9027777777777778,0.8979631479631478
Cricket,3,0.9027777777777778,0.8979631479631478
Cricket,4,0.9027777777777778,0.8979631479631478
Cricket,5,0.9027777777777778,0.8979631479631478
Cricket,6,0.9027777777777778,0.8979631479631478
Cricket,7,0.9027777777777778,0.8979631479631478
Cricket,8,0.9027777777777778,0.8979631479631478
Cricket,9,0.9027777777777778,0.8979631479631478
Cricket,10,0.9027777777777778,0.8979631479631478
Cricket,11,0.9027777777777778,0.8979631479631478
Cricket,12,0.9027777777777778,0.8979631479631478
Cricket,13,0.9027777777777778,0.8979631479631478
Cricket,14,0.9027777777777778,0.8979631479631478
Cricket,15,0.9027777777777778,0.8979631479631478
Cricket,16,0.9027777777777778,0.8979631479631478
Cricket,17,0.9027777777777778,0.8979631479631478
Cricket,18,0.9027777777777778,0.8979631479631478
Cricket,19,0.9027777777777778,0.8979631479631478
DuckDuckGeese,0,0.4,0.2886780518659076
DuckDuckGeese,1,0.4,0.2886780518659076
DuckDuckGeese,2,0.4,0.2886780518659076
DuckDuckGeese,3,0.4,0.2886780518659076
DuckDuckGeese,4,0.4,0.2886780518659076
DuckDuckGeese,5,0.4,0.2886780518659076
DuckDuckGeese,6,0.4,0.2886780518659076
DuckDuckGeese,7,0.4,0.2886780518659076
DuckDuckGeese,8,0.4,0.2886780518659076
DuckDuckGeese,9,0.4,0.2886780518659076
DuckDuckGeese,10,0.4,0.2886780518659076
DuckDuckGeese,11,0.4,0.2886780518659076
DuckDuckGeese,12,0.4,0.2886780518659076
DuckDuckGeese,13,0.4,0.2886780518659076
DuckDuckGeese,14,0.4,0.2886780518659076
DuckDuckGeese,15,0.4,0.2886780518659076
DuckDuckGeese,16,0.4,0.2886780518659076
DuckDuckGeese,17,0.4,0.2886780518659076
DuckDuckGeese,18,0.4,0.2886780518659076
