Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.2666666666666666,0.2095238095238095
AtrialFibrillation,1,0.2666666666666666,0.2095238095238095
AtrialFibrillation,2,0.2666666666666666,0.2095238095238095
AtrialFibrillation,3,0.2666666666666666,0.2095238095238095
AtrialFibrillation,4,0.2666666666666666,0.2095238095238095
AtrialFibrillation,5,0.2666666666666666,0.2095238095238095
AtrialFibrillation,6,0.2666666666666666,0.2095238095238095
AtrialFibrillation,7,0.2666666666666666,0.2095238095238095
AtrialFibrillation,8,0.2666666666666666,0.2095238095238095
AtrialFibrillation,9,0.2666666666666666,0.2095238095238095
AtrialFibrillation,10,0.2666666666666666,0.2095238095238095
AtrialFibrillation,11,0.2666666666666666,0.2095238095238095
AtrialFibrillation,12,0.2666666666666666,0.2095238095238095
AtrialFibrillation,13,0.2666666666666666,0.2095238095238095
AtrialFibrillation,14,0.2666666666666666,0.2095238095238095
AtrialFibrillation,15,0.2666666666666666,0.2095238095238095
AtrialFibrillation,16,0.2666666666666666,0.2095238095238095
AtrialFibrillation,17,0.2666666666666666,0.2095238095238095
AtrialFibrillation,18,0.2666666666666666,0.2095238095238095
AtrialFibrillation,19,0.2666666666666666,0.2095238095238095
BasicMotions,0,0.975,0.974937343358396
BasicMotions,1,0.975,0.974937343358396
BasicMotions,2,0.975,0.974937343358396
BasicMotions,3,0.975,0.974937343358396
BasicMotions,4,0.975,0.974937343358396
BasicMotions,5,0.975,0.974937343358396
BasicMotions,6,0.975,0.974937343358396
BasicMotions,7,0.975,0.974937343358396
BasicMotions,8,0.975,0.974937343358396
BasicMotions,9,0.975,0.974937343358396
BasicMotions,10,0.975,0.974937343358396
BasicMotions,11,0.975,0.974937343358396
BasicMotions,12,0.975,0.974937343358396
BasicMotions,13,0.975,0.974937343358396
BasicMotions,14,0.975,0.974937343358396
BasicMotions,15,0.975,0.974937343358396
BasicMotions,16,0.975,0.974937343358396
BasicMotions,17,0.975,0.974937343358396
BasicMotions,18,0.975,0.974937343358396
BasicMotions,19,0.975,0.974937343358396
CharacterTrajectories,0,0.9798050139275766,0.9796294388676998
CharacterTrajectories,1,0.9798050139275766,0.9796294388676998
CharacterTrajectories,2,0.9798050139275766,0.9796294388676998
CharacterTrajectories,3,0.9798050139275766,0.9796294388676998
CharacterTrajectories,4,0.9798050139275766,0.9796294388676998
CharacterTrajectories,5,0.9798050139275766,0.9796294388676998
CharacterTrajectories,6,0.9798050139275766,0.9796294388676998
CharacterTrajectories,7,0.9798050139275766,0.9796294388676998
CharacterTrajectories,8,0.9798050139275766,0.9796294388676998
CharacterTrajectories,9,0.9798050139275766,0.9796294388676998
CharacterTrajectories,10,0.9798050139275766,0.9796294388676998
CharacterTrajectories,11,0.9798050139275766,0.9796294388676998
CharacterTrajectories,12,0.9798050139275766,0.9796294388676998
CharacterTrajectories,13,0.9798050139275766,0.9796294388676998
CharacterTrajectories,14,0.9798050139275766,0.9796294388676998
CharacterTrajectories,15,0.9798050139275766,0.9796294388676998
CharacterTrajectories,16,0.9798050139275766,0.9796294388676998
CharacterTrajectories,17,0.9798050139275766,0.9796294388676998
CharacterTrajectories,18,0.9798050139275766,0.9796294388676998
CharacterTrajectories,19,0.9798050139275766,0.9796294388676998
Cricket,0,0.9166666666666666,0.9113497613497612
Cricket,1,0.9166666666666666,0.9113497613497612
Cricket,2,0.9166666666666666,0.9113497613497612
Cricket,3,0.9166666666666666,0.9113497613497612
Cricket,4,0.9166666666666666,0.9113497613497612
Cricket,5,0.9166666666666666,0.9113497613497612
Cricket,6,0.9166666666666666,0.9113497613497612
