Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,1,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,2,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,4,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,5,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,6,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,7,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,8,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,9,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,10,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,11,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,12,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,13,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,14,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,15,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,16,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,17,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,18,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,19,0.9866666666666668,0.9866434782608696
AtrialFibrillation,0,0.2,0.1623931623931623
AtrialFibrillation,1,0.2,0.1623931623931623
AtrialFibrillation,2,0.2,0.1623931623931623
AtrialFibrillation,3,0.2,0.1623931623931623
AtrialFibrillation,4,0.2,0.1623931623931623
AtrialFibrillation,5,0.2,0.1623931623931623
AtrialFibrillation,6,0.2,0.1623931623931623
AtrialFibrillation,7,0.2,0.1623931623931623
AtrialFibrillation,8,0.2,0.1623931623931623
AtrialFibrillation,9,0.2,0.1623931623931623
AtrialFibrillation,10,0.2,0.1623931623931623
AtrialFibrillation,11,0.2,0.1623931623931623
AtrialFibrillation,12,0.2,0.1623931623931623
AtrialFibrillation,13,0.2,0.1623931623931623
AtrialFibrillation,14,0.2,0.1623931623931623
AtrialFibrillation,15,0.2,0.1623931623931623
AtrialFibrillation,16,0.2,0.1623931623931623
AtrialFibrillation,17,0.2,0.1623931623931623
AtrialFibrillation,18,0.2,0.1623931623931623
AtrialFibrillation,19,0.2,0.1623931623931623
BasicMotions,0,0.975,0.974937343358396
BasicMotions,1,0.975,0.974937343358396
BasicMotions,2,0.975,0.974937343358396
BasicMotions,3,0.975,0.974937343358396
BasicMotions,4,0.975,0.974937343358396
BasicMotions,5,0.975,0.974937343358396
BasicMotions,6,0.975,0.974937343358396
BasicMotions,7,0.975,0.974937343358396
BasicMotions,8,0.975,0.974937343358396
BasicMotions,9,0.975,0.974937343358396
BasicMotions,10,0.975,0.974937343358396
BasicMotions,11,0.975,0.974937343358396
BasicMotions,12,0.975,0.974937343358396
BasicMotions,13,0.975,0.974937343358396
BasicMotions,14,0.975,0.974937343358396
BasicMotions,15,0.975,0.974937343358396
BasicMotions,16,0.975,0.974937343358396
BasicMotions,17,0.975,0.974937343358396
BasicMotions,18,0.975,0.974937343358396
BasicMotions,19,0.975,0.974937343358396
Cricket,0,0.9305555555555556,0.9259351759351758
Cricket,1,0.9305555555555556,0.9259351759351758
Cricket,2,0.9305555555555556,0.9259351759351758
Cricket,3,0.9305555555555556,0.9259351759351758
Cricket,4,0.9305555555555556,0.9259351759351758
Cricket,5,0.9305555555555556,0.9259351759351758
Cricket,6,0.9305555555555556,0.9259351759351758
Cricket,7,0.9305555555555556,0.9259351759351758
Cricket,8,0.9305555555555556,0.9259351759351758
Cricket,9,0.9305555555555556,0.9259351759351758
Cricket,10,0.9305555555555556,0.9259351759351758
Cricket,11,0.9305555555555556,0.9259351759351758
Cricket,12,0.9305555555555556,0.9259351759351758
Cricket,13,0.9305555555555556,0.9259351759351758
Cricket,14,0.9305555555555556,0.9259351759351758
Cricket,15,0.9305555555555556,0.9259351759351758
Cricket,16,0.9305555555555556,0.9259351759351758
Cricket,17,0.9305555555555556,0.9259351759351758
Cricket,18,0.9305555555555556,0.9259351759351758
Cricket,19,0.9305555555555556,0.9259351759351758
DuckDuckGeese,0,0.44,0.4381492676121832
DuckDuckGeese,1,0.44,0.4381492676121832
DuckDuckGeese,2,0.44,0.4381492676121832
DuckDuckGeese,3,0.44,0.4381492676121832
DuckDuckGeese,4,0.44,0.4381492676121832
DuckDuckGeese,5,0.44,0.4381492676121832
DuckDuckGeese,6,0.44,0.4381492676121832
DuckDuckGeese,7,0.44,0.4381492676121832
DuckDuckGeese,8,0.44,0.4381492676121832
DuckDuckGeese,9,0.44,0.4381492676121832
DuckDuckGeese,10,0.44,0.4381492676121832
DuckDuckGeese,11,0.44,0.4381492676121832
DuckDuckGeese,12,0.44,0.4381492676121832
DuckDuckGeese,13,0.44,0.4381492676121832
DuckDuckGeese,14,0.44,0.4381492676121832
DuckDuckGeese,15,0.44,0.4381492676121832
DuckDuckGeese,16,0.44,0.4381492676121832
DuckDuckGeese,17,0.44,0.4381492676121832
DuckDuckGeese,18,0.44,0.4381492676121832
DuckDuckGeese,19,0.44,0.4381492676121832
ERing,0,0.9481481481481482,0.9486288147329964
ERing,1,0.9481481481481482,0.9486288147329964
ERing,2,0.9481481481481482,0.9486288147329964
ERing,3,0.9481481481481482,0.9486288147329964
ERing,4,0.9481481481481482,0.9486288147329964
ERing,5,0.9481481481481482,0.9486288147329964
ERing,6,0.9481481481481482,0.9486288147329964
ERing,7,0.9481481481481482,0.9486288147329964
ERing,8,0.9481481481481482,0.9486288147329964
ERing,9,0.9481481481481482,0.9486288147329964
ERing,10,0.9481481481481482,0.9486288147329964
ERing,11,0.9481481481481482,0.9486288147329964
ERing,12,0.9481481481481482,0.9486288147329964
ERing,13,0.9481481481481482,0.9486288147329964
ERing,14,0.9481481481481482,0.9486288147329964
ERing,15,0.9481481481481482,0.9486288147329964
ERing,16,0.9481481481481482,0.9486288147329964
ERing,17,0.9481481481481482,0.9486288147329964
ERing,18,0.9481481481481482,0.9486288147329964
ERing,19,0.9481481481481482,0.9486288147329964
EigenWorms,0,0.8931297709923665,0.8898542678695351
EigenWorms,1,0.8931297709923665,0.8898542678695351
EigenWorms,2,0.8931297709923665,0.8898542678695351
EigenWorms,3,0.8931297709923665,0.8898542678695351
EigenWorms,4,0.8931297709923665,0.8898542678695351
EigenWorms,5,0.8931297709923665,0.8898542678695351
EigenWorms,6,0.8931297709923665,0.8898542678695351
EigenWorms,7,0.8931297709923665,0.8898542678695351
EigenWorms,8,0.8931297709923665,0.8898542678695351
EigenWorms,9,0.8931297709923665,0.8898542678695351
EigenWorms,10,0.8931297709923665,0.8898542678695351
EigenWorms,11,0.8931297709923665,0.8898542678695351
EigenWorms,12,0.8931297709923665,0.8898542678695351
EigenWorms,13,0.8931297709923665,0.8898542678695351
EigenWorms,14,0.8931297709923665,0.8898542678695351
EigenWorms,15,0.8931297709923665,0.8898542678695351
EigenWorms,16,0.8931297709923665,0.8898542678695351
EigenWorms,17,0.8931297709923665,0.8898542678695351
EigenWorms,18,0.8931297709923665,0.8898542678695351
EigenWorms,19,0.8931297709923665,0.8898542678695351
Epilepsy,0,0.9782608695652174,0.9781580337797828
Epilepsy,1,0.9782608695652174,0.9781580337797828
Epilepsy,2,0.9782608695652174,0.9781580337797828
Epilepsy,3,0.9782608695652174,0.9781580337797828
Epilepsy,4,0.9782608695652174,0.9781580337797828
Epilepsy,5,0.9782608695652174,0.9781580337797828
Epilepsy,6,0.9782608695652174,0.9781580337797828
Epilepsy,7,0.9782608695652174,0.9781580337797828
Epilepsy,8,0.9782608695652174,0.9781580337797828
Epilepsy,9,0.9782608695652174,0.9781580337797828
Epilepsy,10,0.9782608695652174,0.9781580337797828
Epilepsy,11,0.9782608695652174,0.9781580337797828
Epilepsy,12,0.9782608695652174,0.9781580337797828
Epilepsy,13,0.9782608695652174,0.9781580337797828
Epilepsy,14,0.9782608695652174,0.9781580337797828
Epilepsy,15,0.9782608695652174,0.9781580337797828
Epilepsy,16,0.9782608695652174,0.9781580337797828
Epilepsy,17,0.9782608695652174,0.9781580337797828
Epilepsy,18,0.9782608695652174,0.9781580337797828
Epilepsy,19,0.9782608695652174,0.9781580337797828
EthanolConcentration,0,0.4068441064638783,0.4033938432823118
EthanolConcentration,1,0.4068441064638783,0.4033938432823118
EthanolConcentration,2,0.4068441064638783,0.4033938432823118
EthanolConcentration,3,0.4068441064638783,0.4033938432823118
EthanolConcentration,4,0.4068441064638783,0.4033938432823118
EthanolConcentration,5,0.4068441064638783,0.4033938432823118
EthanolConcentration,6,0.4068441064638783,0.4033938432823118
EthanolConcentration,7,0.4068441064638783,0.4033938432823118
EthanolConcentration,8,0.4068441064638783,0.4033938432823118
EthanolConcentration,9,0.4068441064638783,0.4033938432823118
EthanolConcentration,10,0.4068441064638783,0.4033938432823118
EthanolConcentration,11,0.4068441064638783,0.4033938432823118
EthanolConcentration,12,0.4068441064638783,0.4033938432823118
EthanolConcentration,13,0.4068441064638783,0.4033938432823118
EthanolConcentration,14,0.4068441064638783,0.4033938432823118
EthanolConcentration,15,0.4068441064638783,0.4033938432823118
EthanolConcentration,16,0.4068441064638783,0.4033938432823118
EthanolConcentration,17,0.4068441064638783,0.4033938432823118
EthanolConcentration,18,0.4068441064638783,0.4033938432823118
EthanolConcentration,19,0.4068441064638783,0.4033938432823118
FaceDetection,0,0.6257094211123723,0.6256905829311132
FaceDetection,1,0.6027241770715096,0.6027209780008432
FaceDetection,2,0.6166288308740068,0.6163841473314664
FaceDetection,3,0.6135073779795687,0.6135012779444662
FaceDetection,4,0.6171963677639046,0.6171704421136381
FaceDetection,5,0.6166288308740068,0.6165606251812628
FaceDetection,6,0.601589103291714,0.6015808901687185
FaceDetection,7,0.5970488081725313,0.5967240721256009
FaceDetection,8,0.6200340522133939,0.6200083187473401
FaceDetection,9,0.6149262202043133,0.6148390993484333
FaceDetection,10,0.6010215664018161,0.6009751688232033
FaceDetection,11,0.6245743473325767,0.6245523076584852
FaceDetection,12,0.5987514188422247,0.5987260859257427
FaceDetection,13,0.6180476730987514,0.618035370089778
FaceDetection,14,0.6242905788876277,0.62429045787229
FaceDetection,15,0.6078320090805902,0.6076297983528431
FaceDetection,16,0.6262769580022701,0.6259190703084102
FaceDetection,17,0.6163450624290578,0.6163430852263138
FaceDetection,18,0.6146424517593644,0.6146214738401823
FaceDetection,19,0.6251418842224744,0.6250911359079706
FingerMovements,0,0.49,0.489233082706767
FingerMovements,1,0.49,0.489233082706767
FingerMovements,2,0.49,0.489233082706767
FingerMovements,3,0.49,0.489233082706767
FingerMovements,4,0.49,0.489233082706767
FingerMovements,5,0.49,0.489233082706767
FingerMovements,6,0.49,0.489233082706767
FingerMovements,7,0.49,0.489233082706767
FingerMovements,8,0.49,0.489233082706767
FingerMovements,9,0.49,0.489233082706767
FingerMovements,10,0.49,0.489233082706767
FingerMovements,11,0.49,0.489233082706767
FingerMovements,12,0.49,0.489233082706767
FingerMovements,13,0.49,0.489233082706767
FingerMovements,14,0.49,0.489233082706767
FingerMovements,15,0.49,0.489233082706767
FingerMovements,16,0.49,0.489233082706767
FingerMovements,17,0.49,0.489233082706767
FingerMovements,18,0.49,0.489233082706767
FingerMovements,19,0.49,0.489233082706767
HandMovementDirection,0,0.2567567567567567,0.2480097358146138
HandMovementDirection,1,0.2567567567567567,0.2480097358146138
HandMovementDirection,2,0.2567567567567567,0.2480097358146138
HandMovementDirection,3,0.2567567567567567,0.2480097358146138
