Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9766666666666668,0.9767607580824974
ArticularyWordRecognition,1,0.9733333333333334,0.9733043478260872
ArticularyWordRecognition,2,0.98,0.9800940914158306
ArticularyWordRecognition,3,0.98,0.98009988851728
ArticularyWordRecognition,4,0.9733333333333334,0.973427424749164
ArticularyWordRecognition,5,0.9733333333333334,0.9734216276477148
ArticularyWordRecognition,6,0.9766666666666668,0.9767607580824972
ArticularyWordRecognition,7,0.9766666666666668,0.9767607580824974
ArticularyWordRecognition,8,0.98,0.98009988851728
ArticularyWordRecognition,9,0.9733333333333334,0.973427424749164
ArticularyWordRecognition,10,0.9733333333333334,0.9734216276477148
ArticularyWordRecognition,11,0.97,0.9700940914158306
ArticularyWordRecognition,12,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,13,0.98,0.9799710144927538
ArticularyWordRecognition,14,0.9733333333333334,0.973427424749164
ArticularyWordRecognition,15,0.9733333333333334,0.9734216276477148
ArticularyWordRecognition,16,0.97,0.9700940914158306
ArticularyWordRecognition,17,0.98,0.9799710144927538
ArticularyWordRecognition,18,0.98,0.9800940914158306
ArticularyWordRecognition,19,0.9766666666666668,0.9767665551839466
AtrialFibrillation,0,0.2666666666666666,0.2619047619047619
AtrialFibrillation,1,0.2666666666666666,0.2619047619047619
AtrialFibrillation,2,0.2666666666666666,0.2619047619047619
AtrialFibrillation,3,0.2666666666666666,0.2619047619047619
AtrialFibrillation,4,0.2666666666666666,0.2619047619047619
AtrialFibrillation,5,0.2666666666666666,0.2619047619047619
AtrialFibrillation,6,0.2666666666666666,0.2619047619047619
AtrialFibrillation,7,0.2666666666666666,0.2619047619047619
AtrialFibrillation,8,0.2666666666666666,0.2619047619047619
AtrialFibrillation,9,0.2666666666666666,0.2619047619047619
AtrialFibrillation,10,0.2666666666666666,0.2619047619047619
AtrialFibrillation,11,0.2666666666666666,0.2619047619047619
AtrialFibrillation,12,0.2666666666666666,0.2619047619047619
AtrialFibrillation,13,0.2666666666666666,0.2619047619047619
AtrialFibrillation,14,0.2666666666666666,0.2619047619047619
AtrialFibrillation,15,0.2666666666666666,0.2619047619047619
AtrialFibrillation,16,0.2666666666666666,0.2619047619047619
AtrialFibrillation,17,0.2666666666666666,0.2619047619047619
AtrialFibrillation,18,0.2666666666666666,0.2619047619047619
AtrialFibrillation,19,0.2666666666666666,0.2619047619047619
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
CharacterTrajectories,0,0.9637883008356546,0.9634124619344736
CharacterTrajectories,1,0.9623955431754876,0.9620501783593652
CharacterTrajectories,2,0.9665738161559888,0.9661046926840756
CharacterTrajectories,3,0.9686629526462396,0.9682065365597357
CharacterTrajectories,4,0.9672701949860724,0.966840155547351
CharacterTrajectories,5,0.9672701949860724,0.9668923314298998
CharacterTrajectories,6,0.9637883008356546,0.9634526032397548
CharacterTrajectories,7,0.9665738161559888,0.9661457732810158
CharacterTrajectories,8,0.967966573816156,0.9674908335652712
CharacterTrajectories,9,0.9686629526462396,0.9682132085749792
CharacterTrajectories,10,0.9686629526462396,0.9682765779386144
CharacterTrajectories,11,0.9672701949860724,0.9668367817683368
CharacterTrajectories,12,0.967966573816156,0.967535708569346
CharacterTrajectories,13,0.9693593314763232,0.968902110075135
CharacterTrajectories,14,0.967966573816156,0.9675423805845896
CharacterTrajectories,15,0.9693593314763232,0.968902110075135
CharacterTrajectories,16,0.9665738161559888,0.9662310738574292
CharacterTrajectories,17,0.967966573816156,0.9676036796206892
CharacterTrajectories,18,0.967966573816156,0.9675844571548068
CharacterTrajectories,19,0.9672701949860724,0.9669236622451388
Cricket,0,0.9166666666666666,0.909527972027972
Cricket,1,0.9444444444444444,0.9434565434565434
Cricket,2,0.9583333333333334,0.9574425574425576
Cricket,3,0.9444444444444444,0.9434565434565434
Cricket,4,0.9305555555555556,0.9275835275835276
Cricket,5,0.9444444444444444,0.9415695415695416
Cricket,6,0.9444444444444444,0.9415695415695416
Cricket,7,0.9583333333333334,0.9574425574425576
Cricket,8,0.9305555555555556,0.923513986013986
Cricket,9,0.9444444444444444,0.9415695415695416
Cricket,10,0.9583333333333334,0.9574425574425576
Cricket,11,0.9305555555555556,0.9275835275835276
Cricket,12,0.9583333333333334,0.9574425574425576
Cricket,13,0.9583333333333334,0.9574425574425576
Cricket,14,0.9444444444444444,0.9415695415695416
Cricket,15,0.9583333333333334,0.9574425574425576
Cricket,16,0.9583333333333334,0.9574425574425576
Cricket,17,0.9166666666666666,0.909527972027972
Cricket,18,0.9305555555555556,0.9275835275835276
Cricket,19,0.9583333333333334,0.9574425574425576
DuckDuckGeese,0,0.44,0.438543823326432
DuckDuckGeese,1,0.42,0.4207719298245614
DuckDuckGeese,2,0.42,0.4210667974283535
DuckDuckGeese,3,0.52,0.5211313131313132
DuckDuckGeese,4,0.5,0.4974275724275724
DuckDuckGeese,5,0.42,0.402511961722488
DuckDuckGeese,6,0.46,0.4553333333333333
DuckDuckGeese,7,0.34,0.3336231884057971
DuckDuckGeese,8,0.46,0.4494974810764284
DuckDuckGeese,9,0.44,0.4368939883645765
DuckDuckGeese,10,0.42,0.4181483119563614
DuckDuckGeese,11,0.46,0.4687291350906912
DuckDuckGeese,12,0.42,0.4223621801539421
DuckDuckGeese,13,0.44,0.4395396419437339
DuckDuckGeese,14,0.44,0.4263478260869565
DuckDuckGeese,15,0.48,0.4694444444444444
DuckDuckGeese,16,0.48,0.472873949579832
DuckDuckGeese,17,0.38,0.3721206084264369
DuckDuckGeese,18,0.44,0.4339281872462651
DuckDuckGeese,19,0.5,0.4987922705314009
ERing,0,0.9333333333333332,0.9332644259610552
ERing,1,0.9333333333333332,0.9332644259610552
ERing,2,0.9333333333333332,0.9332644259610552
ERing,3,0.9333333333333332,0.9332644259610552
ERing,4,0.9333333333333332,0.9332644259610552
ERing,5,0.9333333333333332,0.9332644259610552
ERing,6,0.9333333333333332,0.9332644259610552
ERing,7,0.9333333333333332,0.9332644259610552
ERing,8,0.9333333333333332,0.9332644259610552
ERing,9,0.9333333333333332,0.9332644259610552
ERing,10,0.9333333333333332,0.9332644259610552
ERing,11,0.9333333333333332,0.9332644259610552
ERing,12,0.9333333333333332,0.9332644259610552
ERing,13,0.9333333333333332,0.9332644259610552
ERing,14,0.9333333333333332,0.9332644259610552
ERing,15,0.9333333333333332,0.9332644259610552
ERing,16,0.9333333333333332,0.9332644259610552
ERing,17,0.9333333333333332,0.9332644259610552
ERing,18,0.9333333333333332,0.9332644259610552
ERing,19,0.9333333333333332,0.9332644259610552
EigenWorms,0,0.8854961832061069,0.8771944622797166
EigenWorms,1,0.900763358778626,0.8968810828751088
EigenWorms,2,0.8854961832061069,0.8798857416041109
EigenWorms,3,0.8931297709923665,0.8889583291508283
EigenWorms,4,0.8854961832061069,0.8798857416041109
EigenWorms,5,0.8854961832061069,0.8798857416041109
EigenWorms,6,0.9083969465648856,0.9059220889373562
EigenWorms,7,0.8931297709923665,0.8871539143375933
EigenWorms,8,0.8854961832061069,0.8771944622797166
EigenWorms,9,0.9083969465648856,0.9060266373243472
EigenWorms,10,0.8931297709923665,0.8871539143375933
EigenWorms,11,0.9083969465648856,0.9059220889373562
EigenWorms,12,0.900763358778626,0.8966528197541886
EigenWorms,13,0.900763358778626,0.8966528197541886
EigenWorms,14,0.8931297709923665,0.8889583291508283
EigenWorms,15,0.8854961832061069,0.8761025106212015
EigenWorms,16,0.900763358778626,0.8966528197541886
EigenWorms,17,0.900763358778626,0.8969461697722567
EigenWorms,18,0.900763358778626,0.8966528197541886
EigenWorms,19,0.8931297709923665,0.8875844162875185
Epilepsy,0,0.9347826086956522,0.9333442835453828
Epilepsy,1,0.9347826086956522,0.9333442835453828
Epilepsy,2,0.9347826086956522,0.9333442835453828
Epilepsy,3,0.9347826086956522,0.9333442835453828
Epilepsy,4,0.9347826086956522,0.9333442835453828
Epilepsy,5,0.9347826086956522,0.9333442835453828
Epilepsy,6,0.9347826086956522,0.9333442835453828
Epilepsy,7,0.9347826086956522,0.9333442835453828
Epilepsy,8,0.9347826086956522,0.9333442835453828
Epilepsy,9,0.9347826086956522,0.9333442835453828
Epilepsy,10,0.9347826086956522,0.9333442835453828
Epilepsy,11,0.9347826086956522,0.9333442835453828
