Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.99,0.9899826086956522
ArticularyWordRecognition,1,0.99,0.9899826086956522
ArticularyWordRecognition,2,0.99,0.9899826086956522
ArticularyWordRecognition,3,0.99,0.9899826086956522
ArticularyWordRecognition,4,0.99,0.9899826086956522
ArticularyWordRecognition,5,0.99,0.9899826086956522
ArticularyWordRecognition,6,0.99,0.9899826086956522
ArticularyWordRecognition,7,0.99,0.9899826086956522
ArticularyWordRecognition,8,0.99,0.9899826086956522
ArticularyWordRecognition,9,0.99,0.9899826086956522
ArticularyWordRecognition,10,0.99,0.9899826086956522
ArticularyWordRecognition,11,0.99,0.9899826086956522
ArticularyWordRecognition,12,0.99,0.9899826086956522
ArticularyWordRecognition,13,0.99,0.9899826086956522
ArticularyWordRecognition,14,0.99,0.9899826086956522
ArticularyWordRecognition,15,0.99,0.9899826086956522
ArticularyWordRecognition,16,0.99,0.9899826086956522
ArticularyWordRecognition,17,0.99,0.9899826086956522
ArticularyWordRecognition,18,0.99,0.9899826086956522
ArticularyWordRecognition,19,0.99,0.9899826086956522
AtrialFibrillation,0,0.2,0.1666666666666666
AtrialFibrillation,1,0.2,0.1666666666666666
AtrialFibrillation,2,0.2,0.1666666666666666
AtrialFibrillation,3,0.2,0.1666666666666666
AtrialFibrillation,4,0.2,0.1666666666666666
AtrialFibrillation,5,0.2,0.1666666666666666
AtrialFibrillation,6,0.2,0.1666666666666666
AtrialFibrillation,7,0.2,0.1666666666666666
AtrialFibrillation,8,0.2,0.1666666666666666
AtrialFibrillation,9,0.2,0.1666666666666666
AtrialFibrillation,10,0.2,0.1666666666666666
AtrialFibrillation,11,0.2,0.1666666666666666
AtrialFibrillation,12,0.2,0.1666666666666666
AtrialFibrillation,13,0.2,0.1666666666666666
AtrialFibrillation,14,0.2,0.1666666666666666
AtrialFibrillation,15,0.2,0.1666666666666666
AtrialFibrillation,16,0.2,0.1666666666666666
AtrialFibrillation,17,0.2,0.1666666666666666
AtrialFibrillation,18,0.2,0.1666666666666666
AtrialFibrillation,19,0.2,0.1666666666666666
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
Cricket,0,0.8888888888888888,0.8751776001776002
Cricket,1,0.8888888888888888,0.8751776001776002
Cricket,2,0.8888888888888888,0.8751776001776002
Cricket,3,0.8888888888888888,0.8751776001776002
Cricket,4,0.8888888888888888,0.8751776001776002
Cricket,5,0.8888888888888888,0.8751776001776002
Cricket,6,0.8888888888888888,0.8751776001776002
Cricket,7,0.8888888888888888,0.8751776001776002
Cricket,8,0.8888888888888888,0.8751776001776002
Cricket,9,0.8888888888888888,0.8751776001776002
Cricket,10,0.8888888888888888,0.8751776001776002
Cricket,11,0.8888888888888888,0.8751776001776002
Cricket,12,0.8888888888888888,0.8751776001776002
Cricket,13,0.8888888888888888,0.8751776001776002
Cricket,14,0.8888888888888888,0.8751776001776002
Cricket,15,0.8888888888888888,0.8751776001776002
Cricket,16,0.8888888888888888,0.8751776001776002
Cricket,17,0.8888888888888888,0.8751776001776002
Cricket,18,0.8888888888888888,0.8751776001776002
Cricket,19,0.8888888888888888,0.8751776001776002
DuckDuckGeese,0,0.2,0.0666666666666666
DuckDuckGeese,1,0.2,0.0666666666666666
DuckDuckGeese,2,0.2,0.0666666666666666
DuckDuckGeese,3,0.2,0.0666666666666666
DuckDuckGeese,4,0.2,0.0666666666666666
DuckDuckGeese,5,0.2,0.0666666666666666
DuckDuckGeese,6,0.2,0.0666666666666666
DuckDuckGeese,7,0.2,0.0666666666666666
DuckDuckGeese,8,0.2,0.0666666666666666
DuckDuckGeese,9,0.2,0.0666666666666666
DuckDuckGeese,10,0.2,0.0666666666666666
DuckDuckGeese,11,0.2,0.0666666666666666
DuckDuckGeese,12,0.2,0.0666666666666666
DuckDuckGeese,13,0.2,0.0666666666666666
DuckDuckGeese,14,0.2,0.0666666666666666
DuckDuckGeese,15,0.2,0.0666666666666666
DuckDuckGeese,16,0.2,0.0666666666666666
DuckDuckGeese,17,0.2,0.0666666666666666
DuckDuckGeese,18,0.2,0.0666666666666666
DuckDuckGeese,19,0.2,0.0666666666666666
ERing,0,0.825925925925926,0.8250209549720979
ERing,1,0.825925925925926,0.8250209549720979
ERing,2,0.825925925925926,0.8250209549720979
ERing,3,0.825925925925926,0.8250209549720979
ERing,4,0.825925925925926,0.8250209549720979
ERing,5,0.825925925925926,0.8250209549720979
ERing,6,0.825925925925926,0.8250209549720979
ERing,7,0.825925925925926,0.8250209549720979
ERing,8,0.825925925925926,0.8250209549720979
ERing,9,0.825925925925926,0.8250209549720979
ERing,10,0.825925925925926,0.8250209549720979
ERing,11,0.825925925925926,0.8250209549720979
ERing,12,0.825925925925926,0.8250209549720979
ERing,13,0.825925925925926,0.8250209549720979
ERing,14,0.825925925925926,0.8250209549720979
ERing,15,0.825925925925926,0.8250209549720979
ERing,16,0.825925925925926,0.8250209549720979
ERing,17,0.825925925925926,0.8250209549720979
ERing,18,0.825925925925926,0.8250209549720979
ERing,19,0.825925925925926,0.8250209549720979
EigenWorms,0,0.8091603053435115,0.7881275602516503
EigenWorms,1,0.8091603053435115,0.7881275602516503
EigenWorms,2,0.8091603053435115,0.7881275602516503
EigenWorms,3,0.8091603053435115,0.7881275602516503
EigenWorms,4,0.8091603053435115,0.7881275602516503
EigenWorms,5,0.8091603053435115,0.7881275602516503
EigenWorms,6,0.8091603053435115,0.7881275602516503
EigenWorms,7,0.8091603053435115,0.7881275602516503
EigenWorms,8,0.8091603053435115,0.7881275602516503
EigenWorms,9,0.8091603053435115,0.7881275602516503
EigenWorms,10,0.8091603053435115,0.7881275602516503
EigenWorms,11,0.8091603053435115,0.7881275602516503
EigenWorms,12,0.8091603053435115,0.7881275602516503
EigenWorms,13,0.8091603053435115,0.7881275602516503
EigenWorms,14,0.8091603053435115,0.7881275602516503
EigenWorms,15,0.8091603053435115,0.7881275602516503
EigenWorms,16,0.8091603053435115,0.7881275602516503
EigenWorms,17,0.8091603053435115,0.7881275602516503
EigenWorms,18,0.8091603053435115,0.7881275602516503
EigenWorms,19,0.8091603053435115,0.7881275602516503
Epilepsy,0,0.9710144927536232,0.9705915817373408
Epilepsy,1,0.9710144927536232,0.9705915817373408
Epilepsy,2,0.9710144927536232,0.9705915817373408
Epilepsy,3,0.9710144927536232,0.9705915817373408
Epilepsy,4,0.9710144927536232,0.9705915817373408
Epilepsy,5,0.9710144927536232,0.9705915817373408
Epilepsy,6,0.9710144927536232,0.9705915817373408
Epilepsy,7,0.9710144927536232,0.9705915817373408
Epilepsy,8,0.9710144927536232,0.9705915817373408
Epilepsy,9,0.9710144927536232,0.9705915817373408
Epilepsy,10,0.9710144927536232,0.9705915817373408
Epilepsy,11,0.9710144927536232,0.9705915817373408
Epilepsy,12,0.9710144927536232,0.9705915817373408
Epilepsy,13,0.9710144927536232,0.9705915817373408
Epilepsy,14,0.9710144927536232,0.9705915817373408
Epilepsy,15,0.9710144927536232,0.9705915817373408
Epilepsy,16,0.9710144927536232,0.9705915817373408
Epilepsy,17,0.9710144927536232,0.9705915817373408
Epilepsy,18,0.9710144927536232,0.9705915817373408
Epilepsy,19,0.9710144927536232,0.9705915817373408
EthanolConcentration,0,0.4182509505703422,0.4104926553054134
EthanolConcentration,1,0.4182509505703422,0.4104926553054134
EthanolConcentration,2,0.4182509505703422,0.4104926553054134
EthanolConcentration,3,0.4182509505703422,0.4104926553054134
EthanolConcentration,4,0.4182509505703422,0.4104926553054134
EthanolConcentration,5,0.4182509505703422,0.4104926553054134
EthanolConcentration,6,0.4182509505703422,0.4104926553054134
EthanolConcentration,7,0.4182509505703422,0.4104926553054134
EthanolConcentration,8,0.4182509505703422,0.4104926553054134
EthanolConcentration,9,0.4182509505703422,0.4104926553054134
EthanolConcentration,10,0.4182509505703422,0.4104926553054134
EthanolConcentration,11,0.4182509505703422,0.4104926553054134
EthanolConcentration,12,0.4182509505703422,0.4104926553054134
EthanolConcentration,13,0.4182509505703422,0.4104926553054134
EthanolConcentration,14,0.4182509505703422,0.4104926553054134
EthanolConcentration,15,0.4182509505703422,0.4104926553054134
EthanolConcentration,16,0.4182509505703422,0.4104926553054134
EthanolConcentration,17,0.4182509505703422,0.4104926553054134
EthanolConcentration,18,0.4182509505703422,0.4104926553054134
EthanolConcentration,19,0.4182509505703422,0.4104926553054134
FaceDetection,0,0.6291146424517594,0.6290369463533874
FaceDetection,1,0.6319523269012486,0.6319437616476412
FaceDetection,2,0.6347900113507378,0.6347864529041656
FaceDetection,3,0.6242905788876277,0.6240561470818393
FaceDetection,4,0.6333711691259932,0.6329870912927891
FaceDetection,5,0.6188989784335982,0.6178684897409279
FaceDetection,6,0.6180476730987514,0.6177983825922552
FaceDetection,7,0.6188989784335982,0.6188731680938593
FaceDetection,8,0.6373439273552781,0.6372766318263646
FaceDetection,9,0.6129398410896708,0.612602435894956
FaceDetection,10,0.6194665153234961,0.6189399354831686
FaceDetection,11,0.645005675368899,0.6449127759582974
FaceDetection,12,0.6330874006810443,0.6325796693361202
