Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,1,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,2,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,3,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,4,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,5,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,6,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,7,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,8,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,9,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,10,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,11,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,12,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,13,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,14,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,15,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,16,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,17,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,18,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,19,0.9833333333333332,0.9833043478260872
AtrialFibrillation,0,0.2,0.1581196581196581
AtrialFibrillation,1,0.2,0.1581196581196581
AtrialFibrillation,2,0.2,0.1581196581196581
AtrialFibrillation,3,0.2,0.1581196581196581
AtrialFibrillation,4,0.2,0.1581196581196581
AtrialFibrillation,5,0.2,0.1581196581196581
AtrialFibrillation,6,0.2,0.1581196581196581
AtrialFibrillation,7,0.2,0.1581196581196581
AtrialFibrillation,8,0.2,0.1581196581196581
AtrialFibrillation,9,0.2,0.1581196581196581
AtrialFibrillation,10,0.2,0.1581196581196581
AtrialFibrillation,11,0.2,0.1581196581196581
AtrialFibrillation,12,0.2,0.1581196581196581
AtrialFibrillation,13,0.2,0.1581196581196581
AtrialFibrillation,14,0.2,0.1581196581196581
AtrialFibrillation,15,0.2,0.1581196581196581
AtrialFibrillation,16,0.2,0.1581196581196581
AtrialFibrillation,17,0.2,0.1581196581196581
AtrialFibrillation,18,0.2,0.1581196581196581
AtrialFibrillation,19,0.2,0.1581196581196581
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
CharacterTrajectories,0,0.9693593314763232,0.969059578461396
CharacterTrajectories,1,0.9707520891364902,0.9704022485928951
CharacterTrajectories,2,0.9700557103064068,0.9698090811247656
