Dataset,Seed,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,1,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,2,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,3,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,4,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,5,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,6,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,7,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,8,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,9,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,10,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,11,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,12,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,13,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,14,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,15,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,16,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,17,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,18,0.9866666666666668,0.9867723522853956
ArticularyWordRecognition,19,0.9866666666666668,0.9867723522853956
AtrialFibrillation,0,0.3333333333333333,0.2692307692307692
AtrialFibrillation,1,0.3333333333333333,0.2692307692307692
AtrialFibrillation,2,0.3333333333333333,0.2692307692307692
AtrialFibrillation,3,0.3333333333333333,0.2692307692307692
AtrialFibrillation,4,0.3333333333333333,0.2692307692307692
AtrialFibrillation,5,0.3333333333333333,0.2692307692307692
AtrialFibrillation,6,0.3333333333333333,0.2692307692307692
AtrialFibrillation,7,0.3333333333333333,0.2692307692307692
AtrialFibrillation,8,0.3333333333333333,0.2692307692307692
AtrialFibrillation,9,0.3333333333333333,0.2692307692307692
AtrialFibrillation,10,0.3333333333333333,0.2692307692307692
AtrialFibrillation,11,0.3333333333333333,0.2692307692307692
AtrialFibrillation,12,0.3333333333333333,0.2692307692307692
AtrialFibrillation,13,0.3333333333333333,0.2692307692307692
AtrialFibrillation,14,0.3333333333333333,0.2692307692307692
AtrialFibrillation,15,0.3333333333333333,0.2692307692307692
AtrialFibrillation,16,0.3333333333333333,0.2692307692307692
AtrialFibrillation,17,0.3333333333333333,0.2692307692307692
AtrialFibrillation,18,0.3333333333333333,0.2692307692307692
AtrialFibrillation,19,0.3333333333333333,0.2692307692307692
BasicMotions,0,1.0,1.0
BasicMotions,1,1.0,1.0
BasicMotions,2,1.0,1.0
BasicMotions,3,1.0,1.0
BasicMotions,4,1.0,1.0
BasicMotions,5,1.0,1.0
BasicMotions,6,1.0,1.0
BasicMotions,7,1.0,1.0
BasicMotions,8,1.0,1.0
BasicMotions,9,1.0,1.0
BasicMotions,10,1.0,1.0
BasicMotions,11,1.0,1.0
BasicMotions,12,1.0,1.0
BasicMotions,13,1.0,1.0
BasicMotions,14,1.0,1.0
BasicMotions,15,1.0,1.0
BasicMotions,16,1.0,1.0
BasicMotions,17,1.0,1.0
BasicMotions,18,1.0,1.0
BasicMotions,19,1.0,1.0
CharacterTrajectories,0,0.9749303621169916,0.9746765640810008
CharacterTrajectories,1,0.9749303621169916,0.9746765640810008
CharacterTrajectories,2,0.9749303621169916,0.9746765640810008
CharacterTrajectories,3,0.9749303621169916,0.9746765640810008
CharacterTrajectories,4,0.9749303621169916,0.9746765640810008
CharacterTrajectories,5,0.9749303621169916,0.9746765640810008
CharacterTrajectories,6,0.9749303621169916,0.9746765640810008
CharacterTrajectories,7,0.9749303621169916,0.9746765640810008
CharacterTrajectories,8,0.9749303621169916,0.9746765640810008
CharacterTrajectories,9,0.9749303621169916,0.9746765640810008
CharacterTrajectories,10,0.9749303621169916,0.9746765640810008
CharacterTrajectories,11,0.9749303621169916,0.9746765640810008
CharacterTrajectories,12,0.9749303621169916,0.9746765640810008
CharacterTrajectories,13,0.9749303621169916,0.9746765640810008
CharacterTrajectories,14,0.9749303621169916,0.9746765640810008
CharacterTrajectories,15,0.9749303621169916,0.9746765640810008
CharacterTrajectories,16,0.9749303621169916,0.9746765640810008
CharacterTrajectories,17,0.9749303621169916,0.9746765640810008
CharacterTrajectories,18,0.9749303621169916,0.9746765640810008
CharacterTrajectories,19,0.9749303621169916,0.9746765640810008
Cricket,0,0.9027777777777778,0.8978105228105228
Cricket,1,0.9027777777777778,0.8978105228105228
Cricket,2,0.9027777777777778,0.8978105228105228
Cricket,3,0.9027777777777778,0.8978105228105228
Cricket,4,0.9027777777777778,0.8978105228105228
Cricket,5,0.9027777777777778,0.8978105228105228
Cricket,6,0.9027777777777778,0.8978105228105228
Cricket,7,0.9027777777777778,0.8978105228105228
Cricket,8,0.9027777777777778,0.8978105228105228
Cricket,9,0.9027777777777778,0.8978105228105228
Cricket,10,0.9027777777777778,0.8978105228105228
Cricket,11,0.9027777777777778,0.8978105228105228
Cricket,12,0.9027777777777778,0.8978105228105228
Cricket,13,0.9027777777777778,0.8978105228105228
Cricket,14,0.9027777777777778,0.8978105228105228
Cricket,15,0.9027777777777778,0.8978105228105228
Cricket,16,0.9027777777777778,0.8978105228105228
Cricket,17,0.9027777777777778,0.8978105228105228
Cricket,18,0.9027777777777778,0.8978105228105228
Cricket,19,0.9027777777777778,0.8978105228105228
DuckDuckGeese,0,0.42,0.4260235073850634
DuckDuckGeese,1,0.42,0.4260235073850634
DuckDuckGeese,2,0.42,0.4260235073850634
DuckDuckGeese,3,0.42,0.4260235073850634
DuckDuckGeese,4,0.42,0.4260235073850634
DuckDuckGeese,5,0.42,0.4260235073850634
DuckDuckGeese,6,0.42,0.4260235073850634
DuckDuckGeese,7,0.42,0.4260235073850634
DuckDuckGeese,8,0.42,0.4260235073850634
DuckDuckGeese,9,0.42,0.4260235073850634
DuckDuckGeese,10,0.42,0.4260235073850634
DuckDuckGeese,11,0.42,0.4260235073850634
