Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,651.5457119029015,407.0617229845375,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,647.6067015584558,412.55172343738377,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,650.0458339080215,412.7259877156466,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,641.4287870768458,405.0209753885865,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,643.7119842786342,404.65362030640244,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,643.2971860114485,407.6007359083742,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,645.5251969918609,410.21857663057745,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,645.9028155747801,411.1053084973246,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,641.3124124146998,410.0133760627359,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,642.0701062604785,409.05938680656254,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,645.9863821137697,410.0148562155664,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,644.8507756702602,408.71430044807494,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,643.6400636695325,405.0378878880292,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,642.3751641642302,408.0309718102217,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,643.1183399315923,405.90812733210623,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,643.7092185411602,406.7960602696985,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,646.3206063304096,409.7533099409193,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,644.2945017889142,407.5635605715215,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,642.2453865595162,406.72338387183845,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,644.4737060405314,408.86918101273477,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.51174104399979,12.3920191898942,0.4,0.365079365079365
AtrialFibrillation,1,21.152120105922222,12.273901581764221,0.26666666666666666,0.27542087542087546
AtrialFibrillation,2,21.20611360296607,12.459329491481185,0.2,0.20875420875420878
AtrialFibrillation,3,20.556338358670473,12.170060638338327,0.2,0.20875420875420878
AtrialFibrillation,4,21.471460696309805,12.68661824427545,0.26666666666666666,0.24444444444444446
AtrialFibrillation,5,21.0387955699116,12.450863337144256,0.26666666666666666,0.2878787878787879
AtrialFibrillation,6,20.76053168065846,12.175900101661682,0.26666666666666666,0.27777777777777773
AtrialFibrillation,7,21.175650203600526,12.447320535779,0.3333333333333333,0.31111111111111106
AtrialFibrillation,8,21.353136152029037,12.470787907019258,0.2,0.20875420875420878
AtrialFibrillation,9,20.877883341163397,12.251857912167907,0.2,0.19393939393939394
AtrialFibrillation,10,21.081251721829176,12.357327423989773,0.3333333333333333,0.32478632478632474
AtrialFibrillation,11,21.41969482973218,12.548796335235238,0.26666666666666666,0.2878787878787879
AtrialFibrillation,12,21.08341303281486,12.540660068392754,0.2,0.19943019943019943
AtrialFibrillation,13,21.419203400611877,12.40019403770566,0.2,0.19393939393939394
AtrialFibrillation,14,21.315445451065898,12.59472668170929,0.26666666666666666,0.24242424242424238
AtrialFibrillation,15,21.254665134474635,12.539865758270025,0.26666666666666666,0.25555555555555554
AtrialFibrillation,16,21.7834052182734,12.58119935914874,0.2,0.2222222222222222
AtrialFibrillation,17,21.519938953220844,12.552933819591999,0.26666666666666666,0.2878787878787879
AtrialFibrillation,18,21.211586756631732,12.202344879508018,0.26666666666666666,0.2619047619047619
AtrialFibrillation,19,21.658160272985697,12.189167402684689,0.26666666666666666,0.2878787878787879
BasicMotions,0,64.31898167543113,51.30475878342986,1.0,1.0
BasicMotions,1,64.52662907727063,51.4372952003032,1.0,1.0
BasicMotions,2,64.91191712394357,51.395312923938036,1.0,1.0
BasicMotions,3,64.67902260832489,51.312699642032385,1.0,1.0
BasicMotions,4,65.89843863993883,50.84247229620814,1.0,1.0
BasicMotions,5,65.63265389576554,52.04671251215041,1.0,1.0
BasicMotions,6,65.16666684299707,51.76958889886737,1.0,1.0
BasicMotions,7,65.17406977340579,52.08185230009258,1.0,1.0
BasicMotions,8,65.13490768894553,52.063850665465,1.0,1.0
BasicMotions,9,65.37374193966389,52.01391612365842,1.0,1.0
BasicMotions,10,65.4069202132523,52.56857046298683,1.0,1.0
BasicMotions,11,65.98852519877255,52.38518677651882,1.0,1.0
BasicMotions,12,66.27811500616372,51.98937224037945,1.0,1.0
BasicMotions,13,65.73417285643518,52.7482712585479,1.0,1.0
BasicMotions,14,66.33191412687302,52.968294870108366,1.0,1.0
BasicMotions,15,66.08990433998406,53.02826698869467,1.0,1.0
BasicMotions,16,66.21370786055923,52.430513424798846,1.0,1.0
BasicMotions,17,66.01878822222352,53.340766448527575,1.0,1.0
BasicMotions,18,66.0821881480515,53.30934886820614,1.0,1.0
BasicMotions,19,66.6564039029181,53.52559161558747,1.0,1.0
Cricket,0,758.8930324558169,188.5770763847977,1.0,1.0
Cricket,1,765.2832165081054,187.68782365694642,1.0,1.0
Cricket,2,760.5452247038484,189.45970908366144,1.0,1.0
Cricket,3,769.4602486845106,186.77856200188398,0.9861111111111112,0.9860139860139859
Cricket,4,773.9727731235325,191.53691894747317,0.9861111111111112,0.9860139860139859
Cricket,5,777.1183394696563,190.88425366021693,0.9861111111111112,0.9860139860139859
Cricket,6,782.216783054173,190.6175516564399,1.0,1.0
Cricket,7,767.0804981291294,189.99346849136055,0.9861111111111112,0.9860139860139859
Cricket,8,776.9749526884407,189.91441912949085,0.9861111111111112,0.9860139860139859
Cricket,9,764.5894846152514,191.14813345111907,0.9861111111111112,0.9860139860139859
Cricket,10,769.4217394832522,190.1687233299017,0.9861111111111112,0.9860139860139859
Cricket,11,779.9715416561812,193.75360861606896,1.0,1.0
Cricket,12,775.0785965379328,195.5490195825696,0.9861111111111112,0.9860139860139859
Cricket,13,782.1698138210922,192.3662777505815,1.0,1.0
Cricket,14,775.6255723312497,194.16344798356295,0.9861111111111112,0.9860139860139859
Cricket,15,788.8622194919735,197.3767146244645,0.9861111111111112,0.9860139860139859
Cricket,16,792.3966814950109,194.9211514480412,1.0,1.0
Cricket,17,788.2205550707877,195.6967818606645,1.0,1.0
Cricket,18,787.897271765396,193.9295688252896,1.0,1.0
Cricket,19,797.9076916221529,197.06433945707977,1.0,1.0
ERing,0,42.86957025155425,225.25160242430866,0.9555555555555556,0.9557018109955686
ERing,1,42.84314008615911,225.3119689784944,0.9555555555555556,0.9557018109955686
ERing,2,43.109422251582146,225.64994786679745,0.9555555555555556,0.9557018109955686
ERing,3,43.12670869380236,225.5494184345007,0.9555555555555556,0.9557018109955686
ERing,4,43.23769218660891,226.0328563861549,0.9444444444444444,0.9444010498358324
ERing,5,43.41884417273104,225.7083825338632,0.9518518518518518,0.9520416402769344
