Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,667.8168182019144,411.5311387050897,0.99,0.9899826086956522
ArticularyWordRecognition,1,664.9280194398016,411.72409165278077,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,2,667.5771699212492,414.65222888067365,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,664.4320549350232,412.42505740746856,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,666.8272086810321,413.86748802289367,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,663.7000321205705,414.31841348297894,0.99,0.9899826086956522
ArticularyWordRecognition,6,662.2227782253176,414.44778746180236,0.99,0.9899826086956522
ArticularyWordRecognition,7,663.6550968606025,413.8457897603512,0.99,0.9899826086956522
ArticularyWordRecognition,8,663.7855712845922,413.8581777047366,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,665.2284656986594,413.1752263903618,0.99,0.9899826086956522
ArticularyWordRecognition,10,664.1376460362226,413.824725124985,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,666.3950477540493,415.4366007875651,0.99,0.9899826086956522
ArticularyWordRecognition,12,665.1965204421431,415.97908640280366,0.99,0.9899826086956522
ArticularyWordRecognition,13,663.8995343726128,415.1760348752141,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,667.341476785019,413.7069572042674,0.99,0.9899826086956522
ArticularyWordRecognition,15,667.2406465765089,416.62346665747464,0.99,0.9899826086956522
ArticularyWordRecognition,16,667.7137106973678,415.166852241382,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,667.2573453392833,415.9673590827733,0.99,0.9899826086956522
ArticularyWordRecognition,18,664.5180915743113,415.4352217596024,0.99,0.9899826086956522
ArticularyWordRecognition,19,667.4424599986523,416.5729099586606,0.9866666666666667,0.9864853754940713
AtrialFibrillation,0,22.883316293358803,12.877266693860292,0.4,0.4
AtrialFibrillation,1,22.12542274594307,12.652204059064388,0.3333333333333333,0.336026936026936
AtrialFibrillation,2,22.229198195040226,12.764643343165517,0.3333333333333333,0.336026936026936
AtrialFibrillation,3,21.701540296897292,12.641870463266969,0.4,0.4
AtrialFibrillation,4,22.327661307528615,13.181035434827209,0.3333333333333333,0.32255892255892255
AtrialFibrillation,5,22.461061347275972,12.909762144088745,0.3333333333333333,0.336026936026936
AtrialFibrillation,6,22.49743183515966,13.01221671514213,0.3333333333333333,0.31575091575091574
AtrialFibrillation,7,21.76220129802823,12.937414780259132,0.4,0.4090909090909091
AtrialFibrillation,8,22.194848651066422,12.81055510416627,0.3333333333333333,0.336026936026936
AtrialFibrillation,9,22.403044786304235,12.857909817248583,0.26666666666666666,0.2666666666666667
AtrialFibrillation,10,22.221587106585503,12.93291948363185,0.3333333333333333,0.2792022792022792
AtrialFibrillation,11,21.972663348540664,13.179850433021784,0.4,0.4
AtrialFibrillation,12,22.426147701218724,13.079549139365554,0.4666666666666667,0.437037037037037
AtrialFibrillation,13,22.31629402190447,12.967862518504262,0.3333333333333333,0.336026936026936
AtrialFibrillation,14,22.733633808791637,13.160633109509945,0.4,0.38636363636363635
AtrialFibrillation,15,21.9566891733557,13.039815725758672,0.3333333333333333,0.336026936026936
AtrialFibrillation,16,22.01970581524074,13.014654794707894,0.26666666666666666,0.23333333333333334
AtrialFibrillation,17,21.980361646041274,12.83930641040206,0.3333333333333333,0.32255892255892255
AtrialFibrillation,18,22.509740889072418,12.991052772849798,0.4,0.39444444444444443
AtrialFibrillation,19,22.763421673327684,13.067998657003045,0.26666666666666666,0.2666666666666667
BasicMotions,0,64.86132889613509,51.38638386875391,1.0,1.0
BasicMotions,1,65.64192373305559,51.33372622169554,1.0,1.0
