Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,641.5873717050999,400.95113804750144,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,643.066469475627,405.5441971048713,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,641.6191540006548,406.26877993158996,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,642.573366779834,405.102194596082,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,644.7023895885795,404.7207133565098,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,640.2168210390955,406.13097411580384,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,642.0386024937034,404.78012296557426,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,642.2667506821454,406.55053252168,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,644.6952860746533,405.7709445208311,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,642.6309856288135,405.8627462666482,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,642.3830883540213,404.44860778935254,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,644.8983487393707,408.11338358558714,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,643.3611248675734,408.07857933826745,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,641.8994854595512,406.7488684877753,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,642.2043513134122,407.0232218783349,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,644.4070587474853,408.12410731241107,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,645.104366639629,409.50868949852884,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,643.5441426057369,407.2878735214472,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,643.7085685264319,408.3432451635599,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,645.7558630555868,407.24056927859783,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.90035017952323,12.437347026541829,0.2,0.222999222999223
AtrialFibrillation,1,21.113313373178244,12.347388911992311,0.13333333333333333,0.1623931623931624
AtrialFibrillation,2,21.48430492542684,12.346284659579396,0.2,0.222999222999223
AtrialFibrillation,3,21.1690420396626,12.08635625243187,0.06666666666666667,0.11111111111111113
AtrialFibrillation,4,20.873021075502038,12.716954002156854,0.2,0.25108225108225113
AtrialFibrillation,5,21.946157881990075,12.42045184224844,0.13333333333333333,0.14285714285714288
AtrialFibrillation,6,21.628865908831358,12.226885145530105,0.2,0.1841269841269841
AtrialFibrillation,7,20.937872368842363,12.44667180068791,0.13333333333333333,0.1623931623931624
AtrialFibrillation,8,20.981910863891244,12.337996568530798,0.13333333333333333,0.1623931623931624
AtrialFibrillation,9,21.205778690055013,12.431193204596639,0.13333333333333333,0.15584415584415587
AtrialFibrillation,10,21.324640467762947,12.44472124800086,0.2,0.19444444444444448
AtrialFibrillation,11,21.490747848525643,12.472143858671188,0.06666666666666667,0.04166666666666667
AtrialFibrillation,12,21.106840191408992,12.466119268909097,0.13333333333333333,0.15079365079365079
AtrialFibrillation,13,21.62967338040471,12.725799484178424,0.13333333333333333,0.15079365079365079
AtrialFibrillation,14,21.27304070442915,12.503404565155506,0.13333333333333333,0.14652014652014653
AtrialFibrillation,15,21.224603107199073,12.72653629630804,0.06666666666666667,0.11111111111111113
AtrialFibrillation,16,21.450714888051152,12.716917296871543,0.13333333333333333,0.15584415584415587
AtrialFibrillation,17,21.280957797542214,12.643654176965356,0.13333333333333333,0.1623931623931624
AtrialFibrillation,18,21.18977989628911,12.626582730561495,0.13333333333333333,0.16666666666666666
AtrialFibrillation,19,21.291215928271413,12.511254362761974,0.06666666666666667,0.11111111111111113
BasicMotions,0,64.87880088016391,50.658421490341425,1.0,1.0
BasicMotions,1,65.44009239412844,51.13845929503441,1.0,1.0
BasicMotions,2,65.6700380705297,51.34290292672813,1.0,1.0
BasicMotions,3,65.91149717010558,50.7732278034091,1.0,1.0
BasicMotions,4,65.97073512338102,51.767712386325,1.0,1.0
BasicMotions,5,65.82246525585651,51.99055552855134,1.0,1.0
BasicMotions,6,66.00756015256047,52.18451034463942,1.0,1.0
