Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,656.3367144092917,405.7321582045406,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,646.4982662256807,409.7070287875831,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,647.4731622599065,410.9782757759094,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,646.5322705600411,414.9248503483832,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,647.62500519678,412.36037827655673,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,645.4148908443749,412.36437104828656,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,646.8783538769931,414.52159398421645,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,648.8796936292201,414.28305314294994,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,649.5763429068029,412.3853025492281,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,651.6135665941983,415.50786343589425,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,646.3766316417605,412.01404433324933,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,646.4889409672469,412.3679018113762,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,646.8581108488142,412.80184031650424,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,647.7366470322013,408.33073528669775,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,643.5814734399319,408.2852471731603,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,646.622732963413,410.7409230377525,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,644.1224856954068,411.8231644742191,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,646.2431092299521,410.2224334869534,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,646.4626302663237,412.8925559204072,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,646.4602177273482,411.87859364040196,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,20.886844811961055,11.854521265253425,0.4,0.365079365079365
AtrialFibrillation,1,19.829098416492343,11.957724172621965,0.26666666666666666,0.27542087542087546
AtrialFibrillation,2,20.725807309150696,11.77183080278337,0.2,0.20875420875420878
AtrialFibrillation,3,19.896870777010918,11.250690288841724,0.2,0.20875420875420878
AtrialFibrillation,4,21.153007708489895,11.872772686183453,0.26666666666666666,0.24444444444444446
AtrialFibrillation,5,20.579645451158285,11.862410485744476,0.26666666666666666,0.2878787878787879
AtrialFibrillation,6,20.44248979538679,11.951248344033957,0.26666666666666666,0.27777777777777773
AtrialFibrillation,7,20.80640672147274,11.994637228548527,0.3333333333333333,0.31111111111111106
AtrialFibrillation,8,20.877254204824567,11.637442512437701,0.2,0.20875420875420878
AtrialFibrillation,9,20.158105731010437,11.656170366331935,0.2,0.19393939393939394
AtrialFibrillation,10,21.037329578772187,11.699195750057697,0.3333333333333333,0.32478632478632474
AtrialFibrillation,11,20.347703671082854,12.2075708322227,0.26666666666666666,0.2878787878787879
AtrialFibrillation,12,19.949404437094927,11.777215020731091,0.2,0.19943019943019943
AtrialFibrillation,13,20.275378718972206,12.006645301356912,0.2,0.19393939393939394
AtrialFibrillation,14,20.765651682391763,11.841367790475488,0.26666666666666666,0.24242424242424238
AtrialFibrillation,15,20.79203787446022,11.724156692624092,0.26666666666666666,0.25555555555555554
AtrialFibrillation,16,20.238887621089816,11.76972589083016,0.2,0.2222222222222222
AtrialFibrillation,17,20.46684011258185,12.00548736564815,0.26666666666666666,0.2878787878787879
AtrialFibrillation,18,20.896696439012885,11.9825658518821,0.26666666666666666,0.2619047619047619
AtrialFibrillation,19,21.075031021609902,11.943986685946584,0.26666666666666666,0.2878787878787879
BasicMotions,0,62.38943387940526,49.6167732514441,1.0,1.0
BasicMotions,1,63.200496822595596,49.244864631444216,1.0,1.0
BasicMotions,2,62.612599762156606,49.860976507887244,1.0,1.0
BasicMotions,3,63.763834692537785,49.57934162765741,1.0,1.0
BasicMotions,4,63.65633808262646,49.95020263642073,1.0,1.0
BasicMotions,5,63.705972043797374,50.63012488372624,1.0,1.0
BasicMotions,6,63.25424161553383,49.832823975011706,1.0,1.0
BasicMotions,7,64.06492549926043,50.1190695669502,1.0,1.0
BasicMotions,8,63.873408161103725,50.65128286369145,1.0,1.0
BasicMotions,9,63.57966232672334,49.770082861185074,1.0,1.0
BasicMotions,10,64.32686534523964,50.43738170154393,1.0,1.0
BasicMotions,11,63.91229661181569,50.985728707164526,1.0,1.0
BasicMotions,12,66.80916932970285,48.07586168684065,1.0,1.0
BasicMotions,13,62.8818080201745,48.43938135355711,1.0,1.0
BasicMotions,14,62.50333733856678,48.735972348600626,1.0,1.0
BasicMotions,15,62.17405847646296,48.83191132545471,1.0,1.0
BasicMotions,16,61.9339027646929,48.89650603942573,1.0,1.0
BasicMotions,17,62.1932906229049,48.668026216328144,1.0,1.0
BasicMotions,18,63.001767963171005,48.97837666422129,1.0,1.0
BasicMotions,19,63.136563919484615,49.31218548677862,1.0,1.0
Cricket,0,765.8895637691021,188.402053469792,1.0,1.0
Cricket,1,765.0004666913301,185.6386311557144,1.0,1.0
Cricket,2,763.7858155313879,189.8309131488204,1.0,1.0
Cricket,3,776.621838690713,186.89065873622894,0.9861111111111112,0.9860139860139859
Cricket,4,778.9679939672351,191.0144287571311,0.9861111111111112,0.9860139860139859
Cricket,5,779.9895691666752,190.62983745150268,0.9861111111111112,0.9860139860139859
Cricket,6,785.4460601005703,193.10094797238708,1.0,1.0
Cricket,7,777.5729320067912,189.9966962505132,0.9861111111111112,0.9860139860139859
Cricket,8,783.9764446206391,191.6085783932358,1.0,1.0
Cricket,9,769.6374126654118,190.60744124278426,0.9861111111111112,0.9860139860139859
Cricket,10,773.3449959047139,189.173487175256,0.9861111111111112,0.9860139860139859
Cricket,11,773.4266977868974,189.90168721601367,1.0,1.0
Cricket,12,773.5505752265453,193.60605633445084,0.9861111111111112,0.9860139860139859
Cricket,13,781.7358939349651,189.89013001322746,1.0,1.0
Cricket,14,778.6385708097368,192.8303426578641,0.9861111111111112,0.9860139860139859
Cricket,15,790.9591292124242,195.67013035342097,0.9861111111111112,0.9860139860139859
Cricket,16,796.446109034121,193.62006547674537,1.0,1.0
Cricket,17,796.1258572284132,193.58236148394644,1.0,1.0
Cricket,18,786.3096127007157,193.8492195326835,0.9861111111111112,0.9860139860139859
Cricket,19,801.9370524790138,193.06240983493626,1.0,1.0
ERing,0,39.414841026067734,226.49980515614152,0.9555555555555556,0.9557018109955686
ERing,1,39.01125440187752,225.55950051359832,0.9592592592592593,0.9594917148456169
ERing,2,39.43001526966691,225.1827633548528,0.9518518518518518,0.9519036143562924
ERing,3,39.2307113353163,226.49178006127477,0.9592592592592593,0.9594917148456169
ERing,4,39.21000996790826,226.77396183647215,0.9444444444444444,0.9444010498358324
ERing,5,39.67002219520509,226.3757448066026,0.9518518518518518,0.9520416402769344
ERing,6,39.748117595911026,224.98984183184803,0.9555555555555556,0.9556904806130867
ERing,7,39.765127427875996,225.57947682775557,0.9555555555555556,0.9557018109955686
ERing,8,39.86101232469082,226.22442312538624,0.9481481481481482,0.9483635885035857
ERing,9,39.56382300518453,226.36542244441807,0.9518518518518518,0.9519972935580922
ERing,10,39.88924380764365,227.60349249467254,0.9555555555555556,0.9557333877874696
ERing,11,40.13595476001501,227.42628865502775,0.9481481481481482,0.948435504469987
ERing,12,40.07334054633975,225.51098880544305,0.9592592592592593,0.9594391581413068
ERing,13,39.78383977897465,226.54263205081224,0.9481481481481482,0.9483786366139308
ERing,14,40.157239796593785,226.43191432394087,0.9481481481481482,0.9484162478348525
ERing,15,40.156449783593416,227.14931120164692,0.9629629629629629,0.9632417642853214
ERing,16,40.19901858828962,226.92843328416348,0.9518518518518518,0.9519048495428638
ERing,17,39.9845501575619,226.6690480336547,0.9481481481481482,0.9484162478348525
ERing,18,40.37722868286073,226.58723529614508,0.9555555555555556,0.955828711182613
ERing,19,40.719704523682594,227.07182733900845,0.9592592592592593,0.9594917148456169
Epilepsy,0,138.4037787914276,96.84967460669577,1.0,1.0
Epilepsy,1,137.55396234057844,96.45607812702656,1.0,1.0
Epilepsy,2,138.90650703571737,97.49552677758038,1.0,1.0
Epilepsy,3,138.07982239313424,96.53815758228302,1.0,1.0
Epilepsy,4,138.63108318299055,96.39006581157446,1.0,1.0
Epilepsy,5,138.47260321117938,96.93959544226527,1.0,1.0
Epilepsy,6,138.69405229762197,96.85805209167302,1.0,1.0
Epilepsy,7,138.52704807929695,97.47562427259982,1.0,1.0
Epilepsy,8,139.40737755596638,96.09273463115096,1.0,1.0
Epilepsy,9,138.1279720198363,97.28912165388465,1.0,1.0
Epilepsy,10,138.08954896964133,96.4900101274252,1.0,1.0
Epilepsy,11,139.54824772290885,96.39752578921616,1.0,1.0
Epilepsy,12,137.63930833153427,97.00423401594162,1.0,1.0
Epilepsy,13,138.06082342378795,97.46651697903872,1.0,1.0
Epilepsy,14,138.6097041517496,97.15474505163729,1.0,1.0
Epilepsy,15,139.33431276120245,97.68513470888138,1.0,1.0
Epilepsy,16,139.08169981464744,97.01524942368269,1.0,1.0
Epilepsy,17,139.6168588269502,97.63887179642916,1.0,1.0
Epilepsy,18,137.79964514262974,96.8778442312032,1.0,1.0
Epilepsy,19,139.47582461312413,97.97218291088939,1.0,1.0
EthanolConcentration,0,1168.9503145366907,328.80814331769943,0.33840304182509506,0.32021136319317145
EthanolConcentration,1,1164.5300256349146,322.8274647835642,0.38783269961977185,0.3879594187407292
EthanolConcentration,2,1190.6225189827383,331.7628381513059,0.40304182509505704,0.39087736671458295
EthanolConcentration,3,1183.3460494205356,319.10887700505555,0.3840304182509506,0.36753733399459965
EthanolConcentration,4,1171.9370460398495,325.3478008117527,0.3612167300380228,0.31449631328353894
EthanolConcentration,5,1165.3802703823894,331.7327085528523,0.3269961977186312,0.3183137697455749
EthanolConcentration,6,1120.6340529266745,312.599859861657,0.33840304182509506,0.31032119826565036
EthanolConcentration,7,1167.8434737753123,321.46385381929576,0.39543726235741444,0.3844248732531598
EthanolConcentration,8,1177.4761507213116,311.73041533492506,0.4068441064638783,0.4077622371408774
EthanolConcentration,9,1170.5120799280703,312.9207189679146,0.40304182509505704,0.39370440265812945
EthanolConcentration,10,1130.7096915710717,310.13219692744315,0.33840304182509506,0.33093481640900224
EthanolConcentration,11,1189.289268694818,317.22934004850686,0.3840304182509506,0.36988929411471355
EthanolConcentration,12,1177.1190266087651,316.37741946056485,0.39543726235741444,0.38343393307745544
EthanolConcentration,13,1133.256701823324,310.0403085369617,0.376425855513308,0.3451178992250364
EthanolConcentration,14,1160.3936162367463,316.9884224459529,0.33840304182509506,0.3140679023531568
EthanolConcentration,15,1194.0991471931338,316.3999073635787,0.41064638783269963,0.39822147427091337
