Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,655.8326341770589,415.6670285202563,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,654.5962623730302,417.3033807873726,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,657.0810063108802,418.2006465662271,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,654.8284541796893,416.9568771570921,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,658.1998208351433,419.201728284359,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,652.3105218522251,418.39225057698786,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,655.3845266476274,417.49648101627827,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,655.5790129993111,418.6342973150313,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,657.851734412834,419.29460933431983,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,657.5922016166151,420.8017054926604,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,659.7088648602366,421.682716967538,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,659.7089363709092,421.2197159230709,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,659.7018583342433,419.6490922924131,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,644.890850039199,406.22564815171063,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,646.674589112401,407.86615778692067,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,646.2344410996884,409.50036341510713,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,646.9059145320207,411.2974045202136,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,649.0021049361676,409.39747438021004,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,644.5991524644196,409.05001305416226,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,650.1602305639535,409.6032444797456,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,22.021733328700066,12.073839873075485,0.3333333333333333,0.3444444444444444
AtrialFibrillation,1,21.243089133873582,11.934095053002238,0.3333333333333333,0.3444444444444444
AtrialFibrillation,2,21.432632168754935,12.132568513974547,0.3333333333333333,0.3444444444444444
AtrialFibrillation,3,20.303109480068088,11.840469807386398,0.3333333333333333,0.336026936026936
AtrialFibrillation,4,21.41414986178279,12.07249386049807,0.3333333333333333,0.3286195286195286
AtrialFibrillation,5,20.82220452837646,12.058097688481212,0.3333333333333333,0.3444444444444444
AtrialFibrillation,6,21.3604438547045,12.019750576466322,0.3333333333333333,0.3444444444444444
AtrialFibrillation,7,21.256172204390168,12.079455379396677,0.26666666666666666,0.2878787878787879
AtrialFibrillation,8,21.10424230247736,11.866878220811486,0.26666666666666666,0.2878787878787879
AtrialFibrillation,9,20.6127971932292,12.025347603484988,0.3333333333333333,0.3444444444444444
AtrialFibrillation,10,20.802904412150383,12.059932531788945,0.26666666666666666,0.27542087542087546
AtrialFibrillation,11,20.733191082254052,12.247148087248206,0.26666666666666666,0.2878787878787879
AtrialFibrillation,12,20.93165191449225,12.012185441330075,0.3333333333333333,0.3444444444444444
AtrialFibrillation,13,21.247636530548334,12.00007664039731,0.3333333333333333,0.3444444444444444
AtrialFibrillation,14,20.24936433136463,12.190102813765407,0.3333333333333333,0.336026936026936
