Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,655.2202048972249,414.7233068253845,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,655.5506659466773,415.7207162100822,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,656.9857045765966,417.11272306367755,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,653.3964881040156,415.68155252188444,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,657.1390177886933,416.66798097640276,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,656.4458891414106,416.675059819594,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,656.1987611651421,417.5381541363895,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,656.1656642537564,418.6039138864726,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,657.1357874460518,417.898216502741,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,657.5792585238814,419.80353024974465,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,657.4785674642771,418.90907812677324,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,659.8672288171947,419.9702016636729,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,658.1710495445877,419.82994962483644,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,656.5239267647266,420.08400829322636,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,658.3672314118594,420.13150955177844,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,650.2795281354338,407.79700168035924,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,645.7919740155339,408.6561036929488,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,646.4285442028195,407.0727792829275,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,647.070281021297,408.23364092223346,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,647.7867510952055,409.39856636337936,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.312280876562,11.583386909216642,0.4,0.365079365079365
AtrialFibrillation,1,19.929445197805762,11.444029688835144,0.26666666666666666,0.27542087542087546
AtrialFibrillation,2,20.56283493898809,11.69020758010447,0.2,0.20875420875420878
AtrialFibrillation,3,20.486714327707887,11.387645130977035,0.2,0.20875420875420878
AtrialFibrillation,4,21.303190283477306,11.652082288637757,0.26666666666666666,0.24444444444444446
AtrialFibrillation,5,20.851507304236293,11.314158143475652,0.26666666666666666,0.2878787878787879
AtrialFibrillation,6,20.52938859909773,11.81298978999257,0.26666666666666666,0.27777777777777773
AtrialFibrillation,7,20.77400951832533,11.692214796319604,0.3333333333333333,0.31111111111111106
AtrialFibrillation,8,20.370252694934607,11.732433231547475,0.2,0.20875420875420878
AtrialFibrillation,9,20.40863992460072,11.883332051336765,0.2,0.19393939393939394
AtrialFibrillation,10,20.528846925124526,11.475898675620556,0.3333333333333333,0.32478632478632474
AtrialFibrillation,11,20.015344697982073,11.881023984402418,0.26666666666666666,0.2878787878787879
AtrialFibrillation,12,20.36611802317202,11.565683469176292,0.2,0.19943019943019943
AtrialFibrillation,13,20.792349636554718,11.692339528352022,0.2,0.19393939393939394
AtrialFibrillation,14,21.00356608070433,11.46696706674993,0.26666666666666666,0.24242424242424238
AtrialFibrillation,15,20.347958436235785,11.707026498392224,0.26666666666666666,0.25555555555555554
AtrialFibrillation,16,21.111518131569028,11.613715156912804,0.2,0.2222222222222222
AtrialFibrillation,17,20.708439784124494,11.573114665225148,0.26666666666666666,0.2878787878787879
AtrialFibrillation,18,20.437931610271335,11.710498087108135,0.26666666666666666,0.2619047619047619
AtrialFibrillation,19,20.485326390713453,11.606592485681176,0.26666666666666666,0.2878787878787879
BasicMotions,0,63.16961453668773,49.30681131593883,1.0,1.0
BasicMotions,1,63.042892288416624,48.68345934152603,1.0,1.0
BasicMotions,2,63.434767017140985,49.11562708579004,1.0,1.0
BasicMotions,3,64.13974125683308,49.01631526835263,1.0,1.0
BasicMotions,4,64.07828132994473,48.99500600807369,1.0,1.0
BasicMotions,5,63.83040279336274,49.559218276292086,1.0,1.0
BasicMotions,6,63.95793481729925,49.306772377341986,1.0,1.0
BasicMotions,7,63.85031607747078,49.575583474710584,1.0,1.0
BasicMotions,8,64.04362090490758,49.45515311136842,1.0,1.0
BasicMotions,9,64.11083081550896,50.00475711748004,1.0,1.0
BasicMotions,10,64.5170731022954,49.83583522774279,1.0,1.0
BasicMotions,11,64.86693221703172,50.007352923974395,1.0,1.0
BasicMotions,12,64.1617493480444,50.33471335284412,1.0,1.0
BasicMotions,13,64.41561721265316,50.31682528927922,1.0,1.0
BasicMotions,14,64.38048948347569,50.35072217695415,1.0,1.0
BasicMotions,15,64.97002410143614,50.31014463491738,1.0,1.0
BasicMotions,16,65.39986935816705,50.566271809861064,1.0,1.0
BasicMotions,17,65.13910914212465,50.80861698463559,1.0,1.0
BasicMotions,18,64.69931562431157,51.07982452772558,1.0,1.0
BasicMotions,19,65.57558938860893,50.785873234272,1.0,1.0
Cricket,0,775.2000538576394,187.62625476531684,1.0,1.0
Cricket,1,775.3059539925307,186.9894931577146,1.0,1.0
