Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,649.0213677752763,414.7760048788041,0.98,0.9798187088274045
ArticularyWordRecognition,1,652.4486537333578,415.2620983105153,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,2,653.8547571636736,416.1604285016656,0.98,0.9798187088274045
ArticularyWordRecognition,3,653.3595121838152,415.6038947403431,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,4,655.8576959557831,415.3490967787802,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,5,652.7397020999342,416.47150049358606,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,6,651.7184036038816,416.44497421197593,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,7,651.7899588365108,416.8053743559867,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,8,653.3797698244452,417.25352418236434,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,9,654.6843238472939,416.5886730719358,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,10,653.9374403767288,417.1725628655404,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,11,658.5156951956451,420.5296468064189,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,12,653.1430642344058,421.7253478243947,0.98,0.9798187088274045
ArticularyWordRecognition,13,655.9029270671308,419.0864282846451,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,14,655.4187307339162,417.2201515547931,0.98,0.9798187088274045
ArticularyWordRecognition,15,657.5361621081829,418.05589517205954,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,16,656.7979116570204,421.9445008262992,0.98,0.9798187088274045
ArticularyWordRecognition,17,655.5848687589169,420.4131595622748,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,18,655.1597530711442,421.47082711942494,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,19,659.4582835566252,421.6648005414754,0.98,0.9798187088274045
AtrialFibrillation,0,25.24319870583713,15.377422271296382,0.3333333333333333,0.32756132756132755
AtrialFibrillation,1,24.608152497559786,14.830178188160062,0.3333333333333333,0.3121693121693122
AtrialFibrillation,2,23.786020742729306,15.201591912657022,0.3333333333333333,0.2761904761904762
AtrialFibrillation,3,24.035565201193094,14.839077915996313,0.3333333333333333,0.25000000000000006
AtrialFibrillation,4,24.70934410393238,15.45242402330041,0.3333333333333333,0.3121693121693122
AtrialFibrillation,5,24.65755012817681,15.378692815080285,0.3333333333333333,0.26666666666666666
AtrialFibrillation,6,24.46574448235333,14.88979166187346,0.4,0.3824175824175825
AtrialFibrillation,7,24.536665581166744,15.498653465881944,0.4,0.38730158730158737
AtrialFibrillation,8,24.41101610288024,15.228442501276731,0.26666666666666666,0.2074074074074074
AtrialFibrillation,9,24.11625891365111,14.765266945585608,0.4,0.3563492063492063
AtrialFibrillation,10,24.661640990525484,15.00728360004723,0.3333333333333333,0.24019607843137256
AtrialFibrillation,11,24.942518450319767,15.15706410445273,0.3333333333333333,0.3112535612535613
AtrialFibrillation,12,24.226134810596704,15.152672301977873,0.26666666666666666,0.2074074074074074
AtrialFibrillation,13,24.85460350289941,15.117924431338906,0.3333333333333333,0.3121693121693122
AtrialFibrillation,14,25.052075572311878,15.743880692869425,0.26666666666666666,0.2074074074074074
AtrialFibrillation,15,24.804522378370166,15.299904577434063,0.26666666666666666,0.19907407407407404
AtrialFibrillation,16,24.754379795864224,15.711962655186653,0.4,0.3824175824175825
AtrialFibrillation,17,24.395188177004457,15.123480089008808,0.26666666666666666,0.2074074074074074
AtrialFibrillation,18,23.79303952306509,15.222016936168075,0.26666666666666666,0.2074074074074074
AtrialFibrillation,19,24.75566145963967,15.356410006061196,0.3333333333333333,0.3121693121693122
BasicMotions,0,72.53618286550045,58.52573310025036,1.0,1.0
BasicMotions,1,72.78765122406185,57.82031472027302,1.0,1.0
BasicMotions,2,73.13820635713637,58.22151510231197,1.0,1.0
BasicMotions,3,73.09462672844529,58.30371412821114,1.0,1.0
BasicMotions,4,72.1766092479229,58.668709395453334,1.0,1.0
BasicMotions,5,72.6993457339704,58.174531288444996,1.0,1.0
BasicMotions,6,73.2679334282875,58.28823244199157,1.0,1.0
BasicMotions,7,74.05086403153837,58.94672714732587,1.0,1.0
BasicMotions,8,72.92412374727428,58.79585177637637,1.0,1.0
BasicMotions,9,72.93693546950817,58.49694284424186,1.0,1.0
BasicMotions,10,73.60545220412314,58.99410558305681,1.0,1.0
BasicMotions,11,74.11756241880357,59.6260601580143,1.0,1.0
BasicMotions,12,73.63107381947339,59.262630285695195,1.0,1.0
BasicMotions,13,73.51892107538879,59.90236132778227,1.0,1.0
BasicMotions,14,74.22703114897013,59.27508572861552,1.0,1.0
BasicMotions,15,66.02810188755393,47.415721237659454,1.0,1.0
BasicMotions,16,60.84950424917042,47.17793697305024,1.0,1.0
BasicMotions,17,61.53780476935208,47.26158279925585,1.0,1.0
BasicMotions,18,61.53766434825957,47.55757947266102,1.0,1.0
BasicMotions,19,62.1286347489804,47.69190553575754,1.0,1.0
Cricket,0,752.6496619805694,185.0024750046432,0.9861111111111112,0.9860139860139862
Cricket,1,755.3612115811557,184.55916037224233,1.0,1.0
Cricket,2,755.9433387909085,185.79464604333043,1.0,1.0
Cricket,3,754.3621498402208,183.55989116802812,1.0,1.0
Cricket,4,773.1346010994166,188.78793683834374,0.9861111111111112,0.9860139860139859
Cricket,5,770.0275378506631,188.4823575038463,0.9861111111111112,0.9860139860139862
Cricket,6,776.7526939325035,191.5111602563411,1.0,1.0
