Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,650.4706097524613,406.34501391649246,0.99,0.989824505928854
ArticularyWordRecognition,1,647.0164949204773,407.7239593490958,0.99,0.989824505928854
ArticularyWordRecognition,2,646.3381114192307,407.28727555274963,0.99,0.989824505928854
ArticularyWordRecognition,3,645.709067735821,406.44118914194405,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,648.4349894411862,408.73888282850385,0.99,0.989824505928854
ArticularyWordRecognition,5,647.2259388640523,407.7642084117979,0.99,0.989824505928854
ArticularyWordRecognition,6,646.1041742358357,409.7076076809317,0.99,0.989824505928854
ArticularyWordRecognition,7,646.9804096687585,408.850751273334,0.99,0.989824505928854
ArticularyWordRecognition,8,646.4445157572627,408.92048420757055,0.99,0.989824505928854
ArticularyWordRecognition,9,649.9409954510629,408.36823463626206,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,647.1122085936368,408.60898884013295,0.99,0.989824505928854
ArticularyWordRecognition,11,649.5516614243388,408.5788014642894,0.99,0.989824505928854
ArticularyWordRecognition,12,647.2227540276945,409.64452553354204,0.99,0.989824505928854
ArticularyWordRecognition,13,647.2611125186086,409.24509054236114,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,649.7719288114458,408.89160424284637,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,650.5198292117566,411.11516619473696,0.99,0.989824505928854
ArticularyWordRecognition,16,650.3531974442303,411.78603213094175,0.99,0.989824505928854
ArticularyWordRecognition,17,649.4074673932046,409.8949687965214,0.99,0.989824505928854
ArticularyWordRecognition,18,646.9761796090752,409.37659126892686,0.99,0.989824505928854
ArticularyWordRecognition,19,649.3049960676581,412.0013580303639,0.99,0.989824505928854
AtrialFibrillation,0,22.38996870815754,13.045754557475448,0.3333333333333333,0.2878787878787879
AtrialFibrillation,1,21.912616288289428,12.728293335065246,0.2,0.17777777777777778
AtrialFibrillation,2,22.02178787998855,12.919294623658061,0.3333333333333333,0.26495726495726496
AtrialFibrillation,3,21.821226144209504,12.76963708922267,0.3333333333333333,0.2878787878787879
AtrialFibrillation,4,22.515547439455986,12.939901120960712,0.26666666666666666,0.25925925925925924
AtrialFibrillation,5,22.006791569292545,12.94808386452496,0.3333333333333333,0.26495726495726496
AtrialFibrillation,6,21.7765832003206,12.980460600927472,0.3333333333333333,0.3121693121693122
AtrialFibrillation,7,22.021784445270896,12.938021149486303,0.3333333333333333,0.3112535612535613
AtrialFibrillation,8,22.154399406164885,12.920978847891092,0.2,0.1693121693121693
AtrialFibrillation,9,21.68080957978964,12.818024517968297,0.4,0.3205128205128205
AtrialFibrillation,10,22.03153672069311,12.921732315793633,0.3333333333333333,0.27777777777777773
AtrialFibrillation,11,21.71608013100922,13.16135174408555,0.26666666666666666,0.20952380952380956
AtrialFibrillation,12,21.163575544953346,12.986827993765473,0.3333333333333333,0.2761904761904762
AtrialFibrillation,13,21.951610639691353,13.04749508947134,0.26666666666666666,0.2279202279202279
AtrialFibrillation,14,22.480858393013477,12.98809407837689,0.2,0.16317016317016317
AtrialFibrillation,15,21.637648733332753,12.89642015658319,0.3333333333333333,0.2878787878787879
AtrialFibrillation,16,21.838582729920745,13.035552674904466,0.3333333333333333,0.3112535612535613
AtrialFibrillation,17,21.836769996210933,13.348647808656096,0.3333333333333333,0.3121693121693122
AtrialFibrillation,18,21.21517520211637,13.109859187155962,0.26666666666666666,0.2074074074074074
AtrialFibrillation,19,22.265008874237537,13.147295970469713,0.26666666666666666,0.2323232323232323
BasicMotions,0,65.08734433166683,51.595825074240565,1.0,1.0
BasicMotions,1,65.66439080797136,51.02692483179271,1.0,1.0
BasicMotions,2,65.9381530340761,51.46633083187044,1.0,1.0
BasicMotions,3,65.91229249164462,51.40453102439642,1.0,1.0
BasicMotions,4,66.01248027570546,51.758423049002886,1.0,1.0
BasicMotions,5,66.51287256367505,51.96432065591216,1.0,1.0
BasicMotions,6,66.1621285378933,52.05307163670659,1.0,1.0
BasicMotions,7,66.31960999406874,52.20972647331655,1.0,1.0
BasicMotions,8,66.45702030323446,52.07637557014823,1.0,1.0
BasicMotions,9,66.53882702440023,52.59721305035055,1.0,1.0
BasicMotions,10,66.45060911029577,52.66766024939716,1.0,1.0
BasicMotions,11,66.98249470442533,52.82273357361555,1.0,1.0
BasicMotions,12,66.95199702121317,52.53692656941712,1.0,1.0
BasicMotions,13,67.31699985638261,52.924244463443756,1.0,1.0
BasicMotions,14,67.64425080269575,52.72048378922045,1.0,1.0
BasicMotions,15,67.55634055100381,52.79391348734498,1.0,1.0
BasicMotions,16,67.87576636299491,52.9233519975096,1.0,1.0
BasicMotions,17,67.91285174712539,53.19057326577604,1.0,1.0
BasicMotions,18,66.98880223557353,53.62745623104274,1.0,1.0
BasicMotions,19,67.96101058833301,53.492049587890506,1.0,1.0
Cricket,0,782.1676683370024,188.16532122157514,0.9861111111111112,0.9860139860139859
Cricket,1,790.7686846293509,188.45716231316328,0.9722222222222222,0.9720279720279721
Cricket,2,784.4406487885863,187.69972830079496,0.9861111111111112,0.9860139860139859
Cricket,3,780.4823904726654,187.47829222492874,0.9722222222222222,0.9720279720279721
Cricket,4,805.120160350576,190.24270129576325,0.9722222222222222,0.9720279720279721
Cricket,5,793.4606220442802,190.63055351376534,0.9722222222222222,0.9720279720279721
Cricket,6,814.159810135141,191.56946592405438,0.9861111111111112,0.9860139860139859
Cricket,7,798.6610391307622,189.42028518766165,1.0,1.0
Cricket,8,795.2165488041937,189.92256983742118,0.9722222222222222,0.9720279720279721
Cricket,9,781.8319103084505,191.37117873504758,1.0,1.0
Cricket,10,789.096108879894,189.6467403843999,0.9861111111111112,0.9860139860139859
Cricket,11,785.8195283561945,190.78925693966448,0.9861111111111112,0.9860139860139859
Cricket,12,781.2766602318734,193.32726220414042,0.9722222222222222,0.9720279720279721
Cricket,13,800.2082283739,190.91770548932254,0.9861111111111112,0.9860139860139859
Cricket,14,785.2423817757517,193.06045074760914,0.9861111111111112,0.9860139860139859
Cricket,15,821.7737496327609,196.00056059658527,0.9722222222222222,0.9720279720279721
Cricket,16,792.8863371424377,193.1682163067162,0.9722222222222222,0.9720279720279721
Cricket,17,796.590221023187,192.33156900666654,0.9722222222222222,0.9720279720279721
Cricket,18,806.953151088208,194.64980484358966,0.9722222222222222,0.9720279720279721
Cricket,19,809.4218010902405,196.1917650718242,0.9722222222222222,0.9720279720279721
ERing,0,43.296973114833236,226.8142226357013,0.9555555555555556,0.9556138902913096
ERing,1,44.04018053598702,226.7387862689793,0.9592592592592593,0.9592894684247885
ERing,2,43.293562496080995,226.60202556103468,0.9518518518518518,0.9518445322793149
ERing,3,44.09854300878942,226.31730143539608,0.9518518518518518,0.9519585202291603
ERing,4,44.08863053098321,226.20192347466946,0.9592592592592593,0.9593934784360728
ERing,5,44.369070298969746,226.41036707162857,0.9481481481481482,0.948091644043668
ERing,6,43.81661490909755,226.8882872145623,0.9666666666666667,0.9665774300605763
ERing,7,43.88519277237356,227.05056034959853,0.9592592592592593,0.9592894684247885
ERing,8,44.01928465627134,227.31645944714546,0.9481481481481482,0.948148512470763
ERing,9,44.62142210453749,227.1047021187842,0.9592592592592593,0.9592915386018835
ERing,10,44.39002692140639,227.2003312986344,0.9518518518518518,0.9521511442359826
ERing,11,44.08206167258322,227.57228679023683,0.9518518518518518,0.9519625763152876
ERing,12,44.2062325887382,226.77627901546657,0.9555555555555556,0.9555221068112878
ERing,13,44.49865624308586,228.28377869166434,0.9592592592592593,0.959204524721766
ERing,14,44.61178820580244,228.53341972269118,0.9592592592592593,0.9593667202362854
ERing,15,44.49233905598521,227.67826504819095,0.9592592592592593,0.9592519396867222
ERing,16,44.93154153227806,227.33913039788604,0.9592592592592593,0.959370284332803
ERing,17,45.20785857178271,228.15083312243223,0.9518518518518518,0.9518360477880717
ERing,18,44.63690437935293,228.4899219200015,0.9518518518518518,0.9518445322793149
ERing,19,45.043183187022805,228.64715623483062,0.9592592592592593,0.9592519396867222
Epilepsy,0,142.45707381144166,98.09963669069111,1.0,1.0
Epilepsy,1,140.87943967618048,96.60438000410795,0.9855072463768116,0.9854783533273235
Epilepsy,2,142.14572102576494,98.25896771810949,0.9855072463768116,0.9854783533273235
Epilepsy,3,140.20221245475113,96.90424444712698,1.0,1.0
Epilepsy,4,142.1068107318133,97.31872405856848,1.0,1.0
Epilepsy,5,141.45632629096508,98.36595541797578,1.0,1.0
Epilepsy,6,140.96589761413634,98.27553845196962,1.0,1.0
Epilepsy,7,141.8930569458753,98.10451233573258,1.0,1.0
Epilepsy,8,141.9973763898015,98.48846705071628,1.0,1.0
Epilepsy,9,141.3655633814633,98.11645934171975,1.0,1.0
Epilepsy,10,141.34362185932696,98.08211612515152,0.9927536231884058,0.9927478549282571
Epilepsy,11,142.17935195937753,98.96946759521961,1.0,1.0
Epilepsy,12,141.51903736405075,98.02535287290812,1.0,1.0
Epilepsy,13,141.55305684357882,97.90449165180326,1.0,1.0
Epilepsy,14,141.74003866687417,98.60661859810352,1.0,1.0
Epilepsy,15,142.22452591732144,98.48180820792913,0.9927536231884058,0.9927478549282571
Epilepsy,16,143.85467147268355,98.01232678443193,0.9927536231884058,0.9927478549282571
Epilepsy,17,142.0279212910682,97.70863589644432,0.9927536231884058,0.9927478549282571
Epilepsy,18,141.50071125850081,97.52480577118695,1.0,1.0
Epilepsy,19,142.19857372529805,98.44260661117733,1.0,1.0
EthanolConcentration,0,913.4360370077193,333.50045352987945,0.3231939163498099,0.3149397972116603
EthanolConcentration,1,896.6060591433197,326.4843169916421,0.311787072243346,0.3115060974516908
EthanolConcentration,2,941.1889935936779,334.2447130456567,0.4144486692015209,0.408912793141191
EthanolConcentration,3,941.0253097210079,322.41095251217484,0.33840304182509506,0.321714817366877
EthanolConcentration,4,902.3943115919828,331.52018744312227,0.3155893536121673,0.31108274106909184
EthanolConcentration,5,899.1372958682477,336.1353435199708,0.3269961977186312,0.3229446975202062
EthanolConcentration,6,887.0034208372235,328.68816642835736,0.39543726235741444,0.40099401013156916
EthanolConcentration,7,909.9273835588247,334.08641058951616,0.33840304182509506,0.3338619038729784
EthanolConcentration,8,935.6521822270006,332.1652912199497,0.3041825095057034,0.3027754500600009
EthanolConcentration,9,871.2587600424886,324.4443193990737,0.3612167300380228,0.35153590136099644
EthanolConcentration,10,902.618997387588,326.8121551349759,0.4144486692015209,0.4102715519175163
EthanolConcentration,11,946.7428207173944,335.02694716490805,0.3574144486692015,0.362481973184969
EthanolConcentration,12,887.2111060246825,328.3102638255805,0.34600760456273766,0.33851936206078204
EthanolConcentration,13,898.0645942743868,325.6631990559399,0.33079847908745247,0.3130627426150546
EthanolConcentration,14,945.3313080463558,334.0931066442281,0.34220532319391633,0.3293894035743401
EthanolConcentration,15,944.06052079238,337.312698636204,0.34980988593155893,0.3368673640586182
EthanolConcentration,16,912.6922010444105,336.7598544806242,0.35361216730038025,0.33377846508970016
EthanolConcentration,17,903.6597004178911,334.70450203306973,0.3155893536121673,0.29784310122681007
EthanolConcentration,18,881.645956877619,328.04618379846215,0.3612167300380228,0.3290788844870334
EthanolConcentration,19,916.6565802134573,335.5000668801367,0.3916349809885932,0.3920282667366737
FingerMovements,0,1651.2255657091737,556.9849030561745,0.6,0.5996798719487795
FingerMovements,1,1648.305150648579,557.4186789095402,0.57,0.5637756857981577
FingerMovements,2,1653.9000393096358,558.0559767652303,0.61,0.6094144730257232
FingerMovements,3,1657.693743115291,560.5509744118899,0.54,0.5362962962962964
FingerMovements,4,1657.6467154007405,562.5225766412914,0.55,0.5455086198205464
FingerMovements,5,1664.1010901834816,565.5667714420706,0.58,0.5766183574879227
FingerMovements,6,1665.1350979749113,569.3347460161895,0.59,0.5874042809767862
FingerMovements,7,1666.0805395133793,570.4138659145683,0.59,0.5840651887842899
FingerMovements,8,1672.640656625852,573.896266842261,0.53,0.5231966798258934
FingerMovements,9,1668.7374045383185,574.9450981579721,0.6,0.5967793880837359
FingerMovements,10,1671.910305744037,574.7127893045545,0.54,0.5388942307692307
FingerMovements,11,1671.1007228996605,579.5555961187929,0.58,0.5749090909090908
FingerMovements,12,1675.4109713006765,581.3036535978317,0.54,0.532159090909091
FingerMovements,13,1669.477447628975,584.1459254641086,0.54,0.5362962962962964
FingerMovements,14,1679.9636968970299,586.0491137653589,0.55,0.5471510400964728
FingerMovements,15,1683.2547327335924,587.4112377241254,0.55,0.5455086198205464
FingerMovements,16,1684.1484329998493,588.6656265631318,0.61,0.607530901416943
