Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,647.7632490098476,395.3794153816998,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,645.3701027277857,396.74348279088736,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,646.4139124471694,398.9385210722685,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,3,640.2722085472196,396.23100439459085,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,4,644.3449851106852,398.57207842357457,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,642.2618768848479,399.740471418947,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,643.2241010218859,398.05203891918063,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,642.0528724379838,398.75923589244485,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,8,644.0649446547031,398.31928636692464,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,644.641752731055,400.7142780460417,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,643.1308245398104,399.47343393974006,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,647.4454124420881,411.48621739819646,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,651.6276093926281,410.7563058361411,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,646.5772992037237,411.4625532925129,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,645.5129334107041,410.74650638364255,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,647.0036515686661,411.3736409433186,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,644.3131749723107,409.70722608454525,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,644.5765575114638,409.89060882665217,0.9933333333333333,0.9933275362318841
ArticularyWordRecognition,18,643.2874947767705,412.16431458853185,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,645.0199219994247,411.80838101170957,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.235827088356018,11.731017298996449,0.26666666666666666,0.2692307692307692
AtrialFibrillation,1,20.716940090060234,11.580171903595328,0.26666666666666666,0.30663780663780665
AtrialFibrillation,2,20.63265853188932,11.564811876043677,0.26666666666666666,0.2285714285714286
AtrialFibrillation,3,20.498169966042042,11.452117221429944,0.2,0.2222222222222222
AtrialFibrillation,4,20.47711491584778,11.893435036763549,0.26666666666666666,0.23611111111111113
AtrialFibrillation,5,20.28084542788565,11.939326360821724,0.3333333333333333,0.3095238095238095
AtrialFibrillation,6,20.34508560039103,11.825456568971276,0.2,0.15555555555555556
AtrialFibrillation,7,20.353390775620937,11.839936960488558,0.26666666666666666,0.2692307692307692
AtrialFibrillation,8,19.96618016064167,11.873557601124048,0.3333333333333333,0.3597069597069597
AtrialFibrillation,9,20.604407349601388,11.68086308054626,0.2,0.13333333333333333
