Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,652.5216988958418,406.09842649661005,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,1,648.6052243486047,408.904911307618,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,2,650.4863740298897,405.668285779655,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,3,647.6079179402441,408.2118793092668,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,4,649.851302979514,407.3112664464861,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,5,645.7308660149574,408.818091891706,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,6,648.6386294551194,408.89050598070025,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,7,648.0489004813135,408.9358483813703,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,8,647.7651597075164,408.82154923304915,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,9,648.3781759124249,408.3373821042478,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,10,649.617321960628,407.8094269204885,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,11,650.5878473315388,410.660146728158,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,12,649.8478031866252,410.46219145320356,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,13,647.0207260306925,410.655673885718,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,14,649.5862418040633,409.62999957986176,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,15,649.5667354390025,409.3921292796731,0.99,0.989824505928854
ArticularyWordRecognition,16,650.19837445952,411.00368763692677,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,17,650.0717311371118,410.7275212146342,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,18,648.0328790266067,410.4571717493236,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,19,651.0274974368513,411.34850192815065,0.9866666666666667,0.9864853754940713
AtrialFibrillation,0,22.560993367806077,12.792591257020831,0.3333333333333333,0.3
AtrialFibrillation,1,20.9249859303236,12.744826884940267,0.3333333333333333,0.3121693121693122
AtrialFibrillation,2,21.560870356857777,12.788447454571724,0.3333333333333333,0.3121693121693122
AtrialFibrillation,3,21.08855227008462,12.420929307118058,0.3333333333333333,0.31575091575091574
AtrialFibrillation,4,22.170098727568984,12.820038441568613,0.26666666666666666,0.2644688644688645
AtrialFibrillation,5,21.40702324360609,12.95097591727972,0.2,0.20555555555555555
AtrialFibrillation,6,21.981002857908607,12.914536831900477,0.26666666666666666,0.21445221445221443
AtrialFibrillation,7,21.323319531977177,13.021631482988596,0.3333333333333333,0.3121693121693122
AtrialFibrillation,8,21.314482856541872,12.681570747867227,0.2,0.16666666666666666
AtrialFibrillation,9,21.539001535624266,12.55550224892795,0.2,0.18589743589743588
AtrialFibrillation,10,22.25511429645121,12.932978078722954,0.26666666666666666,0.2644688644688645
AtrialFibrillation,11,22.21934438869357,12.865086816251278,0.3333333333333333,0.3121693121693122
AtrialFibrillation,12,21.945831643417478,12.732645705342293,0.3333333333333333,0.3119047619047619
AtrialFibrillation,13,21.684576392173767,12.88007847033441,0.26666666666666666,0.2644688644688645
AtrialFibrillation,14,21.35191042535007,13.147255139425397,0.3333333333333333,0.3121693121693122
AtrialFibrillation,15,21.662964556366205,12.907187631353736,0.26666666666666666,0.25997150997151
AtrialFibrillation,16,22.19066382944584,13.167585419490933,0.26666666666666666,0.2611111111111111
AtrialFibrillation,17,21.50822194106877,13.407492918893695,0.3333333333333333,0.3121693121693122
AtrialFibrillation,18,21.211049301549792,12.76917788758874,0.3333333333333333,0.3121693121693122
AtrialFibrillation,19,22.239327020943165,13.174939598888159,0.26666666666666666,0.25997150997151
BasicMotions,0,65.18407461605966,51.09669928997755,1.0,1.0
BasicMotions,1,65.46461400017142,50.5993208643049,1.0,1.0
BasicMotions,2,65.2870658095926,50.6068314909935,1.0,1.0
BasicMotions,3,66.06735439412296,51.168534360826015,1.0,1.0
BasicMotions,4,66.20383550785482,51.26579917035997,1.0,1.0
BasicMotions,5,65.59831367060542,50.79300548322499,1.0,1.0
BasicMotions,6,65.66645633243024,51.60825154185295,1.0,1.0
BasicMotions,7,66.75500704720616,51.67666049301624,1.0,1.0
BasicMotions,8,66.22945990785956,52.312510224059224,1.0,1.0
BasicMotions,9,66.09066861122847,51.91699455678463,1.0,1.0
BasicMotions,10,66.88489862717688,51.633144272491336,1.0,1.0
BasicMotions,11,66.73658017255366,52.17585228942335,1.0,1.0
BasicMotions,12,66.88694053888321,52.19795598089695,1.0,1.0
BasicMotions,13,66.87042155489326,51.73933685943484,1.0,1.0
BasicMotions,14,66.89373177662492,52.584070447832346,1.0,1.0
BasicMotions,15,67.74004695937037,52.766608990728855,1.0,1.0
BasicMotions,16,67.3647777363658,52.74266521446407,1.0,1.0
BasicMotions,17,67.77146942727268,52.28437675908208,1.0,1.0
BasicMotions,18,67.67624211125076,52.943712720647454,1.0,1.0
BasicMotions,19,67.95492945425212,53.570883341133595,1.0,1.0
Cricket,0,767.2322101853788,190.66471348144114,1.0,1.0
Cricket,1,766.9734114017338,189.57474740222096,1.0,1.0
