Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,651.0536000002176,409.3826278652996,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,646.9602307155728,412.0454674754292,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,650.2473771516234,413.7391042429954,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,641.6457233205438,405.2310379482806,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,643.1705856621265,405.98355495743454,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,643.3316297326237,406.6975919082761,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,644.1959909200668,407.56596817635,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,643.7450634539127,409.82464050874114,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,639.2783551551402,408.8195903804153,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,643.8221382312477,409.1095189154148,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,643.111006129533,407.97539967671037,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,646.0962257999927,407.43891738541424,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,643.4650666601956,406.26214476302266,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,640.1688713058829,406.5966329239309,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,641.528120899573,405.0282053761184,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,645.0082414392382,406.7146278563887,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,641.8992725741118,407.16679665260017,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,643.7332092784345,408.4384771287441,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,643.2228914406151,406.9760816693306,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,644.3236384950578,408.63998832553625,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.81325362250209,12.333162603899837,0.2,0.2222222222222222
AtrialFibrillation,1,20.99937772192061,12.492224346846342,0.26666666666666666,0.27542087542087546
AtrialFibrillation,2,21.163012208417058,12.17440308816731,0.2,0.2222222222222222
AtrialFibrillation,3,21.202398290857673,12.07722812704742,0.2,0.20875420875420878
AtrialFibrillation,4,21.232804169878364,12.399530544877052,0.3333333333333333,0.3444444444444444
AtrialFibrillation,5,21.912600183859468,12.547638216987252,0.2,0.2222222222222222
AtrialFibrillation,6,21.66490170918405,12.264343744143844,0.3333333333333333,0.32478632478632474
AtrialFibrillation,7,21.328620305284858,12.564465787261724,0.2,0.2222222222222222
AtrialFibrillation,8,20.884922927245498,12.360509878024459,0.2,0.2222222222222222
AtrialFibrillation,9,21.56776686012745,12.486975135281682,0.26666666666666666,0.2606060606060606
AtrialFibrillation,10,21.69919317215681,12.529177471995354,0.26666666666666666,0.27777777777777773
AtrialFibrillation,11,21.776483727619052,12.537980049848557,0.3333333333333333,0.34949494949494947
AtrialFibrillation,12,21.28210617043078,12.50158866867423,0.13333333333333333,0.13095238095238096
AtrialFibrillation,13,21.54977255500853,12.595356028527021,0.2,0.20875420875420878
AtrialFibrillation,14,20.72240891866386,12.660817546769977,0.3333333333333333,0.33468013468013463
AtrialFibrillation,15,21.633440831676126,12.899245401844382,0.26666666666666666,0.2735042735042735
AtrialFibrillation,16,21.60893298499286,12.410967836156487,0.26666666666666666,0.2878787878787879
AtrialFibrillation,17,20.99277777224779,11.811829812824726,0.3333333333333333,0.34949494949494947
AtrialFibrillation,18,20.297756403684616,12.468444339931011,0.26666666666666666,0.2619047619047619
AtrialFibrillation,19,21.35703253187239,12.426562495529652,0.26666666666666666,0.2878787878787879
BasicMotions,0,64.50732544995844,51.02334896288812,1.0,1.0
BasicMotions,1,64.79417479224503,51.22675757482648,1.0,1.0
BasicMotions,2,64.70896800234914,51.13804180920124,1.0,1.0
BasicMotions,3,65.51271853595972,50.882365414872766,1.0,1.0
BasicMotions,4,65.6510125156492,50.87641258910298,1.0,1.0
BasicMotions,5,65.53507436439395,51.2763653434813,1.0,1.0
BasicMotions,6,65.49732632748783,51.89204877242446,1.0,1.0
BasicMotions,7,65.35896360874176,51.817592630162835,1.0,1.0
BasicMotions,8,65.76450303010643,52.03535094298422,1.0,1.0
BasicMotions,9,65.60391416028142,52.25355570949614,1.0,1.0
BasicMotions,10,65.71735249832273,51.96346138417721,1.0,1.0
BasicMotions,11,65.79995059967041,52.38347872532904,1.0,1.0
BasicMotions,12,65.4310356285423,52.40741227567196,1.0,1.0
BasicMotions,13,66.14762383885682,52.44180742837489,1.0,1.0
BasicMotions,14,66.44121890515089,53.02349924854934,1.0,1.0
BasicMotions,15,65.97612754628062,52.48032381385565,1.0,1.0
BasicMotions,16,66.60661504045129,53.44898441620171,1.0,1.0
BasicMotions,17,66.24437252804637,53.439220329746604,1.0,1.0
BasicMotions,18,66.48805957660079,53.32545883767307,1.0,1.0
BasicMotions,19,67.15411180444062,52.274215422570705,1.0,1.0
Cricket,0,755.9597004149109,190.55181129649282,0.9861111111111112,0.9860139860139859
Cricket,1,759.1606921646744,186.88437888771296,0.9861111111111112,0.9860139860139859
Cricket,2,746.6827863678336,188.45129273086786,0.9861111111111112,0.9860139860139859
Cricket,3,763.9232524354011,186.33647536858916,0.9861111111111112,0.9860139860139859
Cricket,4,761.3957747034729,191.73683591187,0.9861111111111112,0.9860139860139859
Cricket,5,761.3873768653721,192.83736846782267,1.0,1.0
Cricket,6,777.2531251199543,193.068326395005,1.0,1.0
Cricket,7,757.090897064656,190.11751557700336,0.9861111111111112,0.9860139860139859
Cricket,8,768.3837864771485,190.84033963270485,1.0,1.0
Cricket,9,759.9112579505891,188.62869734317064,0.9861111111111112,0.9860139860139859
Cricket,10,751.2677272520959,189.7572703305632,1.0,1.0
Cricket,11,766.7135650068521,190.73190761730075,1.0,1.0
Cricket,12,761.7428596578538,192.30949328653514,0.9861111111111112,0.9860139860139859
Cricket,13,773.2719054333866,189.12821807526052,1.0,1.0
Cricket,14,766.0810316577554,191.65516061335802,0.9861111111111112,0.9860139860139859
Cricket,15,769.8618525471538,195.27427012845874,1.0,1.0
Cricket,16,772.8232060559094,192.58218507282436,1.0,1.0
Cricket,17,767.5737007614225,195.31396621651947,1.0,1.0
Cricket,18,775.2869072984904,193.54268712736666,1.0,1.0
Cricket,19,778.8364915791899,195.65037643536925,1.0,1.0
ERing,0,43.04303095676005,224.60892152041197,0.9518518518518518,0.9520472985388783
ERing,1,42.648152995854616,224.338260948658,0.9629629629629629,0.9632403923738372
ERing,2,42.67386054806411,225.27679627761245,0.9555555555555556,0.9555424700268677
ERing,3,43.03771380521357,226.36289642378688,0.9518518518518518,0.9519048495428638
ERing,4,43.416390869766474,226.5249709766358,0.9444444444444444,0.9444010498358324
ERing,5,43.07505256123841,225.79429684206843,0.9555555555555556,0.9558830537403832
ERing,6,43.133518343791366,226.43159457854927,0.9555555555555556,0.9556904806130867
ERing,7,43.90394437126815,225.6474488619715,0.9555555555555556,0.9556501678949237
ERing,8,43.59750625304878,226.24136201106012,0.9481481481481482,0.9483635885035857
ERing,9,43.72379416041076,226.17574502155185,0.9555555555555556,0.9558429118773945
ERing,10,43.53642932139337,225.40517973154783,0.9518518518518518,0.9521725970458575
ERing,11,44.184330290183425,225.20326389931142,0.9518518518518518,0.9520962216138503
ERing,12,43.77996248751879,226.06463328935206,0.9407407407407408,0.9408884326677531
ERing,13,44.19630606472492,226.2972613479942,0.9518518518518518,0.9520416402769344
ERing,14,43.53991208784282,224.9562771730125,0.9444444444444444,0.9445745007176055
ERing,15,43.852296927943826,226.38972799107432,0.9629629629629629,0.9632417642853214
ERing,16,43.74741313420236,225.02349860221148,0.9444444444444444,0.9445460016992244
ERing,17,44.48347126506269,225.8452770859003,0.9444444444444444,0.9445822095416415
ERing,18,44.55570421926677,225.59745572134852,0.9518518518518518,0.9521711611326686
ERing,19,44.662209425121546,225.3199029415846,0.9555555555555556,0.9558787161633994
Epilepsy,0,138.0070165079087,96.52241395227611,1.0,1.0
Epilepsy,1,138.24983470886946,95.88629107177258,1.0,1.0
Epilepsy,2,138.9360444881022,97.22942556254566,1.0,1.0
Epilepsy,3,139.26918330788612,96.832584541291,1.0,1.0
Epilepsy,4,138.67319129407406,97.15830356255174,1.0,1.0
Epilepsy,5,138.9601238500327,96.6809813529253,1.0,1.0
Epilepsy,6,138.65783944167197,95.61975847557187,1.0,1.0
Epilepsy,7,139.25471013784409,96.09447134286165,1.0,1.0
Epilepsy,8,138.09269756823778,97.59049355611205,1.0,1.0
Epilepsy,9,138.31091799028218,95.75078237242997,1.0,1.0
Epilepsy,10,137.84898100048304,95.93349745310843,1.0,1.0
Epilepsy,11,138.8552797716111,96.37980063259602,1.0,1.0
Epilepsy,12,138.25774209201336,96.0972951054573,1.0,1.0
Epilepsy,13,138.3827206492424,96.8570887837559,1.0,1.0
Epilepsy,14,138.54250664450228,97.10749971494079,1.0,1.0
Epilepsy,15,138.3601070623845,96.9948010277003,1.0,1.0
Epilepsy,16,139.16582725569606,96.38142204284668,1.0,1.0
Epilepsy,17,138.47229970991611,96.54128848947585,1.0,1.0
Epilepsy,18,138.03897747769952,96.98053405620158,1.0,1.0
Epilepsy,19,139.34215490147471,97.50669797323644,1.0,1.0
EthanolConcentration,0,1080.3992370646447,315.4837430808693,0.3916349809885932,0.3733654679524641
EthanolConcentration,1,1052.041372237727,314.3687552474439,0.28517110266159695,0.24123731885000266
EthanolConcentration,2,1078.0141317024827,316.1632806491107,0.3193916349809886,0.2414585817127342
EthanolConcentration,3,1134.1305274777114,309.85459309257567,0.376425855513308,0.3308093834959004
EthanolConcentration,4,1108.7918741255999,316.11280027218163,0.2889733840304182,0.19083293069456925
EthanolConcentration,5,1039.9218438584358,320.7826952766627,0.30038022813688214,0.2349712224946451
EthanolConcentration,6,1067.104393137619,314.82014062069356,0.33079847908745247,0.26816699134646005
EthanolConcentration,7,1127.1019764505327,321.4963395278901,0.25475285171102663,0.10848336449995225
EthanolConcentration,8,1085.4637239351869,318.48009165376425,0.34220532319391633,0.29945306489161916
EthanolConcentration,9,1074.5386517960578,312.5955391600728,0.28517110266159695,0.21142665249129128
EthanolConcentration,10,1075.0054199974984,310.2925314679742,0.30038022813688214,0.2532634325107944
EthanolConcentration,11,1094.0759134273976,320.516031332314,0.29277566539923955,0.2903686282791779
EthanolConcentration,12,1045.3939336389303,317.6733190882951,0.28517110266159695,0.25198532245402544
EthanolConcentration,13,1140.5089103877544,314.30073158442974,0.35361216730038025,0.31866819154965537
EthanolConcentration,14,1084.4974558595568,317.1189395226538,0.25475285171102663,0.19793353582179438
EthanolConcentration,15,1127.235159413889,321.8445457685739,0.27756653992395436,0.17254733324591356
EthanolConcentration,16,1076.2821635380387,323.3823016155511,0.2965779467680608,0.1988681879078186
EthanolConcentration,17,1066.7820602301508,321.47995034605265,0.311787072243346,0.24245166818400898
EthanolConcentration,18,1103.421963583678,316.1823098696768,0.2965779467680608,0.28736691878336706
EthanolConcentration,19,1076.9279725886881,319.1495746243745,0.30038022813688214,0.2824855552276812
FingerMovements,0,1659.001327386126,561.3368245419115,0.59,0.5859078536142756
FingerMovements,1,1633.4428475759923,549.2997292671353,0.55,0.5471510400964728
FingerMovements,2,1637.2153152767569,549.311507275328,0.56,0.5525000000000001
FingerMovements,3,1634.9013363793492,553.49045817554,0.52,0.5176876756322762
FingerMovements,4,1638.0599995478988,555.2850790265948,0.54,0.5362962962962964
FingerMovements,5,1645.3603717274964,559.9569522570819,0.52,0.5161352657004832
FingerMovements,6,1646.4523360077292,560.7526899538934,0.55,0.5471510400964728
FingerMovements,7,1646.9680425859988,564.1225765794516,0.51,0.5051093860268172
FingerMovements,8,1651.5082382634282,567.0982109718025,0.49,0.4867711787760024
FingerMovements,9,1653.3147280141711,568.200620541349,0.53,0.5231966798258934
FingerMovements,10,1653.6580934524536,570.3027746602893,0.52,0.5188461538461538
FingerMovements,11,1654.5042031798512,573.0004557017237,0.57,0.5637756857981577
FingerMovements,12,1656.3656450826675,575.3457047287375,0.53,0.5206774488861764
FingerMovements,13,1652.774730278179,575.6605309918523,0.57,0.5672776605366294
FingerMovements,14,1657.082406071946,578.8367586154491,0.58,0.5779767161782416
FingerMovements,15,1661.0805772375315,581.3119866717607,0.55,0.5382608695652173
FingerMovements,16,1663.9059763923287,582.3216322679073,0.52,0.5118181818181818
FingerMovements,17,1669.9980126954615,585.9903009906411,0.54,0.5344242424242425
FingerMovements,18,1667.6703053675592,588.6197130233049,0.56,0.5564573268921095
FingerMovements,19,1670.0839933473617,589.096736036241,0.56,0.5525000000000001
HandMovementDirection,0,793.9422524217516,256.8708779644221,0.22972972972972974,0.23085835853776207
HandMovementDirection,1,793.8918238840997,261.418146930635,0.3783783783783784,0.38353978978978975
HandMovementDirection,2,798.5779120959342,256.793277380988,0.2972972972972973,0.30050622723036524
HandMovementDirection,3,791.6860972996801,255.90128574334085,0.2972972972972973,0.3005900394267022
HandMovementDirection,4,797.817815348506,255.81619293428957,0.25675675675675674,0.254280054955079
HandMovementDirection,5,793.696308830753,255.768205139786,0.32432432432432434,0.3307697098019679
HandMovementDirection,6,792.952403716743,258.75120628997684,0.35135135135135137,0.3463529183832789
HandMovementDirection,7,795.4541701003909,258.60197758488357,0.33783783783783783,0.34208845208845207
HandMovementDirection,8,789.750767884776,253.19389034807682,0.25675675675675674,0.27386376322546535
HandMovementDirection,9,793.5828800033778,259.6264472808689,0.32432432432432434,0.315268461721551
HandMovementDirection,10,790.4875009693205,259.5910950805992,0.2972972972972973,0.3016928069559649
HandMovementDirection,11,798.4267428778112,257.3486632797867,0.3783783783783784,0.3901251655877371
HandMovementDirection,12,795.84637706168,261.4576189480722,0.33783783783783783,0.3435734855089694
HandMovementDirection,13,790.7915674690157,256.2868045847863,0.28378378378378377,0.2672386462709044
HandMovementDirection,14,796.4159741774201,264.0636959467083,0.3108108108108108,0.29880765246618907
HandMovementDirection,15,800.0760804452002,260.20044332556427,0.25675675675675674,0.2606923451518046
HandMovementDirection,16,796.835249280557,264.7118901051581,0.32432432432432434,0.32680346193859705
HandMovementDirection,17,795.1655951645225,260.3321450520307,0.25675675675675674,0.25765363116806245
HandMovementDirection,18,794.5926164407283,261.30421331338584,0.35135135135135137,0.35431785195936144
HandMovementDirection,19,801.4364643339068,262.21431190893054,0.3108108108108108,0.3098713686948981
Handwriting,0,147.84118315950036,331.6600486431271,0.2752941176470588,0.24473816652940286
Handwriting,1,147.90097669512033,330.4395374879241,0.2647058823529412,0.23771862903264698
Handwriting,2,147.3656846359372,332.56095895916224,0.27176470588235296,0.24531990610652382
Handwriting,3,146.56684590876102,335.81467175483704,0.2752941176470588,0.24928316427124045
Handwriting,4,148.8055790811777,331.56470879353583,0.2635294117647059,0.23620557774603337
Handwriting,5,149.24048871174455,332.91753117740154,0.28352941176470586,0.2550208921569194
Handwriting,6,145.8010884616524,331.05266005173326,0.2647058823529412,0.23902476146865695
Handwriting,7,147.01316648349166,330.65319259651005,0.27647058823529413,0.25369280175531256
Handwriting,8,149.59266071021557,332.547241974622,0.2541176470588235,0.22741239415910447
Handwriting,9,146.80578245036304,336.00171018764377,0.28,0.25433554441309514
Handwriting,10,145.9808266442269,332.83204640075564,0.28,0.24819240881033275
Handwriting,11,147.3952776454389,337.3852170612663,0.24705882352941178,0.22004918621240058
Handwriting,12,145.450431201607,334.47378631681204,0.2788235294117647,0.2548319292211943
Handwriting,13,147.42054951004684,333.718598138541,0.26705882352941174,0.23815715670183996
Handwriting,14,148.74382173456252,336.85734757967293,0.25529411764705884,0.23226017609928984
Handwriting,15,147.4963562078774,333.1495815515518,0.2564705882352941,0.23567923770576135
Handwriting,16,147.26893834024668,332.21847828291357,0.25882352941176473,0.23623346436020293
Handwriting,17,147.7798551172018,337.0858520139009,0.2647058823529412,0.24076760852816023
Handwriting,18,146.26131825521588,334.6885587591678,0.27058823529411763,0.24341816648213752
Handwriting,19,148.80536725185812,333.36954223550856,0.27294117647058824,0.2453634662246003
Heartbeat,0,5990.5011671334505,3321.2414185740054,0.7658536585365854,0.7506136398943608
Heartbeat,1,5811.092663038522,3126.219011666253,0.775609756097561,0.7610047382320957
Heartbeat,2,5856.374100444838,3155.3289384450763,0.7707317073170732,0.752440637665764
Heartbeat,3,5915.45093001239,3205.374627377838,0.775609756097561,0.7588394106402686
Heartbeat,4,5943.9641325790435,3240.6427767165005,0.7658536585365854,0.7527434238235632
Heartbeat,5,5969.939443770796,3253.2685261778533,0.7658536585365854,0.7483541676246279
Heartbeat,6,5988.371649760753,3282.018918758258,0.775609756097561,0.763045781164248
Heartbeat,7,5986.576229782775,3290.838212603703,0.7609756097560976,0.744281842818428
Heartbeat,8,6033.487364144996,3310.174128452316,0.7804878048780488,0.7629750786161572
Heartbeat,9,6049.019911203533,3333.457978190854,0.7707317073170732,0.752440637665764
Heartbeat,10,6072.348680384457,3367.517816118896,0.775609756097561,0.7588394106402686
Heartbeat,11,6085.89309188351,3386.244431933388,0.7609756097560976,0.744281842818428
