Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,650.047665540129,414.87457076087594,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,1,650.4282819423825,415.9810068141669,0.99,0.989824505928854
ArticularyWordRecognition,2,651.2285594847053,414.82505533471704,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,3,647.3078507799655,415.24230693280697,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,4,651.2518472094089,415.44646817073226,0.99,0.989824505928854
ArticularyWordRecognition,5,650.7959940582514,415.3972795121372,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,6,650.6014008130878,417.52592924050987,0.99,0.989824505928854
ArticularyWordRecognition,7,650.6542333438993,416.36645826138556,0.99,0.989824505928854
ArticularyWordRecognition,8,645.0171282142401,402.90227704308927,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,9,642.1961511299014,402.96945931762457,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,10,643.2002752162516,405.0172335077077,0.99,0.989824505928854
ArticularyWordRecognition,11,643.6840669456869,405.1597757190466,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,12,643.0448878053576,405.69939839467406,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,13,640.1042856518179,405.77595309726894,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,14,640.8683351483196,403.34039885737,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,15,642.5358931999654,405.93840913660824,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,16,642.971276614815,406.54009781964123,0.9833333333333333,0.9831578392621872
ArticularyWordRecognition,17,642.2658990677446,406.8220437001437,0.9833333333333333,0.9831462450592884
ArticularyWordRecognition,18,641.2708860635757,405.0725519992411,0.9866666666666667,0.9864853754940713
ArticularyWordRecognition,19,644.7249493263662,406.6104794573039,0.9866666666666667,0.9864853754940713
AtrialFibrillation,0,22.135252440348268,12.207011178135872,0.4,0.4090909090909091
AtrialFibrillation,1,20.97769566439092,11.865522962063551,0.4666666666666667,0.4666666666666667
AtrialFibrillation,2,21.480909580364823,12.13361620157957,0.4,0.38311688311688313
AtrialFibrillation,3,20.71528403274715,11.925045631825924,0.4,0.38636363636363635
AtrialFibrillation,4,21.5379307474941,12.290799817070365,0.4666666666666667,0.4666666666666667
AtrialFibrillation,5,20.629899319261312,12.189541095867753,0.4,0.38311688311688313
AtrialFibrillation,6,21.21549249999225,12.148712810128927,0.4,0.38730158730158737
AtrialFibrillation,7,20.86960680410266,12.401790020987391,0.4,0.38636363636363635
AtrialFibrillation,8,21.22994413226843,11.905386783182621,0.4666666666666667,0.4336996336996337
AtrialFibrillation,9,20.948855198919773,12.481740159913898,0.3333333333333333,0.31575091575091574
AtrialFibrillation,10,21.578355196863413,12.414648422971368,0.4,0.38636363636363635
AtrialFibrillation,11,21.22738952934742,12.418537650257349,0.4,0.38311688311688313
AtrialFibrillation,12,21.439792351797223,12.199256522580981,0.3333333333333333,0.336026936026936
AtrialFibrillation,13,22.11713656783104,12.30236236564815,0.4,0.3563492063492063
AtrialFibrillation,14,21.28857607394457,12.52559843659401,0.4,0.3952861952861953
AtrialFibrillation,15,21.59046319127083,12.444484381005168,0.4,0.38311688311688313
AtrialFibrillation,16,21.76353758573532,12.296803537756205,0.4,0.38311688311688313
AtrialFibrillation,17,21.351539807394147,12.456702049821615,0.4,0.38311688311688313
AtrialFibrillation,18,21.773190764710307,12.329836813732982,0.4666666666666667,0.4444444444444445
AtrialFibrillation,19,21.52758284844458,12.463906535878778,0.4,0.40269360269360277
BasicMotions,0,63.80803135596216,49.403151106089354,1.0,1.0
BasicMotions,1,64.43748889118433,49.53278597444296,1.0,1.0
BasicMotions,2,64.37537096254528,49.78287793882191,1.0,1.0
BasicMotions,3,64.09239406697452,49.647524032741785,1.0,1.0
BasicMotions,4,64.74945252016187,49.9150277543813,1.0,1.0
BasicMotions,5,63.88165266625583,50.10648216679692,1.0,1.0
BasicMotions,6,64.61669975146651,49.796045342460275,1.0,1.0
BasicMotions,7,64.85663927905262,50.17860899493098,1.0,1.0
BasicMotions,8,64.576909577474,50.661988547071815,1.0,1.0
BasicMotions,9,64.5857257079333,50.174299197271466,1.0,1.0
BasicMotions,10,65.15416924469173,50.47457753121853,1.0,1.0
BasicMotions,11,65.30810135789216,50.4510604031384,1.0,1.0
BasicMotions,12,65.75348445028067,50.851916367188096,1.0,1.0
BasicMotions,13,64.75833953917027,51.045581778511405,1.0,1.0
BasicMotions,14,65.08874425850809,51.300971860066056,1.0,1.0
BasicMotions,15,65.87589019536972,50.92400610819459,1.0,1.0
BasicMotions,16,66.24255466647446,50.983061676844954,1.0,1.0
BasicMotions,17,65.586028104648,51.30774593167007,1.0,1.0
BasicMotions,18,65.95150918141007,51.276619324460626,1.0,1.0
BasicMotions,19,66.2971766050905,51.614988224580884,1.0,1.0
Cricket,0,769.2912326082587,189.21523247472942,0.9861111111111112,0.9860139860139859
Cricket,1,770.9902533330023,188.6071713641286,0.9722222222222222,0.9720279720279721
Cricket,2,767.9595481343567,188.6307415254414,1.0,1.0
Cricket,3,761.3508283235133,186.63171630352736,1.0,1.0
Cricket,4,773.373651061207,190.1394844353199,0.9861111111111112,0.9860139860139859
Cricket,5,777.3179239090532,191.06970799155533,0.9861111111111112,0.9860139860139859
Cricket,6,781.1341412253678,193.03394567780197,0.9861111111111112,0.9860139860139859
Cricket,7,773.2085544131696,191.4419453665614,1.0,1.0
Cricket,8,780.764749713242,192.28068858012557,0.9861111111111112,0.9860139860139859
Cricket,9,769.9296923000365,189.59261958301067,0.9861111111111112,0.9860139860139859
Cricket,10,777.9587553031743,188.3935041371733,0.9861111111111112,0.9860139860139859
Cricket,11,769.5688501764089,189.78940142691135,0.9583333333333334,0.9581390831390831
Cricket,12,768.1143797077239,192.51013006828725,1.0,1.0
Cricket,13,771.6208089739084,192.04447992891073,1.0,1.0
Cricket,14,778.6805804483593,193.06712916493416,0.9861111111111112,0.9860139860139862
Cricket,15,792.9907138030976,192.10314430110157,0.9861111111111112,0.9860139860139859
Cricket,16,792.3105959575623,193.32934725098312,0.9861111111111112,0.9860139860139859
Cricket,17,787.788011495024,194.26972462050617,0.9861111111111112,0.9860139860139859
Cricket,18,786.7751523628831,193.57463258318603,1.0,1.0
Cricket,19,798.6690868828446,195.38752661645412,1.0,1.0
ERing,0,42.61350937373936,224.54502481408417,0.9629629629629629,0.962952868387651
ERing,1,42.0572001375258,223.24386029690504,0.9592592592592593,0.9594818880772361
ERing,2,42.13227785937488,224.56505450606346,0.9518518518518518,0.9522457474408982
ERing,3,42.03832389973104,224.43360838852823,0.9592592592592593,0.9595266442040636
ERing,4,42.43108405545354,223.31064352579415,0.9555555555555556,0.9557471916167569
ERing,5,42.59605203010142,223.84698527492583,0.9592592592592593,0.9594517801039539
ERing,6,42.34400090388954,223.93819176219404,0.9592592592592593,0.9594859441633635
ERing,7,42.475002463907,223.7245353385806,0.9555555555555556,0.9559334479547246
ERing,8,42.669292628765106,224.14820996299386,0.9518518518518518,0.9518440153271613
ERing,9,42.99487582407892,223.4049098547548,0.9592592592592593,0.9594859441633635
ERing,10,42.78145080804825,224.48655911535025,0.9592592592592593,0.9592944092944095
ERing,11,43.13436125777662,223.12814325280488,0.9518518518518518,0.952006327006327
ERing,12,42.63365629315376,224.5727182533592,0.9592592592592593,0.9594898257941736
ERing,13,43.867001658305526,224.5212994609028,0.9629629629629629,0.9630347867768482
ERing,14,42.94276219047606,224.68839341960847,0.9518518518518518,0.9520296609006287
ERing,15,43.595501478761435,224.3845023959875,0.9481481481481482,0.9486687792571885
ERing,16,42.94705309160054,224.28127923049033,0.9592592592592593,0.9594859441633635
ERing,17,43.66557525284588,225.00592398829758,0.9629629629629629,0.9631147837669577
ERing,18,43.11181945540011,224.8269359972328,0.9555555555555556,0.9558488467465277
ERing,19,43.665914196521044,224.65943896584213,0.9555555555555556,0.9557009027378728
Epilepsy,0,140.8992406502366,96.8379119746387,1.0,1.0
Epilepsy,1,138.86209650337696,96.02197484485805,1.0,1.0
Epilepsy,2,142.01548325270414,96.15573344379663,1.0,1.0
Epilepsy,3,139.63921258412302,95.9063074644655,1.0,1.0
Epilepsy,4,139.63609481789172,96.79482919350266,1.0,1.0
Epilepsy,5,140.12993594445288,96.07989799790084,1.0,1.0
Epilepsy,6,139.05076459422708,96.33693407475948,1.0,1.0
Epilepsy,7,139.889963041991,97.06507978960872,1.0,1.0
Epilepsy,8,139.83011982776225,96.46710590459406,1.0,1.0
Epilepsy,9,139.60382129997015,96.1223299447447,1.0,1.0
Epilepsy,10,140.64639452286065,96.35945472493768,1.0,1.0
Epilepsy,11,139.3039395492524,96.57387036271393,1.0,1.0
Epilepsy,12,139.30589886568487,96.60019591078162,1.0,1.0
Epilepsy,13,140.34872695617378,97.37602541595697,1.0,1.0
Epilepsy,14,140.3011419288814,97.45889800973237,1.0,1.0
Epilepsy,15,141.0830995645374,96.35122036747634,1.0,1.0
Epilepsy,16,139.98299605958164,97.35128795541823,1.0,1.0
Epilepsy,17,140.23769079707563,96.95797410607338,1.0,1.0
Epilepsy,18,138.3490908406675,97.85891446471214,1.0,1.0
Epilepsy,19,140.33781627751887,96.61961357109249,1.0,1.0
EthanolConcentration,0,920.1732770241797,334.3189705722034,0.3650190114068441,0.3441309912607325
EthanolConcentration,1,895.8841601070017,329.60845835134387,0.3726235741444867,0.35274811584339233
EthanolConcentration,2,902.7109975628555,338.084887444973,0.3650190114068441,0.36272303072769563
EthanolConcentration,3,913.4771237205714,326.97677480615675,0.34220532319391633,0.3278801737468422
EthanolConcentration,4,894.9162259679288,335.0604249238968,0.38783269961977185,0.38316622878529066
EthanolConcentration,5,882.4864674769342,338.512838145718,0.2889733840304182,0.2930716105650769
EthanolConcentration,6,875.2040291801095,331.82287891209126,0.3231939163498099,0.3280433218235199
EthanolConcentration,7,885.653500135988,336.51670679077506,0.3193916349809886,0.3108608876275414
EthanolConcentration,8,915.508618388325,333.4539925195277,0.3612167300380228,0.3636579874711842
EthanolConcentration,9,887.5930348020047,327.6502399072051,0.35361216730038025,0.34986046441690855
EthanolConcentration,10,885.0701707191765,328.32230786420405,0.33079847908745247,0.32956669002119615
EthanolConcentration,11,911.3646876830608,338.1020973622799,0.3688212927756654,0.3725667543970365
EthanolConcentration,12,878.9579249769449,332.4880673363805,0.3155893536121673,0.31624770138226943
EthanolConcentration,13,891.7456970699131,330.472558317706,0.38022813688212925,0.3724066048020421
EthanolConcentration,14,906.0144330877811,336.66080907173455,0.34980988593155893,0.3232618992830032
EthanolConcentration,15,913.2094339244068,342.2236984092742,0.35361216730038025,0.3591115664549478
EthanolConcentration,16,897.8489866554737,340.44801004603505,0.30798479087452474,0.3098160185127802
EthanolConcentration,17,880.2663935180753,337.23057955130935,0.34600760456273766,0.33960589548289993
EthanolConcentration,18,876.1381185241044,330.1875845864415,0.3155893536121673,0.31148049714271836
EthanolConcentration,19,897.3998258840293,338.93939074873924,0.3231939163498099,0.3297228997874116
FingerMovements,0,1639.4241216033697,540.9135755915195,0.51,0.5029071768397612
FingerMovements,1,1639.3995978813618,544.2209122553468,0.54,0.5344242424242425
FingerMovements,2,1645.5066854972392,545.4408071245998,0.53,0.5253090029236819
FingerMovements,3,1640.4281813800335,548.7890596203506,0.53,0.5253090029236819
FingerMovements,4,1647.0720208566636,549.0002071782947,0.54,0.5377840224809313
FingerMovements,5,1651.7374076098204,554.3334352280945,0.53,0.5206774488861764
