Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,652.1824618950486,413.14683006331325,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,653.4937892053276,414.41567729972303,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,653.4511295799166,415.2506051119417,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,652.8433330450207,414.1082676630467,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,654.4059427324682,415.7169574983418,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,649.8517274279147,405.0738782826811,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,648.6958500687033,406.3584459684789,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,648.9269419759512,409.15149383433163,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,648.8803769089282,406.4580401685089,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,651.5688700582832,408.03105607256293,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,650.393968757242,409.92590243183076,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,653.5456484928727,407.41187972202897,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,650.7762848790735,408.88789018429816,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,650.4209997076541,408.9937724545598,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,651.2609957214445,409.81370137631893,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,652.6664343010634,408.1416728384793,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,650.2141589913517,407.89296969771385,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,651.1607757192105,409.2287708520889,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,649.2986356988549,409.7571483608335,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,652.2011553104967,410.24652892537415,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,21.901883270591497,12.081347394734621,0.26666666666666666,0.25925925925925924
AtrialFibrillation,1,21.12056401744485,11.878914725035429,0.26666666666666666,0.27542087542087546
AtrialFibrillation,2,20.661619655787945,11.852255212143064,0.4,0.3952861952861953
AtrialFibrillation,3,21.376944860443473,11.72067548520863,0.26666666666666666,0.25071225071225073
AtrialFibrillation,4,21.537157917395234,11.922710452228785,0.26666666666666666,0.25925925925925924
AtrialFibrillation,5,21.12401493638754,11.862434512004256,0.3333333333333333,0.34949494949494947
