Dataset,Seed,MUSE Fitting Time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,650.9401494916528,405.2376497518271,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,649.73236855492,409.61627269536257,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,649.5408181902021,407.7717375680804,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,648.5683290846646,408.25902138091624,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,650.9843322802335,409.34286967106164,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,647.7490201015025,409.44618630595505,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,649.706434218213,411.73864248394966,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,648.9962960220873,412.17696397192776,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,649.9693569242954,411.0090021789074,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,648.3429254479706,410.71090495213866,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,651.3674556538463,410.2905970979482,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,651.2678977176547,411.2749943435192,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,651.0113968513906,411.86262196674943,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,648.1679241135716,412.5955683477223,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,650.0508268587291,410.1889981981367,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,651.8019993845373,410.92312705144286,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,652.0707025621086,411.62530824542046,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,649.5074032209814,411.5213529597968,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,650.4778810925782,411.3211994431913,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,651.6606487911195,411.9018080662936,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,22.675182607024908,12.72898336686194,0.4,0.39285714285714285
AtrialFibrillation,1,22.267817690968513,12.762068131938577,0.26666666666666666,0.2666666666666667
AtrialFibrillation,2,22.15977717936039,13.008844368159771,0.4,0.38636363636363635
AtrialFibrillation,3,21.94431689567864,12.62278052419424,0.26666666666666666,0.2666666666666667
AtrialFibrillation,4,22.15926482900977,12.8615199662745,0.4,0.38311688311688313
AtrialFibrillation,5,22.385797198861837,12.811942964792252,0.3333333333333333,0.3333333333333333
AtrialFibrillation,6,22.115337325260043,12.726536612957716,0.26666666666666666,0.2666666666666667
AtrialFibrillation,7,22.092201305553317,12.687381651252508,0.3333333333333333,0.33404558404558404
AtrialFibrillation,8,22.49157816171646,12.86120823211968,0.3333333333333333,0.32255892255892255
AtrialFibrillation,9,21.874618511646986,12.639289438724518,0.26666666666666666,0.27542087542087546
AtrialFibrillation,10,22.02300371415913,12.647075913846493,0.3333333333333333,0.32255892255892255
AtrialFibrillation,11,22.41895530745387,12.998826313763857,0.26666666666666666,0.2777777777777778
AtrialFibrillation,12,21.96312897093594,12.913557879626751,0.3333333333333333,0.3286195286195286
AtrialFibrillation,13,22.283888328820467,12.805756267160177,0.26666666666666666,0.2666666666666667
AtrialFibrillation,14,22.22347690165043,12.82508809864521,0.3333333333333333,0.33404558404558404
AtrialFibrillation,15,22.125075014308095,13.202354395762086,0.3333333333333333,0.33404558404558404
AtrialFibrillation,16,22.246281299740076,12.950288366526365,0.4,0.38333333333333336
AtrialFibrillation,17,21.873709451407194,13.068282298743725,0.3333333333333333,0.3286195286195286
AtrialFibrillation,18,21.830514496192336,12.883673885837197,0.4,0.4074074074074074
AtrialFibrillation,19,22.32872681133449,12.820514187216759,0.26666666666666666,0.27542087542087546
BasicMotions,0,65.48783997818828,52.19351106137037,1.0,1.0
BasicMotions,1,65.66524144262075,51.14335747435689,1.0,1.0
BasicMotions,2,66.21581578999758,51.29437650926411,1.0,1.0
BasicMotions,3,66.87774370610714,51.61546552553773,1.0,1.0
BasicMotions,4,66.61171656474471,51.62870614044368,1.0,1.0
BasicMotions,5,66.43081689625978,52.04075953364372,1.0,1.0
BasicMotions,6,66.89818994514644,52.21504848077893,1.0,1.0
BasicMotions,7,66.86985868029296,52.70967438258231,1.0,1.0
BasicMotions,8,66.52910784445703,52.51908926665783,1.0,1.0
BasicMotions,9,66.48651385493577,52.72837880440056,1.0,1.0
BasicMotions,10,67.70082561671734,52.21833198517561,1.0,1.0
BasicMotions,11,66.7669178713113,52.811638969928026,1.0,1.0
BasicMotions,12,67.53637759387493,52.75193006917834,1.0,1.0
BasicMotions,13,67.06105802953243,52.76691582426429,1.0,1.0
BasicMotions,14,67.20072155818343,53.37997205927968,1.0,1.0
BasicMotions,15,67.60136806219816,53.26940884999931,1.0,1.0
BasicMotions,16,67.70294818282127,53.48873776756227,1.0,1.0
BasicMotions,17,67.6944274250418,53.450204242020845,1.0,1.0
BasicMotions,18,67.63543125614524,53.18772699870169,1.0,1.0
BasicMotions,19,68.1595031991601,53.98266992717981,1.0,1.0
Cricket,0,767.4128439892083,187.95802136138082,0.9722222222222222,0.9720279720279721
Cricket,1,758.1469453833997,186.70983891189098,0.9861111111111112,0.9860139860139859
Cricket,2,781.0888545271009,187.87681138515472,0.9861111111111112,0.9860139860139859
Cricket,3,773.8301619030535,188.0690939258784,0.9861111111111112,0.9860139860139859
Cricket,4,779.4656770564616,190.9223654270172,0.9861111111111112,0.9860139860139859
Cricket,5,773.8775689080358,190.35155318118632,0.9861111111111112,0.9860139860139859
Cricket,6,780.5470558740199,192.6851382534951,0.9861111111111112,0.9860139860139859
Cricket,7,778.090809058398,191.13116383180022,0.9861111111111112,0.9860139860139859
Cricket,8,779.1527971178293,191.30732292681932,0.9861111111111112,0.9860139860139859
Cricket,9,770.7080187126994,190.24151733331382,0.9861111111111112,0.9860139860139859
Cricket,10,759.2216342799366,188.74081724323332,0.9861111111111112,0.9860139860139859
Cricket,11,771.4955333396792,190.7836286574602,0.9861111111111112,0.9860139860139859
Cricket,12,777.0439325720072,192.13549203053117,0.9861111111111112,0.9860139860139859
Cricket,13,776.6874743252993,191.08084574528039,0.9861111111111112,0.9860139860139859
Cricket,14,778.7903018277138,191.76397679001093,0.9861111111111112,0.9860139860139859
Cricket,15,798.8423891495913,195.19914518855512,0.9861111111111112,0.9860139860139859
Cricket,16,783.3909514416009,192.47394376806915,0.9861111111111112,0.9860139860139859
Cricket,17,776.7863009944558,194.11789788678288,1.0,1.0
Cricket,18,788.100488724187,192.94036367163062,0.9722222222222222,0.9720279720279721
Cricket,19,796.1303305253386,195.8813218679279,0.9861111111111112,0.9860139860139859
ERing,0,44.236734464764595,228.04404696449637,0.9555555555555556,0.9556860227623251
ERing,1,43.28238316997886,226.7081974633038,0.9518518518518518,0.9520712422188469
ERing,2,43.82828488945961,227.76780380308628,0.9555555555555556,0.9555992370090408
ERing,3,43.60872486792505,226.8771769553423,0.9666666666666667,0.9667737815679974
ERing,4,44.225846864283085,228.14197634719312,0.9592592592592593,0.9593120230880062
ERing,5,43.74313381314278,227.6395835634321,0.9703703703703703,0.9703089705111949
ERing,6,44.453837947919965,226.94213540293276,0.9629629629629629,0.9630174963586969
ERing,7,44.25165957957506,227.47440274432302,0.9666666666666667,0.9667738772577481
ERing,8,44.47031949646771,228.35655084438622,0.9592592592592593,0.9593802223484041
ERing,9,43.8850651755929,228.55001239664853,0.9481481481481482,0.9485051045268278
ERing,10,44.59182206727564,226.98537833616138,0.9555555555555556,0.9556517196394839
ERing,11,44.43302793055773,228.5958673544228,0.9666666666666667,0.9667724096565132
ERing,12,44.67291482165456,226.91950101591647,0.9518518518518518,0.9521064207225158
ERing,13,44.716665053740144,227.86643091216683,0.9555555555555556,0.9557457240155216
