Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,142.96307783201337,462,0.9701752103865147,0.9766666666666667,0.9766078250252165
ArticularyWordRecognition,1,187.54886217787862,623,0.5213557910174131,0.9766666666666667,0.9766026553156989
ArticularyWordRecognition,2,198.81816386058927,654,0.5302428212016821,0.98,0.9799301915475828
ArticularyWordRecognition,3,135.34066086262465,444,0.588553786277771,0.99,0.9898245059288537
ArticularyWordRecognition,4,145.47635690309107,487,0.5388454515486956,0.9766666666666667,0.9766158305462656
ArticularyWordRecognition,5,195.55631391704082,651,0.5234173163771629,0.98,0.9795971970058925
ArticularyWordRecognition,6,203.4226331729442,684,0.5545770954340696,0.97,0.969810033444816
ArticularyWordRecognition,7,141.29804504849017,468,0.5458272453397512,0.9766666666666667,0.976733110367893
ArticularyWordRecognition,8,140.32186559215188,461,0.5465424116700888,0.9833333333333333,0.9834274247491641
ArticularyWordRecognition,9,185.6155732702464,616,0.5378568712621927,0.9766666666666667,0.9764679841897232
ArticularyWordRecognition,10,172.41431945189834,580,0.5235687978565693,0.9766666666666667,0.9766158305462656
ArticularyWordRecognition,11,145.52170817926526,481,0.509721826761961,0.9766666666666667,0.9766129117259553
ArticularyWordRecognition,12,166.72344383224845,561,0.5220026969909668,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,13,178.61032378859818,594,0.5350463204085827,0.9866666666666667,0.9869990338164252
ArticularyWordRecognition,14,141.8811793513596,460,0.5604255069047213,0.97,0.9691036152253545
ArticularyWordRecognition,15,165.48929869569838,541,0.6259661130607128,0.9766666666666667,0.9770229654403567
ArticularyWordRecognition,16,154.7429872788489,512,0.5203424040228128,0.9733333333333334,0.9729604945778859
ArticularyWordRecognition,17,133.95284293033183,451,0.5244008470326662,0.9833333333333333,0.9831652173913044
ArticularyWordRecognition,18,163.31324173882604,546,0.5290072858333588,0.9766666666666667,0.976754960981048
ArticularyWordRecognition,19,171.77941237576306,575,0.5485143046826124,0.9833333333333333,0.9832940914158307
AtrialFibrillation,0,136.62689647823572,516,0.561811126768589,0.2,0.16296296296296298
AtrialFibrillation,1,133.51861598715186,501,0.4756821133196354,0.3333333333333333,0.16666666666666666
AtrialFibrillation,2,143.28548528440297,543,0.4816441908478737,0.26666666666666666,0.19907407407407404
AtrialFibrillation,3,151.21100700087845,570,0.5338408295065165,0.3333333333333333,0.3119047619047619
AtrialFibrillation,4,116.33135124854743,456,0.4731569141149521,0.4,0.39663299663299667
AtrialFibrillation,5,126.25981214642525,482,0.5126950331032276,0.4666666666666667,0.3756613756613757
AtrialFibrillation,6,132.93164376355708,509,0.47988838143646717,0.2,0.11764705882352942
AtrialFibrillation,7,133.94541223719716,514,0.509046433493495,0.4,0.28654970760233917
AtrialFibrillation,8,154.09320777654648,583,0.4780638515949249,0.26666666666666666,0.14814814814814817
AtrialFibrillation,9,145.0878121946007,543,0.4881463348865509,0.4,0.3111111111111111
AtrialFibrillation,10,138.1052496470511,523,0.9053454883396626,0.26666666666666666,0.14814814814814817
AtrialFibrillation,11,150.29379105195403,580,0.4770577773451805,0.26666666666666666,0.2074074074074074
AtrialFibrillation,12,134.5461058076471,514,0.5202596671879292,0.3333333333333333,0.16666666666666666
AtrialFibrillation,13,154.79853055626154,589,0.48466761223971844,0.3333333333333333,0.24074074074074078
AtrialFibrillation,14,137.94558360427618,525,0.586886078119278,0.3333333333333333,0.26495726495726496
AtrialFibrillation,15,144.7229592204094,543,0.48439957946538925,0.26666666666666666,0.14035087719298242
AtrialFibrillation,16,165.3646988235414,614,0.5325741190463305,0.26666666666666666,0.21666666666666667
AtrialFibrillation,17,161.04866219125688,613,0.49073018692433834,0.4,0.28654970760233917
AtrialFibrillation,18,127.08131996914744,480,0.49589215219020844,0.2,0.11111111111111113
AtrialFibrillation,19,119.70023546367884,468,0.5022621937096119,0.26666666666666666,0.19907407407407404
BasicMotions,0,56.856091329827905,412,1.0001043882220984,1.0,1.0
BasicMotions,1,53.10527187213302,379,0.5600390005856752,1.0,1.0
BasicMotions,2,51.48130403086543,377,0.5149735640734434,1.0,1.0
BasicMotions,3,39.664997573941946,277,0.5173404794186354,1.0,1.0
BasicMotions,4,34.549037735909224,244,0.49475802667438984,1.0,1.0
BasicMotions,5,47.247905718162656,342,0.4965077359229326,1.0,1.0
BasicMotions,6,46.226395862177014,341,0.9410610254853964,1.0,1.0
BasicMotions,7,75.27460927702487,558,0.49332217685878277,1.0,1.0
BasicMotions,8,51.16600153595209,367,0.54631607234478,1.0,1.0
BasicMotions,9,42.42009503953159,304,0.4998018220067024,1.0,1.0
BasicMotions,10,62.760264655575156,454,0.5681226216256618,1.0,1.0
BasicMotions,11,58.09445559978485,413,0.507202660664916,1.0,1.0
BasicMotions,12,36.17873303964734,244,0.515303323045373,1.0,1.0
BasicMotions,13,40.64427623525262,292,0.4898483268916607,1.0,1.0
BasicMotions,14,67.48814113251865,504,0.5269267726689577,1.0,1.0
BasicMotions,15,31.268616875633597,221,0.9332078602164984,1.0,1.0
BasicMotions,16,44.903725918382406,331,0.5050525665283203,1.0,1.0
BasicMotions,17,43.0036141872406,307,0.5232846401631832,1.0,1.0
BasicMotions,18,57.351044027134776,444,0.4846375919878483,1.0,1.0
BasicMotions,19,53.809681478887796,405,0.5352230332791805,1.0,1.0
Cricket,0,90.57069217041135,409,0.9448289051651955,0.9861111111111112,0.9860139860139859
Cricket,1,91.38101791404188,410,0.5069708693772554,1.0,1.0
Cricket,2,122.5543114040047,559,0.5427374076098204,0.9861111111111112,0.9860139860139859
Cricket,3,85.65907938405871,388,0.54430266097188,0.9861111111111112,0.9860139860139859
Cricket,4,53.605887876823545,233,0.5237191636115313,1.0,1.0
Cricket,5,91.86102000065148,408,0.5939988605678082,0.9861111111111112,0.9860139860139859
Cricket,6,65.09260831959546,284,0.5214998554438353,0.9861111111111112,0.9860139860139859
Cricket,7,162.21862410381436,737,0.5473250038921833,0.9861111111111112,0.9860139860139859
Cricket,8,83.2677104882896,368,0.5293006729334593,1.0,1.0
Cricket,9,114.07014245539904,512,0.516814673319459,0.9861111111111112,0.9860139860139859
Cricket,10,86.51886785402894,391,0.5200297310948372,0.9861111111111112,0.9860139860139859
Cricket,11,99.57364259660244,449,0.5019660666584969,0.9861111111111112,0.9860139860139859
Cricket,12,85.10485218092799,381,0.517781326547265,1.0,1.0
Cricket,13,59.85148912668228,257,0.5453979820013046,1.0,1.0
