Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,141.77035759575665,462,0.9333089590072632,0.97,0.969645187662579
ArticularyWordRecognition,1,167.42702700011432,573,0.5096804276108742,0.98,0.9801684672815107
ArticularyWordRecognition,2,110.10814349539578,374,0.5069593880325556,0.97,0.9697794669099016
ArticularyWordRecognition,3,129.345214439556,444,0.5037750620394945,0.9766666666666668,0.9766129117259552
ArticularyWordRecognition,4,119.89847335591912,409,0.5016110651195049,0.9833333333333332,0.9833043478260872
ArticularyWordRecognition,5,119.9942863062024,385,0.935727458447218,0.9766666666666668,0.976498550724638
ArticularyWordRecognition,6,186.94172270596027,644,0.5136207696050406,0.9766666666666668,0.9761765480895916
ArticularyWordRecognition,7,136.00014452077448,463,0.5091137755662203,0.9766666666666668,0.9759049530179968
ArticularyWordRecognition,8,193.3028477281332,668,0.5051869545131922,0.9833333333333332,0.9832940914158308
ArticularyWordRecognition,9,192.145780807361,664,0.5075713526457548,0.9733333333333334,0.9730996250126686
ArticularyWordRecognition,10,175.8424890898168,580,0.9391268957406282,0.9766666666666668,0.976848309178744
ArticularyWordRecognition,11,142.8303571306169,481,0.5141881424933672,0.98,0.979952042160738
ArticularyWordRecognition,12,192.3394795078784,660,0.5175800696015358,0.9833333333333332,0.983053607262303
ArticularyWordRecognition,13,145.66079621575773,498,0.5062274802476168,0.9833333333333332,0.983053607262303
ArticularyWordRecognition,14,110.10272794030608,374,0.5049664992839098,0.9766666666666668,0.976610033444816
ArticularyWordRecognition,15,186.229493573308,639,0.5077062044292688,0.9733333333333334,0.9727221107395022
ArticularyWordRecognition,16,99.56319247558712,334,0.5044883955270052,0.98,0.9797720887807844
ArticularyWordRecognition,17,161.23162727244198,558,0.5052239205688238,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,18,112.1657846532762,381,0.5061653424054384,0.9733333333333334,0.973326306543698
ArticularyWordRecognition,19,78.27644251659513,263,0.5093156043440104,0.9833333333333332,0.9831462450592884
AtrialFibrillation,0,122.72331958636642,489,0.5233586709946394,0.2666666666666666,0.25997150997151
AtrialFibrillation,1,126.06935962475836,506,0.4669205844402313,0.4,0.4111111111111111
AtrialFibrillation,2,142.0456468835473,570,0.4632853958755731,0.2666666666666666,0.2484848484848485
AtrialFibrillation,3,120.00344538502397,477,0.4666367042809725,0.4,0.2865497076023391
AtrialFibrillation,4,116.78870477154852,466,0.4634136855602264,0.3333333333333333,0.175438596491228
AtrialFibrillation,5,139.15410213544965,565,0.5242431685328484,0.3333333333333333,0.175438596491228
AtrialFibrillation,6,147.62104595638812,593,0.4697137679904699,0.2666666666666666,0.2674603174603174
AtrialFibrillation,7,130.39397460594773,490,0.5577820520848036,0.2666666666666666,0.1568627450980392
AtrialFibrillation,8,127.98613124527036,507,0.4689750522375107,0.2666666666666666,0.1666666666666666
AtrialFibrillation,9,143.02804632298648,559,0.4675533529371023,0.2,0.1111111111111111
AtrialFibrillation,10,130.46426542289555,515,0.523459879681468,0.2666666666666666,0.2034632034632034
AtrialFibrillation,11,150.4467268884182,600,0.4669075440615415,0.3333333333333333,0.1666666666666666
AtrialFibrillation,12,129.68501001410186,518,0.4988591279834509,0.2,0.1841269841269841
AtrialFibrillation,13,139.0990777797997,513,0.4646175727248192,0.1333333333333333,0.0888888888888888
AtrialFibrillation,14,144.90373434498906,523,0.4804593995213508,0.4,0.3259259259259259
AtrialFibrillation,15,131.52513680420816,507,0.464998846873641,0.1333333333333333,0.0952380952380952
AtrialFibrillation,16,141.641306059435,564,0.3609607983380556,0.2666666666666666,0.2144522144522144
AtrialFibrillation,17,142.3254473451525,560,0.4689789470285177,0.2,0.1809523809523809
AtrialFibrillation,18,138.21224927902222,536,0.4645114652812481,0.3333333333333333,0.1666666666666666
AtrialFibrillation,19,125.291522487998,510,0.7762239445000887,0.2666666666666666,0.1666666666666666
BasicMotions,0,47.02118642628193,355,0.9497750513255596,1.0,1.0
BasicMotions,1,31.485300321131945,239,0.7277544494718313,1.0,1.0
BasicMotions,2,45.92813365533948,351,0.46625592187047,1.0,1.0
BasicMotions,3,49.60594675131142,376,0.4779633991420269,1.0,1.0
BasicMotions,4,31.91451880149544,244,0.467143090441823,1.0,1.0
BasicMotions,5,44.86815861240029,342,0.957855936139822,1.0,1.0
BasicMotions,6,38.65301340259612,285,0.4733431879431009,1.0,1.0
BasicMotions,7,45.33909607119858,344,0.4673152156174183,1.0,1.0
BasicMotions,8,53.75548915937543,420,0.4679954778403044,1.0,1.0
BasicMotions,9,39.40450007468462,304,0.4665966928005218,1.0,1.0
BasicMotions,10,42.299635760486126,318,0.9558897335082291,1.0,1.0
BasicMotions,11,47.48263856396079,356,0.4887870065867901,1.0,1.0
BasicMotions,12,42.56720573268831,325,0.4684432353824377,1.0,1.0
BasicMotions,13,61.096667839214206,466,0.4752622228115797,1.0,1.0
BasicMotions,14,45.64879868365824,351,0.4694751892238855,1.0,1.0
BasicMotions,15,30.69550030119717,221,0.4749478735029697,1.0,1.0
BasicMotions,16,43.52294599823654,331,0.5005901399999857,1.0,1.0
BasicMotions,17,39.87974278628826,307,0.4705123361200094,1.0,1.0
BasicMotions,18,39.53592284582555,299,0.3197995349764824,1.0,1.0
BasicMotions,19,39.89210895448923,300,0.4706197287887335,1.0,1.0
CharacterTrajectories,0,459.16719073057175,330,1.0897105503827331,0.993732590529248,0.9937256518505144
CharacterTrajectories,1,583.0538954231888,418,0.7049395460635424,0.9944289693593314,0.9944295221453996
CharacterTrajectories,2,465.8732552528381,334,0.6595945153385401,0.993732590529248,0.9937284012524336
CharacterTrajectories,3,524.0524740871042,377,0.6598488595336676,0.993732590529248,0.9937269538598597
CharacterTrajectories,4,498.4536398593336,359,0.6573099922388792,0.995125348189415,0.9951302813157836
CharacterTrajectories,5,644.2737383041531,464,1.0914173275232315,0.993732590529248,0.9937202562530432
CharacterTrajectories,6,580.5182485487312,418,0.6737064719200134,0.9958217270194986,0.99582124708506
CharacterTrajectories,7,482.402527263388,348,0.6590877305716276,0.9958217270194986,0.995815988439064
CharacterTrajectories,8,428.65312769822776,307,0.6600618716329336,0.995125348189415,0.9951247407364212
CharacterTrajectories,9,655.1303627863526,472,0.6547834407538176,0.9944289693593314,0.9944277692610324
CharacterTrajectories,10,571.80030105263,401,1.0932993032038212,0.993732590529248,0.9937258293962988
CharacterTrajectories,11,608.3686443381011,430,0.6794342435896397,0.995125348189415,0.9951247555441098
CharacterTrajectories,12,556.8573006503284,395,0.6624390687793493,0.9944289693593314,0.994425848659432
CharacterTrajectories,13,572.6220870893449,403,0.6624843142926693,0.9944289693593314,0.9944199763572816
CharacterTrajectories,14,637.7632819414139,448,1.0254257079213858,0.995125348189415,0.9951240501023024
CharacterTrajectories,15,604.339821672067,430,0.6601073257625103,0.9930362116991645,0.993021130893492
CharacterTrajectories,16,629.4208695590496,445,0.6956507153809071,0.9958217270194986,0.9958208684230904
CharacterTrajectories,17,561.4188252650201,398,0.6627940107136965,0.9958217270194986,0.9958208684230904
CharacterTrajectories,18,604.1673470661044,427,0.6629559118300676,0.995125348189415,0.9951144704411804
CharacterTrajectories,19,626.6667192839086,441,0.7010471057146788,0.993732590529248,0.9937300788764466
Cricket,0,114.76754294522108,538,0.5754688009619713,1.0,1.0
Cricket,1,88.58833799883723,410,0.5162763223052025,0.9861111111111112,0.986013986013986
Cricket,2,83.97862645797431,389,0.4917289912700653,0.9861111111111112,0.986013986013986
Cricket,3,84.08995530568063,388,0.502318749204278,0.9861111111111112,0.986013986013986
Cricket,4,82.07089125737548,377,0.5197574310004711,0.9861111111111112,0.986013986013986
Cricket,5,98.43435800075532,460,0.5677594654262066,0.9861111111111112,0.986013986013986
Cricket,6,62.19256070442498,284,0.488112561404705,0.9861111111111112,0.986013986013986
Cricket,7,62.84508250467479,288,0.4905518237501383,0.9861111111111112,0.986013986013986
Cricket,8,64.65665152482688,296,0.504940815269947,0.9861111111111112,0.986013986013986
Cricket,9,60.51047739572823,278,0.4876934178173542,1.0,1.0
Cricket,10,89.2972306124866,411,0.5759568810462952,0.9861111111111112,0.986013986013986
Cricket,11,96.28985763154924,449,0.5215514171868563,0.9861111111111112,0.986013986013986
Cricket,12,81.30040035955608,377,0.5009968541562557,0.9861111111111112,0.986013986013986
Cricket,13,92.27327125146984,429,0.5158193558454514,0.9861111111111112,0.986013986013986
Cricket,14,124.52204171940684,589,0.5180702973157167,0.9861111111111112,0.986013986013986
Cricket,15,70.08140895143151,325,0.5014884360134602,1.0,1.0
Cricket,16,61.462944054976106,278,0.5124180447310209,0.9861111111111112,0.986013986013986
Cricket,17,102.0467023383826,473,0.5468416344374418,0.9861111111111112,0.986013986013986
