Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,144.81940850056708,462,0.9567751605063677,0.9766666666666667,0.976252269469661
ArticularyWordRecognition,1,162.0397599004209,529,0.5271726325154305,0.9766666666666667,0.9766216276477148
ArticularyWordRecognition,2,128.691507415846,417,0.5322171244770288,0.9766666666666667,0.9768940914158306
ArticularyWordRecognition,3,213.873737860471,713,0.5270830150693655,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,4,140.68461202457547,476,0.5006129443645477,0.9833333333333333,0.9834434782608696
ArticularyWordRecognition,5,115.12161622010171,380,0.5096259377896786,0.9766666666666667,0.9766026553156989
ArticularyWordRecognition,6,139.29596713371575,471,0.5100029520690441,0.9733333333333334,0.9732767001114829
ArticularyWordRecognition,7,180.42172149568796,606,0.5224306862801313,0.9766666666666667,0.9767491638795988
ArticularyWordRecognition,8,213.33832097239792,707,0.5063280295580626,0.9833333333333333,0.9833101449275364
ArticularyWordRecognition,9,107.78916002996266,354,0.5179877653717995,0.98,0.9798260869565217
ArticularyWordRecognition,10,183.3763205949217,603,0.5080513674765825,0.9833333333333333,0.9831462450592888
ArticularyWordRecognition,11,106.73445441015065,360,0.5051511451601982,0.98,0.979976811594203
ArticularyWordRecognition,12,175.69280920736492,590,0.5143010076135397,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,13,183.54088880494237,619,0.5089414734393358,0.9833333333333333,0.983304347826087
ArticularyWordRecognition,14,139.3852839525789,460,0.5214154813438654,0.9733333333333334,0.9729189361363274
ArticularyWordRecognition,15,96.21658213622868,308,0.5204334259033203,0.98,0.9799710144927538
ArticularyWordRecognition,16,104.86577767878771,340,0.5066994801163673,0.9733333333333334,0.9735491638795986
ArticularyWordRecognition,17,140.73401760868728,464,0.5469913836568594,0.9833333333333333,0.9834332218506134
ArticularyWordRecognition,18,186.668406765908,629,0.5052527356892824,0.98,0.9801114827201785
ArticularyWordRecognition,19,162.85579250752926,546,0.5141332894563675,0.97,0.9699375696767004
AtrialFibrillation,0,136.45601044408977,522,0.5500543043017387,0.2,0.11764705882352942
AtrialFibrillation,1,143.62306841090322,554,0.47786146588623524,0.26666666666666666,0.14035087719298242
AtrialFibrillation,2,135.68871995992959,508,0.4667469449341297,0.3333333333333333,0.2433862433862434
AtrialFibrillation,3,134.57719404436648,510,0.8599871210753918,0.3333333333333333,0.32255892255892255
AtrialFibrillation,4,129.44129229523242,485,0.4596322011202574,0.4,0.2804232804232804
AtrialFibrillation,5,132.24605213291943,496,0.5060983989387751,0.26666666666666666,0.14814814814814817
AtrialFibrillation,6,124.36563592404127,486,0.4685500133782625,0.26666666666666666,0.14035087719298242
AtrialFibrillation,7,161.69656519591808,613,0.5124965272843838,0.5333333333333333,0.49766573295985067
AtrialFibrillation,8,139.68908151052892,530,0.46465394273400307,0.2,0.1558441558441558
AtrialFibrillation,9,141.74162594787776,540,0.5026131458580494,0.3333333333333333,0.16666666666666666
AtrialFibrillation,10,160.06584402918816,606,0.48810006119310856,0.4666666666666667,0.3627450980392157
AtrialFibrillation,11,137.5763066932559,516,0.4718457721173763,0.4,0.3148148148148149
AtrialFibrillation,12,151.72991867177188,567,0.4867571759968996,0.4666666666666667,0.46936026936026937
AtrialFibrillation,13,159.68597570806742,618,0.47336836345493793,0.5333333333333333,0.5
AtrialFibrillation,14,138.16474714316428,524,0.513022655621171,0.3333333333333333,0.26406926406926406
AtrialFibrillation,15,135.27304386161268,514,0.4959295801818371,0.3333333333333333,0.31575091575091574
AtrialFibrillation,16,133.0907568782568,505,0.5044842269271612,0.3333333333333333,0.16666666666666666
AtrialFibrillation,17,149.534782782197,555,0.4939283039420843,0.2,0.11111111111111113
AtrialFibrillation,18,131.59111966751516,495,0.4836123790591955,0.26666666666666666,0.2136752136752137
AtrialFibrillation,19,166.05049075372517,622,0.968820258975029,0.3333333333333333,0.17543859649122806
BasicMotions,0,37.97882290929556,257,0.9860379826277494,1.0,1.0
BasicMotions,1,49.8515952359885,379,0.5214089993387461,1.0,1.0
BasicMotions,2,61.420299004763365,456,0.48463087156414986,1.0,1.0
BasicMotions,3,34.132527666166425,230,0.49083941988646984,1.0,1.0
BasicMotions,4,38.578065652400255,273,0.47758184745907784,1.0,1.0
BasicMotions,5,47.01038573123515,342,0.5115576889365911,1.0,1.0
BasicMotions,6,48.619838209822774,341,0.5325082503259182,1.0,1.0
BasicMotions,7,48.512029414996505,344,0.4805006757378578,1.0,1.0
BasicMotions,8,85.02082380652428,367,0.50825653411448,1.0,1.0
BasicMotions,9,58.36400432884693,447,0.5421321000903845,1.0,1.0
BasicMotions,10,36.96274050883949,252,0.4786131251603365,1.0,1.0
BasicMotions,11,56.398572754114866,413,0.5071124713867903,1.0,1.0
BasicMotions,12,45.2023183144629,325,0.47614826261997223,1.0,1.0
BasicMotions,13,61.585655679926276,452,0.5602058842778206,1.0,1.0
BasicMotions,14,68.30200783722103,494,0.48079228214919567,1.0,1.0
BasicMotions,15,56.49573074281216,409,0.50859509781003,1.0,1.0
BasicMotions,16,45.71950822882354,331,0.4777257237583399,1.0,1.0
BasicMotions,17,43.779127625748515,307,0.4863552078604698,1.0,1.0
BasicMotions,18,54.95485174655914,402,0.4809863343834877,1.0,1.0
BasicMotions,19,55.60047813132405,405,0.48060332983732224,1.0,1.0
Cricket,0,108.40129193849862,502,0.6090507432818413,0.9861111111111112,0.9860139860139859
Cricket,1,90.82425164058805,410,0.4955307338386774,0.9722222222222222,0.972125097125097
Cricket,2,112.6136174928397,518,0.5053415670990944,0.9861111111111112,0.9860139860139859
Cricket,3,96.53096682950854,439,0.5849640537053347,0.9861111111111112,0.9860139860139859
Cricket,4,87.14987306296825,400,0.4926929548382759,0.9861111111111112,0.9860139860139859
Cricket,5,91.15898931398988,408,0.532303798943758,0.9861111111111112,0.9860139860139859
Cricket,6,105.9005150552839,479,0.5445447955280542,0.9861111111111112,0.9860139860139859
Cricket,7,109.12294596247375,495,0.5017155930399895,0.9861111111111112,0.9860139860139859
Cricket,8,145.37940027751029,482,0.5575739443302155,0.9861111111111112,0.9860139860139859
Cricket,9,145.32638148404658,429,0.5114512611180544,0.9861111111111112,0.9860139860139859
Cricket,10,115.15740654245019,526,0.5049765408039093,0.9722222222222222,0.972125097125097
Cricket,11,62.02801817655563,269,0.5426031854003668,1.0,1.0
Cricket,12,87.23399061523378,392,0.4937735591083765,1.0,1.0
