Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,127.15094405412674,413,0.9903522040694952,0.9733333333333334,0.9734815734989648
ArticularyWordRecognition,1,150.068444756791,489,0.5776150599122047,0.98,0.9799630089717049
ArticularyWordRecognition,2,182.21268044412136,603,0.5962900314480066,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,3,207.8539051413536,696,0.5737390201538801,0.9866666666666668,0.986485375494071
ArticularyWordRecognition,4,214.29324029758573,721,0.6139655765146017,0.98,0.9798318840579712
ArticularyWordRecognition,5,163.94083974696696,556,0.9901724923402072,0.98,0.9797144768275204
ArticularyWordRecognition,6,174.67419579066336,593,0.5726199485361576,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,7,183.31890002638104,606,0.6039793659001589,0.9733333333333334,0.973282497212932
ArticularyWordRecognition,8,113.2309359163046,371,0.577052116394043,0.9866666666666668,0.9867665551839464
ArticularyWordRecognition,9,106.70280439406632,354,0.5620508566498756,0.9766666666666668,0.9763753463927378
ArticularyWordRecognition,10,147.89425846375525,495,0.9226413629949092,0.98,0.9799359886490322
ArticularyWordRecognition,11,144.82589420117438,481,0.5449833478778601,0.9766666666666668,0.97625806657111
ArticularyWordRecognition,12,175.02567877992988,591,1.0105321761220694,0.98,0.979930191547583
ArticularyWordRecognition,13,150.21717081964016,498,0.5285691786557436,0.9833333333333332,0.9831710144927536
ArticularyWordRecognition,14,215.8460714444518,712,0.5600871965289116,0.9766666666666668,0.9766158305462652
ArticularyWordRecognition,15,98.70796447061002,330,0.5225908402353525,0.98,0.9799301915475828
ArticularyWordRecognition,16,108.60919907689096,361,0.5403958987444639,0.9866666666666668,0.9869990338164252
ArticularyWordRecognition,17,166.0683796517551,557,0.6588780097663403,0.98,0.9799359886490322
ArticularyWordRecognition,18,174.24540123343468,591,0.5222540888935328,0.98,0.979954960981048
ArticularyWordRecognition,19,188.1267705578357,633,0.5475697927176952,0.98,0.9803207729468602
AtrialFibrillation,0,146.6546830870211,558,0.6059146616607904,0.1333333333333333,0.0952380952380952
AtrialFibrillation,1,156.17568306811154,594,0.5368537325412035,0.3333333333333333,0.336026936026936
AtrialFibrillation,2,145.26045426353812,554,0.5144543442875147,0.2,0.1767676767676767
AtrialFibrillation,3,135.2507113981992,509,0.5875474512577057,0.3333333333333333,0.175438596491228
AtrialFibrillation,4,142.02406616136432,535,0.5559183117002249,0.2666666666666666,0.1481481481481481
AtrialFibrillation,5,139.11766294389963,530,0.6004031263291836,0.3333333333333333,0.1666666666666666
AtrialFibrillation,6,131.0010701995343,498,0.5409630872309208,0.2,0.1176470588235294
AtrialFibrillation,7,155.31395201012492,597,0.5360491909086704,0.3333333333333333,0.175438596491228
AtrialFibrillation,8,131.09501929208636,500,0.6135632246732712,0.1333333333333333,0.0784313725490196
AtrialFibrillation,9,132.26648182421923,506,0.5215231962502003,0.2,0.1846153846153846
AtrialFibrillation,10,126.37193695269524,487,0.6336415633559227,0.3333333333333333,0.1666666666666666
AtrialFibrillation,11,123.39162307977676,481,0.4899655226618051,0.2,0.1858974358974358
AtrialFibrillation,12,129.99358446523547,484,0.5699936039745808,0.3333333333333333,0.2401960784313725
AtrialFibrillation,13,140.26736770011485,537,0.4933995064347982,0.2,0.1623931623931623
AtrialFibrillation,14,143.3688719701022,559,0.5295711345970631,0.2,0.1176470588235294
AtrialFibrillation,15,132.28785002417862,511,0.4900784250348806,0.2,0.1558441558441558
AtrialFibrillation,16,129.34020640701056,503,0.5088764391839504,0.4,0.4071428571428572
AtrialFibrillation,17,135.21696748398244,524,0.8671988472342491,0.4,0.2794117647058823
AtrialFibrillation,18,121.52374672144651,470,0.488088434562087,0.2666666666666666,0.2
AtrialFibrillation,19,123.2314641084522,476,0.5410533230751753,0.3333333333333333,0.2518518518518518
BasicMotions,0,34.68149033933878,232,1.0246478393673897,1.0,1.0
BasicMotions,1,54.21116187609732,379,0.5577464159578085,1.0,1.0
BasicMotions,2,48.866796758025885,351,0.5267867520451546,1.0,1.0
BasicMotions,3,40.02217799983919,277,0.5578714814037085,1.0,1.0
BasicMotions,4,33.787770146504045,234,0.8676474038511515,1.0,1.0
BasicMotions,5,47.96123394556344,342,1.0331009309738874,1.0,1.0
BasicMotions,6,57.459030486643314,418,0.5218334086239338,1.0,1.0
BasicMotions,7,48.14636283740401,342,0.550751768052578,1.0,1.0
BasicMotions,8,53.53287019580603,393,0.8476282525807619,1.0,1.0
BasicMotions,9,55.67014089971781,404,0.5205621458590031,1.0,1.0
BasicMotions,10,55.09720303490758,401,0.856254568323493,1.0,1.0
BasicMotions,11,49.6734694968909,356,0.5316707920283079,1.0,1.0
BasicMotions,12,48.14159070886672,362,0.4889972172677517,1.0,1.0
BasicMotions,13,49.50287262164056,370,0.5530415456742048,1.0,1.0
BasicMotions,14,57.05793131142855,408,0.5162823684513569,1.0,1.0
BasicMotions,15,55.328913206234574,384,0.524980591610074,1.0,1.0
