Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,200.1609398331493,661,0.9444663506001234,0.9733333333333334,0.9729545893719808
ArticularyWordRecognition,1,207.61617830768228,706,0.5162255801260471,0.9866666666666667,0.9866084524171481
ArticularyWordRecognition,2,130.5650827679783,443,0.5105206407606602,0.9833333333333333,0.9836599033816428
ArticularyWordRecognition,3,151.78752969391644,518,0.5085259713232517,0.98,0.979930191547583
ArticularyWordRecognition,4,99.51131382957101,336,0.5069148819893599,0.9833333333333333,0.9833043478260871
ArticularyWordRecognition,5,190.38478443585336,656,0.5121839717030525,0.9766666666666667,0.9764445525489003
ArticularyWordRecognition,6,199.50569376908243,686,0.5104530360549688,0.9833333333333333,0.9831462450592886
ArticularyWordRecognition,7,133.16372506134212,451,0.5132955443114042,0.9766666666666667,0.9766100334448161
ArticularyWordRecognition,8,133.21122462674975,451,0.511905750259757,0.97,0.9701218472348906
ArticularyWordRecognition,9,105.00040440261364,354,0.5130156297236681,0.98,0.9801626701800614
ArticularyWordRecognition,10,86.25998055189848,288,0.5106473732739687,0.98,0.9799359886490322
ArticularyWordRecognition,11,135.88668979518116,462,0.5123894568532705,0.97,0.9697189361363276
ArticularyWordRecognition,12,169.16077864170074,580,0.5200779419392347,0.98,0.9801626701800614
ArticularyWordRecognition,13,152.00845696777105,519,0.5138242561370134,0.98,0.9797144768275203
ArticularyWordRecognition,14,140.0366141460836,474,0.5171951819211245,0.9733333333333334,0.9734216276477147
ArticularyWordRecognition,15,185.9769297428429,636,0.5274908877909184,0.9766666666666667,0.9762938279112194
ArticularyWordRecognition,16,180.75064167939126,617,0.5165410451591015,0.9766666666666667,0.9760612411742846
ArticularyWordRecognition,17,145.69413797184825,496,0.5155497156083584,0.9766666666666667,0.9766158305462653
ArticularyWordRecognition,18,193.79109273850918,664,0.8375220205634832,0.9766666666666667,0.9766434782608697
ArticularyWordRecognition,19,186.0071375463158,640,0.5178903844207525,0.9833333333333333,0.9832882943143813
AtrialFibrillation,0,149.99925661832094,594,0.5516594275832176,0.3333333333333333,0.17543859649122806
AtrialFibrillation,1,140.73108377866447,561,0.4684309773147106,0.26666666666666666,0.21288515406162467
AtrialFibrillation,2,128.21298061311245,501,0.4898713231086731,0.2,0.11764705882352942
AtrialFibrillation,3,128.45862879231572,505,0.4701016005128622,0.3333333333333333,0.17543859649122806
AtrialFibrillation,4,122.28018122911453,480,0.47725317999720573,0.3333333333333333,0.16666666666666666
AtrialFibrillation,5,127.77839582785964,508,0.46562135964632034,0.3333333333333333,0.17543859649122806
