Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,147.89480857364833,508,0.9572340752929449,0.9733333333333334,0.9735199351373264
ArticularyWordRecognition,1,143.24903143756092,486,0.5863890182226896,0.9633333333333334,0.9636287094547964
ArticularyWordRecognition,2,188.80120238289237,646,0.5867096707224846,0.98,0.9802857471031385
ArticularyWordRecognition,3,182.44527124986053,630,0.5570671707391739,0.9766666666666667,0.9766129117259552
ArticularyWordRecognition,4,208.17246522009373,719,0.5894015803933144,0.9766666666666667,0.9768351339481776
ArticularyWordRecognition,5,157.05595851503313,538,0.9278329145163298,0.98,0.9799301915475828
ArticularyWordRecognition,6,164.77145301923156,566,0.5577645152807236,0.9766666666666667,0.9764905452035888
ArticularyWordRecognition,7,181.77903629280627,620,0.5927521865814924,0.9766666666666667,0.9758287625418063
ArticularyWordRecognition,8,130.8314155023545,447,0.5600120034068823,0.9733333333333334,0.9730938279112192
ArticularyWordRecognition,9,202.77446119487286,698,0.5892810858786106,0.9766666666666667,0.9761707509881425
ArticularyWordRecognition,10,180.5741804242134,620,0.5894055776298046,0.96,0.9604021891152328
ArticularyWordRecognition,11,164.89452999830246,569,0.5590097345411777,0.97,0.9699753463927377
ArticularyWordRecognition,12,159.47492226026952,547,0.5887504704296589,0.98,0.9799462450592885
ArticularyWordRecognition,13,173.6401189547032,594,0.5933538321405649,0.9833333333333333,0.983501800614844
ArticularyWordRecognition,14,138.45784931443632,474,0.5588077269494534,0.98,0.9800998885172801
ArticularyWordRecognition,15,155.8201710190624,531,0.5908068921416998,0.98,0.980105685618729
ArticularyWordRecognition,16,182.9703678302467,631,0.9386089649051428,0.97,0.9696899429073345
ArticularyWordRecognition,17,118.58106649294496,402,0.5615487918257713,0.9733333333333334,0.9731811434941869
ArticularyWordRecognition,18,82.56633002869785,271,0.5929927323013544,0.9733333333333334,0.9730362159579551
ArticularyWordRecognition,19,187.31969667226076,643,0.5786596368998289,0.9833333333333333,0.9831652173913044
AtrialFibrillation,0,131.79425878450274,489,0.612833296880126,0.4666666666666667,0.3627450980392157
AtrialFibrillation,1,145.95736549049616,556,0.5165943671017885,0.4,0.3205128205128205
AtrialFibrillation,2,144.01430541090667,545,0.5526165198534727,0.4,0.3246753246753247
AtrialFibrillation,3,139.63815580122173,517,0.553933784365654,0.26666666666666666,0.14035087719298242
AtrialFibrillation,4,130.87545391358435,492,0.5134768169373274,0.4666666666666667,0.43492063492063493
AtrialFibrillation,5,151.92408215254545,567,0.548231078311801,0.3333333333333333,0.17543859649122806
AtrialFibrillation,6,140.09572649933398,525,0.5465389471501112,0.3333333333333333,0.17543859649122806
AtrialFibrillation,7,162.7994982060045,611,0.5501078013330698,0.26666666666666666,0.20098039215686275
AtrialFibrillation,8,159.0083134714514,597,0.8827988803386688,0.2,0.16296296296296298
AtrialFibrillation,9,128.2801991738379,482,0.5228797532618046,0.13333333333333333,0.09523809523809522
AtrialFibrillation,10,134.33258233591914,502,0.5499701257795095,0.3333333333333333,0.3185185185185186
AtrialFibrillation,11,150.33280466496944,570,0.4389066603034735,0.3333333333333333,0.16666666666666666
AtrialFibrillation,12,134.0611743479967,505,0.551123408600688,0.4,0.3611111111111112
AtrialFibrillation,13,152.87462763488293,576,0.5258799083530903,0.4,0.28654970760233917
AtrialFibrillation,14,122.1111612059176,455,0.5491235293447971,0.26666666666666666,0.14814814814814817
AtrialFibrillation,15,124.10685268975794,465,0.5339743159711361,0.26666666666666666,0.20098039215686275
AtrialFibrillation,16,131.6586865708232,491,0.5486240647733212,0.4,0.3235294117647059
AtrialFibrillation,17,128.60495926067233,478,0.5493546836078167,0.4666666666666667,0.38655462184873957
