Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,170.8056868892163,561,0.9421884119510651,0.98,0.9795156785243743
ArticularyWordRecognition,1,164.26063992641866,560,0.515865495428443,0.9766666666666667,0.9767141380358771
ArticularyWordRecognition,2,156.82457816042006,539,0.5135396160185337,0.9766666666666667,0.9771047194351543
ArticularyWordRecognition,3,205.1913786549121,713,0.508784644305706,0.98,0.9799359886490322
ArticularyWordRecognition,4,99.27815568074584,335,0.5054568853229284,0.9866666666666667,0.9864853754940712
ArticularyWordRecognition,5,182.7983551211655,634,0.5096123162657022,0.98,0.9799469554599989
ArticularyWordRecognition,6,121.29071650281549,415,0.5114473663270473,0.98,0.9797144768275203
ArticularyWordRecognition,7,98.29254310950637,333,0.5099196843802929,0.9733333333333334,0.9726868184955142
ArticularyWordRecognition,8,227.60243066214025,794,0.5130365826189518,0.9833333333333333,0.9832693219823654
ArticularyWordRecognition,9,189.29327528364956,654,0.5139359794557095,0.98,0.979930191547583
ArticularyWordRecognition,10,177.5820535812527,612,0.5131932999938726,0.98,0.9800940914158306
ArticularyWordRecognition,11,140.14512623101473,481,0.5092147924005985,0.9733333333333334,0.9734960035133948
ArticularyWordRecognition,12,174.6048657372594,601,0.5152931082993746,0.9866666666666667,0.9867665551839464
ArticularyWordRecognition,13,167.63958770781755,575,0.5134091358631849,0.98,0.9800532684706601
ArticularyWordRecognition,14,110.68565144948661,374,0.5123112183064222,0.9766666666666667,0.976754960981048
ArticularyWordRecognition,15,148.05276635847986,505,0.5206663925200701,0.98,0.979930191547583
ArticularyWordRecognition,16,100.68417144194245,340,0.5117398947477341,0.9566666666666667,0.9551037314579649
ArticularyWordRecognition,17,131.66747223958373,449,0.5116416085511446,0.99,0.9898245059288537
ArticularyWordRecognition,18,173.78758950531483,598,0.5279835648834705,0.98,0.9799301915475828
ArticularyWordRecognition,19,179.39282893575728,618,0.5142038241028786,0.9833333333333333,0.9836599033816426
AtrialFibrillation,0,126.18870973400772,502,0.548900380730629,0.4,0.29629629629629634
AtrialFibrillation,1,128.1096901036799,512,0.4668608848005533,0.3333333333333333,0.2518518518518518
AtrialFibrillation,2,128.09229215607047,511,0.4721165280789137,0.3333333333333333,0.301994301994302
AtrialFibrillation,3,129.31444417499006,517,0.8020154107362032,0.3333333333333333,0.16666666666666666
AtrialFibrillation,4,129.99365172162652,518,0.47124830074608326,0.3333333333333333,0.16666666666666666
AtrialFibrillation,5,123.21357617340982,491,0.5002983640879393,0.4,0.29629629629629634
AtrialFibrillation,6,118.42885679379106,474,0.4678016398102045,0.26666666666666666,0.20346320346320343
AtrialFibrillation,7,133.42550091817975,533,0.49186141416430473,0.26666666666666666,0.2
AtrialFibrillation,8,139.43803044967353,558,0.4701478984206915,0.3333333333333333,0.24019607843137256
AtrialFibrillation,9,128.28757981397212,512,0.4783385172486305,0.3333333333333333,0.31666666666666665
AtrialFibrillation,10,121.1094085983932,484,0.4714804757386446,0.4,0.2804232804232804
AtrialFibrillation,11,133.6916805692017,534,0.47734168358147144,0.4,0.3333333333333333
AtrialFibrillation,12,146.62586623989046,586,0.4992713909596205,0.3333333333333333,0.16666666666666666
AtrialFibrillation,13,131.53986991755664,526,0.4730343222618103,0.3333333333333333,0.24444444444444446
AtrialFibrillation,14,130.37821093574166,520,0.48135453276336193,0.4,0.3111111111111111
AtrialFibrillation,15,149.85867267288268,600,0.47768022306263447,0.4666666666666667,0.3777777777777777
AtrialFibrillation,16,119.96091489493847,476,0.4826243929564953,0.3333333333333333,0.31575091575091574
AtrialFibrillation,17,115.9411972053349,462,0.47239602729678154,0.26666666666666666,0.14814814814814817
AtrialFibrillation,18,141.8131671976298,564,0.482895327731967,0.3333333333333333,0.17543859649122806
AtrialFibrillation,19,120.80566441081464,479,0.521809495985508,0.26666666666666666,0.21445221445221443
BasicMotions,0,29.38877158239484,213,0.9723367840051651,1.0,1.0
BasicMotions,1,42.15382154472172,320,0.48979212157428265,1.0,1.0
BasicMotions,2,40.656290236860514,319,0.48198060505092144,1.0,1.0
BasicMotions,3,37.340525871142745,277,0.48718561232089996,1.0,1.0
BasicMotions,4,31.716030571609735,234,0.5285030473023653,1.0,1.0
BasicMotions,5,43.96012471616268,342,0.48260751739144325,1.0,1.0
BasicMotions,6,42.87244786322117,325,0.5228659808635712,1.0,1.0
BasicMotions,7,44.57878489792347,344,0.48819226026535034,1.0,1.0
BasicMotions,8,51.94269018433988,397,0.4914442654699087,1.0,1.0
BasicMotions,9,54.44224971905351,447,0.32010103948414326,1.0,1.0
BasicMotions,10,41.15458611957729,318,0.4879433047026396,1.0,1.0
BasicMotions,11,43.866274846717715,327,0.5391790457069874,1.0,1.0
BasicMotions,12,45.94431522861123,362,0.48587103746831417,1.0,1.0
BasicMotions,13,58.06626847013831,446,0.5372688937932253,1.0,1.0
BasicMotions,14,53.051683532074094,408,0.48595985397696495,1.0,1.0
BasicMotions,15,50.54041222669184,389,0.5023058243095875,1.0,1.0
BasicMotions,16,42.4438649546355,331,0.48626402392983437,1.0,1.0
BasicMotions,17,40.314799666404724,307,0.49428584426641464,1.0,1.0
BasicMotions,18,40.52079386077821,299,0.5431041363626719,1.0,1.0
BasicMotions,19,43.193789480254054,325,0.4871116317808628,1.0,1.0
Cricket,0,109.65362991392612,502,0.6538358628749847,1.0,1.0
Cricket,1,105.23613265156746,492,0.540305333212018,1.0,1.0
Cricket,2,73.34759912267327,335,0.5416771043092012,1.0,1.0
Cricket,3,116.8973314203322,551,0.5762734469026327,1.0,1.0
Cricket,4,105.82647915557027,500,0.5354203823953867,1.0,1.0
Cricket,5,86.66206741891801,401,0.5499480608850718,1.0,1.0
Cricket,6,62.14114695228636,284,0.9208896793425083,0.9861111111111112,0.9860139860139859
Cricket,7,70.5862402971834,329,0.5365176200866699,1.0,1.0
Cricket,8,101.51194506138563,470,0.5790527444332838,1.0,1.0
Cricket,9,92.26163800060749,429,0.5417322777211666,1.0,1.0
Cricket,10,67.21803682483733,303,0.546711040660739,1.0,1.0
Cricket,11,64.26336709037423,286,0.580181211233139,1.0,1.0
Cricket,12,58.932332310825586,263,0.5349504128098488,1.0,1.0
Cricket,13,65.88365474902093,297,0.5539475977420807,1.0,1.0
Cricket,14,56.332154504954815,255,0.534423815086484,0.9861111111111112,0.9860139860139859
Cricket,15,61.358488673344254,281,0.542848140001297,1.0,1.0
Cricket,16,61.40866975300014,278,0.5770245641469955,1.0,1.0
Cricket,17,83.11701555922627,382,0.536069680005312,1.0,1.0
Cricket,18,104.89988298900425,488,0.5431888680905104,1.0,1.0
Cricket,19,52.62846713513136,236,0.5657573286443949,0.9861111111111112,0.9860139860139859
DuckDuckGeese,0,113.14779613725841,787,0.778653571382165,0.66,0.66
DuckDuckGeese,1,111.98421642370522,772,0.6410236191004515,0.64,0.6462003493582442
DuckDuckGeese,2,99.75225880928338,693,1.0930463783442974,0.62,0.6217442583440699
DuckDuckGeese,3,93.08694302290678,652,0.6368297766894102,0.62,0.6175757575757576
DuckDuckGeese,4,147.55020884796977,1044,0.674706369638443,0.6,0.5969361907442402
DuckDuckGeese,5,59.298922277987,402,0.6268801148980856,0.6,0.5890259740259741
DuckDuckGeese,6,84.24393822439015,585,0.6571020819246769,0.6,0.5958567774936062
DuckDuckGeese,7,81.45910396240652,558,0.6220332775264978,0.68,0.684126984126984
DuckDuckGeese,8,93.8069254104048,638,0.6574113816022873,0.64,0.6333333333333333
DuckDuckGeese,9,68.56097259186208,455,0.6220119260251522,0.58,0.5591987874825404
DuckDuckGeese,10,101.003443390131,708,0.6432549245655537,0.64,0.6304259991216512
DuckDuckGeese,11,112.6285180579871,803,0.6412891261279583,0.66,0.6522793148880106
DuckDuckGeese,12,78.80011755228043,532,0.627133809030056,0.6,0.5967099567099567
DuckDuckGeese,13,116.0866714939475,806,0.669154480099678,0.66,0.6640492963012816
DuckDuckGeese,14,72.2786130271852,491,0.6381618119776249,0.62,0.6191189202953908
DuckDuckGeese,15,93.90339539572597,653,0.6554117240011692,0.64,0.6417224880382776
DuckDuckGeese,16,69.05921794846654,462,0.6351963728666306,0.68,0.683876357560568
DuckDuckGeese,17,57.968267573043704,381,0.6480147838592529,0.56,0.563059163059163
DuckDuckGeese,18,78.75949632562697,540,0.6372607350349426,0.64,0.6271853546910755
DuckDuckGeese,19,105.22408665157855,755,0.5760736204683781,0.62,0.6142857142857142
ERing,0,66.40994931943715,516,1.5122283417731524,0.17407407407407408,0.06264908813535815
ERing,1,56.41340149194002,445,0.5513043701648712,0.5481481481481482,0.5093697693789575
ERing,2,69.59643846005201,577,0.5716727804392576,0.17407407407407408,0.06434410697850686
ERing,3,63.594561042264104,502,0.5547735150903463,0.21851851851851853,0.10580227332804654
ERing,4,55.26008188538253,441,0.5861413143575191,0.2222222222222222,0.11439258840415813
ERing,5,60.26861102320254,469,0.5557218808680773,0.42962962962962964,0.3596278741941437
ERing,6,65.71599215641618,518,0.5868648830801249,0.16666666666666666,0.047619047619047616
ERing,7,73.1985138207674,571,0.5549456775188446,0.37777777777777777,0.2593080328324438
ERing,8,85.3172396235168,673,0.5817666836082935,0.21851851851851853,0.11708141754725605
ERing,9,67.86714937724173,546,0.5572620201855898,0.29259259259259257,0.18088071348940915
ERing,10,69.54941560700536,564,0.4948602169752121,0.16666666666666666,0.047619047619047616
ERing,11,59.67404966428876,470,0.5901081003248692,0.40370370370370373,0.33962456641501737
ERing,12,58.3783547077328,463,0.5569942388683558,0.45555555555555555,0.3876958530275176
ERing,13,59.83644799888134,476,0.5890270639210939,0.17037037037037037,0.055017077448536886
ERing,14,50.95362611487508,389,0.5534611828625202,0.37777777777777777,0.3083144835016785
ERing,15,65.95504126884043,511,0.5854305513203144,0.4222222222222222,0.338015607580825
ERing,16,47.19639544375241,368,0.5437147039920092,0.3296296296296296,0.17619498908287998
ERing,17,62.37551900558174,476,0.5749520249664783,0.17777777777777778,0.0686560892114056
ERing,18,51.98313100449741,406,0.5903887376189232,0.18888888888888888,0.10700707726501726
ERing,19,39.18910094164312,300,0.5252989660948515,0.16666666666666666,0.047619047619047616
EigenWorms,0,1575.768800271675,745,1.8349339701235294,0.916030534351145,0.9135960660769821
EigenWorms,1,986.5001857690513,466,1.1183804143220186,0.9007633587786259,0.9015705465516527
EigenWorms,2,1094.4178622998297,517,1.1407421883195639,0.9007633587786259,0.9006819350330799
EigenWorms,3,1448.9354582373053,685,1.1388521362096071,0.9083969465648855,0.9069623585153986
