Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,137.80067911557853,453,0.7845623232424259,0.98,0.9800940914158306
ArticularyWordRecognition,1,149.3331565707922,510,0.5083827618509531,0.99,0.9898245059288536
ArticularyWordRecognition,2,173.75411525554955,603,0.5096332896500826,0.9833333333333332,0.9836599033816428
ArticularyWordRecognition,3,189.3644824642688,657,0.5088090691715479,0.98,0.979930191547583
ArticularyWordRecognition,4,208.8747539445758,728,0.5076059456914663,0.9833333333333332,0.9832751190838148
ArticularyWordRecognition,5,191.6257348023355,651,0.7849326189607382,0.9766666666666668,0.9762683229813668
ArticularyWordRecognition,6,191.4154902510345,668,0.5068532284349203,0.9766666666666668,0.9766026553156988
ArticularyWordRecognition,7,151.36928553134203,523,0.5134459771215916,0.98,0.9798318840579712
ArticularyWordRecognition,8,110.07808906398714,378,0.5034678746014833,0.9766666666666668,0.9763753463927378
ArticularyWordRecognition,9,174.90942241623998,616,0.5035530440509319,0.9766666666666668,0.9766129117259552
ArticularyWordRecognition,10,179.58857341110706,603,0.7808770779520273,0.98,0.979952042160738
ArticularyWordRecognition,11,164.40357919037342,569,0.5008989833295345,0.9766666666666668,0.9766158305462652
ArticularyWordRecognition,12,162.27109611965716,566,0.5033276993781328,0.98,0.9797144768275204
ArticularyWordRecognition,13,155.49839164689183,539,0.5004330035299063,0.9766666666666668,0.9763753463927378
ArticularyWordRecognition,14,113.24866834282876,389,0.4992104675620794,0.9766666666666668,0.9767710144927536
ArticularyWordRecognition,15,154.08872093260288,532,0.5019432306289673,0.98,0.9801101449275362
ArticularyWordRecognition,16,179.15842628851533,623,0.5013394206762314,0.9733333333333334,0.972960494577886
ArticularyWordRecognition,17,117.544619390741,402,0.5025470498949289,0.98,0.979930191547583
ArticularyWordRecognition,18,169.7129378207028,588,0.5047972071915865,0.98,0.979930191547583
ArticularyWordRecognition,19,168.65331321954727,581,0.5068007223308086,0.9733333333333334,0.9735275822406256
AtrialFibrillation,0,123.91495196893813,494,0.5027153361588717,0.3333333333333333,0.1666666666666666
AtrialFibrillation,1,146.9999911505729,588,0.4678653702139854,0.2666666666666666,0.2272727272727272
AtrialFibrillation,2,142.00082491524518,566,0.4630176089704036,0.3333333333333333,0.2878787878787879
AtrialFibrillation,3,119.8896104414016,475,0.4662271328270435,0.3333333333333333,0.1666666666666666
AtrialFibrillation,4,123.47766451351345,493,0.4637361448258161,0.3333333333333333,0.1666666666666666
AtrialFibrillation,5,148.8193025290966,597,0.5056470204144716,0.3333333333333333,0.1851851851851851
AtrialFibrillation,6,126.3806664776057,506,0.4680535066872835,0.2,0.1631701631701631
AtrialFibrillation,7,149.18266350217164,585,0.5402953568845987,0.4,0.3333333333333333
AtrialFibrillation,8,121.06543640233576,486,0.4653575401753187,0.3333333333333333,0.264069264069264
AtrialFibrillation,9,125.52298899926244,500,0.4660001639276743,0.2,0.2
AtrialFibrillation,10,124.43982389569284,494,0.5005626399070024,0.4666666666666667,0.4779202279202278
AtrialFibrillation,11,134.97803351469338,542,0.4641717374324798,0.2666666666666666,0.1568627450980392
AtrialFibrillation,12,134.78285647928715,478,0.4581423550844192,0.4,0.2865497076023391
AtrialFibrillation,13,151.92910142615438,574,0.4649462793022394,0.1333333333333333,0.15
AtrialFibrillation,14,120.74791481159627,467,0.4784536194056272,0.2666666666666666,0.199074074074074
AtrialFibrillation,15,141.96273817121985,569,0.4628449454903602,0.4,0.2962962962962963
AtrialFibrillation,16,137.98953375965357,544,0.4742881469428539,0.4,0.4071428571428572
AtrialFibrillation,17,145.53657454252243,572,0.3516065403819084,0.3333333333333333,0.261904761904762
AtrialFibrillation,18,119.85664508119226,476,0.4621194042265415,0.4,0.2962962962962963
AtrialFibrillation,19,142.0313107240945,529,0.4652857445180416,0.4666666666666667,0.3722943722943723
BasicMotions,0,53.43803856521845,412,0.7632892187684774,1.0,1.0
BasicMotions,1,36.64518756791949,277,0.7314745485782623,1.0,1.0
BasicMotions,2,58.82063909992576,456,0.4673470687121153,1.0,1.0
BasicMotions,3,35.447928447276354,277,0.4758902713656425,1.0,1.0
BasicMotions,4,57.0115803591907,455,0.4684897568076849,1.0,1.0
BasicMotions,5,37.19242042116821,282,0.76917096786201,1.0,1.0
BasicMotions,6,56.51874385587871,440,0.4731120765209198,1.0,1.0
BasicMotions,7,57.62469372339547,471,0.4661308992654085,1.0,1.0
BasicMotions,8,49.68639568425715,397,0.4642237201333046,1.0,1.0
BasicMotions,9,39.87631560862064,304,0.4684094302356243,1.0,1.0
BasicMotions,10,34.391886316239834,252,0.7656024694442749,1.0,1.0
BasicMotions,11,44.94868426211178,342,0.4959416110068559,1.0,1.0
BasicMotions,12,43.53876079618931,325,0.4625397678464651,1.0,1.0
BasicMotions,13,70.27589918673038,573,0.490326015278697,1.0,1.0
BasicMotions,14,51.469116846099496,408,0.4634981509298086,1.0,1.0
BasicMotions,15,29.804628225043416,221,0.4735090602189302,1.0,1.0
BasicMotions,16,43.58163478970528,331,0.4061488267034292,1.0,1.0
BasicMotions,17,41.40017126500607,318,0.4731250945478678,1.0,1.0
BasicMotions,18,47.9479893501848,374,0.5067341793328524,1.0,1.0
BasicMotions,19,31.87644093297422,241,0.4678015913814306,1.0,1.0
CharacterTrajectories,0,541.489469345659,384,0.92447142675519,0.9965181058495822,0.996517471812605
CharacterTrajectories,1,649.2752333302051,461,0.6655241418629885,0.9965181058495822,0.9965165979014388
CharacterTrajectories,2,596.9851292483509,424,0.6676756255328655,0.9944289693593314,0.9944289295000944
CharacterTrajectories,3,509.1101193856448,361,0.65957360714674,0.9958217270194986,0.995817722889192
CharacterTrajectories,4,502.8346320632845,356,0.6566529367119074,0.9965181058495822,0.996517287696908
CharacterTrajectories,5,549.1380022875965,400,0.92720446921885,0.995125348189415,0.9951236714403328
CharacterTrajectories,6,464.2422336470336,337,0.6598220225423574,0.995125348189415,0.9951348453449932
CharacterTrajectories,7,494.2032290734351,362,0.662079593166709,0.9958217270194986,0.9958196116183612
CharacterTrajectories,8,439.38653397001326,319,0.9638110995292664,0.9944289693593314,0.9944270651595242
CharacterTrajectories,9,536.7744008954614,391,0.6559878848493099,0.993732590529248,0.9937300788764466
CharacterTrajectories,10,595.5713949706405,426,0.9284753501415252,0.995125348189415,0.9951228738417072
CharacterTrajectories,11,552.1451917365193,396,0.6511694956570864,0.995125348189415,0.9951235251610844
CharacterTrajectories,12,633.2588354293257,457,0.6667679883539677,0.9972144846796658,0.9972144846796658
CharacterTrajectories,13,441.9636176079512,316,0.6689633373171091,0.9965181058495822,0.9965174983965882
CharacterTrajectories,14,722.3485388122499,522,0.6575434934347868,0.9958217270194986,0.995810333124478
CharacterTrajectories,15,408.5322501007468,294,0.6542070377618074,0.9965181058495822,0.9965174849913532
CharacterTrajectories,16,619.4372935444117,445,0.6985458098351955,0.995125348189415,0.9951238078485234
CharacterTrajectories,17,466.9914858937264,335,0.6589206121861935,0.995125348189415,0.99511905750441
CharacterTrajectories,18,439.6538652293384,317,0.6549896374344826,0.9944289693593314,0.9944318014513828
CharacterTrajectories,19,508.79034057818353,363,0.6875907704234123,0.995125348189415,0.9951240185482036
Cricket,0,50.86580134741962,252,0.5373642947524786,0.9861111111111112,0.986013986013986
Cricket,1,56.55421670898795,287,0.5036296006292105,1.0,1.0
Cricket,2,56.323243997991085,284,0.4787218607962131,1.0,1.0
Cricket,3,97.80676290206613,512,0.4899413399398327,0.9861111111111112,0.986013986013986
Cricket,4,73.68241272121668,377,0.5051760040223598,0.9861111111111112,0.986013986013986
Cricket,5,52.30816485174,264,0.5454467516392469,0.9861111111111112,0.986013986013986
Cricket,6,63.838801922276616,329,0.4833688549697399,1.0,1.0
Cricket,7,64.4250295907259,329,0.4877170715481043,1.0,1.0
Cricket,8,56.78406632132828,289,0.4969702009111643,0.9861111111111112,0.986013986013986
Cricket,9,70.23019880801439,361,0.4828261993825435,0.9861111111111112,0.986013986013986
Cricket,10,56.4672768432647,285,0.5338818747550249,0.9722222222222222,0.972027972027972
Cricket,11,54.03033164143562,269,0.4978639371693134,0.9861111111111112,0.986013986013986
Cricket,12,73.2937583848834,377,0.5361891109496355,0.9861111111111112,0.986013986013986
Cricket,13,77.72062546946108,401,0.488276882097125,0.9861111111111112,0.986013986013986
Cricket,14,85.22414226084948,446,0.5037794560194016,0.9861111111111112,0.986013986013986
Cricket,15,63.29136775992811,325,0.529465502128005,1.0,1.0
Cricket,16,83.05996239744127,437,0.488666221499443,0.9861111111111112,0.986013986013986
Cricket,17,80.64579142257571,417,0.5135933756828308,0.9861111111111112,0.986013986013986
Cricket,18,87.91106628999114,460,0.4900622647255659,0.9861111111111112,0.986013986013986
Cricket,19,95.34388239309192,499,0.5035017263144255,0.9861111111111112,0.986013986013986
DuckDuckGeese,0,121.63848618417978,857,0.6767119076102972,0.72,0.7188821857014076
DuckDuckGeese,1,107.40254650823772,752,0.5974280759692192,0.66,0.6646464646464646
DuckDuckGeese,2,95.68970844708385,679,0.5877907648682594,0.68,0.6792982456140351
DuckDuckGeese,3,101.85412376374006,726,0.5846620742231607,0.64,0.6443478260869565
DuckDuckGeese,4,90.44825836271048,638,0.6217208560556173,0.62,0.6265700483091787
DuckDuckGeese,5,100.15566059015693,706,0.70325274951756,0.66,0.6523466303517453
DuckDuckGeese,6,99.49399491213262,697,0.5819834358990192,0.76,0.7583732057416267
DuckDuckGeese,7,101.37577411159872,714,0.5921302288770676,0.68,0.6863659147869674
DuckDuckGeese,8,121.06915427744389,872,0.6179011929780245,0.68,0.6854651780967571
DuckDuckGeese,9,122.54399261064827,877,0.5705914348363876,0.72,0.7191355626918959
DuckDuckGeese,10,104.58557648397982,727,0.7298873513936996,0.64,0.6370364413708067
DuckDuckGeese,11,94.56524375267328,667,0.5726551953703165,0.7,0.7080991481260694
DuckDuckGeese,12,75.84648626297712,541,0.5956265926361084,0.64,0.6472750503710256
DuckDuckGeese,13,108.94658993184566,761,0.58808733522892,0.66,0.6706391132087726
DuckDuckGeese,14,119.9960877932608,859,0.5936809442937374,0.66,0.662864749255919
DuckDuckGeese,15,102.19468899816276,713,0.6301832143217325,0.7,0.6978295541224603
