Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,167.34701051190495,529,0.9631490278989077,0.9833333333333333,0.9832693219823655
ArticularyWordRecognition,1,170.7095643170178,560,0.5619828440248966,0.98,0.9799359886490322
ArticularyWordRecognition,2,121.95237407647073,395,0.5717148445546627,0.98,0.9796490118577075
ArticularyWordRecognition,3,123.14060256816447,395,0.517966628074646,0.9766666666666667,0.9765808047025439
ArticularyWordRecognition,4,173.70858558267355,572,0.5184035524725914,0.9733333333333334,0.9731404479578392
ArticularyWordRecognition,5,177.89213740825653,587,0.5116838067770004,0.9866666666666667,0.9866550724637682
ArticularyWordRecognition,6,187.73319634236395,621,0.5226523410528898,0.9666666666666667,0.9662114465244902
ArticularyWordRecognition,7,173.25527235679328,571,0.5268766731023788,0.9833333333333333,0.9831112192155672
ArticularyWordRecognition,8,230.47592642717063,763,0.531651807948947,0.9733333333333334,0.9731652173913043
ArticularyWordRecognition,9,168.65057019889355,554,0.5786433815956116,0.9633333333333334,0.9630071146245059
ArticularyWordRecognition,10,90.70358434692025,287,0.5295340213924646,0.98,0.9800940914158306
ArticularyWordRecognition,11,196.07332179881632,646,0.5722775291651487,0.98,0.9799549609810481
ArticularyWordRecognition,12,167.16161982528865,548,0.523877227678895,0.98,0.9798071146245061
ArticularyWordRecognition,13,192.4901825375855,637,0.5181252434849739,0.97,0.970139981757373
ArticularyWordRecognition,14,156.01469608396292,515,0.5143325719982386,0.96,0.9594130275521582
ArticularyWordRecognition,15,163.49796619266272,539,0.528609711676836,0.9733333333333334,0.9729955204216075
ArticularyWordRecognition,16,107.65477703139186,345,0.5722547080367804,0.9766666666666667,0.9763288537549408
ArticularyWordRecognition,17,200.59580089338124,662,0.5160531625151634,0.98,0.9798129117259553
ArticularyWordRecognition,18,139.75741997361183,458,0.5302038490772247,0.97,0.9697736698084524
ArticularyWordRecognition,19,174.35165399312973,571,0.5183679684996605,0.9733333333333334,0.9731288537549407
AtrialFibrillation,0,155.16761188954115,550,0.5439721308648586,0.2,0.12499999999999999
AtrialFibrillation,1,147.3211535103619,528,0.49986415542662144,0.5333333333333333,0.44607843137254904
AtrialFibrillation,2,154.51558952778578,548,0.47278712689876556,0.3333333333333333,0.27314814814814814
AtrialFibrillation,3,155.41210216656327,557,0.8190958946943283,0.3333333333333333,0.16666666666666666
AtrialFibrillation,4,136.32611238583922,482,0.48121959157288074,0.26666666666666666,0.20346320346320343
AtrialFibrillation,5,133.96268397197127,473,0.5121568758040667,0.3333333333333333,0.26495726495726496
AtrialFibrillation,6,130.3344516083598,465,0.4692118037492037,0.3333333333333333,0.17543859649122806
AtrialFibrillation,7,143.9793703146279,514,0.49425893276929855,0.4666666666666667,0.3564814814814815
AtrialFibrillation,8,134.2153286319226,480,0.4959797952324152,0.3333333333333333,0.2433862433862434
AtrialFibrillation,9,154.3009391836822,552,0.4798401612788439,0.3333333333333333,0.19607843137254904
AtrialFibrillation,10,137.23180142976344,513,0.7380623016506433,0.4,0.28654970760233917
AtrialFibrillation,11,126.74789864942431,476,0.46982874907553196,0.4666666666666667,0.3756613756613757
AtrialFibrillation,12,149.65691164508462,530,0.5325298476964235,0.4666666666666667,0.3627450980392157
AtrialFibrillation,13,149.25485286675394,535,0.4844361115247011,0.3333333333333333,0.16666666666666666
AtrialFibrillation,14,156.58481779322028,551,0.5461647920310497,0.26666666666666666,0.14035087719298242
AtrialFibrillation,15,139.4020294751972,490,0.47258123755455017,0.4666666666666667,0.45396825396825397
AtrialFibrillation,16,138.14692774415016,481,0.5073034260421991,0.5333333333333333,0.4273504273504274
AtrialFibrillation,17,146.57148987613618,517,0.5210364609956741,0.3333333333333333,0.17543859649122806
AtrialFibrillation,18,140.330870853737,485,0.5033406428992748,0.3333333333333333,0.16666666666666666
AtrialFibrillation,19,160.97238948009908,560,0.8776177875697613,0.26666666666666666,0.14814814814814817
BasicMotions,0,38.50445664860308,253,1.0181959085166454,1.0,1.0
BasicMotions,1,60.56191391311586,432,0.5328149795532227,1.0,1.0
BasicMotions,2,52.61467834934592,377,0.4840673953294754,1.0,1.0
BasicMotions,3,35.73690766096115,230,0.5182224959135056,1.0,1.0
BasicMotions,4,34.478340059518814,234,0.5482629872858524,0.975,0.974937343358396
BasicMotions,5,49.99873276427388,342,0.5251840557903051,1.0,1.0
BasicMotions,6,51.51517720334232,341,0.5500847697257996,0.975,0.974937343358396
BasicMotions,7,48.73361687734723,344,0.5066719893366098,1.0,1.0
BasicMotions,8,56.74947884120047,393,0.5415444746613503,0.975,0.974937343358396
BasicMotions,9,57.2906999476254,405,0.5374694708734751,1.0,1.0
BasicMotions,10,59.68810228444636,424,0.5212814155966043,1.0,1.0
BasicMotions,11,54.08112750761211,382,0.4902474842965603,0.975,0.974937343358396
BasicMotions,12,37.88418737053871,244,0.5158606413751841,1.0,1.0
BasicMotions,13,66.32503210566938,452,0.8358894065022469,1.0,1.0
BasicMotions,14,57.64356441795826,408,0.49948637932538986,1.0,1.0
BasicMotions,15,53.76237698085606,384,0.5348938629031181,0.975,0.974937343358396
BasicMotions,16,48.3144604396075,331,0.49562419578433037,1.0,1.0
BasicMotions,17,55.67474055662751,370,0.5161802396178246,1.0,1.0
BasicMotions,18,72.62927984073758,530,0.5053334925323725,1.0,1.0
BasicMotions,19,78.28579885698855,566,0.5620075948536396,1.0,1.0
Cricket,0,109.57983925379813,481,0.6376052461564541,0.9861111111111112,0.9860139860139859
Cricket,1,121.65110886283219,540,0.5528560318052769,0.9722222222222222,0.972125097125097
Cricket,2,89.41301008500159,389,0.5266009904444218,0.9861111111111112,0.9860139860139859
Cricket,3,57.35286653228104,253,0.5596494991332293,0.9722222222222222,0.972125097125097
Cricket,4,57.209832306951284,257,0.5075238291174173,0.9722222222222222,0.972125097125097
Cricket,5,89.2793197631836,408,0.5584418270736933,0.9861111111111112,0.9860139860139862
Cricket,6,85.53072329424322,389,0.5117758587002754,1.0,1.0
Cricket,7,56.690670032054186,254,0.5201371926814318,0.9861111111111112,0.9860139860139859
Cricket,8,71.51208153180778,323,0.562758531421423,0.9861111111111112,0.9860139860139859
Cricket,9,64.10743827559054,290,0.5086172129958868,1.0,1.0
Cricket,10,71.95252137444913,309,0.5603782124817371,0.9861111111111112,0.9860139860139859
Cricket,11,62.90242843143642,268,0.5666559170931578,0.9861111111111112,0.9860139860139859
Cricket,12,87.72756408527493,387,0.508496368303895,0.9861111111111112,0.9860139860139859
Cricket,13,59.527030136436224,246,0.5273452084511518,0.9861111111111112,0.9860139860139862
Cricket,14,108.69716025702655,484,0.5843808799982071,0.9861111111111112,0.9860139860139859
Cricket,15,73.05632907152176,323,0.49900615215301514,0.9722222222222222,0.972125097125097
Cricket,16,73.37857996672392,319,0.5410013776272535,0.9861111111111112,0.9860139860139859
Cricket,17,93.8541850708425,417,0.4944186192005873,0.9861111111111112,0.9860139860139859
Cricket,18,107.97066183574498,488,0.5160863772034645,0.9861111111111112,0.9860139860139859
Cricket,19,80.56184685230255,353,0.5723020639270544,0.9861111111111112,0.9860139860139859
DuckDuckGeese,0,110.22923639044166,694,0.7500111758708954,0.58,0.5821256038647342
DuckDuckGeese,1,155.4410566482693,999,0.5897612441331148,0.54,0.5395488721804511
