Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,143.221396477893,462,0.9599801059812308,0.9633333333333334,0.9636748263009132
ArticularyWordRecognition,1,155.67698555253446,510,0.5396167766302824,0.98,0.9796679841897236
ArticularyWordRecognition,2,161.56401056796312,531,0.5916935075074434,0.9833333333333332,0.983501800614844
ArticularyWordRecognition,3,157.8272914402187,518,0.5804454647004604,0.98,0.979952042160738
ArticularyWordRecognition,4,149.44685900211334,491,0.5456097926944494,0.98,0.9800590655721092
ArticularyWordRecognition,5,166.17808947339654,565,0.9760046359151602,0.9766666666666668,0.9764905452035888
ArticularyWordRecognition,6,204.55392775684595,668,0.5457056146115065,0.98,0.979638755447451
ArticularyWordRecognition,7,142.61983969062567,463,0.5689482800662518,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,8,229.5306990724057,770,1.0115262884646654,0.98,0.9796387554474512
ArticularyWordRecognition,9,104.10062952898444,354,0.5438890885561705,0.98,0.9799462450592884
ArticularyWordRecognition,10,183.90202432498336,603,0.9434577114880084,0.9766666666666668,0.9766216276477148
ArticularyWordRecognition,11,222.043557336554,732,0.5700802598148584,0.9666666666666668,0.9666180814354728
ArticularyWordRecognition,12,165.47970152273774,548,0.5384209789335728,0.9733333333333334,0.9732686945904336
ArticularyWordRecognition,13,202.0587924774736,670,0.5517718773335218,0.9833333333333332,0.9832693219823654
ArticularyWordRecognition,14,151.46562341600657,494,0.5490892548114061,0.98,0.9799491638795989
ArticularyWordRecognition,15,152.6970768198371,499,0.5466887671500444,0.98,0.9800940914158306
ArticularyWordRecognition,16,181.8351976238191,600,0.5604027789086103,0.9766666666666668,0.9764169048342964
ArticularyWordRecognition,17,125.51570956595242,406,0.5885651595890522,0.97,0.9700686945904338
ArticularyWordRecognition,18,201.25251322425905,664,0.5424426048994064,0.9733333333333334,0.9735724603898518
ArticularyWordRecognition,19,170.52118742838502,552,0.5541860796511173,0.9766666666666668,0.9763054221141176
AtrialFibrillation,0,148.20613456889987,560,0.5851274523884058,0.2666666666666666,0.2645502645502645
AtrialFibrillation,1,135.20215042307973,512,0.5037790909409523,0.4666666666666667,0.376068376068376
AtrialFibrillation,2,128.23105329461396,482,0.6068625301122665,0.0666666666666666,0.0476190476190476
AtrialFibrillation,3,127.78407130762936,486,0.8376179523766041,0.2666666666666666,0.2
AtrialFibrillation,4,125.53544597886504,483,0.5136434994637966,0.4,0.2804232804232804
AtrialFibrillation,5,119.7068024072796,472,0.6086304690688848,0.3333333333333333,0.175438596491228
AtrialFibrillation,6,161.28736752830446,598,0.5143973585218191,0.2666666666666666,0.268013468013468
AtrialFibrillation,7,132.27095126733184,513,0.5200771130621433,0.2,0.1176470588235294
AtrialFibrillation,8,133.57654874958098,510,0.5064116679131985,0.2666666666666666,0.1403508771929824
AtrialFibrillation,9,148.43321771919727,569,0.521362915635109,0.0666666666666666,0.0444444444444444
AtrialFibrillation,10,130.72069086320698,501,0.5815587379038334,0.3333333333333333,0.2401960784313725
AtrialFibrillation,11,140.08463658764958,531,0.4930457696318626,0.3333333333333333,0.175438596491228
AtrialFibrillation,12,139.95375997945666,530,0.5696496125310659,0.3333333333333333,0.1666666666666666
AtrialFibrillation,13,121.91067424230278,465,0.5033993553370237,0.3333333333333333,0.3238095238095238
AtrialFibrillation,14,129.74907996319234,491,0.5061067100614309,0.4,0.2865497076023391
AtrialFibrillation,15,124.36848237738012,472,0.5075243338942528,0.1333333333333333,0.1161616161616161
AtrialFibrillation,16,125.62797985039651,481,0.5164260882884264,0.4,0.2804232804232804
AtrialFibrillation,17,131.35950119793415,500,0.5409938115626574,0.2666666666666666,0.2051282051282051
AtrialFibrillation,18,134.12355592660606,516,0.5129530671983957,0.3333333333333333,0.2407407407407407
AtrialFibrillation,19,126.46777673251928,477,0.5399941150099039,0.4,0.3944444444444444
BasicMotions,0,67.45909803546965,479,1.0397242773324251,1.0,1.0
BasicMotions,1,52.66995921358466,379,0.5060738734900951,1.0,1.0
BasicMotions,2,53.1855023894459,377,0.5320549849420786,1.0,1.0
BasicMotions,3,39.51888754591346,277,0.5890021063387394,1.0,1.0
BasicMotions,4,35.84101735241711,244,0.5559781193733215,1.0,1.0
BasicMotions,5,37.85925851017237,282,0.9880855306982994,1.0,1.0
BasicMotions,6,53.6069270838052,418,0.5232237726449966,1.0,1.0
BasicMotions,7,44.96011581644416,342,0.5540338661521673,1.0,1.0
BasicMotions,8,53.68208879232407,420,0.5132670644670725,1.0,1.0
BasicMotions,9,43.000957772135735,321,0.5525944102555513,1.0,1.0
BasicMotions,10,45.46324606984854,318,0.997356615960598,1.0,1.0
BasicMotions,11,49.52942726574838,356,0.5163941625505686,1.0,1.0
