Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,129.36578043363988,469,0.8312706500291824,0.98,0.9795913999044434
ArticularyWordRecognition,1,121.50602552853525,444,0.4351484924554825,0.98,0.9800532684706597
ArticularyWordRecognition,2,167.29954009316862,603,0.3294835072010755,0.9866666666666668,0.986649275362319
ArticularyWordRecognition,3,119.3691909890622,431,0.4323533549904823,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,4,118.27190158702432,424,0.4303862638771534,0.9833333333333332,0.9834332218506132
ArticularyWordRecognition,5,123.06967137381434,385,0.9478938598185778,0.98,0.979730530339226
ArticularyWordRecognition,6,122.96480450034142,409,0.5170330479741096,0.9866666666666668,0.986649275362319
ArticularyWordRecognition,7,179.76266312412918,614,0.5195962395519018,0.98,0.979807114624506
ArticularyWordRecognition,8,110.77166078425944,374,0.5390800479799509,0.9866666666666668,0.986649275362319
ArticularyWordRecognition,9,198.3512943908572,658,0.5116606764495373,0.98,0.9800882943143812
ArticularyWordRecognition,10,185.5375173408538,588,0.9402996096760036,0.98,0.9795971970058928
ArticularyWordRecognition,11,189.66360098868608,630,0.550599817186594,0.9766666666666668,0.9764737812911728
ArticularyWordRecognition,12,166.33962995186448,548,0.5465141553431749,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,13,212.37106299214065,693,0.514662079513073,0.9766666666666668,0.9767141380358773
ArticularyWordRecognition,14,114.82236018404365,374,0.5166923888027668,0.9766666666666668,0.976754960981048
ArticularyWordRecognition,15,152.55819755606353,501,0.5475197695195675,0.98,0.9800940914158306
ArticularyWordRecognition,16,187.88864384777844,613,0.5604893304407597,0.9866666666666668,0.986649275362319
ArticularyWordRecognition,17,212.1412019953132,710,0.5366752333939075,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,18,193.5833936110139,642,0.5402634516358376,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,19,168.34519835561514,553,0.5247902683913708,0.9833333333333332,0.9833159420289856
AtrialFibrillation,0,133.65637181140482,556,0.3541129976511001,0.2666666666666666,0.2669552669552669
AtrialFibrillation,1,113.2256664764136,471,0.4078398272395134,0.2,0.1111111111111111
AtrialFibrillation,2,118.58866212517025,506,0.3213265910744667,0.3333333333333333,0.2649572649572649
AtrialFibrillation,3,121.83855763077736,513,0.3986404575407505,0.4666666666666667,0.3756613756613757
AtrialFibrillation,4,106.50286109372972,461,0.411282567307353,0.4,0.3205128205128205
AtrialFibrillation,5,132.8636759519577,502,0.5296011082828045,0.4,0.3148148148148149
AtrialFibrillation,6,134.63915594667196,514,0.472689488902688,0.3333333333333333,0.2692307692307692
AtrialFibrillation,7,123.31997052766384,488,0.4686334431171417,0.3333333333333333,0.1666666666666666
AtrialFibrillation,8,123.59387681260704,486,0.4683116599917412,0.6666666666666666,0.6666666666666665
AtrialFibrillation,9,127.7428266722709,486,0.4674827922135591,0.3333333333333333,0.196078431372549
AtrialFibrillation,10,127.90469402074814,493,0.518160754814744,0.4666666666666667,0.3627450980392157
AtrialFibrillation,11,136.5753663033247,522,0.4633008409291506,0.3333333333333333,0.3277777777777778
AtrialFibrillation,12,141.99679668806493,539,0.8363229148089886,0.1333333333333333,0.1558441558441558
AtrialFibrillation,13,133.13778650574386,503,0.4952538087964058,0.4,0.2865497076023391
AtrialFibrillation,14,128.13209836930037,496,0.4724267981946468,0.3333333333333333,0.301994301994302
AtrialFibrillation,15,134.50039896182716,521,0.4691256079822778,0.4666666666666667,0.3777777777777777
AtrialFibrillation,16,132.17840857617557,500,0.5135130845010281,0.4666666666666667,0.4074074074074074
AtrialFibrillation,17,123.03440017439424,464,0.4656298793852329,0.3333333333333333,0.2521008403361345
AtrialFibrillation,18,129.7983258254826,497,0.4703076761215925,0.3333333333333333,0.1666666666666666
AtrialFibrillation,19,132.32136267982423,503,0.7760930918157101,0.2,0.1581196581196581
BasicMotions,0,30.44173282943666,253,0.8170698005706072,1.0,1.0
BasicMotions,1,29.513387287035584,277,0.3944308068603277,1.0,1.0
BasicMotions,2,35.43916085921228,319,0.4105461668223142,1.0,1.0
BasicMotions,3,30.40496612153948,277,0.3264716640114784,1.0,1.0
BasicMotions,4,26.81574772670865,234,0.308749072253704,1.0,1.0
BasicMotions,5,46.12440513074398,342,0.9675482045859098,1.0,1.0
BasicMotions,6,57.62784834578633,429,0.8564315568655729,1.0,1.0
BasicMotions,7,46.84912646561861,344,0.4699821602553129,1.0,1.0
BasicMotions,8,51.311072474345565,371,0.4773466307669878,1.0,1.0
BasicMotions,9,55.726702062413096,405,0.492589209228754,1.0,1.0
BasicMotions,10,55.16374443657696,401,0.9536527805030346,1.0,1.0
BasicMotions,11,43.58287934027612,306,0.5268597733229399,1.0,1.0
BasicMotions,12,50.553862961009145,362,0.5117514915764332,1.0,1.0
BasicMotions,13,61.11009472981095,446,0.5105592329055071,1.0,1.0
BasicMotions,14,56.46634501777589,408,0.474726889282465,1.0,1.0
BasicMotions,15,64.02787904441357,467,0.4978897236287594,1.0,1.0
BasicMotions,16,44.37314993515611,331,0.7578522078692913,1.0,1.0
BasicMotions,17,43.69941281341016,307,0.4976491369307041,1.0,1.0
BasicMotions,18,43.16598372720182,299,0.4916115328669548,1.0,1.0
BasicMotions,19,34.33018285408616,241,0.4769985917955637,1.0,1.0
CharacterTrajectories,0,434.90518007799983,323,0.9158627316355704,0.9867688022284122,0.9867588207608318
CharacterTrajectories,1,498.5311647672206,391,0.5504230558872223,0.9923398328690808,0.9923384682216856
CharacterTrajectories,2,514.8461741879582,413,0.4327056501060724,0.9888579387186628,0.9888573367894892
CharacterTrajectories,3,531.9145315270871,407,0.450329652056098,0.9881615598885792,0.9881460264050276
CharacterTrajectories,4,418.996793365106,331,0.5516753755509853,0.9895543175487466,0.9895294965388132
CharacterTrajectories,5,517.210300128907,361,1.1205121167004108,0.9895543175487466,0.9895414953353672
CharacterTrajectories,6,509.1817695852369,355,0.7593975868076086,0.9909470752089136,0.990956679796762
CharacterTrajectories,7,537.9539025593549,379,0.655395170673728,0.9888579387186628,0.9888534323497918
CharacterTrajectories,8,439.70039290748537,305,0.7042506635189056,0.9895543175487466,0.9895543060570496
CharacterTrajectories,9,450.06322094239295,317,0.6796623803675175,0.9888579387186628,0.9888423101674816
