Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,158.19650002382696,532,0.7830470278859138,0.9766666666666668,0.976623878536922
ArticularyWordRecognition,1,208.327911876142,727,0.5056314803659916,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,2,128.03698988817632,445,0.5061034895479679,0.98,0.9799301915475828
ArticularyWordRecognition,3,187.56215609237552,662,0.5044086836278439,0.9833333333333332,0.9831652173913044
ArticularyWordRecognition,4,97.43130689300595,335,0.504280760884285,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,5,159.77794268354774,538,0.7843135166913271,0.98,0.979730530339226
ArticularyWordRecognition,6,137.09113754704595,471,0.5041069984436035,0.9733333333333334,0.972637756446452
ArticularyWordRecognition,7,153.2207297179848,528,0.5036574173718691,0.9733333333333334,0.9731404479578394
ArticularyWordRecognition,8,220.9363786652684,770,0.5020701382309198,0.9833333333333332,0.9831652173913044
ArticularyWordRecognition,9,193.764484891668,676,0.5031287055462599,0.98,0.979930191547583
ArticularyWordRecognition,10,89.12091018073261,287,0.7823593057692051,0.98,0.979954960981048
ArticularyWordRecognition,11,128.60112782008946,443,0.5099631976336241,0.9733333333333334,0.9733910611128004
ArticularyWordRecognition,12,171.1108736731112,598,0.5061437655240297,0.98,0.979807114624506
ArticularyWordRecognition,13,154.8334082160145,542,0.5034429766237736,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,14,132.16746484860778,460,0.5030040089040995,0.98,0.98009988851728
ArticularyWordRecognition,15,129.58962661586702,448,0.504750344902277,0.9766666666666668,0.976607114624506
ArticularyWordRecognition,16,118.5731267798692,411,0.50475187972188,0.97,0.969729192546584
ArticularyWordRecognition,17,154.03150267153978,540,0.5053561590611935,0.9833333333333332,0.9832693219823654
ArticularyWordRecognition,18,171.08701440691948,598,0.5050424635410309,0.9833333333333332,0.9832693219823654
ArticularyWordRecognition,19,180.8444225359708,633,0.5108163729310036,0.9866666666666668,0.9867665551839466
AtrialFibrillation,0,136.0720676537603,551,0.5028511844575405,0.3333333333333333,0.175438596491228
AtrialFibrillation,1,121.02821678109468,484,0.4661145750433206,0.3333333333333333,0.1666666666666666
AtrialFibrillation,2,136.67899423092604,551,0.4621404055505991,0.2666666666666666,0.199074074074074
AtrialFibrillation,3,151.08114061877131,610,0.4629508182406425,0.2666666666666666,0.1403508771929824
AtrialFibrillation,4,142.37182630226016,571,0.4621041417121887,0.3333333333333333,0.264069264069264
AtrialFibrillation,5,134.41833657585084,531,0.4999018516391516,0.4,0.3263403263403263
AtrialFibrillation,6,135.48279910348356,538,0.463644964620471,0.3333333333333333,0.1666666666666666
AtrialFibrillation,7,137.603744039312,533,0.5387709960341454,0.2666666666666666,0.2444444444444444
AtrialFibrillation,8,121.2805843539536,488,0.4648205079138279,0.3333333333333333,0.1666666666666666
AtrialFibrillation,9,127.99956614896657,513,0.4614257588982582,0.2666666666666666,0.1481481481481481
AtrialFibrillation,10,147.22538445703685,590,0.5044221505522728,0.2666666666666666,0.1403508771929824
AtrialFibrillation,11,133.72937654145062,539,0.4642130192369222,0.2,0.1176470588235294
AtrialFibrillation,12,125.92531097866596,512,0.5005318950861692,0.2666666666666666,0.199074074074074
AtrialFibrillation,13,160.87048695608974,582,0.463398227468133,0.3333333333333333,0.2444444444444444
AtrialFibrillation,14,152.32951324246824,590,0.4821903966367244,0.3333333333333333,0.1666666666666666
AtrialFibrillation,15,129.6300964411348,508,0.4635574910789728,0.1333333333333333,0.1253561253561253
AtrialFibrillation,16,136.6967044789344,549,0.4776759520173073,0.2666666666666666,0.1481481481481481
AtrialFibrillation,17,124.44137329980732,510,0.4656575843691826,0.1333333333333333,0.1068376068376068
AtrialFibrillation,18,126.70945869199932,498,0.4660450890660286,0.2666666666666666,0.2237762237762237
AtrialFibrillation,19,153.42272092960775,617,0.7762484755367041,0.3333333333333333,0.1666666666666666
BasicMotions,0,34.023739671334624,253,0.7674749847501516,1.0,1.0
BasicMotions,1,47.68922138214111,379,0.7325751688331366,1.0,1.0
BasicMotions,2,49.770444106310606,377,0.4634117372334003,1.0,1.0
BasicMotions,3,47.64758753217757,376,0.4772833362221718,1.0,1.0
BasicMotions,4,44.83387197740376,354,0.4662720654159784,1.0,1.0
BasicMotions,5,31.853566152974963,239,0.7640551999211311,1.0,1.0
BasicMotions,6,43.947915559634566,341,0.4672202169895172,1.0,1.0
BasicMotions,7,44.922786904498935,342,0.4649844374507665,1.0,1.0
BasicMotions,8,62.40185088291764,494,0.464949931949377,1.0,1.0
BasicMotions,9,39.951460560783744,304,0.4646748378872871,1.0,1.0
BasicMotions,10,43.479342652484775,318,0.7645773570984602,1.0,1.0
BasicMotions,11,41.06453296914697,306,0.4905236959457397,1.0,1.0
BasicMotions,12,45.13345298357308,362,0.4677194934338331,1.0,1.0
BasicMotions,13,36.61438369564712,288,0.4753030240535736,1.0,1.0
BasicMotions,14,29.29508557729423,218,0.4675843045115471,1.0,1.0
BasicMotions,15,49.368783712387085,384,0.4766893684864044,1.0,1.0
BasicMotions,16,42.85047002881765,331,0.8075789101421833,1.0,1.0
BasicMotions,17,38.82461837679148,307,0.4719031751155853,1.0,1.0
BasicMotions,18,36.50323138572276,258,0.4923776611685753,1.0,1.0
BasicMotions,19,70.26154158450663,566,0.4712145552039146,1.0,1.0
