Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,136.42068624682724,469,0.873589439317584,0.9833333333333332,0.9831578392621872
ArticularyWordRecognition,1,199.23443733341992,700,0.4374397303909063,0.9866666666666668,0.986608452417148
ArticularyWordRecognition,2,129.32673135586083,467,0.4373061638325453,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,3,192.18018518015745,711,0.4397694431245327,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,4,124.56856851652265,429,0.4442994855344295,0.98,0.9800940914158306
ArticularyWordRecognition,5,202.7119975350797,659,0.9402569495141506,0.98,0.9792772946859905
ArticularyWordRecognition,6,195.6092242449522,666,0.5159683302044868,0.9766666666666668,0.976479578392622
ArticularyWordRecognition,7,180.35302047804,606,0.5744353327900171,0.9666666666666668,0.9664213641431034
ArticularyWordRecognition,8,134.06713620759547,445,0.5107447449117899,0.9733333333333334,0.973251930678018
ArticularyWordRecognition,9,117.12819270044564,389,0.5093379262834787,0.9733333333333334,0.9729247332377766
ArticularyWordRecognition,10,184.04507645964625,588,0.9385863002389668,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,11,181.86669437773529,611,0.5093283019959927,0.9833333333333332,0.983152042160738
ArticularyWordRecognition,12,169.96369034051895,568,0.5688563231378794,0.98,0.9801159420289856
ArticularyWordRecognition,13,165.7351112365723,546,0.5287182275205851,0.99,0.9899826086956522
ArticularyWordRecognition,14,162.0087570231408,547,0.5069441236555576,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,15,159.441360168159,531,0.5450555440038443,0.9766666666666668,0.9766026553156988
ArticularyWordRecognition,16,111.83187620341778,361,0.5139487348496914,0.9666666666666668,0.9664432552954292
ArticularyWordRecognition,17,204.3470288552344,688,0.5445590578019619,0.9833333333333332,0.983176811594203
ArticularyWordRecognition,18,177.24220467731357,598,0.5104703065007925,0.9766666666666668,0.9766260869565216
ArticularyWordRecognition,19,167.7141200453043,553,0.5266000647097826,0.98,0.9798129117259552
AtrialFibrillation,0,133.19943556934595,544,0.4559649247676134,0.2666666666666666,0.237037037037037
AtrialFibrillation,1,127.66181696206333,546,0.4055009242147207,0.2,0.1333333333333333
AtrialFibrillation,2,112.9461598880589,488,0.413092402741313,0.3333333333333333,0.1666666666666666
AtrialFibrillation,3,129.6987689975649,554,0.3281794432550668,0.2,0.1428571428571428
AtrialFibrillation,4,126.39405616000296,515,0.4358686674386263,0.3333333333333333,0.1851851851851851
AtrialFibrillation,5,153.09710813313723,583,0.6132376808673143,0.2666666666666666,0.1481481481481481
