Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,138.8822358455509,462,0.9338789954781532,0.9733333333333334,0.972442745660137
ArticularyWordRecognition,1,83.24242746457458,277,0.5091353971511126,0.9766666666666668,0.9767417857504817
ArticularyWordRecognition,2,121.63756745867433,417,0.5071663800626993,0.98,0.98032077294686
ArticularyWordRecognition,3,203.0525593087077,713,0.5056129433214664,0.98,0.9797202739289697
ArticularyWordRecognition,4,140.8696818742901,491,0.5009177457541227,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,5,192.2912548687309,656,0.9373488612473012,0.9733333333333334,0.9734902064119456
ArticularyWordRecognition,6,169.96214143559337,594,0.5044270791113377,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,7,151.46236821450293,528,0.5064939148724079,0.9766666666666668,0.9765968582142496
ArticularyWordRecognition,8,218.28200155682865,770,0.5042224191129208,0.98,0.9801626701800614
ArticularyWordRecognition,9,184.5221491921693,648,0.5057996958494186,0.97,0.9697707509881424
ArticularyWordRecognition,10,112.59023935720325,363,0.9340023081749678,0.97,0.96993465085639
ArticularyWordRecognition,11,178.292795073241,611,0.5126237142831087,0.98,0.979930191547583
ArticularyWordRecognition,12,168.7433444224298,580,0.5059586483985186,0.98,0.9795913999044434
ArticularyWordRecognition,13,145.40377942472696,502,0.5051964782178402,0.9833333333333332,0.9832693219823654
ArticularyWordRecognition,14,144.49454824998975,496,0.5050019230693579,0.9733333333333334,0.9733866018039932
ArticularyWordRecognition,15,154.49529066681862,531,0.5063532553613186,0.98,0.979976811594203
ArticularyWordRecognition,16,102.70635803230108,349,0.5062519889324903,0.97,0.9694574642748556
ArticularyWordRecognition,17,70.79001491516829,235,0.5038197301328182,0.98,0.9802857471031384
ArticularyWordRecognition,18,111.63684396445753,381,0.5067210663110018,0.9766666666666668,0.9767199351373266
ArticularyWordRecognition,19,154.20936297252774,526,0.5116976667195559,0.98,0.9797144768275204
AtrialFibrillation,0,121.2373465243727,489,0.5203632712364197,0.4,0.2865497076023391
AtrialFibrillation,1,147.55851273052394,598,0.4656443316489458,0.4,0.4074074074074074
AtrialFibrillation,2,118.0495031196624,476,0.4601117335259914,0.3333333333333333,0.2916666666666667
AtrialFibrillation,3,113.59576689265668,454,0.4621371123939752,0.3333333333333333,0.175438596491228
AtrialFibrillation,4,128.49608757533133,515,0.4598803482949734,0.3333333333333333,0.1666666666666666
AtrialFibrillation,5,118.36270374059676,477,0.5219412483274937,0.4,0.2865497076023391
AtrialFibrillation,6,160.8489459808916,612,0.560723265632987,0.0666666666666666,0.0666666666666666
AtrialFibrillation,7,129.5026565529406,507,0.4643416795879602,0.2,0.1623931623931623
AtrialFibrillation,8,121.9635938871652,476,0.4626772012561559,0.4,0.2865497076023391
AtrialFibrillation,9,125.17110750637949,489,0.4626705814152956,0.2666666666666666,0.272005772005772
AtrialFibrillation,10,132.11144711636007,519,0.5206965059041977,0.4666666666666667,0.3756613756613757
AtrialFibrillation,11,145.22777384705842,576,0.4649358633905649,0.3333333333333333,0.1666666666666666
AtrialFibrillation,12,115.31161613203584,461,0.4608372971415519,0.4,0.2865497076023391
AtrialFibrillation,13,132.1911006718874,532,0.4668304435908794,0.2666666666666666,0.1403508771929824
AtrialFibrillation,14,140.0244225244969,485,0.4789577256888151,0.3333333333333333,0.261904761904762
AtrialFibrillation,15,133.75876480340958,511,0.4674012828618288,0.1333333333333333,0.1025641025641025
AtrialFibrillation,16,156.2616318855435,609,0.4758610446006059,0.2666666666666666,0.25
AtrialFibrillation,17,118.81311843171716,475,0.4637968186289072,0.2,0.1176470588235294
AtrialFibrillation,18,150.39633522555232,594,0.4650068953633308,0.3333333333333333,0.1666666666666666
AtrialFibrillation,19,134.26634830236435,525,0.7747862879186869,0.4666666666666667,0.3756613756613757
BasicMotions,0,35.10957535356283,253,0.9495892580598592,1.0,1.0
BasicMotions,1,35.857834896072745,277,0.7219170723110437,1.0,1.0
BasicMotions,2,45.169740956276655,351,0.4624076429754495,1.0,1.0
BasicMotions,3,35.98127932474017,277,0.4744294565171003,1.0,1.0
BasicMotions,4,31.662184104323387,244,0.46541135199368,1.0,1.0
BasicMotions,5,37.12024313956499,282,0.9568125568330288,1.0,1.0
BasicMotions,6,51.95102083310485,418,0.465807868167758,1.0,1.0
BasicMotions,7,43.839785719290376,344,0.4637193214148283,1.0,1.0
BasicMotions,8,47.21332220174372,367,0.4669741112738848,1.0,1.0
BasicMotions,9,39.31880029477179,304,0.7028605975210667,1.0,1.0
BasicMotions,10,69.56014536879957,546,0.9536342825740576,1.0,1.0
BasicMotions,11,54.18249379470944,413,0.4874658733606338,1.0,1.0
BasicMotions,12,32.51257177628577,244,0.4671238623559475,1.0,1.0
BasicMotions,13,76.53208982013166,573,0.4764381516724825,1.0,1.0
BasicMotions,14,51.22141599655152,408,0.4655590020120144,1.0,1.0
BasicMotions,15,37.096731055527925,280,0.4731493834406137,1.0,1.0
BasicMotions,16,45.76947430893779,361,0.5439322087913752,1.0,1.0
BasicMotions,17,41.54052419215441,318,0.4729501884430647,1.0,1.0
BasicMotions,18,48.26000269688666,374,0.4911910854279995,1.0,1.0
BasicMotions,19,31.47217744961381,241,0.4691266566514969,1.0,1.0
CharacterTrajectories,0,688.3241041116416,496,1.0938848163932562,0.9972144846796658,0.9972139822418374
CharacterTrajectories,1,496.1398817505688,357,0.7054883297532797,0.9958217270194986,0.9958217270194986
CharacterTrajectories,2,464.1217317376286,337,0.643402986228466,0.995125348189415,0.9951224146356036
CharacterTrajectories,3,519.6445545237511,376,0.6580414418131113,0.9923398328690808,0.9923285685169724
CharacterTrajectories,4,498.8767885211855,359,0.6498654596507549,0.9965181058495822,0.9965174983965882
CharacterTrajectories,5,686.967300157994,493,1.101887784898281,0.9944289693593314,0.9944277692610324
CharacterTrajectories,6,674.9300729949027,487,0.659312492236495,0.995125348189415,0.9951236714403328
CharacterTrajectories,7,472.5260693281889,340,0.960608994588256,0.9958217270194986,0.9958260932612056
CharacterTrajectories,8,421.324814144522,303,0.657164080068469,0.9958217270194986,0.9958210048312812
CharacterTrajectories,9,445.563403043896,319,0.6675092671066523,0.9944289693593314,0.9944156958124548
CharacterTrajectories,10,497.0650240890682,355,1.0912788026034832,0.995125348189415,0.9951237930408346
CharacterTrajectories,11,533.866383774206,384,0.6769984401762486,0.993732590529248,0.9937337316868344
CharacterTrajectories,12,558.9291270710528,402,0.6639192402362823,0.9958217270194986,0.9958183742085692
CharacterTrajectories,13,491.7795851789415,354,0.6625127270817757,0.995125348189415,0.9951235606833309
CharacterTrajectories,14,573.795021796599,413,0.6622542347759008,0.9958217270194986,0.9958257847117054
CharacterTrajectories,15,582.7294135726988,416,0.6590385399758816,0.9965181058495822,0.9965174983965882
CharacterTrajectories,16,624.3177848905325,445,0.6678707040846348,0.9965181058495822,0.9965157358823816
CharacterTrajectories,17,522.0463483072817,375,0.6622578110545874,0.9958217270194986,0.99582124708506
CharacterTrajectories,18,586.3245897125453,421,0.6618804335594177,0.9944289693593314,0.9944222381402964
CharacterTrajectories,19,482.9279293175787,343,0.6907716877758503,0.995125348189415,0.9951237358607644
Cricket,0,124.50458678416908,592,0.5674060769379139,1.0,1.0
Cricket,1,73.6081916615367,338,0.5060170367360115,0.9861111111111112,0.986013986013986
Cricket,2,90.24328549951316,426,0.4871297031641006,1.0,1.0
Cricket,3,83.95417439937592,388,0.4952812269330024,0.9861111111111112,0.986013986013986
Cricket,4,82.4818106982857,384,0.5091855600476265,0.9861111111111112,0.986013986013986
Cricket,5,115.81273063085972,547,0.562493959441781,0.9861111111111112,0.986013986013986
Cricket,6,62.44337356090546,284,0.4892533123493194,0.9861111111111112,0.986013986013986
Cricket,7,89.14361274056137,413,0.5017272215336561,0.9861111111111112,0.986013986013986
Cricket,8,75.15403425507247,344,0.4867317397147417,0.9861111111111112,0.986013986013986
Cricket,9,61.48033693619072,278,0.4925393871963024,0.9861111111111112,0.986013986013986
Cricket,10,78.38165204972029,356,0.574363112449646,0.9861111111111112,0.986013986013986
Cricket,11,59.376796934753656,268,0.5063052736222744,1.0,1.0
Cricket,12,89.97306286729872,414,0.5483184773474932,0.9861111111111112,0.986013986013986
Cricket,13,67.45078388415277,307,0.5008600242435932,0.9861111111111112,0.986013986013986
Cricket,14,56.58245654776693,255,0.5086872391402721,0.9861111111111112,0.986013986013986
Cricket,15,103.75055775977673,474,0.5505557488650084,1.0,1.0
Cricket,16,54.81381156295538,250,0.4988410398364067,0.9861111111111112,0.986013986013986
Cricket,17,61.98542656190693,281,0.511499548330903,0.9861111111111112,0.986013986013986
Cricket,18,65.69071308150887,296,0.5452736206352711,0.9861111111111112,0.986013986013986
Cricket,19,79.52997960709035,372,0.5016891658306122,0.9861111111111112,0.986013986013986
DuckDuckGeese,0,71.91704080067575,492,0.7332746516913176,0.62,0.6057971014492753
DuckDuckGeese,1,84.99555597826838,598,0.5937203727662563,0.62,0.6181818181818182
DuckDuckGeese,2,89.08305557258427,622,0.5795304179191589,0.62,0.6077018633540372
DuckDuckGeese,3,89.74864610098302,625,0.5970535911619663,0.6,0.576040626040626
DuckDuckGeese,4,147.5081303436309,1044,0.6125828996300697,0.58,0.5638095238095238
DuckDuckGeese,5,117.54554515704513,823,1.1063147392123938,0.62,0.6167099567099567
DuckDuckGeese,6,84.48841029964387,585,0.5850522164255381,0.68,0.6820192774426183
DuckDuckGeese,7,130.23108162917197,904,0.5880421586334705,0.58,0.5677018633540372
DuckDuckGeese,8,92.20483915135264,657,0.585369199514389,0.6,0.5967218441360317
DuckDuckGeese,9,92.86582807451488,641,0.5980428718030453,0.56,0.5477018633540373
DuckDuckGeese,10,96.63411810435356,666,0.7676958963274956,0.64,0.6354255203225455
DuckDuckGeese,11,68.80251445062459,466,0.592602813616395,0.62,0.6010011041589989
DuckDuckGeese,12,82.29011920467019,558,0.6102199926972389,0.56,0.5464897421419159
DuckDuckGeese,13,141.57979162409902,1051,0.6352429445832968,0.64,0.6431972980579792
DuckDuckGeese,14,72.07596950232983,491,0.5751256607472897,0.58,0.5726708074534161
DuckDuckGeese,15,97.64035930112004,653,0.6357792858034372,0.66,0.6610236822001528
DuckDuckGeese,16,102.54793624021111,707,0.5975243747234344,0.6,0.5975757575757575
DuckDuckGeese,17,121.45010261051355,836,0.5217837039381266,0.58,0.5759307359307358
DuckDuckGeese,18,77.02556901238859,523,0.5803406126797199,0.6,0.591728778467909
DuckDuckGeese,19,100.004780177027,699,0.612832436338067,0.6,0.5932260061919504
ERing,0,63.69349335692823,516,1.0796701088547709,0.8962962962962963,0.8961202668307153
ERing,1,57.61842479743064,445,0.5088419504463673,0.8814814814814815,0.8815610786945246
ERing,2,50.115347338840365,390,0.49654221534729,0.8962962962962963,0.8975264433153897
ERing,3,49.036851577460766,372,0.5081512406468391,0.8962962962962963,0.8975911429953968
ERing,4,56.29613755457103,441,0.8543889354914427,0.8666666666666667,0.8687061792803372
ERing,5,60.42825463414192,469,1.0801128633320332,0.8407407407407408,0.8415309038636708
ERing,6,78.2182099968195,622,0.5070644244551659,0.8666666666666667,0.8674158249158249
ERing,7,71.28633812069893,571,0.545833270996809,0.8518518518518519,0.8513312224398597
ERing,8,52.43797379173338,417,0.496156845241785,0.8518518518518519,0.8520582823632584
ERing,9,60.03757765889168,467,0.5322909317910671,0.8851851851851852,0.8858473571221476
ERing,10,69.73721885867417,564,1.145388901233673,0.837037037037037,0.8378000004505357
ERing,11,58.63274672068656,470,0.5031688194721937,0.8518518518518519,0.8539277441536309
ERing,12,59.051282247528434,463,0.5545550305396318,0.8740740740740741,0.8734394664082501
ERing,13,67.36157394014299,544,0.525307284668088,0.8629629629629629,0.8631539959140611
ERing,14,61.60634190961719,482,0.4322710484266281,0.8740740740740741,0.8733873050326879
ERing,15,45.91912369988859,365,0.506028302013874,0.8666666666666667,0.8673915036698678
ERing,16,50.42672167159617,399,0.4265595749020576,0.8851851851851852,0.8869606200054146
ERing,17,44.975781973451376,351,0.5639006998389959,0.8888888888888888,0.8895224525870189
ERing,18,63.02012811228633,500,0.5097810830920935,0.8629629629629629,0.8647883428553367
ERing,19,60.33367834985256,476,0.5594696886837482,0.8481481481481481,0.8529083003321744
EigenWorms,0,1489.2491156775504,704,1.7566205598413944,0.1679389312977099,0.0482961632490146
EigenWorms,1,1665.6787180434912,788,1.0418204963207245,0.1679389312977099,0.0486139011651265
EigenWorms,2,1157.0614078752697,547,1.4604211542755363,0.1679389312977099,0.0495927045442901
EigenWorms,3,1448.4446536041796,685,1.0688824839890003,0.1679389312977099,0.0509607791524085
EigenWorms,4,1467.9062045402825,694,1.0769873037934303,0.1679389312977099,0.0495927045442901
EigenWorms,5,1377.9700004067272,651,1.7714643869549036,0.1679389312977099,0.0509607791524085
EigenWorms,6,1955.4988445974889,925,1.072235595434904,0.1679389312977099,0.0492620865139949
EigenWorms,7,1472.1867214161905,696,1.0963758323341608,0.1679389312977099,0.0499277903858056
EigenWorms,8,1465.1052690129727,693,1.081474805250764,0.1755725190839694,0.0657783134681487
EigenWorms,9,1635.4906561858952,774,1.0720440410077572,0.1679389312977099,0.0499277903858056
EigenWorms,10,1697.8052664212885,803,1.7815933302044868,0.1679389312977099,0.0499277903858056
EigenWorms,11,1703.538970887661,806,1.1004238482564688,0.1755725190839694,0.0643914304018763
EigenWorms,12,1687.736880844459,799,1.4461380559951067,0.1755725190839694,0.0654244191684792
EigenWorms,13,1571.2244101390245,743,1.090243063867092,0.1679389312977099,0.0495927045442901
EigenWorms,14,1918.6133742034435,908,1.1180751472711563,0.1679389312977099,0.0502674352183621
EigenWorms,15,1778.413944547996,841,1.084600204601884,0.1755725190839694,0.0630775411811972
EigenWorms,16,1514.3625484909862,716,1.1053900513797998,0.1755725190839694,0.0637257265300656
EigenWorms,17,1222.9816630594432,578,1.11485206335783,0.1679389312977099,0.0520374153316847
EigenWorms,18,1669.6631570085883,791,1.0829129070043564,0.1679389312977099,0.0486139011651265
EigenWorms,19,1438.7861831076443,680,1.1099873092025518,0.1679389312977099,0.0495927045442901
Epilepsy,0,67.9878888912499,368,0.8605035189539194,0.9782608695652174,0.9782435647847716
Epilepsy,1,95.06443504802884,515,0.4965475983917713,0.9927536231884058,0.9927478549282572
Epilepsy,2,80.09018226899207,431,0.5426103584468365,0.9927536231884058,0.9927478549282572
Epilepsy,3,81.59277202934027,448,0.4844284374266863,0.9855072463768116,0.9855072463768116
Epilepsy,4,95.86594153381884,528,0.4986953064799309,1.0,1.0
Epilepsy,5,85.440584609285,466,1.2225138042122126,0.9855072463768116,0.9855072463768116
Epilepsy,6,53.534957280382514,281,0.4792799707502126,0.9927536231884058,0.9927478549282572
Epilepsy,7,62.16431993246079,327,0.5146105159074068,0.9927536231884058,0.9927478549282572
Epilepsy,8,92.8528150357306,509,0.488323587924242,0.9855072463768116,0.9854783533273236
Epilepsy,9,88.57809260673821,480,0.4989814460277557,0.9855072463768116,0.9855072463768116
Epilepsy,10,88.07910731621087,470,0.9110642168670892,0.9855072463768116,0.9854783533273236
Epilepsy,11,83.18344860710204,449,0.497433815151453,0.9782608695652174,0.9782435647847716
Epilepsy,12,93.29877385683358,502,0.5359029155224562,0.9782608695652174,0.9782435647847716
Epilepsy,13,74.83695107325912,400,0.5598726440221071,0.9710144927536232,0.9710144927536232
Epilepsy,14,60.31076889112592,324,0.4990136139094829,0.9782608695652174,0.9782435647847716
Epilepsy,15,67.21766685321927,352,0.5426450967788696,0.9927536231884058,0.9927478549282572
Epilepsy,16,81.83575102500618,441,0.5044600982218981,1.0,1.0
Epilepsy,17,61.05370567180216,320,0.5360723342746496,0.9855072463768116,0.9854783533273236
Epilepsy,18,86.12780218198895,464,0.5404222011566162,0.9927536231884058,0.992756500447414
Epilepsy,19,68.59606284834445,365,0.5009332913905382,0.9855072463768116,0.9854783533273236
EthanolConcentration,0,786.9500800408423,1500,0.7558167893439531,0.2509505703422053,0.2470765787729313
EthanolConcentration,1,786.5661702528596,1500,0.6092957612127066,0.2129277566539923,0.2089148618610813
EthanolConcentration,2,679.0883122719824,1293,0.6122524011880159,0.247148288973384,0.2396284023260208
EthanolConcentration,3,759.460294092074,1448,0.6049935314804316,0.2547528517110266,0.2486209696800799
EthanolConcentration,4,687.517773874104,1307,0.6065584551542997,0.2661596958174905,0.2609022316011062
EthanolConcentration,5,768.0901394318789,1467,0.7906631771475077,0.2509505703422053,0.2455354293657275
EthanolConcentration,6,712.5749505832791,1359,0.6005772240459919,0.2509505703422053,0.2467493335749221
EthanolConcentration,7,786.4550860840827,1500,0.6084259562194347,0.2585551330798479,0.2520770511691
EthanolConcentration,8,748.4682642053813,1423,0.6472437158226967,0.247148288973384,0.2401132687991153
EthanolConcentration,9,784.4258436374366,1500,0.6039723083376884,0.2129277566539923,0.2075379197374525
EthanolConcentration,10,770.4701268449426,1468,0.7997055258601904,0.2433460076045627,0.238079103106822
EthanolConcentration,11,787.3344850204885,1500,0.6582333482801914,0.2547528517110266,0.2492501775669294
EthanolConcentration,12,786.3879720680416,1500,0.6236573792994022,0.2737642585551331,0.2689448068272378
EthanolConcentration,13,787.5030403677374,1500,0.6437983121722937,0.2547528517110266,0.2503963587931875
EthanolConcentration,14,787.6219689659774,1500,0.6684108097106218,0.2433460076045627,0.2325979195842026
EthanolConcentration,15,785.67541317828,1500,0.6342194471508265,0.2395437262357414,0.2309005312689876
EthanolConcentration,16,724.1602730024606,1376,0.6404965650290251,0.2091254752851711,0.2044030031246474
EthanolConcentration,17,715.6297690533102,1365,0.6731944158673286,0.2053231939163498,0.2010762266883939
EthanolConcentration,18,783.3617814797908,1500,0.6336728222668171,0.2243346007604562,0.2181398486378033
EthanolConcentration,19,758.6492007095367,1445,0.6450051330029964,0.2357414448669201,0.2317286478649873
FaceDetection,0,3007.056054670364,533,1.6506531909108162,0.5828603859250852,0.5826118064519249
FaceDetection,1,2781.4910619910806,492,1.179334081709385,0.5780363223609535,0.5776755370158543
FaceDetection,2,3325.9011231549084,591,1.173682980239391,0.5814415437003405,0.58138487923108
FaceDetection,3,2541.653122905642,451,1.1843065526336432,0.5700908059023837,0.5698959900832605
FaceDetection,4,2938.7436219006777,522,1.1791987009346483,0.5828603859250852,0.5817692240123183
FaceDetection,5,3209.9288672152907,566,1.6602358277887106,0.5837116912599319,0.5821271929558669
FaceDetection,6,2976.4059160444885,522,1.6284245904535055,0.5803064699205448,0.5770969076039609
FaceDetection,7,3463.6410503741354,609,1.198442356660962,0.5882519863791147,0.5881787321524888
FaceDetection,8,2565.735720830038,451,1.6852694861590862,0.5825766174801362,0.5814725151312208
FaceDetection,9,2863.14129512757,504,1.1609955504536629,0.5933598183881952,0.5931655834569373
FaceDetection,10,3133.0771867278963,545,1.6850816924124956,0.5839954597048809,0.5831144614266306
FaceDetection,11,3048.4484486896545,530,1.1612200923264029,0.5879682179341658,0.5879634401508982
FaceDetection,12,2664.877038830892,462,1.1547629106789827,0.5916572077185017,0.5916019262464569
FaceDetection,13,3291.931798219681,572,1.172583220526576,0.5817253121452894,0.5816908195753882
FaceDetection,14,3108.377070464194,540,1.155151704326272,0.5715096481271282,0.57143013619547
FaceDetection,15,3397.41127518192,590,1.165075983852148,0.5888195232690124,0.5888049211898565
FaceDetection,16,3539.057167781517,617,1.189328832551837,0.5715096481271282,0.5713769737437747
FaceDetection,17,2861.4320126362145,499,1.6752754244953394,0.5848467650397275,0.5848146363049587
FaceDetection,18,2688.634675467387,470,1.1616256460547447,0.5769012485811578,0.5762419596983851
FaceDetection,19,3181.017898833379,556,1.1638970859348774,0.5734960272417707,0.5732238145367831
FingerMovements,0,132.09164048731327,411,0.7224288359284401,0.58,0.5766183574879227
FingerMovements,1,144.17780072055757,448,0.5588090717792511,0.5,0.5
