Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,136.24014101922512,446,1.0148749835789204,0.97,0.9689981960068917
ArticularyWordRecognition,1,137.34572137147188,453,0.5273960307240486,0.9666666666666667,0.9662625258799172
ArticularyWordRecognition,2,141.39122393913567,463,0.5440263971686363,0.9833333333333333,0.9833159420289856
ArticularyWordRecognition,3,191.89576625078917,640,0.5663904938846827,0.9833333333333333,0.9831630089717047
ArticularyWordRecognition,4,127.73392246849835,429,0.5121378321200609,0.9733333333333334,0.9732927536231885
ArticularyWordRecognition,5,201.849102569744,687,0.529438704252243,0.9733333333333334,0.9728781131911569
ArticularyWordRecognition,6,194.17017867974937,659,0.5142900627106428,0.9733333333333334,0.9732416742677613
ArticularyWordRecognition,7,140.67972611822188,468,0.5223020650446415,0.9766666666666667,0.9757056856187291
ArticularyWordRecognition,8,195.36128268763423,651,0.517213637009263,0.96,0.9598777743995135
ArticularyWordRecognition,9,188.77338956296444,627,0.5226024072617292,0.9633333333333334,0.9628986260116696
ArticularyWordRecognition,10,87.735746210441,286,0.5187372677028179,0.9733333333333334,0.9728016563146998
ArticularyWordRecognition,11,194.39840849675238,664,0.5190680120140314,0.9766666666666667,0.9761407867494825
ArticularyWordRecognition,12,164.26330919377506,548,0.5321666579693556,0.9633333333333334,0.9624430120604036
ArticularyWordRecognition,13,217.42217637225986,733,0.5835467390716076,0.9566666666666667,0.9558596296993204
ArticularyWordRecognition,14,143.6258842293173,474,0.5168037675321102,0.9733333333333334,0.9728374176548091
ArticularyWordRecognition,15,103.6064258441329,335,0.5324187576770782,0.9633333333333334,0.9623389074693425
ArticularyWordRecognition,16,174.9286117106676,583,0.5480767078697681,0.96,0.9595900621118013
ArticularyWordRecognition,17,224.20900345779955,760,0.5172236822545528,0.9666666666666667,0.966110220214568
ArticularyWordRecognition,18,161.08590078353882,541,0.5462246965616941,0.9733333333333334,0.9731185973446842
ArticularyWordRecognition,19,81.26213837973773,263,0.5487747192382812,0.9666666666666667,0.9665662916793353
AtrialFibrillation,0,163.16726519167423,634,0.5580855533480644,0.26666666666666666,0.25
AtrialFibrillation,1,151.6722075380385,572,0.4770954381674528,0.26666666666666666,0.14814814814814817
AtrialFibrillation,2,141.41050832159817,534,0.4960118271410465,0.3333333333333333,0.16666666666666666
AtrialFibrillation,3,145.71391208469868,556,0.8674964495003223,0.4,0.3246753246753247
AtrialFibrillation,4,124.07543852366507,481,0.4753188341856003,0.26666666666666666,0.14035087719298242
AtrialFibrillation,5,139.19356456957757,528,0.5293632093816996,0.3333333333333333,0.16666666666666666
AtrialFibrillation,6,157.37751919403672,599,0.4757855720818043,0.4,0.3238095238095238
AtrialFibrillation,7,126.23717039078474,486,0.5414601191878319,0.26666666666666666,0.14035087719298242
AtrialFibrillation,8,135.18721229583025,513,0.4800255633890629,0.4,0.3853276353276353
AtrialFibrillation,9,152.59088390134275,574,0.5177606754004955,0.2,0.16923076923076924
AtrialFibrillation,10,126.67026525363326,484,0.8375315014272928,0.3333333333333333,0.3095238095238095
AtrialFibrillation,11,133.73937148042023,507,0.4757684376090765,0.26666666666666666,0.14035087719298242
AtrialFibrillation,12,139.77850759588182,538,0.5609723068773746,0.3333333333333333,0.2433862433862434
AtrialFibrillation,13,122.20886848308146,467,0.4833075925707817,0.3333333333333333,0.275058275058275
AtrialFibrillation,14,140.00339309312403,532,0.5306175146251917,0.26666666666666666,0.19907407407407404
AtrialFibrillation,15,132.63735974952579,517,0.48355159163475037,0.2,0.11764705882352942
