Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,136.81444377452135,524,0.8680902421474457,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,1,162.8306102156639,560,0.5319447964429855,0.98,0.979807114624506
ArticularyWordRecognition,2,194.28162276744845,697,0.3681811094284057,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,135.11517541110516,472,0.3715506866574287,0.9766666666666668,0.9763753463927378
ArticularyWordRecognition,4,182.000435359776,645,0.4352065846323967,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,5,203.0793579034508,651,0.9648975562304258,0.9766666666666668,0.976309881422925
ArticularyWordRecognition,6,126.19590304233134,409,0.5157831721007824,0.9833333333333332,0.983427424749164
ArticularyWordRecognition,7,134.27613851428032,451,0.5156488511711359,0.98,0.9801101449275362
ArticularyWordRecognition,8,116.12825756147504,371,0.5821674391627312,0.9866666666666668,0.9867665551839466
ArticularyWordRecognition,9,118.54442220181228,389,0.5129779428243637,0.9833333333333332,0.9833101449275364
ArticularyWordRecognition,10,195.1084433123469,621,0.9530699532479048,0.98,0.980104347826087
ArticularyWordRecognition,11,144.66251441650093,481,0.5258322153240442,0.9766666666666668,0.9764905452035888
ArticularyWordRecognition,12,128.9830871168524,426,0.5474941842257977,0.98,0.980104347826087
ArticularyWordRecognition,13,212.07666356675327,699,0.5146528519690037,0.97,0.9699353612571006
ArticularyWordRecognition,14,115.19724580831826,374,0.5224332399666309,0.9833333333333332,0.9833159420289856
ArticularyWordRecognition,15,107.40528642944992,344,0.51094332896173,0.98,0.979952042160738
ArticularyWordRecognition,16,212.0831398423761,696,0.5528870951384306,0.9833333333333332,0.983304347826087
ArticularyWordRecognition,17,200.1092970333993,663,0.5276873093098402,0.9833333333333332,0.9831462450592884
ArticularyWordRecognition,18,179.43399523571134,591,0.5198423322290182,0.9733333333333334,0.9734318840579712
ArticularyWordRecognition,19,176.09875148534775,575,0.5544505622237921,0.9766666666666668,0.9765968582142496
AtrialFibrillation,0,135.5319743603468,562,0.4526175409555435,0.3333333333333333,0.1666666666666666
AtrialFibrillation,1,115.5930401161313,488,0.3042559325695038,0.2,0.2142857142857143
AtrialFibrillation,2,122.07684119045734,519,0.4053712859749794,0.6,0.5694444444444444
AtrialFibrillation,3,120.9691467359662,514,0.3433272615075111,0.4,0.3235294117647059
AtrialFibrillation,4,124.75399152934553,525,0.3998698368668556,0.3333333333333333,0.1666666666666666
AtrialFibrillation,5,156.7122532632202,597,0.5389253366738558,0.3333333333333333,0.175438596491228
AtrialFibrillation,6,159.75676719099283,606,0.5891365725547075,0.3333333333333333,0.1666666666666666
AtrialFibrillation,7,132.2431157361716,524,0.4727090280503034,0.4666666666666667,0.3627450980392157
AtrialFibrillation,8,130.22004242800176,507,0.4756660275161266,0.3333333333333333,0.175438596491228
AtrialFibrillation,9,139.38771865144372,515,0.4729608092457056,0.3333333333333333,0.175438596491228
AtrialFibrillation,10,155.79096667282283,581,0.5390116199851036,0.2666666666666666,0.2144522144522144
AtrialFibrillation,11,126.50981231220068,477,0.4889930319041013,0.3333333333333333,0.1666666666666666
AtrialFibrillation,12,129.69448954984546,489,0.4761188235133886,0.3333333333333333,0.2518518518518518
AtrialFibrillation,13,145.2939464803785,541,0.4917835704982281,0.4666666666666667,0.4222222222222222
AtrialFibrillation,14,134.35245157778263,500,0.5076650939881802,0.3333333333333333,0.264069264069264
AtrialFibrillation,15,132.18727381154895,506,0.4874247834086418,0.3333333333333333,0.2407407407407407
AtrialFibrillation,16,126.0563423614949,478,0.5247836671769619,0.4666666666666667,0.4444444444444445
AtrialFibrillation,17,135.77650975994766,511,0.5305787622928619,0.6,0.4888888888888889
AtrialFibrillation,18,135.41258888877928,505,0.473128043115139,0.3333333333333333,0.2401960784313725
AtrialFibrillation,19,121.039942599833,464,0.7774616293609142,0.4666666666666667,0.3988095238095238
BasicMotions,0,29.719986110925674,253,0.8358239978551865,1.0,1.0
BasicMotions,1,32.25412491708994,277,0.4492210298776626,1.0,1.0
BasicMotions,2,51.05040808022022,456,0.3041227981448173,1.0,1.0
BasicMotions,3,31.06383071839809,277,0.4022329822182655,1.0,1.0
BasicMotions,4,43.66809356212616,392,0.4109344556927681,1.0,1.0
BasicMotions,5,33.15479959174991,239,0.9671775083988904,1.0,1.0
BasicMotions,6,60.69194573909044,440,0.9327023848891258,1.0,1.0
BasicMotions,7,46.15584262087941,342,0.4809435270726681,1.0,1.0
BasicMotions,8,54.02463549934328,393,0.4895107392221689,1.0,1.0
BasicMotions,9,42.27551596425474,304,0.479037020355463,1.0,1.0
BasicMotions,10,65.63445938751101,474,0.9814882092177868,1.0,1.0
BasicMotions,11,49.319537507370114,356,0.5101353134959936,1.0,1.0
BasicMotions,12,49.379083547741175,362,0.5102199465036392,1.0,1.0
BasicMotions,13,64.98474100977182,466,0.5081313904374838,1.0,1.0
BasicMotions,14,41.52523910626769,297,0.4728105943650007,1.0,1.0
BasicMotions,15,31.89495860412717,221,0.5067850239574909,1.0,1.0
BasicMotions,16,54.35504348389805,399,0.5359457712620497,1.0,1.0
BasicMotions,17,51.68777732551098,370,0.5128994397819042,1.0,1.0
BasicMotions,18,50.55342095345259,388,0.498371796682477,1.0,1.0
BasicMotions,19,33.864328445866704,241,0.4776115044951439,1.0,1.0
CharacterTrajectories,0,588.6737522557378,460,0.8355744406580925,0.9909470752089136,0.9909513688766703
CharacterTrajectories,1,528.1510329023004,400,0.4540926441550255,0.9916434540389972,0.9916399016671972
CharacterTrajectories,2,492.78327214717865,378,0.5693467408418655,0.99025069637883,0.9902519504685344
CharacterTrajectories,3,566.2836456373334,447,0.5526061505079269,0.9930362116991645,0.9930295253035102
CharacterTrajectories,4,585.4748816788197,451,0.4743350520730018,0.9923398328690808,0.9923230796019692
CharacterTrajectories,5,566.7019933369011,384,1.1117620542645454,0.9930362116991645,0.993033291482774
CharacterTrajectories,6,622.156328573823,423,0.7037898525595665,0.9916434540389972,0.9916365518798818
CharacterTrajectories,7,735.4939777012914,504,0.674121018499136,0.9923398328690808,0.9923332317246116
CharacterTrajectories,8,520.1248721834272,357,0.6734670642763376,0.9930362116991645,0.993026870860536
CharacterTrajectories,9,510.8106039892882,351,0.7127377688884735,0.9881615598885792,0.9881675984456492
CharacterTrajectories,10,535.1468895561993,369,1.1037705559283495,0.9916434540389972,0.9916474781084672
