Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,160.2502092886716,524,0.9831336364150048,0.9833333333333332,0.9835018006148444
ArticularyWordRecognition,1,156.6362214293331,510,0.6119356565177441,0.9766666666666668,0.9767199351373266
ArticularyWordRecognition,2,139.32249491661787,463,0.5824823342263699,0.9833333333333332,0.9832693219823654
ArticularyWordRecognition,3,209.35988553240887,713,0.5866257753223181,0.98,0.9799462450592884
ArticularyWordRecognition,4,207.55480960942805,673,0.5422030426561832,0.98,0.9800940914158306
ArticularyWordRecognition,5,113.71994737535717,380,0.9777004793286324,0.9733333333333334,0.9732905452035888
ArticularyWordRecognition,6,172.92885156348348,593,0.6223332528024912,0.98,0.9795913999044434
ArticularyWordRecognition,7,163.88811803609133,524,0.5813454482704401,0.9833333333333332,0.9831462450592886
ArticularyWordRecognition,8,116.51394175551832,378,0.5705629196017981,0.98,0.979976811594203
ArticularyWordRecognition,9,183.99972089380023,616,0.5423222705721855,0.97,0.96993465085639
ArticularyWordRecognition,10,111.25821851938964,363,0.968234395608306,0.9733333333333334,0.9733043478260872
ArticularyWordRecognition,11,143.79979500174522,481,0.5317455194890499,0.98,0.9797144768275204
ArticularyWordRecognition,12,170.55726063996553,565,0.5598645005375147,0.98,0.9801626701800614
ArticularyWordRecognition,13,154.67796186544,498,0.590437488630414,0.9866666666666668,0.9864853754940712
ArticularyWordRecognition,14,170.5942343994975,579,0.554387554526329,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,15,188.7158724535257,636,0.604916151612997,0.9833333333333332,0.983053607262303
ArticularyWordRecognition,16,184.4493686556816,619,0.5911526270210743,0.98,0.9795971970058928
ArticularyWordRecognition,17,201.6969984807074,681,0.5553818680346012,0.98,0.979930191547583
ArticularyWordRecognition,18,175.45452878437936,591,0.5582917872816324,0.98,0.9799359886490322
ArticularyWordRecognition,19,195.5148086901754,634,0.6086545940488577,0.9766666666666668,0.976829336846728
AtrialFibrillation,0,140.04334202222526,500,0.6091931369155645,0.4666666666666667,0.3627450980392157
AtrialFibrillation,1,140.73867849633098,499,0.5192929916083813,0.3333333333333333,0.1666666666666666
