Dataset,Seed,Training Time,Last Epoch,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,126.18673738464712,453,0.8641822468489408,0.98,0.9802332218506132
ArticularyWordRecognition,1,170.6341042406857,613,0.4300504215061664,0.98,0.9799710144927536
ArticularyWordRecognition,2,130.68883936479688,467,0.3431600444018841,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,3,189.3907455205917,691,0.4372240100055933,0.9833333333333332,0.9831520421607378
ArticularyWordRecognition,4,129.73131177574396,487,0.4457597285509109,0.98,0.9802113712374584
ArticularyWordRecognition,5,180.69728078879416,556,0.9633411150425673,0.9733333333333334,0.9729901151988108
ArticularyWordRecognition,6,185.387541603297,614,0.5142541732639074,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,7,132.51359402388334,451,0.5189821757376194,0.9833333333333332,0.9836599033816428
ArticularyWordRecognition,8,139.96686714328823,445,0.5111262667924166,0.98,0.9797144768275204
ArticularyWordRecognition,9,116.83869267627595,389,0.5125874150544405,0.97,0.9697662916793354
ArticularyWordRecognition,10,211.3094552457333,658,0.9495230577886103,0.9766666666666668,0.9767710144927536
ArticularyWordRecognition,11,82.625264454633,264,0.520241491496563,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,12,197.8488623723388,652,0.5226547010242939,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,13,189.5481779165566,614,0.5427823569625616,0.9833333333333332,0.9832693219823656
ArticularyWordRecognition,14,151.04587755724788,496,0.5253369137644768,0.9733333333333334,0.9729897233201584
ArticularyWordRecognition,15,148.7838837672025,486,0.517655111849308,0.9833333333333332,0.9833101449275364
ArticularyWordRecognition,16,112.08072722144423,361,0.5405598748475313,0.9766666666666668,0.9763753463927378
ArticularyWordRecognition,17,172.5524850934744,558,0.5387953724712133,0.9833333333333332,0.9828074534161492
ArticularyWordRecognition,18,118.93616913817824,381,0.514966044574976,0.9866666666666668,0.9866434782608696
ArticularyWordRecognition,19,170.08259852603078,559,0.5243916660547256,0.9833333333333332,0.9831520421607378
AtrialFibrillation,0,142.47562808729708,592,0.4453217722475528,0.3333333333333333,0.175438596491228
AtrialFibrillation,1,147.14344858005643,612,0.3088737819343805,0.3333333333333333,0.334045584045584
AtrialFibrillation,2,114.02127012424172,485,0.3709922563284635,0.2666666666666666,0.199074074074074
AtrialFibrillation,3,117.50240229256453,493,0.3705071564763784,0.4,0.2804232804232804
AtrialFibrillation,4,112.71467245928945,493,0.4584086034446955,0.2666666666666666,0.1568627450980392
AtrialFibrillation,5,144.62749534100294,512,0.5305566228926182,0.3333333333333333,0.1666666666666666
AtrialFibrillation,6,137.07590499520302,495,0.4745001383125782,0.4,0.2824074074074074
AtrialFibrillation,7,140.58772384375334,525,0.5524504072964191,0.4666666666666667,0.3756613756613757
AtrialFibrillation,8,140.06340040452778,490,0.4715342707931995,0.4,0.3205128205128205
AtrialFibrillation,9,147.47167398035526,537,0.4661073889583349,0.4,0.2794117647058823
AtrialFibrillation,10,140.3530225288123,487,0.5624624658375978,0.3333333333333333,0.175438596491228
AtrialFibrillation,11,145.9561723861843,508,0.4799564983695745,0.3333333333333333,0.175438596491228
AtrialFibrillation,12,131.17442976869643,471,0.7313116416335106,0.4,0.2794117647058823
AtrialFibrillation,13,154.55948809720576,551,0.5343321971595287,0.4,0.3235294117647059
AtrialFibrillation,14,143.9890081435442,501,0.5132753327488899,0.4,0.3235294117647059
AtrialFibrillation,15,160.24825906194746,567,0.4738001599907875,0.4,0.3205128205128205
AtrialFibrillation,16,173.29517282359302,611,0.5122101083397865,0.4666666666666667,0.376068376068376
AtrialFibrillation,17,131.1918521206826,463,0.4713450409471988,0.3333333333333333,0.2666666666666666
AtrialFibrillation,18,147.59637003578246,518,0.4673756845295429,0.3333333333333333,0.175438596491228
AtrialFibrillation,19,133.6093407906592,479,0.8153875283896923,0.4,0.2913165266106443
BasicMotions,0,50.202489549294114,464,0.7363626081496477,1.0,1.0
BasicMotions,1,41.211692452430725,379,0.4047921877354383,1.0,1.0
BasicMotions,2,33.959559658542275,283,0.4114461448043585,1.0,1.0
BasicMotions,3,27.158775495365266,230,0.449644586071372,1.0,1.0
BasicMotions,4,49.31549012102187,452,0.3483786378055811,1.0,1.0
BasicMotions,5,47.851144932210445,342,0.971617603674531,1.0,1.0
BasicMotions,6,65.50859060324728,490,0.8285070694983006,1.0,1.0
BasicMotions,7,47.36497347988188,344,0.5546733252704144,1.0,1.0
BasicMotions,8,68.6745570898056,515,0.4849178958684206,1.0,1.0
BasicMotions,9,46.29286343231797,349,0.4683263525366783,1.0,1.0
BasicMotions,10,45.73917222209275,318,0.9575526099652052,1.0,1.0
BasicMotions,11,58.47572291828692,413,0.4944488313049078,1.0,1.0
BasicMotions,12,34.77040448784828,244,0.4687120672315359,1.0,1.0
BasicMotions,13,61.539017129689455,452,0.5155847296118736,1.0,1.0
BasicMotions,14,68.01749394647777,494,0.4691254757344723,1.0,1.0
BasicMotions,15,53.67928293161094,384,0.5598909184336662,1.0,1.0
BasicMotions,16,56.0336741283536,399,0.5661135800182819,1.0,1.0
BasicMotions,17,42.75400486961007,307,0.5349224004894495,1.0,1.0
BasicMotions,18,43.95787749439478,299,0.4869286585599184,1.0,1.0
BasicMotions,19,43.47619190812111,325,0.492112323641777,1.0,1.0
CharacterTrajectories,0,568.9215413685888,460,0.9436790831387044,0.9916434540389972,0.9916607967723712
CharacterTrajectories,1,439.9638551082462,340,0.4926420282572508,0.99025069637883,0.9902420417399688
CharacterTrajectories,2,625.3852909337729,506,0.5476523861289024,0.99025069637883,0.99023492234398
CharacterTrajectories,3,464.22933560051024,375,0.5476364437490702,0.9881615598885792,0.9881693442425932
CharacterTrajectories,4,496.2138024289161,377,0.5406163930892944,0.9895543175487466,0.9895513236291588
