Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0451735164970159,1.31948122382164,0.2679207045584917,1.5839142687618732,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.062653699889779,1.3791890870779753,0.262077147141099,1.5602869726717472,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0591764226555824,1.3438936043530705,0.2248748913407325,1.54657175950706,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0450901351869106,1.3467977922409773,0.2610710170120001,1.521211763843894,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0442546885460615,1.3470398746430874,0.2276624366641044,1.6046223603188992,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0231922883540391,19.710462102666497,0.229459248483181,21.475235670804977,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0228622201830148,19.43507788144052,0.2296090871095657,21.226141802966595,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0229556653648614,19.223928587511185,0.2290099859237671,21.063298538327217,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.0228906758129596,19.160694977268577,0.2311261091381311,20.86982166394592,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.023149486631155,19.51821743696928,0.2295721992850303,21.304074143990874,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0229990053921937,0.884571298956871,0.2345156800001859,1.001895820721984,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0233241841197013,0.8834005761891603,0.2361773066222667,0.9887481089681388,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.0230742078274488,0.8929855711758137,0.2342092357575893,0.9936410915106536,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0234926491975784,0.8865393698215485,0.2313348967581987,1.0032155364751816,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0230518970638513,0.8796649761497974,0.2343358639627695,0.9844216518104076,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0232829060405492,0.8784358911216259,0.2248512599617242,0.9793725088238716,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0232441555708646,0.8905993476510048,0.232954453676939,1.0126503482460976,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.0228054597973823,0.8741428889334202,0.2344391159713268,0.986361088231206,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0232623480260372,0.8901753332465887,0.2421980798244476,1.0037593953311443,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0231600869446992,0.8774823844432831,0.2342504039406776,0.9926612935960292,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0277084670960903,0.2567325942218303,0.0085081662982702,0.3277902528643608,0.1333333333333333,0.1558441558441558
AtrialFibrillation,1,0.0152739454060792,0.2544128689914942,0.014532420784235,0.3216994162648916,0.1333333333333333,0.1558441558441558
AtrialFibrillation,2,0.015386002138257,0.2918897923082113,0.0066170431673526,0.3494420237839222,0.1333333333333333,0.1558441558441558
AtrialFibrillation,3,0.015910405665636,0.2850817386060953,0.0303869899362325,0.2891219351440668,0.1333333333333333,0.1558441558441558
AtrialFibrillation,4,0.0185238476842641,0.2459060996770858,0.0097842290997505,0.3417104426771402,0.1333333333333333,0.1558441558441558
AtrialFibrillation,5,0.0119588803499937,2.1150720715522766,0.0108185037970542,2.133608555421233,0.1333333333333333,0.1558441558441558
AtrialFibrillation,6,0.0089315697550773,2.0603032875806093,0.0110776275396347,2.1132136918604374,0.1333333333333333,0.1558441558441558
AtrialFibrillation,7,0.0089437719434499,2.065073747187853,0.0129975639283657,2.1207771822810173,0.1333333333333333,0.1558441558441558
AtrialFibrillation,8,0.0089122634381055,2.057286087423563,0.0129500310868024,2.114811934530735,0.1333333333333333,0.1558441558441558
