Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0317336749285459,1.5548334121704102,0.2612811885774135,1.3976134955883026,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,1,0.0175928771495819,1.1508883945643902,0.2348780408501625,1.2173001375049353,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,2,0.0172171331942081,1.3316360842436552,0.2449462320655584,1.333888364955783,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,3,0.0202060807496309,1.4338568672537804,0.2793495263904333,1.1806361954659224,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,4,0.0168813429772853,1.1728468667715788,0.246492575854063,1.2713784780353308,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0192097648978233,1.4579928182065487,0.2532341144979,1.3783346321433785,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,6,0.0261824745684862,1.5118412375450134,0.2493243720382452,1.2097060214728117,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,7,0.017144875600934,1.2744216695427897,0.2445059344172477,1.281883243471384,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,8,0.0200787615031003,1.4149297922849655,0.2387226615101099,1.3083983473479748,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0178864654153585,1.4957367330789566,0.2832952756434679,1.5146380085498097,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,10,0.0175120141357183,1.498733276501298,0.2686794456094503,1.4509041011333466,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,11,0.017352906987071,1.464728556573391,0.2884605824947357,1.3955314438790083,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,12,0.0170535836368799,1.3819541316479445,0.2884024735540151,1.4777255225926638,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0174816772341728,1.446816684678197,0.241701440885663,1.3243480138480663,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,14,0.0183595437556505,1.418418176472187,0.2517138179391622,1.3213487938046455,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,15,0.0176529996097087,1.433229349553585,0.2847535163164139,1.311420455574989,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,16,0.0170491561293602,1.328759327530861,0.2757730353623628,1.3258009925484655,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,17,0.0181745160371065,1.4399148635566237,0.2296186350286007,1.3067405596375463,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,18,0.0209744069725275,1.4498113840818403,0.2390027269721031,1.2247141283005476,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,19,0.017873952165246,1.333759754896164,0.2305444404482841,1.3416333310306072,0.9966666666666668,0.9966608695652174
AtrialFibrillation,0,0.0108261797577142,0.3406851720064878,0.0295864846557378,0.3753784280270338,0.2,0.1111111111111111
AtrialFibrillation,1,0.0133259743452072,0.3287038076668978,0.0318747498095035,0.3781249709427356,0.2,0.1111111111111111
AtrialFibrillation,2,0.0155678242444992,0.3255062457174063,0.036546841263771,0.3772786799818277,0.2,0.1111111111111111
AtrialFibrillation,3,0.016523802652955,0.2943325322121382,0.0250403564423322,0.3833785243332386,0.2,0.1111111111111111
AtrialFibrillation,4,0.0163512900471687,0.3064353633671999,0.0204799827188253,0.3700750675052404,0.2,0.1111111111111111
AtrialFibrillation,5,0.0165872797369956,0.2822342906147241,0.0424728840589523,0.3839976545423269,0.2,0.1111111111111111
AtrialFibrillation,6,0.0165523868054151,0.3590688575059175,0.022837147116661,0.3737041614949703,0.2666666666666666,0.2009803921568627
AtrialFibrillation,7,0.0164425801485776,0.2917090374976396,0.0243118219077587,0.4165470786392689,0.2,0.1111111111111111
