Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0650460924953222,1.302376763895154,0.2512896843254566,1.5441741831600666,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0460082739591598,1.368534665554762,0.2761099860072136,1.5215287953615189,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0440765675157308,1.3652839176356792,0.2580398134887218,1.545579232275486,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0585073810070753,1.3554216250777245,0.2631963770836591,1.5440424084663391,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0441093519330024,1.3541538547724483,0.1948578618466854,1.5481036808341742,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0233860816806554,19.728420523926616,0.2268117256462574,21.668687473982573,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0231340136379003,19.479855090379715,0.2227188814431429,21.391945956274867,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0230846982449293,19.563835175707936,0.2229468692094087,21.372250877320766,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.023057859390974,19.24779800698161,0.2229923736304044,21.021795842796564,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0233423206955194,19.368924252688885,0.2230870444327592,21.259415550157428,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.022912522777915,0.8855657652020454,0.2335447873920202,1.0416168048977852,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0238745361566543,0.8983466029167175,0.2289844900369644,1.097650706768036,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.0233777333050966,0.9370044097304344,0.2308334559202194,0.9933517500758172,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0234553273767232,0.8895855210721493,0.2336270939558744,0.9999000951647758,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0234002359211444,0.8823387958109379,0.2303214464336633,0.9808459728956224,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0232508070766925,0.8833358958363533,0.2227545827627182,0.9828071519732476,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0231261122971773,0.8912162594497204,0.2279832847416401,0.9958977811038494,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.0228647217154502,0.8753056321293116,0.2244587056338787,0.9772918038070202,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.0233330205082893,0.8815365806221962,0.2288736123591661,0.9848486576229334,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0232240669429302,0.8799625039100647,0.2231280412524938,0.9803177956491708,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0241707675158977,0.2714501079171896,0.0150557253509759,0.3058936856687069,0.0666666666666666,0.0666666666666666
AtrialFibrillation,1,0.0156633257865905,0.248338796198368,0.0245053991675376,0.289977790787816,0.0666666666666666,0.0666666666666666
AtrialFibrillation,2,0.0318079404532909,0.2597843147814274,0.0258084069937467,0.3511092662811279,0.0666666666666666,0.0666666666666666
AtrialFibrillation,3,0.0264892689883708,0.2674772199243307,0.0383158177137374,0.3192615211009979,0.0666666666666666,0.0666666666666666
AtrialFibrillation,4,0.0220540799200534,0.2643443383276462,0.0378108695149421,0.298899907618761,0.1333333333333333,0.1111111111111111
AtrialFibrillation,5,0.0121628753840923,2.138143075630069,0.0121249016374349,2.160926602780819,0.1333333333333333,0.1111111111111111
AtrialFibrillation,6,0.0088914241641759,2.0810333248227835,0.0110835693776607,2.121901797130704,0.0666666666666666,0.0666666666666666
AtrialFibrillation,7,0.0088605787605047,2.099112417548895,0.0134144034236669,2.14405562914908,0.1333333333333333,0.1111111111111111
AtrialFibrillation,8,0.0088576842099428,2.083643840625882,0.0121884252876043,2.125169076025486,0.0666666666666666,0.0666666666666666
AtrialFibrillation,9,0.0089235976338386,2.112981554120779,0.0128475874662399,2.1521308217197657,0.0666666666666666,0.0666666666666666
AtrialFibrillation,10,0.0119292922317981,0.2158213034272194,0.0160760749131441,0.2652068026363849,0.1333333333333333,0.1111111111111111
AtrialFibrillation,11,0.009494237601757,0.2711228504776954,0.0254752654582262,0.3622479941695928,0.0666666666666666,0.0666666666666666
AtrialFibrillation,12,0.0172727182507514,0.3235415853559971,0.0189300458878278,0.3753419369459152,0.0666666666666666,0.0606060606060605
AtrialFibrillation,13,0.0177851468324661,0.3498491607606411,0.0290005337446928,0.3801130726933479,0.0666666666666666,0.0666666666666666
AtrialFibrillation,14,0.0171867161989212,0.3263902235776186,0.0306718051433563,0.391070544719696,0.0666666666666666,0.0666666666666666
AtrialFibrillation,15,0.0187542755156755,0.3507028799504041,0.0345709156244993,0.377634696662426,0.0666666666666666,0.0666666666666666
AtrialFibrillation,16,0.0195703953504562,0.3318933099508285,0.0307643003761768,0.3951634485274553,0.1333333333333333,0.1111111111111111
AtrialFibrillation,17,0.0219578314572572,0.3690219484269619,0.0248081162571907,0.4205297771841287,0.0666666666666666,0.0666666666666666
AtrialFibrillation,18,0.0198719315230846,0.3318906854838133,0.0260926522314548,0.3828706927597523,0.0666666666666666,0.0666666666666666
AtrialFibrillation,19,0.020555131137371,0.3341331798583269,0.0354311689734458,0.394046850502491,0.0666666666666666,0.0666666666666666
BasicMotions,0,0.0283537358045578,0.19353680126369,0.0410750117152929,0.2206433825194835,1.0,1.0
BasicMotions,1,0.0376405045390129,0.1901936344802379,0.0376835670322179,0.2360399421304464,1.0,1.0
BasicMotions,2,0.0387976076453924,0.1750692594796419,0.031180702149868,0.2374211475253105,1.0,1.0
BasicMotions,3,0.0281009972095489,0.2102502770721912,0.0385798104107379,0.2467446811497211,1.0,1.0
BasicMotions,4,0.0282894913107156,0.1769026760011911,0.0222293157130479,0.2382689323276281,1.0,1.0
BasicMotions,5,0.0142080802470445,1.6019533164799211,0.0268564037978649,1.642458627000451,1.0,1.0
BasicMotions,6,0.0144644472748041,1.5727577656507492,0.027614340186119,1.618942378088832,1.0,1.0
BasicMotions,7,0.0142218954861164,1.580245153978467,0.0324008055031299,1.6292115096002815,1.0,1.0
BasicMotions,8,0.0141876507550477,1.5767517443746328,0.0336075611412525,1.611197665333748,1.0,1.0
BasicMotions,9,0.0142755135893821,1.5957483518868685,0.0322879068553447,1.6432793885469437,1.0,1.0
BasicMotions,10,0.0289221368730068,0.1816694159060716,0.0370504427701234,0.2272094823420047,1.0,1.0
BasicMotions,11,0.0272627659142017,0.1930994726717472,0.0476808324456214,0.2331482134759426,1.0,1.0
BasicMotions,12,0.0201640296727418,0.2078611738979816,0.0333738010376691,0.2051674835383892,1.0,1.0
BasicMotions,13,0.0184723492711782,0.1932780053466558,0.041001932695508,0.2198818568140268,1.0,1.0
BasicMotions,14,0.0159709192812442,0.1910030096769333,0.0326925553381443,0.2010220754891634,1.0,1.0
BasicMotions,15,0.0204732175916433,0.1608798541128635,0.032329324632883,0.1872906237840652,1.0,1.0
BasicMotions,16,0.0163196194916963,0.1552318520843982,0.0260109808295965,0.1725038550794124,1.0,1.0
BasicMotions,17,0.0146176405251026,0.1404875963926315,0.0403981916606426,0.1687712837010622,1.0,1.0
BasicMotions,18,0.019738670438528,0.1275172717869281,0.033200467005372,0.1614825930446386,1.0,1.0
BasicMotions,19,0.0196956600993871,0.132500434294343,0.0709422156214714,0.1552219558507204,1.0,1.0
CharacterTrajectories,0,0.0225180517882108,4.934614362195134,1.5651183612644672,4.983838856220245,0.9909470752089136,0.9909667116944012
CharacterTrajectories,1,0.0282439496368169,4.9549933932721615,1.4373814165592194,5.083273138850927,0.9930362116991645,0.9930234592714262
CharacterTrajectories,2,0.0637887641787529,4.980016121640801,1.4963497035205364,5.12503913231194,0.9909470752089136,0.9909869534116026
CharacterTrajectories,3,0.0366075448691844,4.957557357847691,1.4681499917060137,5.05225870385766,0.9909470752089136,0.9909475074057011
CharacterTrajectories,4,0.0281494297087192,4.912953397259116,1.4486945290118456,5.047468408942223,0.9923398328690808,0.9923379723535865
CharacterTrajectories,5,0.0103840883821249,71.00698071159422,1.126065768301487,71.73583549074829,0.9916434540389972,0.9916834745596188
CharacterTrajectories,6,0.0140618197619915,70.39322433806956,1.325532602146268,71.60428362339735,0.9916434540389972,0.9916686464360988
CharacterTrajectories,7,0.0140594746917486,70.54893648810685,1.0913806352764368,71.8607514705509,0.9923398328690808,0.9923531832881672
CharacterTrajectories,8,0.013936223462224,70.19457223080099,1.153108524158597,71.07085656374693,0.9895543175487466,0.9895781378595906
CharacterTrajectories,9,0.0140763334929943,70.4627650808543,1.1483120638877151,71.21043953113258,0.99025069637883,0.9903112884354122
CharacterTrajectories,10,0.0106494836509227,3.2464307378977537,1.094099959358573,3.476669490337372,0.9895543175487466,0.9895715154460296
CharacterTrajectories,11,0.0138825643807649,3.0688880998641253,1.093705179169774,3.365567781031132,0.9916434540389972,0.9916841892455942
CharacterTrajectories,12,0.0142749994993209,3.249900661408901,1.113341048359871,3.454177115112543,0.9895543175487466,0.9895767357945392
CharacterTrajectories,13,0.0147677026689052,3.3596802838146687,1.1010545156896114,3.523858929052949,0.9909470752089136,0.9909610099402176
CharacterTrajectories,14,0.0139907542616128,3.1876014973968267,1.1064766608178616,3.456187864765525,0.99025069637883,0.9903070941433773
CharacterTrajectories,15,0.0145897101610898,3.340719878673553,1.09682977758348,3.512191098183393,0.9916434540389972,0.9916525343754796
CharacterTrajectories,16,0.0163694359362125,3.2677825428545475,1.3497956525534391,3.545269154012203,0.9916434540389972,0.9916632146175324
CharacterTrajectories,17,0.0137931481003761,3.0144255459308624,1.117357375100255,3.262340573593974,0.9923398328690808,0.9923651933774456
CharacterTrajectories,18,0.013946333900094,3.0988977272063494,1.1450845133513212,3.3398920595645905,0.9916434540389972,0.9916555531975448
CharacterTrajectories,19,0.0139297116547822,3.168848061934113,1.0851413663476706,3.419065047055483,0.9923398328690808,0.9923648884958868
Cricket,0,0.0368710942566394,3.6608658004552126,0.0890001375228166,2.6527890767902136,1.0,1.0
Cricket,1,0.0370799638330936,3.805466027930379,0.06665600836277,2.834352895617485,1.0,1.0
Cricket,2,0.0367699805647134,3.8285678047686815,0.1288129668682813,2.7124463748186827,1.0,1.0
Cricket,3,0.0512032080441713,3.728158922865987,0.0816147439181804,2.7844255957752466,1.0,1.0
Cricket,4,0.037551824003458,3.6797644272446632,0.0917828846722841,2.680405244231224,1.0,1.0
Cricket,5,0.0195281077176332,55.60974869504571,0.051525242626667,36.91558159887791,1.0,1.0
Cricket,6,0.0193897671997547,54.57228152826429,0.0537323169410228,36.41226393356919,1.0,1.0
Cricket,7,0.0194339826703071,54.75885200873017,0.0513495374470949,36.52255065180361,1.0,1.0
Cricket,8,0.0194058381021022,54.72069093957544,0.0509828962385654,36.21881495416165,1.0,1.0
Cricket,9,0.0195542685687541,55.70920989848673,0.0512590128928422,36.81155506335199,1.0,1.0
Cricket,10,0.0193814747035503,2.9405505526810884,0.0591268185526132,2.290767166763544,1.0,1.0
Cricket,11,0.0142570249736309,2.995031740516424,0.1086118631064891,2.3704342506825924,1.0,1.0
Cricket,12,0.0184030085802078,3.0399741996079683,0.1061715371906757,2.351350435987115,1.0,1.0
Cricket,13,0.0302446875721216,3.0230622962117195,0.053348135203123,2.392200153321028,1.0,1.0
Cricket,14,0.0223137084394693,3.108717743307352,0.0718233380466699,2.318850936368108,1.0,1.0
Cricket,15,0.0185470972210168,2.9471240025013685,0.061220072209835,2.25394743680954,1.0,1.0
Cricket,16,0.0242468938231468,2.7085287664085627,0.0556619837880134,1.9440400004386904,1.0,1.0
Cricket,17,0.0176726598292589,2.868550220504403,0.0981669723987579,2.3391327634453773,1.0,1.0
Cricket,18,0.049451008439064,3.0941338036209345,0.0700072441250085,2.324966048821807,1.0,1.0
Cricket,19,0.0142163280397653,2.845944307744503,0.1023555435240268,2.245512029156089,1.0,1.0
DuckDuckGeese,0,0.1628411971032619,0.6822542436420918,0.0294017139822244,0.6981194969266653,0.66,0.6506666666666666
DuckDuckGeese,1,0.1632456444203853,0.6725316513329744,0.0305008310824632,0.6568418871611357,0.68,0.6697142857142857
DuckDuckGeese,2,0.1631477307528257,0.6329184863716364,0.0291144475340843,0.7024217303842306,0.64,0.6251282051282051
DuckDuckGeese,3,0.1620667949318885,0.6420513894408941,0.0290255825966596,0.669586043804884,0.64,0.6246060606060606
DuckDuckGeese,4,0.1623374689370393,0.6319476757198572,0.0289206262677907,0.687714446336031,0.7,0.6797518271202481
DuckDuckGeese,5,0.1371890120208263,7.248313253745437,0.0339619647711515,7.299110120162368,0.68,0.6678812415654519
DuckDuckGeese,6,0.1393816750496626,7.190830923616886,0.0338361803442239,7.225365417078137,0.7,0.6885829959514169
DuckDuckGeese,7,0.1392325740307569,7.151113195344806,0.0345845408737659,7.263029418885708,0.68,0.6713684210526316
DuckDuckGeese,8,0.1369136627763509,7.197586055845022,0.0338988192379474,7.168219584971666,0.7,0.6904160401002507
DuckDuckGeese,9,0.1394186522811651,7.267250239849091,0.0341053660959005,7.300234092399478,0.68,0.6713684210526316
DuckDuckGeese,10,0.1963984612375497,0.8028030004352331,0.0476567186415195,0.859678303822875,0.66,0.6517948717948718
DuckDuckGeese,11,0.2375660985708236,0.8222306333482265,0.0464485436677932,0.8588048275560141,0.7,0.6885829959514169
DuckDuckGeese,12,0.1404243558645248,0.8240097668021917,0.0349223483353853,0.7686037886887789,0.68,0.6678812415654519
DuckDuckGeese,13,0.2292416617274284,0.8218570444732904,0.0380328949540853,0.8116711173206568,0.68,0.6749803921568628
DuckDuckGeese,14,0.2164975013583898,0.8037518076598644,0.0378652922809124,0.8664945270866156,0.68,0.668849902534113
DuckDuckGeese,15,0.1687970627099275,0.8152323309332132,0.0591697935014963,0.9168299715965986,0.7,0.6904160401002507
DuckDuckGeese,16,0.248214803636074,0.8332114405930042,0.04926005192101,0.8557827938348055,0.66,0.6517948717948718
DuckDuckGeese,17,0.2310233321040868,0.8642963878810406,0.047689352184534,0.8631122186779976,0.72,0.707630614999036
DuckDuckGeese,18,0.173110356554389,0.8061823435127735,0.0747230630367994,0.8086925260722637,0.72,0.707630614999036
DuckDuckGeese,19,0.2348287925124168,0.8101008553057909,0.0351130049675703,0.8367018122226,0.64,0.6252994555353902
ERing,0,0.047512050718069,0.0748689398169517,0.034575417637825,0.62167127430439,0.9814814814814816,0.9814357497430288
ERing,1,0.0430239159613847,0.077439209446311,0.0427958816289901,0.5612070076167583,0.9777777777777776,0.9776871679045592
ERing,2,0.0819424614310264,0.0584424585103988,0.0499662570655345,0.5760238096117973,0.9814814814814816,0.9815126928030156
ERing,3,0.0679863672703504,0.0630742721259594,0.0512135829776525,0.5205715969204903,0.9851851851851852,0.985259414246366
ERing,4,0.068099183961749,0.0716222263872623,0.0283901784569025,0.5494784079492092,0.9777777777777776,0.9777683202384184
ERing,5,0.0160679630935192,0.6402983274310827,0.0210064966231584,5.589825168251991,0.9777777777777776,0.9777683202384184
ERing,6,0.0158114749938249,0.636947724968195,0.02353947609663,5.513715524226427,0.9777777777777776,0.9777683202384184
ERing,7,0.0158666986972093,0.6382983233779669,0.0209573954343795,5.539556378498673,0.9777777777777776,0.9777683202384184
ERing,8,0.0158010274171829,0.6344290785491467,0.0197642240673303,5.494821654632688,0.9777777777777776,0.9777683202384184
ERing,9,0.0159506648778915,0.6398485656827688,0.0197414439171552,5.552551092579961,0.9777777777777776,0.9777683202384184
ERing,10,0.0235856343060731,0.1219972763210535,0.0325406938791275,0.5960846804082394,0.9814814814814816,0.9814357497430288
ERing,11,0.0577355343848466,0.1135398894548416,0.0301565695554018,0.5686834268271923,0.9814814814814816,0.9814357497430288
ERing,12,0.0223439671099185,0.1158650685101747,0.0275127533823251,0.4922223966568708,0.9777777777777776,0.9777683202384184
ERing,13,0.0133885871618986,0.1175425592809915,0.0315943211317062,0.431735323742032,0.9777777777777776,0.9777683202384184
ERing,14,0.0211293026804924,0.0965490955859422,0.0261159371584653,0.3681232593953609,0.9814814814814816,0.9815126928030156
ERing,15,0.0259357579052448,0.1002557799220085,0.0436018109321594,0.3343586735427379,0.9814814814814816,0.9814357497430288
ERing,16,0.0160075239837169,0.0924792047590017,0.0287186317145824,0.3248203881084919,0.9777777777777776,0.9777683202384184
ERing,17,0.0158878285437822,0.0826715510338544,0.0310433693230152,0.3388219755142927,0.9777777777777776,0.9777683202384184
ERing,18,0.0158570427447557,0.0827256925404071,0.0449653249233961,0.3556707240641117,0.9777777777777776,0.9777683202384184
ERing,19,0.0258741229772567,0.0844363365322351,0.0261280667036771,0.3623944837599993,0.9814814814814816,0.9814357497430288
EigenWorms,0,0.0235305055975914,64.08276360668242,0.0939974840730428,70.96742430888116,0.8625954198473282,0.8565067248273355
EigenWorms,1,0.0278671998530626,64.87230689823627,0.1118207797408104,72.35706500522792,0.8854961832061069,0.8747965574000127
EigenWorms,2,0.028105117380619,65.36549320816994,0.1310231778770685,72.22031167149544,0.8778625954198473,0.8692216828635123
