Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0247824881225824,1.3997772857546806,0.1962490752339363,1.5354216862469912,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.028770038858056,1.487998649477959,0.2350732181221246,1.5910819247364998,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0376612320542335,1.5199249424040318,0.2824302352964878,1.5828592795878649,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0269844643771648,1.355229191482067,0.2317843176424503,1.5495484545826912,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0295689515769481,1.3314645625650885,0.2136794086545705,1.6430298406630754,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0174446571618318,19.726052897050977,0.2488468401134014,21.56952764838934,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0231119431555271,19.55599387176335,0.2303432915359735,21.35088783688844,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0230959840118885,19.38449540361762,0.2306474223732948,21.294981122016907,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,8,0.0229472555220127,19.17115142568946,0.2312321122735738,21.033473586663604,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,9,0.0233207251876592,19.48612484894693,0.231671180576086,21.43144820444286,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0321477688848972,1.6436605155467987,0.3016087748110294,1.425726979970932,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0229688789695501,0.9339103605598212,0.2442631125450134,1.0400915574282408,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,12,0.0231688655912876,0.9001724347472191,0.2345304675400257,1.055658172816038,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,13,0.0234166290611028,0.9059108793735504,0.2275096252560615,1.0566481035202742,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,14,0.0230730064213275,0.8874170705676079,0.2325490079820156,1.030861534178257,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,15,0.0230072438716888,0.8895441554486752,0.2263414487242698,1.036307556554675,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0290403738617897,0.8925813846290112,0.2597516290843487,1.0600629523396492,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.02853231318295,0.882518544793129,0.2370742931962013,1.0491365306079388,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,18,0.023276587948203,0.8796282578259706,0.2225231509655714,1.0254610069096088,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,19,0.0230390317738056,0.8767926152795553,0.2234655544161796,0.9927179645746946,0.9933333333333332,0.9933217391304348
AtrialFibrillation,0,0.0136660132557153,0.2731288596987724,0.0081756394356489,0.3019471280276775,0.4666666666666667,0.4027777777777778
AtrialFibrillation,1,0.0135835241526365,0.3216580115258693,0.0143262017518281,0.2922173924744129,0.4666666666666667,0.4027777777777778
