Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.03206081874668598,1.5537804532796144,0.2571605145931244,1.3737113755196333,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,1,0.030085507780313492,0.9588699620217085,0.24039108864963055,1.0260502249002457,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,2,0.02302800863981247,0.9055802840739489,0.23694339953362942,0.999155193567276,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,3,0.022935228422284126,0.8816597517579794,0.23027840442955494,0.9818101562559605,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,4,0.02297866716980934,0.8913311958312988,0.23487923480570316,0.986455786973238,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,5,0.02322375774383545,0.9003981500864029,0.22995230741798878,1.0012956745922565,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,6,0.02371889166533947,0.8885574415326118,0.23474277928471565,0.9990984983742237,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,7,0.022969290614128113,0.8892418444156647,0.22927782498300076,0.9926950447261333,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,8,0.023068595677614212,0.8792864084243774,0.23568572476506233,0.9761007148772478,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,9,0.02313716523349285,0.8947816379368305,0.23220991529524326,0.9933824930340052,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,10,0.022986873984336853,0.8881180677562952,0.23625015281140804,1.0044929329305887,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,11,0.02311849035322666,0.8946107793599367,0.22994240745902061,0.9894034992903471,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,12,0.023091750219464302,0.893861124292016,0.23577029258012772,0.9978912565857172,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,13,0.023312261328101158,0.8971960190683603,0.23011188581585884,0.9963821992278099,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,14,0.023035192862153053,0.8919520806521177,0.23392469622194767,1.0183434039354324,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,15,0.02298426814377308,0.8925474435091019,0.22904117964208126,0.9936256073415279,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,16,0.023350151255726814,0.8970584757626057,0.2358503919094801,1.0418580956757069,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,17,0.022802216932177544,0.8882105331867933,0.2315242402255535,0.981857405975461,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,18,0.023174623027443886,0.8926543965935707,0.2344639077782631,1.0199140645563602,0.9933333333333333,0.9933217391304349
ArticularyWordRecognition,19,0.022976214066147804,0.886692488566041,0.22878023236989975,0.9919806960970163,0.9933333333333333,0.9933217391304349
AtrialFibrillation,0,0.011902943253517151,0.22396782971918583,0.01719941385090351,0.2537793442606926,0.2,0.20634920634920637
AtrialFibrillation,1,0.01116127334535122,0.2683091163635254,0.0236076470464468,0.3700524438172579,0.2,0.20634920634920637
AtrialFibrillation,2,0.012589609250426292,0.340975197032094,0.026032574474811554,0.39811674878001213,0.2,0.20634920634920637
AtrialFibrillation,3,0.016599951311945915,0.34598987735807896,0.03344106487929821,0.39274069853127,0.2,0.20634920634920637
AtrialFibrillation,4,0.01714806631207466,0.33133203722536564,0.03391275554895401,0.38535571843385696,0.2,0.20634920634920637
AtrialFibrillation,5,0.023006178438663483,0.32525425031781197,0.028244562447071075,0.3817072454839945,0.2,0.20634920634920637
AtrialFibrillation,6,0.01809188351035118,0.32833760417997837,0.04131663031876087,0.36377730034291744,0.2,0.20634920634920637
AtrialFibrillation,7,0.018071087077260017,0.32315604016184807,0.028342772275209427,0.37497585639357567,0.2,0.20634920634920637
