Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0230856407433748,0.8643963951617479,0.1257622148841619,0.9583841543644668,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,1,0.0291213728487491,0.884153138846159,0.1250528246164322,0.9809947554022074,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,2,0.0235215350985527,0.8708301801234484,0.1246628239750862,0.9875780157744884,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,3,0.0232362132519483,0.8588341157883406,0.1244247891008853,0.9858864285051824,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,4,0.0232424847781658,0.8647852316498756,0.1251652166247367,0.972052050754428,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,5,0.0293201562017202,0.8937957659363747,0.1250477749854326,0.994082111865282,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,6,0.0232024583965539,0.8792294599115849,0.1245518159121275,0.9814619086682796,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,7,0.0232658982276916,0.861033545807004,0.1263538710772991,0.9711717125028372,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,8,0.0231974199414253,0.8589363396167755,0.1247973050922155,1.0464010871946812,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,9,0.0234728157520294,0.8869717381894588,0.1442105397582054,0.9981659688055516,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0385535359382629,0.868342611938715,0.1273730602115392,0.973644468933344,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0233237948268651,0.8684881739318371,0.1248807609081268,0.9740498065948486,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,12,0.0234229918569326,0.8778809159994125,0.1249967366456985,0.983133800327778,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,13,0.0234642010182142,0.8758757580071688,0.1256876438856125,0.992207832634449,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,14,0.0233232527971267,0.8666653614491224,0.1258677113801241,0.9717858619987964,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,15,0.0232748445123434,0.8663911484181881,0.1259111203253269,0.9718136619776488,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,16,0.0235096234828233,0.877794923260808,0.1254197806119918,0.9821196123957634,0.99,0.9899942028985508
