Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0169604141265153,1.128791457042098,0.2165304478257894,1.0834767203778028,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,1,0.0238370615988969,0.9487064741551876,0.2377759031951427,1.029896641150117,1.0,1.0
ArticularyWordRecognition,2,0.0234605371952056,0.8934804350137711,0.2179307527840137,0.9893927499651908,1.0,1.0
ArticularyWordRecognition,3,0.0232980214059352,0.866627274081111,0.2171998638659715,0.9684606641530992,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,4,0.0233585350215435,0.8740311544388533,0.2175262439996004,0.97387614287436,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,5,0.023628007620573,0.884170388802886,0.2188373114913702,0.9805062562227248,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,6,0.0232368968427181,0.8722454104572535,0.2168644536286592,0.9683280158787966,1.0,1.0
ArticularyWordRecognition,7,0.0233480650931596,0.8702816311269999,0.2174170669168234,0.9655896238982676,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,8,0.023289181292057,0.8573250733315945,0.2161385249346494,0.9563277550041676,1.0,1.0
ArticularyWordRecognition,9,0.0235467869788408,0.8773695044219494,0.2159700281918048,0.9735807776451112,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,10,0.023376528173685,0.8717922307550907,0.216613695025444,0.9966233130544424,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,11,0.0241872351616621,0.9200455453246832,0.2907989248633384,0.9921705648303032,1.0,1.0
ArticularyWordRecognition,12,0.0234492421150207,0.8961652535945177,0.219004888087511,0.9892565943300724,1.0,1.0
ArticularyWordRecognition,13,0.023584796115756,0.8799081388860941,0.2198154460638761,0.998103542253375,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,14,0.023398408666253,0.8683941029012203,0.2198044639080763,0.9759358130395412,1.0,1.0
ArticularyWordRecognition,15,0.0233351290225982,0.8720926139503717,0.2209590561687946,0.999313099309802,1.0,1.0
ArticularyWordRecognition,16,0.0235380697995424,0.8833390511572361,0.2238463275134563,0.9856985080987216,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,17,0.0231811702251434,0.8676295895129442,0.2209923323243856,0.9676547311246396,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,18,0.0233626924455165,0.8742437958717346,0.2298402395099401,1.027784064412117,1.0,1.0
