Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.0317557770758867,1.5789092220366,0.2582263760268688,1.4284941516816616,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,1,0.0238528903573751,0.9666404481977224,0.2352279853075742,1.0150134079158306,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,2,0.023187855258584,0.8795897997915745,0.2263768035918474,0.991918658837676,1.0,1.0
ArticularyWordRecognition,3,0.0227932371199131,0.8611248768866062,0.2445278186351061,1.030944548547268,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,4,0.0232081245630979,0.8793448302894831,0.2263620942831039,0.9926614686846732,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,5,0.0234065447002649,0.8791623990982771,0.2354487683624029,1.0079704727977514,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,6,0.0229193940758705,0.8686718959361315,0.2358691282570362,1.0177275724709034,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,7,0.0229212082922458,0.8675760831683874,0.2376076132059097,0.984587712213397,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,8,0.0227758549153804,0.8587453924119473,0.2308896109461784,0.9756652656942606,1.0,1.0
ArticularyWordRecognition,9,0.0230587236583232,0.871065940707922,0.231667460873723,0.9937638230621816,1.0,1.0
ArticularyWordRecognition,10,0.0230160560458898,0.8682320546358824,0.2264953050762415,0.9861004035919904,1.0,1.0
ArticularyWordRecognition,11,0.0229989308863878,0.872391102835536,0.23434529453516,0.9896650668233632,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,12,0.023089462891221,0.8812302201986313,0.2272471617907285,0.9998998399823904,1.0,1.0
ArticularyWordRecognition,13,0.0230316612869501,0.8790833111852407,0.2347513642162084,0.9956357665359974,1.0,1.0
ArticularyWordRecognition,14,0.0230480413883924,0.866851719096303,0.2278958894312381,1.0347351133823397,1.0,1.0
ArticularyWordRecognition,15,0.0230574607849121,0.8709486313164234,0.2430989034473896,0.9881756212562324,1.0,1.0
ArticularyWordRecognition,16,0.023178108036518,0.8774279821664095,0.2280234079807996,1.0038925763219595,0.9966666666666668,0.9966608695652174
