Dataset,Seed,Parameter Generation Time,Train set transformation time,Training time,Inference time,Accuracy,Weighted F1
ArticularyWordRecognition,0,0.016823336482048,1.5631791707128286,0.2494901716709137,1.3916068226099014,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,1,0.0235194619745016,0.9368263259530069,0.236778249964118,1.0725596882402897,1.0,1.0
ArticularyWordRecognition,2,0.0550805758684873,0.9031362924724816,0.2274458911269903,1.037539845332503,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,3,0.0233157929033041,0.8978370539844036,0.2187192589044571,1.020122343674302,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,4,0.0233226958662271,0.8896367754787207,0.2214693129062652,1.0362784881144762,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,5,0.0235488880425691,0.9173574727028608,0.2488130312412977,1.064692473039031,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,6,0.0232869572937488,0.8874305989593267,0.223609272390604,0.9785193521529436,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,7,0.0233531799167394,0.8749471995979548,0.222431268543005,0.9735325276851654,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,8,0.0232644472271204,0.86655711568892,0.2225784212350845,0.9653241857886314,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,9,0.0235695671290159,0.8779475893825293,0.2234498970210552,0.9728174787014724,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,10,0.0233407281339168,0.8730087280273438,0.2228597793728113,0.9725044313818216,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,11,0.0231979619711637,0.8745768461376429,0.2244632933288812,0.9719992745667696,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,12,0.0234408043324947,0.886872336268425,0.2223528977483511,0.9983128327876328,1.0,1.0
ArticularyWordRecognition,13,0.0235577058047056,0.8824510928243399,0.2234491910785436,0.9883008524775504,1.0,1.0
ArticularyWordRecognition,14,0.0234085563570261,0.8760955594480038,0.2225572615861892,0.989025380462408,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,15,0.0233457088470459,0.8756560869514942,0.2235748171806335,0.969157200306654,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,16,0.0235942564904689,0.8849689774215221,0.2227363660931587,0.980417512357235,0.9933333333333332,0.9933217391304348
ArticularyWordRecognition,17,0.0231444202363491,0.8672913033515215,0.2226050700992345,0.9805886596441268,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,18,0.0233954899013042,0.8849276509135962,0.2072238158434629,0.9748244006186724,0.9966666666666668,0.9966608695652174
ArticularyWordRecognition,19,0.0233522895723581,0.8694146610796452,0.2240623105317354,0.9699815437197684,0.9966666666666668,0.9966608695652174
AtrialFibrillation,0,0.0089076440781354,0.2770144194364548,0.0289818979799747,0.3504847269505262,0.1333333333333333,0.0833333333333333
AtrialFibrillation,1,0.0122691709548234,0.3192562777549028,0.0174199752509593,0.3713230136781931,0.3333333333333333,0.1851851851851851
AtrialFibrillation,2,0.0166865363717079,0.3346191346645355,0.0216798968613147,0.3943722173571586,0.1333333333333333,0.0833333333333333
AtrialFibrillation,3,0.0165783278644084,0.3556869719177484,0.0314982868731021,0.3854792527854442,0.4,0.3071895424836601
AtrialFibrillation,4,0.0152490958571434,0.3259202931076288,0.0316179320216178,0.3850221652537584,0.1333333333333333,0.0833333333333333
AtrialFibrillation,5,0.0173506010323762,0.3436006940901279,0.0278453715145587,0.4392871111631393,0.1333333333333333,0.0833333333333333
AtrialFibrillation,6,0.0166259743273258,0.3759328238666057,0.0252715460956096,0.4209515023976564,0.3333333333333333,0.1851851851851851
AtrialFibrillation,7,0.0182816088199615,0.3545585200190544,0.0222439132630825,0.379408435896039,0.3333333333333333,0.1851851851851851
AtrialFibrillation,8,0.0183955617249012,0.3400480281561613,0.0252916365861892,0.4006213564425707,0.1333333333333333,0.0833333333333333
AtrialFibrillation,9,0.0211629252880811,0.3433753252029419,0.0179071482270956,0.3809559270739555,0.1333333333333333,0.0833333333333333
AtrialFibrillation,10,0.0125518701970577,0.3563682083040476,0.022262068465352,0.3795291725546121,0.3333333333333333,0.1851851851851851
AtrialFibrillation,11,0.0189139638096094,0.3396034874022007,0.0190731920301914,0.3739137798547745,0.1333333333333333,0.0833333333333333
AtrialFibrillation,12,0.0128481369465589,0.3244052156805992,0.0366930197924375,0.3900649659335613,0.1333333333333333,0.0833333333333333
AtrialFibrillation,13,0.0178184006363153,0.3385345805436373,0.0272630490362644,0.4312697891145944,0.2,0.1944444444444444
